rank,title,main_artist,featured_artists,album,release_date,release_year,genres,languages,composer,anime_title,anime_popularity,screen_work,vtuber,is_original,metric_name,metric_value,metric_unit,listen_count,listen_source,view_count,overall_popularity_score,spotify_track_id,musicbrainz_recording_mbid,isrc,source_url,retrieved_at,source_notes,extra
1,Sweater Weather,The Neighbourhood,[],I'm Sorry...,1/1/2012,2012,"[""alternative"",""pop"",""alt-rock"",""['modern alternative rock'"",""'modern rock'"",""'pop']"",""rock""]","[""und""]",,,,,,,spotify_streams,4757604497.0,streams,4757604497,Spotify,,213.97107977478834,4pGqFOfzvfe6avb9kbZicC,,USSM11300080,https://kworb.net/spotify/songs.html,2026-07-25,Category membership comes from source genre/metadata tags; popularity evidence is preserved.,"{""culture_category"":""alternative_extreme"",""matched_source_genres"":[""alternative"",""pop"",""alt-rock"",""['modern alternative rock'"",""'modern rock'"",""'pop']"",""rock""],""selection"":""source genre/tag membership plus source-backed popularity ranking""}"
2,SAD!,XXXTENTACION,[],SAD!,3/2/2018,2018,"[""emo"",""hip-hop""]","[""und""]",,,,,,,spotify_streams,2557251223.0,streams,2557251223,Spotify,,208.04546176525292,500rrRPwBWD2slEEljcha2,,USUG11800208,https://kworb.net/spotify/songs.html,2026-07-25,Category membership comes from source genre/metadata tags; popularity evidence is preserved.,"{""culture_category"":""alternative_extreme"",""matched_source_genres"":[""emo"",""hip-hop""],""selection"":""source genre/tag membership plus source-backed popularity ranking""}"
3,Moonlight,XXXTENTACION,[],?,3/16/2018,2018,"[""hip-hop"",""emo""]","[""und""]",,,,,,,spotify_streams,2457803049.0,streams,2457803049,Spotify,,207.60085404045213,48YQleBuyz5ZiMjgTCPqLU,,USUG11800209,https://kworb.net/spotify/songs.html,2026-07-25,Category membership comes from source genre/metadata tags; popularity evidence is preserved.,"{""culture_category"":""alternative_extreme"",""matched_source_genres"":[""hip-hop"",""emo""],""selection"":""source genre/tag membership plus source-backed popularity ranking""}"
4,Californication,Red Hot Chili Peppers,[],Californication (Deluxe Version),6/8/1999,1999,"[""alt-rock"",""alternative"",""metal"",""['alternative rock'"",""'funk metal'"",""'funk rock'"",""'permanent wave'"",""'rock']"",""rock"",""funk""]","[""und""]",,,,,,,spotify_streams,2077085549.0,streams,2077085549,Spotify,,205.71245668942203,48UPSzbZjgc449aqz8bxox,,USWB19900690,https://kworb.net/spotify/songs.html,2026-07-25,Category membership comes from source genre/metadata tags; popularity evidence is preserved.,"{""culture_category"":""alternative_extreme"",""matched_source_genres"":[""alt-rock"",""alternative"",""metal"",""['alternative rock'"",""'funk metal'"",""'funk rock'"",""'permanent wave'"",""'rock']"",""rock"",""funk""],""selection"":""source genre/tag membership plus source-backed popularity ranking""}"
5,Shut Up and Dance,WALK THE MOON,[],Full Circle: The Live Anthology,11/20/2011,2011,"[""['dance rock'"",""'modern alternative rock'"",""'modern rock'"",""'neo mellow'"",""'pop rock']"",""alt-rock"",""alternative"",""rock""]","[""und""]",,,,,,,spotify_streams,2416544710.0,streams,2416544710,Spotify,,204.5568969148609,79m3gsQ2Ab1bhADmew8N2L,,USRC11401949,https://kworb.net/spotify/songs.html,2026-07-25,Category membership comes from source genre/metadata tags; popularity evidence is preserved.,"{""culture_category"":""alternative_extreme"",""matched_source_genres"":[""['dance rock'"",""'modern alternative rock'"",""'modern rock'"",""'neo mellow'"",""'pop rock']"",""alt-rock"",""alternative"",""rock""],""selection"":""source genre/tag membership plus source-backed popularity ranking""}"
6,Mr. Brightside,The Killers,[],Hot Fuss,1/1/2004,2004,"[""alt-rock"",""alternative"",""rock"",""dance"",""['alternative rock'"",""'dance rock'"",""'modern rock'"",""'permanent wave'"",""'rock']""]","[""und""]",,,,,,,spotify_streams,3357351402.0,streams,3357351402,Spotify,,202.76891006644414,7oK9VyNzrYvRFo7nQEYkWN,,USIR20400274,https://kworb.net/spotify/songs.html,2026-07-25,Category membership comes from source genre/metadata tags; popularity evidence is preserved.,"{""culture_category"":""alternative_extreme"",""matched_source_genres"":[""alt-rock"",""alternative"",""rock"",""dance"",""['alternative rock'"",""'dance rock'"",""'modern rock'"",""'permanent wave'"",""'rock']""],""selection"":""source genre/tag membership plus source-backed popularity ranking""}"
7,Hope,XXXTENTACION,[],?,3/16/2018,2018,"[""hip-hop"",""emo""]","[""und""]",,,,,,,spotify_streams,1955925844.0,streams,1955925844,Spotify,,202.16669866663347,6Kg7OhjYmLap8DXVHivRPC,,USUG11800447,https://kworb.net/spotify/songs.html,2026-07-25,Category membership comes from source genre/metadata tags; popularity evidence is preserved.,"{""culture_category"":""alternative_extreme"",""matched_source_genres"":[""hip-hop"",""emo""],""selection"":""source genre/tag membership plus source-backed popularity ranking""}"
8,Centuries,Fall Out Boy,[],Centuries,9/9/2014,2014,"[""emo"",""['emo'"",""'modern rock'"",""'pop'"",""'rock']"",""rock""]","[""und""]",,,,,,,spotify_streams,1581081773.0,streams,1581081773,Spotify,,201.2374134650904,3r0NMcEl7lxAHkSlDk8b7U,,USUM71412644,https://kworb.net/spotify/songs.html,2026-07-25,Category membership comes from source genre/metadata tags; popularity evidence is preserved.,"{""culture_category"":""alternative_extreme"",""matched_source_genres"":[""emo"",""['emo'"",""'modern rock'"",""'pop'"",""'rock']"",""rock""],""selection"":""source genre/tag membership plus source-backed popularity ranking""}"
9,changes,XXXTENTACION,[],changes,3/2/2018,2018,"[""emo""]","[""und""]",,,,,,,spotify_streams,1528879938.0,streams,1528879938,Spotify,,201.065171968722,7h8HmcDPCHgFJ4von7M1Bq,,USUG11800211,https://kworb.net/spotify/songs.html,2026-07-25,Category membership comes from source genre/metadata tags; popularity evidence is preserved.,"{""culture_category"":""alternative_extreme"",""matched_source_genres"":[""emo""],""selection"":""source genre/tag membership plus source-backed popularity ranking""}"
10,Seven Nation Army,The White Stripes,[],Elephant,1/1/2003,2003,"[""alt-rock"",""alternative"",""rock"",""['alternative rock'"",""'blues rock'"",""'detroit rock'"",""'garage rock'"",""'modern blues rock'"",""'permanent wave'"",""'punk blues'"",""'rock']"",""blues""]","[""und""]",,,,,,,spotify_streams,2240240758.0,streams,2240240758,Spotify,,200.78794435107636,7bxon8K9DP6stYx5ZO9WlK,,USVT10300001,https://kworb.net/spotify/songs.html,2026-07-25,Category membership comes from source genre/metadata tags; popularity evidence is preserved.,"{""culture_category"":""alternative_extreme"",""matched_source_genres"":[""alt-rock"",""alternative"",""rock"",""['alternative rock'"",""'blues rock'"",""'detroit rock'"",""'garage rock'"",""'modern blues rock'"",""'permanent wave'"",""'punk blues'"",""'rock']"",""blues""],""selection"":""source genre/tag membership plus source-backed popularity ranking""}"
