rank,title,main_artist,featured_artists,album,release_date,release_year,genres,languages,composer,anime_title,anime_popularity,screen_work,vtuber,is_original,metric_name,metric_value,metric_unit,listen_count,listen_source,view_count,overall_popularity_score,spotify_track_id,musicbrainz_recording_mbid,isrc,source_url,retrieved_at,source_notes,extra
1,Guren no Yumiya,Linked Horizon,[],,2017,2017,"[""anime""]","[""und""]",,Attack on Titan,1053487,,,,spotify_popularity,75.0,score_0_100,,,,18.75,70p3HYq9iHZisJqpDmWd1U,,,https://www.kaggle.com/datasets/yamaerenay/spotify-dataset-19212020-600k-tracks,2026-09-12,,"{""theme_type"":""OP"",""theme_sequence"":1,""selection_method"":""exact_title_artist"",""anilist_id"":16498,""mal_id"":16498,""anime_popularity_rank"":1,""anime_popularity_source"":""anilist_users"",""theme_metadata_url"":""https://animethemes.moe/anime/shingeki_no_kyojin"",""catalog_sources"":""spotify_114k|spotify_600k_historical""}"
2,from the edge,FictionJunction,[],from the edge,2019-09-02,2019,"[""anime""]","[""und""]",,Demon Slayer: Kimetsu no Yaiba,993420,,,,spotify_popularity,59.0,score_0_100,,,,14.75,5ifAsfvRMv3CxXZBB5epIf,,,https://www.kaggle.com/datasets/yamaerenay/spotify-dataset-19212020-600k-tracks,2026-09-12,,"{""theme_type"":""ED"",""theme_sequence"":1,""selection_method"":""exact_title_artist"",""anilist_id"":101922,""mal_id"":38000,""anime_popularity_rank"":2,""anime_popularity_source"":""anilist_users"",""theme_metadata_url"":""https://animethemes.moe/anime/kimetsu_no_yaiba"",""catalog_sources"":""spotify_114k|spotify_2025_0_9m_features|spotify_600k_historical|spotify_zenodo_0_9m""}"
3,Kaikai Kitan,Eve,[],������������,10/3/2020,2020,"[""anime"",""rock""]","[""und""]",,JUJUTSU KAISEN,971506,,,,spotify_streams_snapshot,404765225.0,streams,404765225,Spotify,,58.20168951074146,6y4GYuZszeXNOXuBFsJlos,,JPTF02017001,https://gist.github.com/cooneycw/b4021d5d872ee4a07239f0ea25c23cd7,2026-09-12,Metric snapshot/date label: 2024.,"{""theme_type"":""OP"",""theme_sequence"":1,""selection_method"":""exact_title_artist"",""anilist_id"":113415,""mal_id"":40748,""anime_popularity_rank"":3,""anime_popularity_source"":""anilist_users"",""theme_metadata_url"":""https://animethemes.moe/anime/jujutsu_kaisen"",""metric_snapshot_date"":""2024"",""streams_is_cumulative"":true,""catalog_sources"":""spotify_2024_crossplatform|spotify_600k_historical|spotify_114k""}"
4,the WORLD,Nightmare,[],,2007-02-28,2006,"[""metal""]","[""und""]",,Death Note,960437,,,,spotify_popularity,67.0,score_0_100,,,,16.75,1g0SlTCGN9j3OicWHfSKEn,,,https://www.kaggle.com/datasets/yamaerenay/spotify-dataset-19212020-600k-tracks,2026-09-12,,"{""theme_type"":""OP"",""theme_sequence"":1,""selection_method"":""exact_title_artist"",""anilist_id"":1535,""mal_id"":1535,""anime_popularity_rank"":4,""anime_popularity_source"":""anilist_users"",""theme_metadata_url"":""https://animethemes.moe/anime/death_note"",""catalog_sources"":""spotify_600k_historical|spotify_114k""}"
5,THE DAY,PornoGraffitti,[],,2017-10-25,2017,"[""j-pop"",""j-rock""]","[""und""]",,My Hero Academia,873423,,,,spotify_popularity,71.0,score_0_100,,,,17.75,3wWPWoE2b7enVy5SIqMqm9,,,https://www.kaggle.com/datasets/yamaerenay/spotify-dataset-19212020-600k-tracks,2026-09-12,,"{""theme_type"":""OP"",""theme_sequence"":null,""selection_method"":""exact_title_artist"",""anilist_id"":21459,""mal_id"":31964,""anime_popularity_rank"":5,""anime_popularity_source"":""anilist_users"",""theme_metadata_url"":""https://animethemes.moe/anime/boku_no_hero_academia"",""catalog_sources"":""spotify_114k|spotify_600k_historical""}"
6,Departure!,Masatoshi Ono,[],,2013-09-18,2013,[],"[""und""]",,Hunter x Hunter (2011),840177,,,,spotify_popularity,69.0,score_0_100,,,,17.25,5sjoJa0YmBCCPMrBPsBMge,,,https://www.kaggle.com/datasets/yamaerenay/spotify-dataset-19212020-600k-tracks,2026-09-12,,"{""theme_type"":""OP"",""theme_sequence"":1,""selection_method"":""exact_title_artist_fuzzy_75.0"",""anilist_id"":11061,""mal_id"":11061,""anime_popularity_rank"":6,""anime_popularity_source"":""anilist_users"",""theme_metadata_url"":""https://gist.github.com/Chepubelja/00ed0aae9bdd4d9be5f4fd1032d0d250"",""catalog_sources"":""spotify_600k_historical""}"
7,THE HERO !! ~Okoreru Kobushi ni Hi wo Tsukero~,JAM Project,[],,,,[],"[""und""]",,One-Punch Man,766680,,,,anime_popularity_proxy,766680.0,anilist_users,,,,,,,,https://anilist.co/,2026-09-12,"No trustworthy song-level listen/view count found; AniList anime popularity is explicitly a proxy, not song listens.","{""theme_type"":""OP"",""theme_sequence"":null,""selection_method"":""theme_order_fallback"",""anilist_id"":21087,""mal_id"":30276,""anime_popularity_rank"":7,""anime_popularity_source"":""anilist_users"",""theme_metadata_url"":""https://animethemes.moe/anime/one_punch_man""}"
8,Hope,Namie Amuro,[],,2019-06-16,2019,"[""j-pop""]","[""und""]",,ONE PIECE,749765,,,,spotify_popularity,60.0,score_0_100,,,,15.0,3Qcj8m6FFHhInWjjOrZRom,,,https://www.kaggle.com/datasets/yamaerenay/spotify-dataset-19212020-600k-tracks,2026-09-12,,"{""theme_type"":""OP"",""theme_sequence"":20,""selection_method"":""exact_title_artist"",""anilist_id"":21,""mal_id"":21,""anime_popularity_rank"":8,""anime_popularity_source"":""anilist_users"",""theme_metadata_url"":""https://gist.github.com/Chepubelja/00ed0aae9bdd4d9be5f4fd1032d0d250"",""catalog_sources"":""spotify_600k_historical|spotify_114k""}"
9,unravel,TK from Ling tosite sigure,[],,2014-08-27,2014,"[""anime"",""j-pop"",""j-rock"",""rock""]","[""und""]",,Tokyo Ghoul,739520,,,,spotify_popularity,79.0,score_0_100,,,,19.75,6Pz0u5ItrGIwkKr0Z7S93H,,,https://www.kaggle.com/datasets/yamaerenay/spotify-dataset-19212020-600k-tracks,2026-09-12,,"{""theme_type"":""OP"",""theme_sequence"":null,""selection_method"":""exact_title_artist"",""anilist_id"":20605,""mal_id"":22319,""anime_popularity_rank"":9,""anime_popularity_source"":""anilist_users"",""theme_metadata_url"":""https://animethemes.moe/anime/tokyo_ghoul"",""catalog_sources"":""spotify_600k_historical|spotify_114k""}"
10,Shinzou wo Sasageyo!,Linked Horizon,[],,,,[],"[""und""]",,Attack on Titan Season 2,733166,,,,anime_popularity_proxy,733166.0,anilist_users,,,,,,,,https://anilist.co/,2026-09-12,"No trustworthy song-level listen/view count found; AniList anime popularity is explicitly a proxy, not song listens.","{""theme_type"":""OP"",""theme_sequence"":null,""selection_method"":""theme_order_fallback"",""anilist_id"":20958,""mal_id"":25777,""anime_popularity_rank"":10,""anime_popularity_source"":""anilist_users"",""theme_metadata_url"":""https://animethemes.moe/anime/shingeki_no_kyojin_season_2""}"
