rank,title,main_artist,featured_artists,album,release_date,release_year,genres,languages,composer,anime_title,anime_popularity,screen_work,vtuber,is_original,metric_name,metric_value,metric_unit,listen_count,listen_source,view_count,overall_popularity_score,spotify_track_id,musicbrainz_recording_mbid,isrc,source_url,retrieved_at,source_notes,extra
1,the WORLD,Nightmare,[],,2007-02-28,2006,"[""metal""]","[""und""]",,Death Note,1456378,,,,spotify_popularity,67.0,score_0_100,,,,16.75,1g0SlTCGN9j3OicWHfSKEn,,,https://www.kaggle.com/datasets/yamaerenay/spotify-dataset-19212020-600k-tracks,2026-09-11,,"{""theme_type"":""OP"",""theme_sequence"":1,""selection_method"":""exact_title_artist"",""anilist_id"":null,""mal_id"":1535,""anime_popularity_rank"":1,""anime_popularity_source"":""myanimelist_members_snapshot"",""theme_metadata_url"":""https://gist.github.com/Chepubelja/00ed0aae9bdd4d9be5f4fd1032d0d250"",""catalog_sources"":""spotify_600k_historical|spotify_114k""}"
2,great escape,cinema staff,[],,2013-08-21,2013,"[""j-rock""]","[""und""]",,Attack on Titan,1345842,,,,spotify_popularity,55.0,score_0_100,,,,13.750000000000002,0iXYLrcgvd9u6ATFMIHMpD,,,https://www.kaggle.com/datasets/yamaerenay/spotify-dataset-19212020-600k-tracks,2026-09-11,,"{""theme_type"":""ED"",""theme_sequence"":2,""selection_method"":""exact_title_artist"",""anilist_id"":null,""mal_id"":16498,""anime_popularity_rank"":2,""anime_popularity_source"":""myanimelist_members_snapshot"",""theme_metadata_url"":""https://gist.github.com/Chepubelja/00ed0aae9bdd4d9be5f4fd1032d0d250"",""catalog_sources"":""spotify_600k_historical|spotify_114k""}"
3,crossing field,LiSA,[],LANDSPACE,2013-10-30,2013,"[""anime"",""anime rock"",""j-pixie"",""j-pop"",""j-rock""]","[""und""]",,Sword Art Online,1301616,,,,spotify_popularity,74.0,score_0_100,,,,18.5,5RsRhryZD9FdTmxsAaZ2mM,,,https://www.kaggle.com/datasets/yamaerenay/spotify-dataset-19212020-600k-tracks,2026-09-11,,"{""theme_type"":""OP"",""theme_sequence"":1,""selection_method"":""exact_title_artist"",""anilist_id"":null,""mal_id"":11757,""anime_popularity_rank"":3,""anime_popularity_source"":""myanimelist_members_snapshot"",""theme_metadata_url"":""https://gist.github.com/Chepubelja/00ed0aae9bdd4d9be5f4fd1032d0d250"",""catalog_sources"":""spotify_zenodo_0_9m|spotify_600k_historical|spotify_114k|spotify_2025_0_9m_features""}"
4,again,YUI,[],,2012-12-05,2010,"[""j-pop""]","[""und""]",,Fullmetal Alchemist: Brotherhood,1199091,,,,spotify_popularity,67.0,score_0_100,,,,16.75,7EUSByOz1UUx78lLDxfxRQ,,,https://www.kaggle.com/datasets/yamaerenay/spotify-dataset-19212020-600k-tracks,2026-09-11,,"{""theme_type"":""OP"",""theme_sequence"":1,""selection_method"":""exact_title_artist"",""anilist_id"":null,""mal_id"":5114,""anime_popularity_rank"":4,""anime_popularity_source"":""myanimelist_members_snapshot"",""theme_metadata_url"":""https://gist.github.com/Chepubelja/00ed0aae9bdd4d9be5f4fd1032d0d250"",""catalog_sources"":""spotify_600k_historical|spotify_114k""}"
5,THE HERO !! ~Okoreru Kobushi ni Hi wo Tsukero~ (THE HERO !! ～怒れる拳に火をつけろ～),JAM Project,[],,,,[],"[""und""]",,One Punch Man,1020754,,,,myanimelist_members_snapshot,1020754.0,users,,,,,,,,https://gist.github.com/Chepubelja/00ed0aae9bdd4d9be5f4fd1032d0d250,2026-09-11,"No trustworthy song-level listen/view count found; MyAnimeList member count from the bundled snapshot is explicitly an anime-popularity proxy, not song listens.","{""theme_type"":""OP"",""theme_sequence"":1,""selection_method"":""theme_order_fallback"",""anilist_id"":null,""mal_id"":30276,""anime_popularity_rank"":5,""anime_popularity_source"":""myanimelist_members_snapshot"",""theme_metadata_url"":""https://gist.github.com/Chepubelja/00ed0aae9bdd4d9be5f4fd1032d0d250""}"
6,unravel,TK from Ling tosite sigure,[],,2014-08-27,2014,"[""anime"",""j-pop"",""j-rock"",""rock""]","[""und""]",,Tokyo Ghoul,1013138,,,,spotify_popularity,79.0,score_0_100,,,,19.75,6Pz0u5ItrGIwkKr0Z7S93H,,,https://www.kaggle.com/datasets/yamaerenay/spotify-dataset-19212020-600k-tracks,2026-09-11,,"{""theme_type"":""OP"",""theme_sequence"":1,""selection_method"":""exact_title_artist"",""anilist_id"":null,""mal_id"":22319,""anime_popularity_rank"":6,""anime_popularity_source"":""myanimelist_members_snapshot"",""theme_metadata_url"":""https://gist.github.com/Chepubelja/00ed0aae9bdd4d9be5f4fd1032d0d250"",""catalog_sources"":""spotify_600k_historical|spotify_114k""}"
7,"My Soul, Your Beats!",Lia,[],,,,[],"[""und""]",,Angel Beats!,1010771,,,,myanimelist_members_snapshot,1010771.0,users,,,,,,,,https://gist.github.com/Chepubelja/00ed0aae9bdd4d9be5f4fd1032d0d250,2026-09-11,"No trustworthy song-level listen/view count found; MyAnimeList member count from the bundled snapshot is explicitly an anime-popularity proxy, not song listens.","{""theme_type"":""OP"",""theme_sequence"":1,""selection_method"":""theme_order_fallback"",""anilist_id"":null,""mal_id"":6547,""anime_popularity_rank"":7,""anime_popularity_source"":""myanimelist_members_snapshot"",""theme_metadata_url"":""https://gist.github.com/Chepubelja/00ed0aae9bdd4d9be5f4fd1032d0d250""}"
8,Hacking to the Gate,Kanako Itou,[],,,,[],"[""und""]",,Steins;Gate,1010330,,,,myanimelist_members_snapshot,1010330.0,users,,,,,,,,https://gist.github.com/Chepubelja/00ed0aae9bdd4d9be5f4fd1032d0d250,2026-09-11,"No trustworthy song-level listen/view count found; MyAnimeList member count from the bundled snapshot is explicitly an anime-popularity proxy, not song listens.","{""theme_type"":""OP"",""theme_sequence"":1,""selection_method"":""theme_order_fallback"",""anilist_id"":null,""mal_id"":9253,""anime_popularity_rank"":8,""anime_popularity_source"":""myanimelist_members_snapshot"",""theme_metadata_url"":""https://gist.github.com/Chepubelja/00ed0aae9bdd4d9be5f4fd1032d0d250""}"
9,COLORS,FLOW,[],Colors,2006-11-08,2003,"[""anime"",""j-pop""]","[""und""]",,Code Geass: Lelouch of the Rebellion,986897,,,,spotify_popularity,62.0,score_0_100,,,,15.5,6bPPyigCphBBQ9781j6eKM,,,https://github.com/szewczakjj/Almost-Million-Songs-Dataset-2025-16-Features-,2026-09-11,,"{""theme_type"":""OP"",""theme_sequence"":1,""selection_method"":""exact_title_artist"",""anilist_id"":null,""mal_id"":1575,""anime_popularity_rank"":9,""anime_popularity_source"":""myanimelist_members_snapshot"",""theme_metadata_url"":""https://gist.github.com/Chepubelja/00ed0aae9bdd4d9be5f4fd1032d0d250"",""catalog_sources"":""spotify_114k|spotify_2025_0_9m_features|spotify_zenodo_0_9m|spotify_600k_historical""}"
10,GO!!!,FLOW,[],,2003,2003,"[""anime"",""j-pop""]","[""und""]",,Naruto,980265,,,,spotify_popularity,64.0,score_0_100,,,,16.0,66BfcocNwMJEwugiiEnLNM,,,https://www.kaggle.com/datasets/yamaerenay/spotify-dataset-19212020-600k-tracks,2026-09-11,,"{""theme_type"":""OP"",""theme_sequence"":4,""selection_method"":""exact_title_artist"",""anilist_id"":null,""mal_id"":20,""anime_popularity_rank"":10,""anime_popularity_source"":""myanimelist_members_snapshot"",""theme_metadata_url"":""https://gist.github.com/Chepubelja/00ed0aae9bdd4d9be5f4fd1032d0d250"",""catalog_sources"":""spotify_114k|spotify_600k_historical""}"
