rank,title,main_artist,featured_artists,album,release_date,release_year,genres,composer,anime_title,anime_popularity,screen_work,vtuber,is_original,metric_name,metric_value,metric_unit,listen_count,listen_source,view_count,overall_popularity_score,spotify_track_id,musicbrainz_recording_mbid,isrc,source_url,retrieved_at,source_notes,extra
1,Running Wild,Jin,[],,,,[],,,,,,,spotify_country_chart_streams,14797128.0,streams,14797128,Spotify regional daily chart (Kworb aggregate),,,50zAEIE4B1QqhPjRMK2Xmh,,,https://kworb.net/spotify/country/ae_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for AE, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2019-06-28 through 2026-07-20.","{""country_code"":""AE"",""country_name"":""AE"",""chart_coverage_start"":""2019-06-28"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":256,""top10_days"":224,""peak_rank"":1,""peak_occurrences"":182,""peak_daily_streams"":118650,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":1}"
2,BIRDS OF A FEATHER,Billie Eilish,[],,,,[],,,,,,,spotify_country_chart_streams,10416671.0,streams,10416671,Spotify regional daily chart (Kworb aggregate),,,6dOtVTDdiauQNBQEDOtlAB,,,https://kworb.net/spotify/country/ae_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for AE, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2019-06-28 through 2026-07-20.","{""country_code"":""AE"",""country_name"":""AE"",""chart_coverage_start"":""2019-06-28"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":795,""top10_days"":507,""peak_rank"":1,""peak_occurrences"":65,""peak_daily_streams"":25287,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":2}"
3,Die With A Smile,Lady Gaga,[],,,,[],,,,,,,spotify_country_chart_streams,9545667.0,streams,9545667,Spotify regional daily chart (Kworb aggregate),,,2plbrEY59IikOBgBGLjaoe,,,https://kworb.net/spotify/country/ae_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for AE, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2019-06-28 through 2026-07-20.","{""country_code"":""AE"",""country_name"":""AE"",""chart_coverage_start"":""2019-06-28"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":704,""top10_days"":337,""peak_rank"":1,""peak_occurrences"":31,""peak_daily_streams"":33383,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":3}"
4,Blinding Lights,The Weeknd,[],,,,[],,,,,,,spotify_country_chart_streams,9445714.0,streams,9445714,Spotify regional daily chart (Kworb aggregate),,,0VjIjW4GlUZAMYd2vXMi3b,,,https://kworb.net/spotify/country/ae_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for AE, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2019-06-28 through 2026-07-20.","{""country_code"":""AE"",""country_name"":""AE"",""chart_coverage_start"":""2019-06-28"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":2424,""top10_days"":377,""peak_rank"":1,""peak_occurrences"":1,""peak_daily_streams"":9473,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""alternate_metrics"":[{""metric_name"":""spotify_country_chart_streams"",""metric_value"":19121.0,""metric_unit"":""streams"",""listen_count"":19121,""view_count"":null,""source_url"":""https://kworb.net/spotify/country/ae_daily_totals.html"",""retrieved_at"":""2026-07-22""}],""merged_sources"":[""https://kworb.net/spotify/country/ae_daily_totals.html""],""country_rank"":4}"
5,Seven,Jung Kook,[],,,,[],,,,,,,spotify_country_chart_streams,9075148.0,streams,9075148,Spotify regional daily chart (Kworb aggregate),,,2HRgqmZQC0MC7GeNuDIXHN,,,https://kworb.net/spotify/country/ae_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for AE, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2019-06-28 through 2026-07-20.","{""country_code"":""AE"",""country_name"":""AE"",""chart_coverage_start"":""2019-06-28"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":1093,""top10_days"":300,""peak_rank"":1,""peak_occurrences"":98,""peak_daily_streams"":40620,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""alternate_metrics"":[{""metric_name"":""spotify_country_chart_streams"",""metric_value"":10489.0,""metric_unit"":""streams"",""listen_count"":10489,""view_count"":null,""source_url"":""https://kworb.net/spotify/country/ae_daily_totals.html"",""retrieved_at"":""2026-07-22""}],""merged_sources"":[""https://kworb.net/spotify/country/ae_daily_totals.html""],""country_rank"":5}"
6,Don’t Say You Love Me,Jin,[],,,,[],,,,,,,spotify_country_chart_streams,8902146.0,streams,8902146,Spotify regional daily chart (Kworb aggregate),,,27xkOIER6uDLKALIelHylZ,,,https://kworb.net/spotify/country/ae_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for AE, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2019-06-28 through 2026-07-20.","{""country_code"":""AE"",""country_name"":""AE"",""chart_coverage_start"":""2019-06-28"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":355,""top10_days"":270,""peak_rank"":1,""peak_occurrences"":154,""peak_daily_streams"":120803,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":6}"
7,Starboy,The Weeknd,[],,,,[],,,,,,,spotify_country_chart_streams,8610498.0,streams,8610498,Spotify regional daily chart (Kworb aggregate),,,7MXVkk9YMctZqd1Srtv4MB,,,https://kworb.net/spotify/country/ae_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for AE, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2019-06-28 through 2026-07-20.","{""country_code"":""AE"",""country_name"":""AE"",""chart_coverage_start"":""2019-06-28"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":2057,""top10_days"":3,""peak_rank"":10,""peak_occurrences"":null,""peak_daily_streams"":8072,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":7}"
8,As It Was,Harry Styles,[],,,,[],,,,,,,spotify_country_chart_streams,8379208.0,streams,8379208,Spotify regional daily chart (Kworb aggregate),,,4Dvkj6JhhA12EX05fT7y2e,,,https://kworb.net/spotify/country/ae_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for AE, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2019-06-28 through 2026-07-20.","{""country_code"":""AE"",""country_name"":""AE"",""chart_coverage_start"":""2019-06-28"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":1461,""top10_days"":408,""peak_rank"":1,""peak_occurrences"":97,""peak_daily_streams"":20043,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":8}"
9,Espresso,Sabrina Carpenter,[],,,,[],,,,,,,spotify_country_chart_streams,8244546.0,streams,8244546,Spotify regional daily chart (Kworb aggregate),,,2HRqTpkrJO5ggZyyK6NPWz,,,https://kworb.net/spotify/country/ae_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for AE, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2019-06-28 through 2026-07-20.","{""country_code"":""AE"",""country_name"":""AE"",""chart_coverage_start"":""2019-06-28"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":830,""top10_days"":234,""peak_rank"":1,""peak_occurrences"":71,""peak_daily_streams"":29825,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":9}"
10,Stay,The Kid LAROI,[],,,,[],,,,,,,spotify_country_chart_streams,7906544.0,streams,7906544,Spotify regional daily chart (Kworb aggregate),,,5PjdY0CKGZdEuoNab3yDmX,,,https://kworb.net/spotify/country/ae_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for AE, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2019-06-28 through 2026-07-20.","{""country_code"":""AE"",""country_name"":""AE"",""chart_coverage_start"":""2019-06-28"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":1495,""top10_days"":382,""peak_rank"":1,""peak_occurrences"":129,""peak_daily_streams"":20584,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":10}"
