rank,title,main_artist,featured_artists,album,release_date,release_year,genres,composer,anime_title,anime_popularity,screen_work,vtuber,is_original,metric_name,metric_value,metric_unit,listen_count,listen_source,view_count,overall_popularity_score,spotify_track_id,musicbrainz_recording_mbid,isrc,source_url,retrieved_at,source_notes,extra
1,Ya No Vuelvas (Versión Cuarteto),Luck Ra,[],,,,[],,,,,,,spotify_country_chart_streams,211477121.0,streams,211477121,Spotify regional daily chart (Kworb aggregate),,,6jRZ33ifS5VOTMwmPxhPhN,,,https://kworb.net/spotify/country/ar_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for AR, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""AR"",""country_name"":""AR"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":1200,""top10_days"":166,""peak_rank"":1,""peak_occurrences"":3,""peak_daily_streams"":695323,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":1}"
2,La Bachata,Manuel Turizo,[],,,,[],,,,,,,spotify_country_chart_streams,207440557.0,streams,207440557,Spotify regional daily chart (Kworb aggregate),,,3tt9i3Hhzq84dPS8H7iSiJ,,,https://kworb.net/spotify/country/ar_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for AR, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""AR"",""country_name"":""AR"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":1165,""top10_days"":212,""peak_rank"":1,""peak_occurrences"":118,""peak_daily_streams"":805607,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":2}"
3,Un Finde | CROSSOVER #2,Big One,[],,,,[],,,,,,,spotify_country_chart_streams,199808063.0,streams,199808063,Spotify regional daily chart (Kworb aggregate),,,3tiJUOfAEqIrLFRQgGgdoY,,,https://kworb.net/spotify/country/ar_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for AR, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""AR"",""country_name"":""AR"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":911,""top10_days"":211,""peak_rank"":1,""peak_occurrences"":54,""peak_daily_streams"":1128217,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":3}"
4,La Morocha,Luck Ra,[],,,,[],,,,,,,spotify_country_chart_streams,184188680.0,streams,184188680,Spotify regional daily chart (Kworb aggregate),,,6vRQqxOhUFd78p5tL8jXr7,,,https://kworb.net/spotify/country/ar_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for AR, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""AR"",""country_name"":""AR"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":1021,""top10_days"":189,""peak_rank"":1,""peak_occurrences"":72,""peak_daily_streams"":1220752,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":4}"
5,A las Nueve,No Te Va Gustar,[],,,,[],,,,,,,spotify_country_chart_streams,182233089.0,streams,182233089,Spotify regional daily chart (Kworb aggregate),,,0CgpCtEPvyDizcg2p47VrU,,,https://kworb.net/spotify/country/ar_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for AR, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""AR"",""country_name"":""AR"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":3493,""top10_days"":null,""peak_rank"":14,""peak_occurrences"":null,""peak_daily_streams"":164810,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":5}"
6,Por Mil Noches,Airbag,[],,,,[],,,,,,,spotify_country_chart_streams,175289329.0,streams,175289329,Spotify regional daily chart (Kworb aggregate),,,10zSgbysU2KyVTrcRmtu62,,,https://kworb.net/spotify/country/ar_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for AR, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""AR"",""country_name"":""AR"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":2391,""top10_days"":3,""peak_rank"":7,""peak_occurrences"":null,""peak_daily_streams"":188440,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":6}"
7,Miénteme,TINI,[],,,,[],,,,,,,spotify_country_chart_streams,166792950.0,streams,166792950,Spotify regional daily chart (Kworb aggregate),,,0cOa970mzTWAxKtltpkpLc,,,https://kworb.net/spotify/country/ar_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for AR, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""AR"",""country_name"":""AR"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":1341,""top10_days"":114,""peak_rank"":1,""peak_occurrences"":28,""peak_daily_streams"":730581,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":7}"
8,"Quevedo: Bzrp Music Sessions, Vol. 52",Bizarrap,[],,,,[],,,,,,,spotify_country_chart_streams,162590863.0,streams,162590863,Spotify regional daily chart (Kworb aggregate),,,2tTmW7RDtMQtBk7m2rYeSw,,,https://kworb.net/spotify/country/ar_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for AR, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""AR"",""country_name"":""AR"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":642,""top10_days"":196,""peak_rank"":1,""peak_occurrences"":57,""peak_daily_streams"":1170587,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":8}"
9,Rara Vez,Taiu,[],,,,[],,,,,,,spotify_country_chart_streams,157831860.0,streams,157831860,Spotify regional daily chart (Kworb aggregate),,,7MVIfkyzuUmQ716j8U7yGR,,,https://kworb.net/spotify/country/ar_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for AR, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""AR"",""country_name"":""AR"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":1240,""top10_days"":74,""peak_rank"":2,""peak_occurrences"":2,""peak_daily_streams"":561465,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":9}"
10,Nunca quise,Intoxicados,[],,,,[],,,,,,,spotify_country_chart_streams,157672316.0,streams,157672316,Spotify regional daily chart (Kworb aggregate),,,0ZAJ660VP57lLK4U7NlGOy,,,https://kworb.net/spotify/country/ar_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for AR, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""AR"",""country_name"":""AR"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":3458,""top10_days"":null,""peak_rank"":16,""peak_occurrences"":null,""peak_daily_streams"":105064,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":10}"
