rank,title,main_artist,featured_artists,album,release_date,release_year,genres,composer,anime_title,anime_popularity,screen_work,vtuber,is_original,metric_name,metric_value,metric_unit,listen_count,listen_source,view_count,overall_popularity_score,spotify_track_id,musicbrainz_recording_mbid,isrc,source_url,retrieved_at,source_notes,extra
1,Mr. Brightside,The Killers,[],,,,[],,,,,,,spotify_country_chart_streams,242913992.0,streams,242913992,Spotify regional daily chart (Kworb aggregate),,,003vvx7Niy0yvhvHt4a68B,,,https://kworb.net/spotify/country/au_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for AU, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""AU"",""country_name"":""AU"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":4091,""top10_days"":16,""peak_rank"":8,""peak_occurrences"":null,""peak_daily_streams"":169374,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":1}"
2,Riptide,Vance Joy,[],,,,[],,,,,,,spotify_country_chart_streams,220750356.0,streams,220750356,Spotify regional daily chart (Kworb aggregate),,,7yq4Qj7cqayVTp3FF9CWbm,,,https://kworb.net/spotify/country/au_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for AU, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""AU"",""country_name"":""AU"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":4281,""top10_days"":1,""peak_rank"":9,""peak_occurrences"":null,""peak_daily_streams"":166777,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":2}"
3,Dreams - 2004 Remaster,Fleetwood Mac,[],,,,[],,,,,,,spotify_country_chart_streams,195610249.0,streams,195610249,Spotify regional daily chart (Kworb aggregate),,,0ofHAoxe9vBkTCp2UQIavz,,,https://kworb.net/spotify/country/au_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for AU, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""AU"",""country_name"":""AU"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":2845,""top10_days"":27,""peak_rank"":7,""peak_occurrences"":null,""peak_daily_streams"":174927,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""alternate_metrics"":[{""metric_name"":""spotify_country_chart_streams"",""metric_value"":10812125.0,""metric_unit"":""streams"",""listen_count"":10812125,""view_count"":null,""source_url"":""https://kworb.net/spotify/country/au_daily_totals.html"",""retrieved_at"":""2026-07-22""}],""merged_sources"":[""https://kworb.net/spotify/country/au_daily_totals.html""],""country_rank"":3}"
4,Heat Waves,Glass Animals,[],,,,[],,,,,,,spotify_country_chart_streams,190218534.0,streams,190218534,Spotify regional daily chart (Kworb aggregate),,,02MWAaffLxlfxAUY7c5dvx,,,https://kworb.net/spotify/country/au_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for AU, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""AU"",""country_name"":""AU"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":1805,""top10_days"":614,""peak_rank"":1,""peak_occurrences"":79,""peak_daily_streams"":475002,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":4}"
5,Someone You Loved,Lewis Capaldi,[],,,,[],,,,,,,spotify_country_chart_streams,189161287.0,streams,189161287,Spotify regional daily chart (Kworb aggregate),,,7qEHsqek33rTcFNT9PFqLf,,,https://kworb.net/spotify/country/au_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for AU, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""AU"",""country_name"":""AU"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":2432,""top10_days"":159,""peak_rank"":3,""peak_occurrences"":6,""peak_daily_streams"":217997,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":5}"
6,Blinding Lights,The Weeknd,[],,,,[],,,,,,,spotify_country_chart_streams,171653120.0,streams,171653120,Spotify regional daily chart (Kworb aggregate),,,0VjIjW4GlUZAMYd2vXMi3b,,,https://kworb.net/spotify/country/au_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for AU, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""AU"",""country_name"":""AU"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":1996,""top10_days"":240,""peak_rank"":1,""peak_occurrences"":65,""peak_daily_streams"":345594,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":6}"
7,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,[],,,,[],,,,,,,spotify_country_chart_streams,170710241.0,streams,170710241,Spotify regional daily chart (Kworb aggregate),,,0RiRZpuVRbi7oqRdSMwhQY,,,https://kworb.net/spotify/country/au_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for AU, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""AU"",""country_name"":""AU"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":2235,""top10_days"":211,""peak_rank"":1,""peak_occurrences"":27,""peak_daily_streams"":308294,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":7}"
8,Beautiful Things,Benson Boone,[],,,,[],,,,,,,spotify_country_chart_streams,155723879.0,streams,155723879,Spotify regional daily chart (Kworb aggregate),,,3xkHsmpQCBMytMJNiDf3Ii,,,https://kworb.net/spotify/country/au_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for AU, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""AU"",""country_name"":""AU"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":914,""top10_days"":373,""peak_rank"":1,""peak_occurrences"":33,""peak_daily_streams"":416888,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":8}"
9,Something in the Orange,Zach Bryan,[],,,,[],,,,,,,spotify_country_chart_streams,153680075.0,streams,153680075,Spotify regional daily chart (Kworb aggregate),,,3WMj8moIAXJhHsyLaqIIHI,,,https://kworb.net/spotify/country/au_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for AU, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""AU"",""country_name"":""AU"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":1500,""top10_days"":62,""peak_rank"":5,""peak_occurrences"":null,""peak_daily_streams"":188802,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":9}"
10,Stay,The Kid LAROI,[],,,,[],,,,,,,spotify_country_chart_streams,150415781.0,streams,150415781,Spotify regional daily chart (Kworb aggregate),,,5PjdY0CKGZdEuoNab3yDmX,,,https://kworb.net/spotify/country/au_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for AU, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""AU"",""country_name"":""AU"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":1344,""top10_days"":346,""peak_rank"":1,""peak_occurrences"":160,""peak_daily_streams"":431532,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":10}"
