rank,title,main_artist,featured_artists,album,release_date,release_year,genres,composer,anime_title,anime_popularity,screen_work,vtuber,is_original,metric_name,metric_value,metric_unit,listen_count,listen_source,view_count,overall_popularity_score,spotify_track_id,musicbrainz_recording_mbid,isrc,source_url,retrieved_at,source_notes,extra
1,Another Love,Tom Odell,[],,,,[],,,,,,,spotify_country_chart_streams,52370145.0,streams,52370145,Spotify regional daily chart (Kworb aggregate),,,7jtQIBanIiJOMS6RyCx6jZ,,,https://kworb.net/spotify/country/be_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for BE, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""BE"",""country_name"":""BE"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":2241,""top10_days"":293,""peak_rank"":3,""peak_occurrences"":3,""peak_daily_streams"":49049,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":1}"
2,Someone You Loved,Lewis Capaldi,[],,,,[],,,,,,,spotify_country_chart_streams,46087489.0,streams,46087489,Spotify regional daily chart (Kworb aggregate),,,7qEHsqek33rTcFNT9PFqLf,,,https://kworb.net/spotify/country/be_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for BE, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""BE"",""country_name"":""BE"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":2600,""top10_days"":278,""peak_rank"":4,""peak_occurrences"":null,""peak_daily_streams"":46755,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":2}"
3,Blinding Lights,The Weeknd,[],,,,[],,,,,,,spotify_country_chart_streams,45880338.0,streams,45880338,Spotify regional daily chart (Kworb aggregate),,,0VjIjW4GlUZAMYd2vXMi3b,,,https://kworb.net/spotify/country/be_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for BE, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""BE"",""country_name"":""BE"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":2134,""top10_days"":285,""peak_rank"":1,""peak_occurrences"":128,""peak_daily_streams"":91778,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":3}"
4,Shallow,Lady Gaga,[],,,,[],,,,,,,spotify_country_chart_streams,39441213.0,streams,39441213,Spotify regional daily chart (Kworb aggregate),,,2VxeLyX666F8uXCJ0dZF8B,,,https://kworb.net/spotify/country/be_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for BE, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""BE"",""country_name"":""BE"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":2734,""top10_days"":147,""peak_rank"":1,""peak_occurrences"":7,""peak_daily_streams"":44797,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":4}"
5,Riptide,Vance Joy,[],,,,[],,,,,,,spotify_country_chart_streams,38920159.0,streams,38920159,Spotify regional daily chart (Kworb aggregate),,,7yq4Qj7cqayVTp3FF9CWbm,,,https://kworb.net/spotify/country/be_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for BE, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""BE"",""country_name"":""BE"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":3138,""top10_days"":null,""peak_rank"":12,""peak_occurrences"":null,""peak_daily_streams"":35951,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":5}"
6,Beautiful Things,Benson Boone,[],,,,[],,,,,,,spotify_country_chart_streams,37172891.0,streams,37172891,Spotify regional daily chart (Kworb aggregate),,,3xkHsmpQCBMytMJNiDf3Ii,,,https://kworb.net/spotify/country/be_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for BE, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""BE"",""country_name"":""BE"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":914,""top10_days"":333,""peak_rank"":1,""peak_occurrences"":68,""peak_daily_streams"":114625,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":6}"
7,lovely,Billie Eilish,[],,,,[],,,,,,,spotify_country_chart_streams,33626086.0,streams,33626086,Spotify regional daily chart (Kworb aggregate),,,0u2P5u6lvoDfwTYjAADbn4,,,https://kworb.net/spotify/country/be_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for BE, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""BE"",""country_name"":""BE"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":2822,""top10_days"":null,""peak_rank"":15,""peak_occurrences"":null,""peak_daily_streams"":24145,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":7}"
8,Can't Hold Us,Macklemore & Ryan Lewis,[],,,,[],,,,,,,spotify_country_chart_streams,32938613.0,streams,32938613,Spotify regional daily chart (Kworb aggregate),,,22skzmqfdWrjJylampe0kt,,,https://kworb.net/spotify/country/be_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for BE, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""BE"",""country_name"":""BE"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":1668,""top10_days"":1,""peak_rank"":10,""peak_occurrences"":null,""peak_daily_streams"":50089,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""alternate_metrics"":[{""metric_name"":""spotify_country_chart_streams"",""metric_value"":11882309.0,""metric_unit"":""streams"",""listen_count"":11882309,""view_count"":null,""source_url"":""https://kworb.net/spotify/country/be_daily_totals.html"",""retrieved_at"":""2026-07-22""}],""merged_sources"":[""https://kworb.net/spotify/country/be_daily_totals.html""],""country_rank"":8}"
9,Africa,TOTO,[],,,,[],,,,,,,spotify_country_chart_streams,32144079.0,streams,32144079,Spotify regional daily chart (Kworb aggregate),,,2374M0fQpWi3dLnB54qaLX,,,https://kworb.net/spotify/country/be_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for BE, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""BE"",""country_name"":""BE"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":3055,""top10_days"":null,""peak_rank"":16,""peak_occurrences"":null,""peak_daily_streams"":35183,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":9}"
10,Where Are You Now,Lost Frequencies,[],,,,[],,,,,,,spotify_country_chart_streams,31856965.0,streams,31856965,Spotify regional daily chart (Kworb aggregate),,,3uUuGVFu1V7jTQL60S1r8z,,,https://kworb.net/spotify/country/be_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for BE, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""BE"",""country_name"":""BE"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":1470,""top10_days"":239,""peak_rank"":4,""peak_occurrences"":null,""peak_daily_streams"":63905,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":10}"
11,As It Was,Harry Styles,[],,,,[],,,,,,,spotify_country_chart_streams,31839837.0,streams,31839837,Spotify regional daily chart (Kworb aggregate),,,4Dvkj6JhhA12EX05fT7y2e,,,https://kworb.net/spotify/country/be_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for BE, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""BE"",""country_name"":""BE"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":1133,""top10_days"":356,""peak_rank"":1,""peak_occurrences"":116,""peak_daily_streams"":107980,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":11}"
12,Dance Monkey,Tones And I,[],,,,[],,,,,,,spotify_country_chart_streams,30886944.0,streams,30886944,Spotify regional daily chart (Kworb aggregate),,,1rgnBhdG2JDFTbYkYRZAku,,,https://kworb.net/spotify/country/be_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for BE, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""BE"",""country_name"":""BE"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":1217,""top10_days"":260,""peak_rank"":1,""peak_occurrences"":127,""peak_daily_streams"":118842,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":12}"
13,Shape of You,Ed Sheeran,[],,,,[],,,,,,,spotify_country_chart_streams,29775348.0,streams,29775348,Spotify regional daily chart (Kworb aggregate),,,7qiZfU4dY1lWllzX7mPBI3,,,https://kworb.net/spotify/country/be_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for BE, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""BE"",""country_name"":""BE"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":2250,""top10_days"":219,""peak_rank"":1,""peak_occurrences"":128,""peak_daily_streams"":68566,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""alternate_metrics"":[{""metric_name"":""spotify_country_chart_streams"",""metric_value"":25952.0,""metric_unit"":""streams"",""listen_count"":25952,""view_count"":null,""source_url"":""https://kworb.net/spotify/country/be_daily_totals.html"",""retrieved_at"":""2026-07-22""}],""merged_sources"":[""https://kworb.net/spotify/country/be_daily_totals.html""],""country_rank"":13}"
14,Viva La Vida,Coldplay,[],,,,[],,,,,,,spotify_country_chart_streams,29344898.0,streams,29344898,Spotify regional daily chart (Kworb aggregate),,,1mea3bSkSGXuIRvnydlB5b,,,https://kworb.net/spotify/country/be_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for BE, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""BE"",""country_name"":""BE"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":2032,""top10_days"":null,""peak_rank"":16,""peak_occurrences"":null,""peak_daily_streams"":30058,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":14}"
15,Lose Control,Teddy Swims,[],,,,[],,,,,,,spotify_country_chart_streams,29023102.0,streams,29023102,Spotify regional daily chart (Kworb aggregate),,,17phhZDn6oGtzMe56NuWvj,,,https://kworb.net/spotify/country/be_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for BE, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""BE"",""country_name"":""BE"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":1032,""top10_days"":133,""peak_rank"":3,""peak_occurrences"":4,""peak_daily_streams"":67460,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":15}"
16,Take Me To Church,Hozier,[],,,,[],,,,,,,spotify_country_chart_streams,28403930.0,streams,28403930,Spotify regional daily chart (Kworb aggregate),,,3dYD57lRAUcMHufyqn9GcI,,,https://kworb.net/spotify/country/be_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for BE, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""BE"",""country_name"":""BE"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":2836,""top10_days"":202,""peak_rank"":1,""peak_occurrences"":84,""peak_daily_streams"":23843,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":16}"
17,Heat Waves,Glass Animals,[],,,,[],,,,,,,spotify_country_chart_streams,28161304.0,streams,28161304,Spotify regional daily chart (Kworb aggregate),,,02MWAaffLxlfxAUY7c5dvx,,,https://kworb.net/spotify/country/be_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for BE, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""BE"",""country_name"":""BE"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":1302,""top10_days"":308,""peak_rank"":1,""peak_occurrences"":10,""peak_daily_streams"":68767,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":17}"
18,The Night We Met,Lord Huron,[],,,,[],,,,,,,spotify_country_chart_streams,28052574.0,streams,28052574,Spotify regional daily chart (Kworb aggregate),,,3hRV0jL3vUpRrcy398teAU,,,https://kworb.net/spotify/country/be_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for BE, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""BE"",""country_name"":""BE"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":1890,""top10_days"":null,""peak_rank"":15,""peak_occurrences"":null,""peak_daily_streams"":34772,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""alternate_metrics"":[{""metric_name"":""spotify_country_chart_streams"",""metric_value"":3811.0,""metric_unit"":""streams"",""listen_count"":3811,""view_count"":null,""source_url"":""https://kworb.net/spotify/country/be_daily_totals.html"",""retrieved_at"":""2026-07-22""}],""merged_sources"":[""https://kworb.net/spotify/country/be_daily_totals.html""],""country_rank"":18}"
19,Sweater Weather,The Neighbourhood,[],,,,[],,,,,,,spotify_country_chart_streams,27843253.0,streams,27843253,Spotify regional daily chart (Kworb aggregate),,,2QjOHCTQ1Jl3zawyYOpxh6,,,https://kworb.net/spotify/country/be_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for BE, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""BE"",""country_name"":""BE"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":2015,""top10_days"":null,""peak_rank"":17,""peak_occurrences"":null,""peak_daily_streams"":32251,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":19}"
