rank,title,main_artist,featured_artists,album,release_date,release_year,genres,composer,anime_title,anime_popularity,screen_work,vtuber,is_original,metric_name,metric_value,metric_unit,listen_count,listen_source,view_count,overall_popularity_score,spotify_track_id,musicbrainz_recording_mbid,isrc,source_url,retrieved_at,source_notes,extra
1,Who,Jimin,[],,,,[],,,,,,,spotify_country_chart_streams,10857303.0,streams,10857303,Spotify regional daily chart (Kworb aggregate),,,7tI8dRuH2Yc6RuoTjxo4dU,,,https://kworb.net/spotify/country/bg_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for BG, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-09-08 through 2026-07-20.","{""country_code"":""BG"",""country_name"":""BG"",""chart_coverage_start"":""2014-09-08"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":721,""top10_days"":551,""peak_rank"":1,""peak_occurrences"":268,""peak_daily_streams"":36385,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":1}"
2,К'ъв съм як,Djordan,[],,,,[],,,,,,,spotify_country_chart_streams,5166007.0,streams,5166007,Spotify regional daily chart (Kworb aggregate),,,6z6PaDoMisMAHCB2OKwsrf,,,https://kworb.net/spotify/country/bg_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for BG, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-09-08 through 2026-07-20.","{""country_code"":""BG"",""country_name"":""BG"",""chart_coverage_start"":""2014-09-08"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":846,""top10_days"":314,""peak_rank"":1,""peak_occurrences"":123,""peak_daily_streams"":19090,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":2}"
3,Mi Amor,Dessita,[],,,,[],,,,,,,spotify_country_chart_streams,5113770.0,streams,5113770,Spotify regional daily chart (Kworb aggregate),,,5TjlAP414QjsGyni3HZa4H,,,https://kworb.net/spotify/country/bg_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for BG, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-09-08 through 2026-07-20.","{""country_code"":""BG"",""country_name"":""BG"",""chart_coverage_start"":""2014-09-08"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":774,""top10_days"":206,""peak_rank"":1,""peak_occurrences"":28,""peak_daily_streams"":46440,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":3}"
4,Окадар,DJ Damyan,[],,,,[],,,,,,,spotify_country_chart_streams,4792681.0,streams,4792681,Spotify regional daily chart (Kworb aggregate),,,3dka3n7xJ9gPiqPhWPy4su,,,https://kworb.net/spotify/country/bg_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for BG, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-09-08 through 2026-07-20.","{""country_code"":""BG"",""country_name"":""BG"",""chart_coverage_start"":""2014-09-08"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":781,""top10_days"":220,""peak_rank"":1,""peak_occurrences"":13,""peak_daily_streams"":25613,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":4}"
5,Sweater Weather,The Neighbourhood,[],,,,[],,,,,,,spotify_country_chart_streams,4280808.0,streams,4280808,Spotify regional daily chart (Kworb aggregate),,,2QjOHCTQ1Jl3zawyYOpxh6,,,https://kworb.net/spotify/country/bg_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for BG, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-09-08 through 2026-07-20.","{""country_code"":""BG"",""country_name"":""BG"",""chart_coverage_start"":""2014-09-08"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":1918,""top10_days"":1,""peak_rank"":10,""peak_occurrences"":null,""peak_daily_streams"":3462,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":5}"
6,Starboy,The Weeknd,[],,,,[],,,,,,,spotify_country_chart_streams,4254001.0,streams,4254001,Spotify regional daily chart (Kworb aggregate),,,7MXVkk9YMctZqd1Srtv4MB,,,https://kworb.net/spotify/country/bg_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for BG, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-09-08 through 2026-07-20.","{""country_code"":""BG"",""country_name"":""BG"",""chart_coverage_start"":""2014-09-08"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":1718,""top10_days"":173,""peak_rank"":1,""peak_occurrences"":100,""peak_daily_streams"":4325,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":6}"
7,Losha,Andrea,[],,,,[],,,,,,,spotify_country_chart_streams,4086890.0,streams,4086890,Spotify regional daily chart (Kworb aggregate),,,0Ksj1ehwR3eJl6L3bB9VZk,,,https://kworb.net/spotify/country/bg_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for BG, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-09-08 through 2026-07-20.","{""country_code"":""BG"",""country_name"":""BG"",""chart_coverage_start"":""2014-09-08"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":752,""top10_days"":120,""peak_rank"":1,""peak_occurrences"":2,""peak_daily_streams"":12531,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":7}"
8,Целувка с Tequila,Mirela,[],,,,[],,,,,,,spotify_country_chart_streams,3776294.0,streams,3776294,Spotify regional daily chart (Kworb aggregate),,,0DWuEaw17uIBKJVNd1ev5X,,,https://kworb.net/spotify/country/bg_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for BG, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-09-08 through 2026-07-20.","{""country_code"":""BG"",""country_name"":""BG"",""chart_coverage_start"":""2014-09-08"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":369,""top10_days"":214,""peak_rank"":1,""peak_occurrences"":71,""peak_daily_streams"":23165,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":8}"
9,7 Dni,Molec,[],,,,[],,,,,,,spotify_country_chart_streams,3746952.0,streams,3746952,Spotify regional daily chart (Kworb aggregate),,,1BnF35gLqCRWiTzSWgC9hK,,,https://kworb.net/spotify/country/bg_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for BG, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-09-08 through 2026-07-20.","{""country_code"":""BG"",""country_name"":""BG"",""chart_coverage_start"":""2014-09-08"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":1027,""top10_days"":362,""peak_rank"":1,""peak_occurrences"":27,""peak_daily_streams"":9086,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":9}"
10,Blinding Lights,The Weeknd,[],,,,[],,,,,,,spotify_country_chart_streams,3719806.0,streams,3719806,Spotify regional daily chart (Kworb aggregate),,,0VjIjW4GlUZAMYd2vXMi3b,,,https://kworb.net/spotify/country/bg_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for BG, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-09-08 through 2026-07-20.","{""country_code"":""BG"",""country_name"":""BG"",""chart_coverage_start"":""2014-09-08"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":1687,""top10_days"":374,""peak_rank"":1,""peak_occurrences"":15,""peak_daily_streams"":8286,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""alternate_metrics"":[{""metric_name"":""spotify_country_chart_streams"",""metric_value"":1458.0,""metric_unit"":""streams"",""listen_count"":1458,""view_count"":null,""source_url"":""https://kworb.net/spotify/country/bg_daily_totals.html"",""retrieved_at"":""2026-07-22""}],""merged_sources"":[""https://kworb.net/spotify/country/bg_daily_totals.html""],""country_rank"":10}"
