rank,title,main_artist,featured_artists,album,release_date,release_year,genres,languages,composer,anime_title,anime_popularity,screen_work,vtuber,is_original,metric_name,metric_value,metric_unit,listen_count,listen_source,view_count,overall_popularity_score,spotify_track_id,musicbrainz_recording_mbid,isrc,source_url,retrieved_at,source_notes,extra
1,Who,Jimin,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,10889322.0,streams,10889322,Spotify regional daily chart (Kworb aggregate),,,7tI8dRuH2Yc6RuoTjxo4dU,,,https://kworb.net/spotify/country/bg_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Bulgaria, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-09-08 through 2026-09-11.","{""country_code"":""BG"",""country_name"":""Bulgaria"",""chart_coverage_start"":""2014-09-08"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":729,""top10_days"":551,""peak_rank"":1,""peak_occurrences"":268,""peak_daily_streams"":36385,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":1}"
2,Mi Amor,Dessita,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,5271509.0,streams,5271509,Spotify regional daily chart (Kworb aggregate),,,5TjlAP414QjsGyni3HZa4H,,,https://kworb.net/spotify/country/bg_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Bulgaria, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-09-08 through 2026-09-11.","{""country_code"":""BG"",""country_name"":""Bulgaria"",""chart_coverage_start"":""2014-09-08"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":826,""top10_days"":206,""peak_rank"":1,""peak_occurrences"":28,""peak_daily_streams"":46440,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":2}"
3,К'ъв съм як,Djordan,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,5166007.0,streams,5166007,Spotify regional daily chart (Kworb aggregate),,,6z6PaDoMisMAHCB2OKwsrf,,,https://kworb.net/spotify/country/bg_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Bulgaria, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-09-08 through 2026-09-11.","{""country_code"":""BG"",""country_name"":""Bulgaria"",""chart_coverage_start"":""2014-09-08"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":846,""top10_days"":314,""peak_rank"":1,""peak_occurrences"":123,""peak_daily_streams"":19090,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":3}"
4,Окадар,DJ Damyan,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,4865225.0,streams,4865225,Spotify regional daily chart (Kworb aggregate),,,3dka3n7xJ9gPiqPhWPy4su,,,https://kworb.net/spotify/country/bg_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Bulgaria, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-09-08 through 2026-09-11.","{""country_code"":""BG"",""country_name"":""Bulgaria"",""chart_coverage_start"":""2014-09-08"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":810,""top10_days"":220,""peak_rank"":1,""peak_occurrences"":13,""peak_daily_streams"":25613,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":4}"
5,Starboy,The Weeknd,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,4407717.0,streams,4407717,Spotify regional daily chart (Kworb aggregate),,,7MXVkk9YMctZqd1Srtv4MB,,,https://kworb.net/spotify/country/bg_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Bulgaria, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-09-08 through 2026-09-11.","{""country_code"":""BG"",""country_name"":""Bulgaria"",""chart_coverage_start"":""2014-09-08"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":1771,""top10_days"":173,""peak_rank"":1,""peak_occurrences"":100,""peak_daily_streams"":4325,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":5}"
6,Sweater Weather,The Neighbourhood,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,4317369.0,streams,4317369,Spotify regional daily chart (Kworb aggregate),,,2QjOHCTQ1Jl3zawyYOpxh6,,,https://kworb.net/spotify/country/bg_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Bulgaria, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-09-08 through 2026-09-11.","{""country_code"":""BG"",""country_name"":""Bulgaria"",""chart_coverage_start"":""2014-09-08"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":1934,""top10_days"":1,""peak_rank"":10,""peak_occurrences"":null,""peak_daily_streams"":3462,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":6}"
7,Losha,Andrea,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,4136096.0,streams,4136096,Spotify regional daily chart (Kworb aggregate),,,0Ksj1ehwR3eJl6L3bB9VZk,,,https://kworb.net/spotify/country/bg_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Bulgaria, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-09-08 through 2026-09-11.","{""country_code"":""BG"",""country_name"":""Bulgaria"",""chart_coverage_start"":""2014-09-08"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":772,""top10_days"":120,""peak_rank"":1,""peak_occurrences"":2,""peak_daily_streams"":12531,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":7}"
8,Целувка с Tequila,Mirela,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,4081091.0,streams,4081091,Spotify regional daily chart (Kworb aggregate),,,0DWuEaw17uIBKJVNd1ev5X,,,https://kworb.net/spotify/country/bg_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Bulgaria, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-09-08 through 2026-09-11.","{""country_code"":""BG"",""country_name"":""Bulgaria"",""chart_coverage_start"":""2014-09-08"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":422,""top10_days"":214,""peak_rank"":1,""peak_occurrences"":71,""peak_daily_streams"":23165,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":8}"
9,Катинара,SIMONA,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,3954071.0,streams,3954071,Spotify regional daily chart (Kworb aggregate),,,07semdYzIbyRJ28XhhPA7I,,,https://kworb.net/spotify/country/bg_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Bulgaria, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-09-08 through 2026-09-11.","{""country_code"":""BG"",""country_name"":""Bulgaria"",""chart_coverage_start"":""2014-09-08"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":457,""top10_days"":301,""peak_rank"":1,""peak_occurrences"":2,""peak_daily_streams"":15010,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":9}"
10,S men da varvish,Djena,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,3891693.0,streams,3891693,Spotify regional daily chart (Kworb aggregate),,,1P0Fu36ZP4Hg6zPvtwpyKt,,,https://kworb.net/spotify/country/bg_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Bulgaria, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-09-08 through 2026-09-11.","{""country_code"":""BG"",""country_name"":""Bulgaria"",""chart_coverage_start"":""2014-09-08"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":1278,""top10_days"":1,""peak_rank"":10,""peak_occurrences"":null,""peak_daily_streams"":7779,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":10}"
11,7 Dni,Molec,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,3746952.0,streams,3746952,Spotify regional daily chart (Kworb aggregate),,,1BnF35gLqCRWiTzSWgC9hK,,,https://kworb.net/spotify/country/bg_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Bulgaria, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-09-08 through 2026-09-11.","{""country_code"":""BG"",""country_name"":""Bulgaria"",""chart_coverage_start"":""2014-09-08"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":1027,""top10_days"":362,""peak_rank"":1,""peak_occurrences"":27,""peak_daily_streams"":9086,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":11}"
12,Blinding Lights,The Weeknd,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,3719806.0,streams,3719806,Spotify regional daily chart (Kworb aggregate),,,0VjIjW4GlUZAMYd2vXMi3b,,,https://kworb.net/spotify/country/bg_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Bulgaria, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-09-08 through 2026-09-11.","{""country_code"":""BG"",""country_name"":""Bulgaria"",""chart_coverage_start"":""2014-09-08"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":1687,""top10_days"":374,""peak_rank"":1,""peak_occurrences"":15,""peak_daily_streams"":8286,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""alternate_metrics"":[{""metric_name"":""spotify_country_chart_streams"",""metric_value"":1458.0,""metric_unit"":""streams"",""listen_count"":1458,""view_count"":null,""source_url"":""https://kworb.net/spotify/country/bg_daily_totals.html"",""retrieved_at"":""2026-09-13""}],""merged_sources"":[""https://kworb.net/spotify/country/bg_daily_totals.html""],""country_rank"":12}"
13,Грешници,Lidia,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,3661991.0,streams,3661991,Spotify regional daily chart (Kworb aggregate),,,6W2jsJG6MPPJ6xTWcNEeHr,,,https://kworb.net/spotify/country/bg_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Bulgaria, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-09-08 through 2026-09-11.","{""country_code"":""BG"",""country_name"":""Bulgaria"",""chart_coverage_start"":""2014-09-08"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":1361,""top10_days"":36,""peak_rank"":5,""peak_occurrences"":null,""peak_daily_streams"":8276,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""alternate_metrics"":[{""metric_name"":""spotify_country_chart_streams"",""metric_value"":2015.0,""metric_unit"":""streams"",""listen_count"":2015,""view_count"":null,""source_url"":""https://kworb.net/spotify/country/bg_daily_totals.html"",""retrieved_at"":""2026-09-13""}],""merged_sources"":[""https://kworb.net/spotify/country/bg_daily_totals.html""],""country_rank"":13}"
14,Филм за нас,Tsvetelina Yaneva,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,3476839.0,streams,3476839,Spotify regional daily chart (Kworb aggregate),,,772ARvmnEjryug7ce0lRAF,,,https://kworb.net/spotify/country/bg_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Bulgaria, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-09-08 through 2026-09-11.","{""country_code"":""BG"",""country_name"":""Bulgaria"",""chart_coverage_start"":""2014-09-08"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":1280,""top10_days"":84,""peak_rank"":2,""peak_occurrences"":13,""peak_daily_streams"":6542,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":14}"
15,Ne me zasluzhavash,Konstantin,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,3389457.0,streams,3389457,Spotify regional daily chart (Kworb aggregate),,,5whMzbUxj5DXoie9aiVb0O,,,https://kworb.net/spotify/country/bg_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Bulgaria, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-09-08 through 2026-09-11.","{""country_code"":""BG"",""country_name"":""Bulgaria"",""chart_coverage_start"":""2014-09-08"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":1128,""top10_days"":null,""peak_rank"":13,""peak_occurrences"":null,""peak_daily_streams"":6984,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""alternate_metrics"":[{""metric_name"":""spotify_country_chart_streams"",""metric_value"":589408.0,""metric_unit"":""streams"",""listen_count"":589408,""view_count"":null,""source_url"":""https://kworb.net/spotify/country/bg_daily_totals.html"",""retrieved_at"":""2026-09-13""}],""merged_sources"":[""https://kworb.net/spotify/country/bg_daily_totals.html""],""country_rank"":15}"
