rank,title,main_artist,featured_artists,album,release_date,release_year,genres,composer,anime_title,anime_popularity,screen_work,vtuber,is_original,metric_name,metric_value,metric_unit,listen_count,listen_source,view_count,overall_popularity_score,spotify_track_id,musicbrainz_recording_mbid,isrc,source_url,retrieved_at,source_notes,extra
1,La Bachata,Manuel Turizo,[],,,,[],,,,,,,spotify_country_chart_streams,24713544.0,streams,24713544,Spotify regional daily chart (Kworb aggregate),,,3tt9i3Hhzq84dPS8H7iSiJ,,,https://kworb.net/spotify/country/bo_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for BO, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-09-09 through 2026-07-20.","{""country_code"":""BO"",""country_name"":""BO"",""chart_coverage_start"":""2014-09-09"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":1509,""top10_days"":308,""peak_rank"":1,""peak_occurrences"":121,""peak_daily_streams"":46992,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":1}"
2,LA CANCIÓN,J Balvin,[],,,,[],,,,,,,spotify_country_chart_streams,22676111.0,streams,22676111,Spotify regional daily chart (Kworb aggregate),,,0fea68AdmYNygeTGI4RC18,,,https://kworb.net/spotify/country/bo_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for BO, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-09-09 through 2026-07-20.","{""country_code"":""BO"",""country_name"":""BO"",""chart_coverage_start"":""2014-09-09"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":2580,""top10_days"":233,""peak_rank"":2,""peak_occurrences"":30,""peak_daily_streams"":23661,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":2}"
3,Es un Secreto,Plan B,[],,,,[],,,,,,,spotify_country_chart_streams,21508873.0,streams,21508873,Spotify regional daily chart (Kworb aggregate),,,3KZCP2StVGdWkOKyRZNWA4,,,https://kworb.net/spotify/country/bo_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for BO, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-09-09 through 2026-07-20.","{""country_code"":""BO"",""country_name"":""BO"",""chart_coverage_start"":""2014-09-09"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":1751,""top10_days"":228,""peak_rank"":3,""peak_occurrences"":1,""peak_daily_streams"":29552,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":3}"
4,Me Rehúso,Danny Ocean,[],,,,[],,,,,,,spotify_country_chart_streams,21304881.0,streams,21304881,Spotify regional daily chart (Kworb aggregate),,,6ifUES3keWjwXgae8pXI3o,,,https://kworb.net/spotify/country/bo_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for BO, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-09-09 through 2026-07-20.","{""country_code"":""BO"",""country_name"":""BO"",""chart_coverage_start"":""2014-09-09"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":3500,""top10_days"":473,""peak_rank"":1,""peak_occurrences"":13,""peak_daily_streams"":17099,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":4}"
5,LUNA,Feid,[],,,,[],,,,,,,spotify_country_chart_streams,20718747.0,streams,20718747,Spotify regional daily chart (Kworb aggregate),,,7bywjHOc0wSjGGbj04XbVi,,,https://kworb.net/spotify/country/bo_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for BO, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-09-09 through 2026-07-20.","{""country_code"":""BO"",""country_name"":""BO"",""chart_coverage_start"":""2014-09-09"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":963,""top10_days"":461,""peak_rank"":1,""peak_occurrences"":76,""peak_daily_streams"":53131,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":5}"
6,un x100to,Grupo Frontera,[],,,,[],,,,,,,spotify_country_chart_streams,19556568.0,streams,19556568,Spotify regional daily chart (Kworb aggregate),,,2yzshFeBIwH8tWIqHEFLeD,,,https://kworb.net/spotify/country/bo_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for BO, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-09-09 through 2026-07-20.","{""country_code"":""BO"",""country_name"":""BO"",""chart_coverage_start"":""2014-09-09"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":1191,""top10_days"":197,""peak_rank"":1,""peak_occurrences"":73,""peak_daily_streams"":144098,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":6}"
7,Rara Vez,Taiu,[],,,,[],,,,,,,spotify_country_chart_streams,17968760.0,streams,17968760,Spotify regional daily chart (Kworb aggregate),,,7MVIfkyzuUmQ716j8U7yGR,,,https://kworb.net/spotify/country/bo_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for BO, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-09-09 through 2026-07-20.","{""country_code"":""BO"",""country_name"":""BO"",""chart_coverage_start"":""2014-09-09"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":1255,""top10_days"":68,""peak_rank"":2,""peak_occurrences"":1,""peak_daily_streams"":36329,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":7}"
8,Feliz Cumpleaños Ferxxo,Feid,[],,,,[],,,,,,,spotify_country_chart_streams,17957308.0,streams,17957308,Spotify regional daily chart (Kworb aggregate),,,2CeKVsFFXG4QzA415QygGb,,,https://kworb.net/spotify/country/bo_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for BO, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-09-09 through 2026-07-20.","{""country_code"":""BO"",""country_name"":""BO"",""chart_coverage_start"":""2014-09-09"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":1161,""top10_days"":204,""peak_rank"":2,""peak_occurrences"":1,""peak_daily_streams"":35472,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":8}"
9,OJITOS ROJOS,Grupo Frontera,[],,,,[],,,,,,,spotify_country_chart_streams,17581931.0,streams,17581931,Spotify regional daily chart (Kworb aggregate),,,11PV8CaPqlto9Uejx92C35,,,https://kworb.net/spotify/country/bo_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for BO, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-09-09 through 2026-07-20.","{""country_code"":""BO"",""country_name"":""BO"",""chart_coverage_start"":""2014-09-09"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":1095,""top10_days"":190,""peak_rank"":1,""peak_occurrences"":23,""peak_daily_streams"":53765,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":9}"
10,Un Finde | CROSSOVER #2,Big One,[],,,,[],,,,,,,spotify_country_chart_streams,17398701.0,streams,17398701,Spotify regional daily chart (Kworb aggregate),,,3tiJUOfAEqIrLFRQgGgdoY,,,https://kworb.net/spotify/country/bo_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for BO, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-09-09 through 2026-07-20.","{""country_code"":""BO"",""country_name"":""BO"",""chart_coverage_start"":""2014-09-09"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":986,""top10_days"":257,""peak_rank"":1,""peak_occurrences"":10,""peak_daily_streams"":55770,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":10}"
