rank,title,main_artist,featured_artists,album,release_date,release_year,genres,composer,anime_title,anime_popularity,screen_work,vtuber,is_original,metric_name,metric_value,metric_unit,listen_count,listen_source,view_count,overall_popularity_score,spotify_track_id,musicbrainz_recording_mbid,isrc,source_url,retrieved_at,source_notes,extra
1,Lapada Dela - Ao Vivo,Grupo Menos É Mais,[],,,,[],,,,,,,spotify_country_chart_streams,482342823.0,streams,482342823,Spotify regional daily chart (Kworb aggregate),,,4f0aDk7HX37SfzerfznYlr,,,https://kworb.net/spotify/country/br_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for BR, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""BR"",""country_name"":""BR"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":1189,""top10_days"":122,""peak_rank"":3,""peak_occurrences"":3,""peak_daily_streams"":1340066,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":1}"
2,Coração Partido (Corazón Partío) - Ao Vivo,Grupo Menos É Mais,[],,,,[],,,,,,,spotify_country_chart_streams,448335757.0,streams,448335757,Spotify regional daily chart (Kworb aggregate),,,6Kyl2nFgU0J8WBlbBvDv6g,,,https://kworb.net/spotify/country/br_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for BR, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""BR"",""country_name"":""BR"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":688,""top10_days"":333,""peak_rank"":1,""peak_occurrences"":4,""peak_daily_streams"":1672454,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":2}"
3,P do Pecado - Ao Vivo,Grupo Menos É Mais,[],,,,[],,,,,,,spotify_country_chart_streams,437188755.0,streams,437188755,Spotify regional daily chart (Kworb aggregate),,,38Ps9Kui6qJjpVqdBOfN5M,,,https://kworb.net/spotify/country/br_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for BR, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""BR"",""country_name"":""BR"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":446,""top10_days"":310,""peak_rank"":1,""peak_occurrences"":116,""peak_daily_streams"":2512372,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":3}"
4,Leão,Marília Mendonça,[],,,,[],,,,,,,spotify_country_chart_streams,436478956.0,streams,436478956,Spotify regional daily chart (Kworb aggregate),,,53PpijFATt35Zxfl6LTxoK,,,https://kworb.net/spotify/country/br_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for BR, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""BR"",""country_name"":""BR"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":757,""top10_days"":160,""peak_rank"":1,""peak_occurrences"":35,""peak_daily_streams"":2348259,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":4}"
5,Tubarões - Ao Vivo,Diego & Victor Hugo,[],,,,[],,,,,,,spotify_country_chart_streams,412495167.0,streams,412495167,Spotify regional daily chart (Kworb aggregate),,,6tUdNbB9aYbX0sUDXOzX1u,,,https://kworb.net/spotify/country/br_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for BR, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""BR"",""country_name"":""BR"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":522,""top10_days"":302,""peak_rank"":1,""peak_occurrences"":46,""peak_daily_streams"":1439590,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":5}"
6,Erro Gostoso - Ao Vivo,Simone Mendes,[],,,,[],,,,,,,spotify_country_chart_streams,403921169.0,streams,403921169,Spotify regional daily chart (Kworb aggregate),,,51pxwIxDVCbFHW8oyJFQXD,,,https://kworb.net/spotify/country/br_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for BR, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""BR"",""country_name"":""BR"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":901,""top10_days"":129,""peak_rank"":2,""peak_occurrences"":2,""peak_daily_streams"":1533731,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":6}"
7,Nosso Quadro,AgroPlay,[],,,,[],,,,,,,spotify_country_chart_streams,401960215.0,streams,401960215,Spotify regional daily chart (Kworb aggregate),,,4uqJelb9THHmJ3OCohg4ZJ,,,https://kworb.net/spotify/country/br_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for BR, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""BR"",""country_name"":""BR"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":589,""top10_days"":209,""peak_rank"":1,""peak_occurrences"":71,""peak_daily_streams"":2353356,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":7}"
8,Última Saudade - Ao Vivo,Henrique & Juliano,[],,,,[],,,,,,,spotify_country_chart_streams,391267251.0,streams,391267251,Spotify regional daily chart (Kworb aggregate),,,4y93vvzu2h8MITw7YyUTcI,,,https://kworb.net/spotify/country/br_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for BR, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""BR"",""country_name"":""BR"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":557,""top10_days"":209,""peak_rank"":1,""peak_occurrences"":11,""peak_daily_streams"":1551798,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""alternate_metrics"":[{""metric_name"":""spotify_country_chart_streams"",""metric_value"":46303409.0,""metric_unit"":""streams"",""listen_count"":46303409,""view_count"":null,""source_url"":""https://kworb.net/spotify/country/br_daily_totals.html"",""retrieved_at"":""2026-07-22""}],""merged_sources"":[""https://kworb.net/spotify/country/br_daily_totals.html""],""country_rank"":8}"
9,Posso Até Não Te Dar Flores,DJ Japa NK,[],,,,[],,,,,,,spotify_country_chart_streams,365530089.0,streams,365530089,Spotify regional daily chart (Kworb aggregate),,,4G7bbgD2DHORU4frrWoCXp,,,https://kworb.net/spotify/country/br_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for BR, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""BR"",""country_name"":""BR"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":305,""top10_days"":195,""peak_rank"":1,""peak_occurrences"":121,""peak_daily_streams"":3069202,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":9}"
10,Apaga Apaga Apaga - Ao Vivo,Danilo e Davi,[],,,,[],,,,,,,spotify_country_chart_streams,343572021.0,streams,343572021,Spotify regional daily chart (Kworb aggregate),,,17tg01y3RhlfRKMnd333yL,,,https://kworb.net/spotify/country/br_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for BR, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""BR"",""country_name"":""BR"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":616,""top10_days"":177,""peak_rank"":1,""peak_occurrences"":6,""peak_daily_streams"":1323646,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":10}"
