rank,title,main_artist,featured_artists,album,release_date,release_year,genres,languages,composer,anime_title,anime_popularity,screen_work,vtuber,is_original,metric_name,metric_value,metric_unit,listen_count,listen_source,view_count,overall_popularity_score,spotify_track_id,musicbrainz_recording_mbid,isrc,source_url,retrieved_at,source_notes,extra
1,Who,Jimin,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,14911143.0,streams,14911143,Spotify regional daily chart (Kworb aggregate),,,7tI8dRuH2Yc6RuoTjxo4dU,,,https://kworb.net/spotify/country/by_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Belarus, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2022-02-20 through 2026-09-11.","{""country_code"":""BY"",""country_name"":""Belarus"",""chart_coverage_start"":""2022-02-20"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":785,""top10_days"":784,""peak_rank"":1,""peak_occurrences"":533,""peak_daily_streams"":62131,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":1}"
2,Winter Ahead,V,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,8178437.0,streams,8178437,Spotify regional daily chart (Kworb aggregate),,,7G7mSV4BebkoHWwKTDvXu9,,,https://kworb.net/spotify/country/by_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Belarus, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2022-02-20 through 2026-09-11.","{""country_code"":""BY"",""country_name"":""Belarus"",""chart_coverage_start"":""2022-02-20"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":652,""top10_days"":644,""peak_rank"":1,""peak_occurrences"":104,""peak_daily_streams"":46303,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":2}"
3,Be Mine,Jimin,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,7507721.0,streams,7507721,Spotify regional daily chart (Kworb aggregate),,,3LWVXp636uLT356Rj08Jaz,,,https://kworb.net/spotify/country/by_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Belarus, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2022-02-20 through 2026-09-11.","{""country_code"":""BY"",""country_name"":""Belarus"",""chart_coverage_start"":""2022-02-20"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":785,""top10_days"":669,""peak_rank"":2,""peak_occurrences"":144,""peak_daily_streams"":23362,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":3}"
4,Контракт,Poshlaya Molly,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,6441653.0,streams,6441653,Spotify regional daily chart (Kworb aggregate),,,2bqS0QtnXGjOYs3z6VtSyW,,,https://kworb.net/spotify/country/by_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Belarus, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2022-02-20 through 2026-09-11.","{""country_code"":""BY"",""country_name"":""Belarus"",""chart_coverage_start"":""2022-02-20"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":1665,""top10_days"":142,""peak_rank"":5,""peak_occurrences"":null,""peak_daily_streams"":11132,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":4}"
5,Never Broke Again,xxxmanera,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,5988816.0,streams,5988816,Spotify regional daily chart (Kworb aggregate),,,21LIoC4ZxT3F8xq9gidNbX,,,https://kworb.net/spotify/country/by_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Belarus, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2022-02-20 through 2026-09-11.","{""country_code"":""BY"",""country_name"":""Belarus"",""chart_coverage_start"":""2022-02-20"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":1419,""top10_days"":281,""peak_rank"":2,""peak_occurrences"":7,""peak_daily_streams"":11048,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":5}"
6,Жить в кайф,Max Korzh,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,5847252.0,streams,5847252,Spotify regional daily chart (Kworb aggregate),,,2m3PVx1gsVB5upxi94IW8I,,,https://kworb.net/spotify/country/by_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Belarus, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2022-02-20 through 2026-09-11.","{""country_code"":""BY"",""country_name"":""Belarus"",""chart_coverage_start"":""2022-02-20"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":1398,""top10_days"":121,""peak_rank"":5,""peak_occurrences"":null,""peak_daily_streams"":9868,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":6}"
7,Lost Angeles,FRIENDLY THUG 52 NGG,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,5844857.0,streams,5844857,Spotify regional daily chart (Kworb aggregate),,,11gTRcdz4wK32fghA2vrX7,,,https://kworb.net/spotify/country/by_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Belarus, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2022-02-20 through 2026-09-11.","{""country_code"":""BY"",""country_name"":""Belarus"",""chart_coverage_start"":""2022-02-20"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":1044,""top10_days"":317,""peak_rank"":3,""peak_occurrences"":3,""peak_daily_streams"":12241,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":7}"
8,Нон стоп,Poshlaya Molly,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,5643969.0,streams,5643969,Spotify regional daily chart (Kworb aggregate),,,3uMUdlo47oEes3kgL4T4EC,,,https://kworb.net/spotify/country/by_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Belarus, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2022-02-20 through 2026-09-11.","{""country_code"":""BY"",""country_name"":""Belarus"",""chart_coverage_start"":""2022-02-20"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":1658,""top10_days"":null,""peak_rank"":11,""peak_occurrences"":null,""peak_daily_streams"":8072,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":8}"
9,Это любовь,Skryptonite,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,5381388.0,streams,5381388,Spotify regional daily chart (Kworb aggregate),,,1P9oRiZJWnxe2pZmYUZ5eC,,,https://kworb.net/spotify/country/by_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Belarus, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2022-02-20 through 2026-09-11.","{""country_code"":""BY"",""country_name"":""Belarus"",""chart_coverage_start"":""2022-02-20"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":1169,""top10_days"":53,""peak_rank"":5,""peak_occurrences"":null,""peak_daily_streams"":9143,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":9}"
10,Тесно,Aarne,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,5105301.0,streams,5105301,Spotify regional daily chart (Kworb aggregate),,,4oHEJ5KPf9hW1pDyQYIRIw,,,https://kworb.net/spotify/country/by_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Belarus, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2022-02-20 through 2026-09-11.","{""country_code"":""BY"",""country_name"":""Belarus"",""chart_coverage_start"":""2022-02-20"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":978,""top10_days"":187,""peak_rank"":1,""peak_occurrences"":43,""peak_daily_streams"":30775,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":10}"
11,Love Me Again,V,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,4929550.0,streams,4929550,Spotify regional daily chart (Kworb aggregate),,,2N0SPREDYqILVEFSsWF5N5,,,https://kworb.net/spotify/country/by_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Belarus, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2022-02-20 through 2026-09-11.","{""country_code"":""BY"",""country_name"":""Belarus"",""chart_coverage_start"":""2022-02-20"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":517,""top10_days"":291,""peak_rank"":1,""peak_occurrences"":17,""peak_daily_streams"":30026,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":11}"
12,ЛАБИРИНТ,FACE,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,4826589.0,streams,4826589,Spotify regional daily chart (Kworb aggregate),,,7biChppM3c8q7qcVl7ceb2,,,https://kworb.net/spotify/country/by_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Belarus, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2022-02-20 through 2026-09-11.","{""country_code"":""BY"",""country_name"":""Belarus"",""chart_coverage_start"":""2022-02-20"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":1095,""top10_days"":26,""peak_rank"":3,""peak_occurrences"":1,""peak_daily_streams"":8351,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":12}"
13,Я уёбываю в джаз,Кишлак,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,4802481.0,streams,4802481,Spotify regional daily chart (Kworb aggregate),,,0olubSy8HbZBrCJlSHV7ex,,,https://kworb.net/spotify/country/by_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Belarus, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2022-02-20 through 2026-09-11.","{""country_code"":""BY"",""country_name"":""Belarus"",""chart_coverage_start"":""2022-02-20"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":1090,""top10_days"":121,""peak_rank"":4,""peak_occurrences"":null,""peak_daily_streams"":8548,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":13}"
14,Антидепрессант,FACE,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,4787645.0,streams,4787645,Spotify regional daily chart (Kworb aggregate),,,26yvlxKTtN2u3mpbl6AIeI,,,https://kworb.net/spotify/country/by_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Belarus, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2022-02-20 through 2026-09-11.","{""country_code"":""BY"",""country_name"":""Belarus"",""chart_coverage_start"":""2022-02-20"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":1100,""top10_days"":9,""peak_rank"":8,""peak_occurrences"":null,""peak_daily_streams"":7328,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":14}"
15,Последняя Любовь,MORGENSHTERN,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,4635601.0,streams,4635601,Spotify regional daily chart (Kworb aggregate),,,527D034h8WFtVDOBO6GAN5,,,https://kworb.net/spotify/country/by_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Belarus, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2022-02-20 through 2026-09-11.","{""country_code"":""BY"",""country_name"":""Belarus"",""chart_coverage_start"":""2022-02-20"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":919,""top10_days"":114,""peak_rank"":1,""peak_occurrences"":42,""peak_daily_streams"":29124,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":15}"
16,Супермаркет,Poshlaya Molly,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,4620585.0,streams,4620585,Spotify regional daily chart (Kworb aggregate),,,5UW6yvwo3nVA609NgprdhK,,,https://kworb.net/spotify/country/by_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Belarus, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2022-02-20 through 2026-09-11.","{""country_code"":""BY"",""country_name"":""Belarus"",""chart_coverage_start"":""2022-02-20"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":1239,""top10_days"":40,""peak_rank"":6,""peak_occurrences"":null,""peak_daily_streams"":7205,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":16}"
17,Sweater Weather,The Neighbourhood,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,4358994.0,streams,4358994,Spotify regional daily chart (Kworb aggregate),,,2QjOHCTQ1Jl3zawyYOpxh6,,,https://kworb.net/spotify/country/by_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Belarus, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2022-02-20 through 2026-09-11.","{""country_code"":""BY"",""country_name"":""Belarus"",""chart_coverage_start"":""2022-02-20"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":1653,""top10_days"":null,""peak_rank"":18,""peak_occurrences"":null,""peak_daily_streams"":4651,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":17}"
18,гладиатор/рыцарь,fallen777angel,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,4344977.0,streams,4344977,Spotify regional daily chart (Kworb aggregate),,,3nNKws5aNnTa3tgQOIS5Sk,,,https://kworb.net/spotify/country/by_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Belarus, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2022-02-20 through 2026-09-11.","{""country_code"":""BY"",""country_name"":""Belarus"",""chart_coverage_start"":""2022-02-20"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":750,""top10_days"":178,""peak_rank"":1,""peak_occurrences"":5,""peak_daily_streams"":32826,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":18}"
19,Seven,Jung Kook,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,4311251.0,streams,4311251,Spotify regional daily chart (Kworb aggregate),,,2HRgqmZQC0MC7GeNuDIXHN,,,https://kworb.net/spotify/country/by_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Belarus, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2022-02-20 through 2026-09-11.","{""country_code"":""BY"",""country_name"":""Belarus"",""chart_coverage_start"":""2022-02-20"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":915,""top10_days"":156,""peak_rank"":1,""peak_occurrences"":5,""peak_daily_streams"":28859,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":19}"
20,Ханнамонтана,Poshlaya Molly,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,4282579.0,streams,4282579,Spotify regional daily chart (Kworb aggregate),,,7dOzvgGmCmoqGAHeoiM542,,,https://kworb.net/spotify/country/by_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Belarus, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2022-02-20 through 2026-09-11.","{""country_code"":""BY"",""country_name"":""Belarus"",""chart_coverage_start"":""2022-02-20"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":1400,""top10_days"":null,""peak_rank"":11,""peak_occurrences"":null,""peak_daily_streams"":5893,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":20}"
21,Четыре тридцать,Violetta Sokolova,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,4208963.0,streams,4208963,Spotify regional daily chart (Kworb aggregate),,,4GBfKfnvmcTcNrlJcV4OLV,,,https://kworb.net/spotify/country/by_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Belarus, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2022-02-20 through 2026-09-11.","{""country_code"":""BY"",""country_name"":""Belarus"",""chart_coverage_start"":""2022-02-20"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":1234,""top10_days"":13,""peak_rank"":2,""peak_occurrences"":3,""peak_daily_streams"":6137,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":21}"
22,Кукла колдуна,Korol i Shut,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,4176489.0,streams,4176489,Spotify regional daily chart (Kworb aggregate),,,2DYzsMQpO7xOw7b3JwyIWP,,,https://kworb.net/spotify/country/by_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Belarus, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2022-02-20 through 2026-09-11.","{""country_code"":""BY"",""country_name"":""Belarus"",""chart_coverage_start"":""2022-02-20"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":1393,""top10_days"":60,""peak_rank"":4,""peak_occurrences"":null,""peak_daily_streams"":10193,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":22}"
23,Самый лучший день,Кишлак,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,4103215.0,streams,4103215,Spotify regional daily chart (Kworb aggregate),,,6aZw4hMz6ZZqjALf0GAbKy,,,https://kworb.net/spotify/country/by_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Belarus, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2022-02-20 through 2026-09-11.","{""country_code"":""BY"",""country_name"":""Belarus"",""chart_coverage_start"":""2022-02-20"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":1024,""top10_days"":55,""peak_rank"":6,""peak_occurrences"":null,""peak_daily_streams"":9584,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":23}"
24,Рассвет,Какая Разница,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,4066283.0,streams,4066283,Spotify regional daily chart (Kworb aggregate),,,0VGLb6IeeG5ZqonN5EavDu,,,https://kworb.net/spotify/country/by_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Belarus, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2022-02-20 through 2026-09-11.","{""country_code"":""BY"",""country_name"":""Belarus"",""chart_coverage_start"":""2022-02-20"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":1216,""top10_days"":null,""peak_rank"":14,""peak_occurrences"":null,""peak_daily_streams"":6168,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":24}"
