rank,title,main_artist,featured_artists,album,release_date,release_year,genres,composer,anime_title,anime_popularity,screen_work,vtuber,is_original,metric_name,metric_value,metric_unit,listen_count,listen_source,view_count,overall_popularity_score,spotify_track_id,musicbrainz_recording_mbid,isrc,source_url,retrieved_at,source_notes,extra
1,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,[],,,,[],,,,,,,spotify_country_chart_streams,160438508.0,streams,160438508,Spotify regional daily chart (Kworb aggregate),,,0RiRZpuVRbi7oqRdSMwhQY,,,https://kworb.net/spotify/country/ca_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for CA, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-17 through 2026-07-20.","{""country_code"":""CA"",""country_name"":""CA"",""chart_coverage_start"":""2014-08-17"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":2255,""top10_days"":237,""peak_rank"":1,""peak_occurrences"":2,""peak_daily_streams"":254842,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":1}"
2,Last Night,Morgan Wallen,[],,,,[],,,,,,,spotify_country_chart_streams,160160767.0,streams,160160767,Spotify regional daily chart (Kworb aggregate),,,7K3BhSpAxZBznislvUMVtn,,,https://kworb.net/spotify/country/ca_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for CA, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-17 through 2026-07-20.","{""country_code"":""CA"",""country_name"":""CA"",""chart_coverage_start"":""2014-08-17"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":1264,""top10_days"":310,""peak_rank"":1,""peak_occurrences"":120,""peak_daily_streams"":378230,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":2}"
3,Blinding Lights,The Weeknd,[],,,,[],,,,,,,spotify_country_chart_streams,159151853.0,streams,159151853,Spotify regional daily chart (Kworb aggregate),,,0VjIjW4GlUZAMYd2vXMi3b,,,https://kworb.net/spotify/country/ca_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for CA, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-17 through 2026-07-20.","{""country_code"":""CA"",""country_name"":""CA"",""chart_coverage_start"":""2014-08-17"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":2072,""top10_days"":263,""peak_rank"":1,""peak_occurrences"":13,""peak_daily_streams"":350585,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":3}"
4,A Bar Song (Tipsy),Shaboozey,[],,,,[],,,,,,,spotify_country_chart_streams,152313574.0,streams,152313574,Spotify regional daily chart (Kworb aggregate),,,5fZJQrFKWQLb7FpJXZ1g7K,,,https://kworb.net/spotify/country/ca_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for CA, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-17 through 2026-07-20.","{""country_code"":""CA"",""country_name"":""CA"",""chart_coverage_start"":""2014-08-17"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":829,""top10_days"":333,""peak_rank"":1,""peak_occurrences"":81,""peak_daily_streams"":761708,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":4}"
5,Beautiful Things,Benson Boone,[],,,,[],,,,,,,spotify_country_chart_streams,150651579.0,streams,150651579,Spotify regional daily chart (Kworb aggregate),,,3xkHsmpQCBMytMJNiDf3Ii,,,https://kworb.net/spotify/country/ca_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for CA, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-17 through 2026-07-20.","{""country_code"":""CA"",""country_name"":""CA"",""chart_coverage_start"":""2014-08-17"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":913,""top10_days"":372,""peak_rank"":1,""peak_occurrences"":33,""peak_daily_streams"":403644,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":5}"
6,Someone You Loved,Lewis Capaldi,[],,,,[],,,,,,,spotify_country_chart_streams,146516012.0,streams,146516012,Spotify regional daily chart (Kworb aggregate),,,7qEHsqek33rTcFNT9PFqLf,,,https://kworb.net/spotify/country/ca_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for CA, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-17 through 2026-07-20.","{""country_code"":""CA"",""country_name"":""CA"",""chart_coverage_start"":""2014-08-17"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":2212,""top10_days"":100,""peak_rank"":2,""peak_occurrences"":4,""peak_daily_streams"":169175,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":6}"
7,Something in the Orange,Zach Bryan,[],,,,[],,,,,,,spotify_country_chart_streams,142953319.0,streams,142953319,Spotify regional daily chart (Kworb aggregate),,,3WMj8moIAXJhHsyLaqIIHI,,,https://kworb.net/spotify/country/ca_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for CA, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-17 through 2026-07-20.","{""country_code"":""CA"",""country_name"":""CA"",""chart_coverage_start"":""2014-08-17"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":1535,""top10_days"":20,""peak_rank"":8,""peak_occurrences"":null,""peak_daily_streams"":145765,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":7}"
8,Heat Waves,Glass Animals,[],,,,[],,,,,,,spotify_country_chart_streams,141949580.0,streams,141949580,Spotify regional daily chart (Kworb aggregate),,,02MWAaffLxlfxAUY7c5dvx,,,https://kworb.net/spotify/country/ca_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for CA, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-17 through 2026-07-20.","{""country_code"":""CA"",""country_name"":""CA"",""chart_coverage_start"":""2014-08-17"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":1548,""top10_days"":376,""peak_rank"":1,""peak_occurrences"":55,""peak_daily_streams"":208373,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":8}"
9,Sweater Weather,The Neighbourhood,[],,,,[],,,,,,,spotify_country_chart_streams,138044299.0,streams,138044299,Spotify regional daily chart (Kworb aggregate),,,2QjOHCTQ1Jl3zawyYOpxh6,,,https://kworb.net/spotify/country/ca_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for CA, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-17 through 2026-07-20.","{""country_code"":""CA"",""country_name"":""CA"",""chart_coverage_start"":""2014-08-17"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":2118,""top10_days"":null,""peak_rank"":13,""peak_occurrences"":null,""peak_daily_streams"":110378,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":9}"
10,One Dance,Drake,[],,,,[],,,,,,,spotify_country_chart_streams,135618119.0,streams,135618119,Spotify regional daily chart (Kworb aggregate),,,1zi7xx7UVEFkmKfv06H8x0,,,https://kworb.net/spotify/country/ca_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for CA, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-17 through 2026-07-20.","{""country_code"":""CA"",""country_name"":""CA"",""chart_coverage_start"":""2014-08-17"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":2277,""top10_days"":188,""peak_rank"":1,""peak_occurrences"":103,""peak_daily_streams"":295143,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":10}"
11,I Remember Everything,Zach Bryan,[],,,,[],,,,,,,spotify_country_chart_streams,132520190.0,streams,132520190,Spotify regional daily chart (Kworb aggregate),,,4KULAymBBJcPRpk1yO4dOG,,,https://kworb.net/spotify/country/ca_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for CA, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-17 through 2026-07-20.","{""country_code"":""CA"",""country_name"":""CA"",""chart_coverage_start"":""2014-08-17"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":1060,""top10_days"":192,""peak_rank"":1,""peak_occurrences"":1,""peak_daily_streams"":263134,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":11}"
12,I Had Some Help (Feat. Morgan Wallen),Post Malone,[],,,,[],,,,,,,spotify_country_chart_streams,132090235.0,streams,132090235,Spotify regional daily chart (Kworb aggregate),,,5IZXB5IKAD2qlvTPJYDCFB,,,https://kworb.net/spotify/country/ca_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for CA, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-17 through 2026-07-20.","{""country_code"":""CA"",""country_name"":""CA"",""chart_coverage_start"":""2014-08-17"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":801,""top10_days"":220,""peak_rank"":1,""peak_occurrences"":29,""peak_daily_streams"":1518897,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":12}"
13,Stick Season,Noah Kahan,[],,,,[],,,,,,,spotify_country_chart_streams,130053119.0,streams,130053119,Spotify regional daily chart (Kworb aggregate),,,0mflMxspEfB0VbI1kyLiAv,,,https://kworb.net/spotify/country/ca_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for CA, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-17 through 2026-07-20.","{""country_code"":""CA"",""country_name"":""CA"",""chart_coverage_start"":""2014-08-17"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":1203,""top10_days"":150,""peak_rank"":1,""peak_occurrences"":8,""peak_daily_streams"":301213,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":13}"
14,Riptide,Vance Joy,[],,,,[],,,,,,,spotify_country_chart_streams,129472998.0,streams,129472998,Spotify regional daily chart (Kworb aggregate),,,7yq4Qj7cqayVTp3FF9CWbm,,,https://kworb.net/spotify/country/ca_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for CA, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-17 through 2026-07-20.","{""country_code"":""CA"",""country_name"":""CA"",""chart_coverage_start"":""2014-08-17"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":2995,""top10_days"":43,""peak_rank"":3,""peak_occurrences"":1,""peak_daily_streams"":115065,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":14}"
