rank,title,main_artist,featured_artists,album,release_date,release_year,genres,languages,composer,anime_title,anime_popularity,screen_work,vtuber,is_original,metric_name,metric_value,metric_unit,listen_count,listen_source,view_count,overall_popularity_score,spotify_track_id,musicbrainz_recording_mbid,isrc,source_url,retrieved_at,source_notes,extra
1,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,163683063.0,streams,163683063,Spotify regional daily chart (Kworb aggregate),,,0RiRZpuVRbi7oqRdSMwhQY,,,https://kworb.net/spotify/country/ca_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Canada, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-17 through 2026-09-11.","{""country_code"":""CA"",""country_name"":""Canada"",""chart_coverage_start"":""2014-08-17"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":2308,""top10_days"":237,""peak_rank"":1,""peak_occurrences"":2,""peak_daily_streams"":254842,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":1}"
2,Last Night,Morgan Wallen,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,163507156.0,streams,163507156,Spotify regional daily chart (Kworb aggregate),,,7K3BhSpAxZBznislvUMVtn,,,https://kworb.net/spotify/country/ca_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Canada, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-17 through 2026-09-11.","{""country_code"":""CA"",""country_name"":""Canada"",""chart_coverage_start"":""2014-08-17"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":1317,""top10_days"":310,""peak_rank"":1,""peak_occurrences"":120,""peak_daily_streams"":378230,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":2}"
3,Blinding Lights,The Weeknd,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,159151853.0,streams,159151853,Spotify regional daily chart (Kworb aggregate),,,0VjIjW4GlUZAMYd2vXMi3b,,,https://kworb.net/spotify/country/ca_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Canada, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-17 through 2026-09-11.","{""country_code"":""CA"",""country_name"":""Canada"",""chart_coverage_start"":""2014-08-17"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":2072,""top10_days"":263,""peak_rank"":1,""peak_occurrences"":13,""peak_daily_streams"":350585,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":3}"
4,A Bar Song (Tipsy),Shaboozey,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,157238465.0,streams,157238465,Spotify regional daily chart (Kworb aggregate),,,5fZJQrFKWQLb7FpJXZ1g7K,,,https://kworb.net/spotify/country/ca_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Canada, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-17 through 2026-09-11.","{""country_code"":""CA"",""country_name"":""Canada"",""chart_coverage_start"":""2014-08-17"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":882,""top10_days"":333,""peak_rank"":1,""peak_occurrences"":81,""peak_daily_streams"":761708,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":4}"
5,Beautiful Things,Benson Boone,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,155225350.0,streams,155225350,Spotify regional daily chart (Kworb aggregate),,,3xkHsmpQCBMytMJNiDf3Ii,,,https://kworb.net/spotify/country/ca_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Canada, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-17 through 2026-09-11.","{""country_code"":""CA"",""country_name"":""Canada"",""chart_coverage_start"":""2014-08-17"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":966,""top10_days"":372,""peak_rank"":1,""peak_occurrences"":33,""peak_daily_streams"":403644,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":5}"
6,Something in the Orange,Zach Bryan,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,146548374.0,streams,146548374,Spotify regional daily chart (Kworb aggregate),,,3WMj8moIAXJhHsyLaqIIHI,,,https://kworb.net/spotify/country/ca_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Canada, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-17 through 2026-09-11.","{""country_code"":""CA"",""country_name"":""Canada"",""chart_coverage_start"":""2014-08-17"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":1588,""top10_days"":20,""peak_rank"":8,""peak_occurrences"":null,""peak_daily_streams"":145765,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":6}"
7,Someone You Loved,Lewis Capaldi,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,146516012.0,streams,146516012,Spotify regional daily chart (Kworb aggregate),,,7qEHsqek33rTcFNT9PFqLf,,,https://kworb.net/spotify/country/ca_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Canada, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-17 through 2026-09-11.","{""country_code"":""CA"",""country_name"":""Canada"",""chart_coverage_start"":""2014-08-17"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":2212,""top10_days"":100,""peak_rank"":2,""peak_occurrences"":4,""peak_daily_streams"":169175,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":7}"
8,Heat Waves,Glass Animals,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,142470539.0,streams,142470539,Spotify regional daily chart (Kworb aggregate),,,02MWAaffLxlfxAUY7c5dvx,,,https://kworb.net/spotify/country/ca_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Canada, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-17 through 2026-09-11.","{""country_code"":""CA"",""country_name"":""Canada"",""chart_coverage_start"":""2014-08-17"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":1559,""top10_days"":376,""peak_rank"":1,""peak_occurrences"":55,""peak_daily_streams"":208373,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":8}"
9,Sweater Weather,The Neighbourhood,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,141687386.0,streams,141687386,Spotify regional daily chart (Kworb aggregate),,,2QjOHCTQ1Jl3zawyYOpxh6,,,https://kworb.net/spotify/country/ca_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Canada, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-17 through 2026-09-11.","{""country_code"":""CA"",""country_name"":""Canada"",""chart_coverage_start"":""2014-08-17"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":2171,""top10_days"":null,""peak_rank"":13,""peak_occurrences"":null,""peak_daily_streams"":110378,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":9}"
10,One Dance,Drake,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,139020712.0,streams,139020712,Spotify regional daily chart (Kworb aggregate),,,1zi7xx7UVEFkmKfv06H8x0,,,https://kworb.net/spotify/country/ca_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Canada, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-17 through 2026-09-11.","{""country_code"":""CA"",""country_name"":""Canada"",""chart_coverage_start"":""2014-08-17"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":2330,""top10_days"":188,""peak_rank"":1,""peak_occurrences"":103,""peak_daily_streams"":295143,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":10}"
