rank,title,main_artist,featured_artists,album,release_date,release_year,genres,composer,anime_title,anime_popularity,screen_work,vtuber,is_original,metric_name,metric_value,metric_unit,listen_count,listen_source,view_count,overall_popularity_score,spotify_track_id,musicbrainz_recording_mbid,isrc,source_url,retrieved_at,source_notes,extra
1,Shape of You,Ed Sheeran,[],,,,[],,,,,,,spotify_country_chart_streams,145588.0,streams,145588,Spotify regional daily chart (Kworb aggregate),,,7qiZfU4dY1lWllzX7mPBI3,,,https://kworb.net/spotify/country/cy_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for CY, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2015-10-25 through 2017-08-05.","{""country_code"":""CY"",""country_name"":""CY"",""chart_coverage_start"":""2015-10-25"",""chart_coverage_end"":""2017-08-05"",""days_on_chart"":95,""top10_days"":95,""peak_rank"":1,""peak_occurrences"":95,""peak_daily_streams"":1982,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":1}"
2,Despacito - Remix,Luis Fonsi,[],,,,[],,,,,,,spotify_country_chart_streams,89153.0,streams,89153,Spotify regional daily chart (Kworb aggregate),,,5CtI0qwDJkDQGwXD1H1cLb,,,https://kworb.net/spotify/country/cy_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for CY, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2015-10-25 through 2017-08-05.","{""country_code"":""CY"",""country_name"":""CY"",""chart_coverage_start"":""2015-10-25"",""chart_coverage_end"":""2017-08-05"",""days_on_chart"":73,""top10_days"":73,""peak_rank"":1,""peak_occurrences"":54,""peak_daily_streams"":1547,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":2}"
3,One Dance,Drake,[],,,,[],,,,,,,spotify_country_chart_streams,82516.0,streams,82516,Spotify regional daily chart (Kworb aggregate),,,1zi7xx7UVEFkmKfv06H8x0,,,https://kworb.net/spotify/country/cy_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for CY, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2015-10-25 through 2017-08-05.","{""country_code"":""CY"",""country_name"":""CY"",""chart_coverage_start"":""2015-10-25"",""chart_coverage_end"":""2017-08-05"",""days_on_chart"":73,""top10_days"":73,""peak_rank"":1,""peak_occurrences"":73,""peak_daily_streams"":1401,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":3}"
4,Wild Thoughts,DJ Khaled,[],,,,[],,,,,,,spotify_country_chart_streams,56963.0,streams,56963,Spotify regional daily chart (Kworb aggregate),,,1OAh8uOEOvTDqkKFsKksCi,,,https://kworb.net/spotify/country/cy_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for CY, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2015-10-25 through 2017-08-05.","{""country_code"":""CY"",""country_name"":""CY"",""chart_coverage_start"":""2015-10-25"",""chart_coverage_end"":""2017-08-05"",""days_on_chart"":48,""top10_days"":48,""peak_rank"":1,""peak_occurrences"":46,""peak_daily_streams"":1338,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":4}"
5,Cold Water,Major Lazer,[],,,,[],,,,,,,spotify_country_chart_streams,35765.0,streams,35765,Spotify regional daily chart (Kworb aggregate),,,6DNtNfH8hXkqOX1sjqmI7p,,,https://kworb.net/spotify/country/cy_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for CY, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2015-10-25 through 2017-08-05.","{""country_code"":""CY"",""country_name"":""CY"",""chart_coverage_start"":""2015-10-25"",""chart_coverage_end"":""2017-08-05"",""days_on_chart"":33,""top10_days"":33,""peak_rank"":1,""peak_occurrences"":29,""peak_daily_streams"":1230,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":5}"
6,2U,David Guetta,[],,,,[],,,,,,,spotify_country_chart_streams,23431.0,streams,23431,Spotify regional daily chart (Kworb aggregate),,,3A7qX2QjDlPnazUsRk5y0M,,,https://kworb.net/spotify/country/cy_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for CY, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2015-10-25 through 2017-08-05.","{""country_code"":""CY"",""country_name"":""CY"",""chart_coverage_start"":""2015-10-25"",""chart_coverage_end"":""2017-08-05"",""days_on_chart"":22,""top10_days"":22,""peak_rank"":1,""peak_occurrences"":1,""peak_daily_streams"":1181,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":6}"
7,Closer,The Chainsmokers,[],,,,[],,,,,,,spotify_country_chart_streams,21141.0,streams,21141,Spotify regional daily chart (Kworb aggregate),,,7BKLCZ1jbUBVqRi2FVlTVw,,,https://kworb.net/spotify/country/cy_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for CY, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2015-10-25 through 2017-08-05.","{""country_code"":""CY"",""country_name"":""CY"",""chart_coverage_start"":""2015-10-25"",""chart_coverage_end"":""2017-08-05"",""days_on_chart"":20,""top10_days"":20,""peak_rank"":1,""peak_occurrences"":19,""peak_daily_streams"":1160,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":7}"
8,Hello,Adele,[],,,,[],,,,,,,spotify_country_chart_streams,16180.0,streams,16180,Spotify regional daily chart (Kworb aggregate),,,0ENSn4fwAbCGeFGVUbXEU3,,,https://kworb.net/spotify/country/cy_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for CY, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2015-10-25 through 2017-08-05.","{""country_code"":""CY"",""country_name"":""CY"",""chart_coverage_start"":""2015-10-25"",""chart_coverage_end"":""2017-08-05"",""days_on_chart"":14,""top10_days"":14,""peak_rank"":1,""peak_occurrences"":14,""peak_daily_streams"":1324,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":8}"
9,Starboy,The Weeknd,[],,,,[],,,,,,,spotify_country_chart_streams,10510.0,streams,10510,Spotify regional daily chart (Kworb aggregate),,,7MXVkk9YMctZqd1Srtv4MB,,,https://kworb.net/spotify/country/cy_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for CY, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2015-10-25 through 2017-08-05.","{""country_code"":""CY"",""country_name"":""CY"",""chart_coverage_start"":""2015-10-25"",""chart_coverage_end"":""2017-08-05"",""days_on_chart"":10,""top10_days"":10,""peak_rank"":1,""peak_occurrences"":10,""peak_daily_streams"":1088,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":9}"
10,Let Me Love You,DJ Snake,[],,,,[],,,,,,,spotify_country_chart_streams,6101.0,streams,6101,Spotify regional daily chart (Kworb aggregate),,,4pdPtRcBmOSQDlJ3Fk945m,,,https://kworb.net/spotify/country/cy_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for CY, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2015-10-25 through 2017-08-05.","{""country_code"":""CY"",""country_name"":""CY"",""chart_coverage_start"":""2015-10-25"",""chart_coverage_end"":""2017-08-05"",""days_on_chart"":6,""top10_days"":6,""peak_rank"":2,""peak_occurrences"":5,""peak_daily_streams"":1036,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":10}"
