rank,title,main_artist,featured_artists,album,release_date,release_year,genres,composer,anime_title,anime_popularity,screen_work,vtuber,is_original,metric_name,metric_value,metric_unit,listen_count,listen_source,view_count,overall_popularity_score,spotify_track_id,musicbrainz_recording_mbid,isrc,source_url,retrieved_at,source_notes,extra
1,Safír,Calin,[],,,,[],,,,,,,spotify_country_chart_streams,42003013.0,streams,42003013,Spotify regional daily chart (Kworb aggregate),,,1tpWtFdAuY9chjl5YhzsTP,,,https://kworb.net/spotify/country/cz_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for CZ, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""CZ"",""country_name"":""CZ"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":1262,""top10_days"":431,""peak_rank"":1,""peak_occurrences"":197,""peak_daily_streams"":179481,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":1}"
2,Až na měsíc,Viktor Sheen,[],,,,[],,,,,,,spotify_country_chart_streams,39326676.0,streams,39326676,Spotify regional daily chart (Kworb aggregate),,,3rxHQ7HeJCpiei1d6ANDPW,,,https://kworb.net/spotify/country/cz_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for CZ, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""CZ"",""country_name"":""CZ"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":2616,""top10_days"":406,""peak_rank"":1,""peak_occurrences"":36,""peak_daily_streams"":46367,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":2}"
3,Stíny,Viktor Sheen,[],,,,[],,,,,,,spotify_country_chart_streams,35731898.0,streams,35731898,Spotify regional daily chart (Kworb aggregate),,,0J3SIAOndpL1MS2Vq2RMQ9,,,https://kworb.net/spotify/country/cz_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for CZ, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""CZ"",""country_name"":""CZ"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":1702,""top10_days"":411,""peak_rank"":1,""peak_occurrences"":89,""peak_daily_streams"":98062,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":3}"
4,Hannah Montana,Calin,[],,,,[],,,,,,,spotify_country_chart_streams,34527429.0,streams,34527429,Spotify regional daily chart (Kworb aggregate),,,2sXnat46y10FtAbW2A0ira,,,https://kworb.net/spotify/country/cz_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for CZ, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""CZ"",""country_name"":""CZ"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":1564,""top10_days"":460,""peak_rank"":1,""peak_occurrences"":175,""peak_daily_streams"":92127,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":4}"
5,Síla Starejch Vín,ŠKWOR,[],,,,[],,,,,,,spotify_country_chart_streams,33653005.0,streams,33653005,Spotify regional daily chart (Kworb aggregate),,,6qgMr9LacgnihY9IdYriMP,,,https://kworb.net/spotify/country/cz_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for CZ, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""CZ"",""country_name"":""CZ"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":2784,""top10_days"":58,""peak_rank"":5,""peak_occurrences"":null,""peak_daily_streams"":38306,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":5}"
6,Habibi,STEIN27,[],,,,[],,,,,,,spotify_country_chart_streams,32790957.0,streams,32790957,Spotify regional daily chart (Kworb aggregate),,,5VEXEXffwn8Tc4o45GDznd,,,https://kworb.net/spotify/country/cz_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for CZ, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""CZ"",""country_name"":""CZ"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":1310,""top10_days"":448,""peak_rank"":1,""peak_occurrences"":38,""peak_daily_streams"":71024,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":6}"
7,Another Love,Tom Odell,[],,,,[],,,,,,,spotify_country_chart_streams,31849170.0,streams,31849170,Spotify regional daily chart (Kworb aggregate),,,7jtQIBanIiJOMS6RyCx6jZ,,,https://kworb.net/spotify/country/cz_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for CZ, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""CZ"",""country_name"":""CZ"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":1989,""top10_days"":156,""peak_rank"":3,""peak_occurrences"":3,""peak_daily_streams"":30345,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":7}"
8,Rozdělený světy,Viktor Sheen,[],,,,[],,,,,,,spotify_country_chart_streams,29985679.0,streams,29985679,Spotify regional daily chart (Kworb aggregate),,,65sTVVVMDnczku5Gt2PTmt,,,https://kworb.net/spotify/country/cz_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for CZ, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""CZ"",""country_name"":""CZ"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":2078,""top10_days"":154,""peak_rank"":1,""peak_occurrences"":1,""peak_daily_streams"":65441,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":8}"
9,Praha/Vídeň,Calin,[],,,,[],,,,,,,spotify_country_chart_streams,29779498.0,streams,29779498,Spotify regional daily chart (Kworb aggregate),,,163UXyyrFlAIQapVN3DqIp,,,https://kworb.net/spotify/country/cz_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for CZ, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""CZ"",""country_name"":""CZ"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":1655,""top10_days"":410,""peak_rank"":1,""peak_occurrences"":25,""peak_daily_streams"":51593,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":9}"
10,Svaz českých bohémů,Wohnout,[],,,,[],,,,,,,spotify_country_chart_streams,27999841.0,streams,27999841,Spotify regional daily chart (Kworb aggregate),,,0twbASvGKPDvbWviKZcpyy,,,https://kworb.net/spotify/country/cz_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for CZ, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""CZ"",""country_name"":""CZ"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":2915,""top10_days"":12,""peak_rank"":6,""peak_occurrences"":null,""peak_daily_streams"":30322,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":10}"
