rank,title,main_artist,featured_artists,album,release_date,release_year,genres,composer,anime_title,anime_popularity,screen_work,vtuber,is_original,metric_name,metric_value,metric_unit,listen_count,listen_source,view_count,overall_popularity_score,spotify_track_id,musicbrainz_recording_mbid,isrc,source_url,retrieved_at,source_notes,extra
1,STOR MAND,Tobias Rahim,[],,,,[],,,,,,,spotify_country_chart_streams,62732305.0,streams,62732305,Spotify regional daily chart (Kworb aggregate),,,56Ua2ypj5HWnotoIF3lEHc,,,https://kworb.net/spotify/country/dk_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for DK, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""DK"",""country_name"":""DK"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":1672,""top10_days"":437,""peak_rank"":1,""peak_occurrences"":107,""peak_daily_streams"":320337,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":1}"
2,Blinding Lights,The Weeknd,[],,,,[],,,,,,,spotify_country_chart_streams,43625545.0,streams,43625545,Spotify regional daily chart (Kworb aggregate),,,0VjIjW4GlUZAMYd2vXMi3b,,,https://kworb.net/spotify/country/dk_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for DK, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""DK"",""country_name"":""DK"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":1803,""top10_days"":257,""peak_rank"":1,""peak_occurrences"":26,""peak_daily_streams"":116186,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":2}"
3,Someone You Loved,Lewis Capaldi,[],,,,[],,,,,,,spotify_country_chart_streams,41847307.0,streams,41847307,Spotify regional daily chart (Kworb aggregate),,,7qEHsqek33rTcFNT9PFqLf,,,https://kworb.net/spotify/country/dk_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for DK, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""DK"",""country_name"":""DK"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":2289,""top10_days"":6,""peak_rank"":9,""peak_occurrences"":null,""peak_daily_streams"":48930,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":3}"
4,Blå Himmel,KESI,[],,,,[],,,,,,,spotify_country_chart_streams,41675214.0,streams,41675214,Spotify regional daily chart (Kworb aggregate),,,0qA2qykpcGdVl3tiiYum4g,,,https://kworb.net/spotify/country/dk_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for DK, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""DK"",""country_name"":""DK"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":1914,""top10_days"":129,""peak_rank"":1,""peak_occurrences"":21,""peak_daily_streams"":130260,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":4}"
5,Last Christmas,Wham!,[],,,,[],,,,,,,spotify_country_chart_streams,40717862.0,streams,40717862,Spotify regional daily chart (Kworb aggregate),,,2FRnf9qhLbvw8fu4IBXx78,,,https://kworb.net/spotify/country/dk_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for DK, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""DK"",""country_name"":""DK"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":699,""top10_days"":365,""peak_rank"":1,""peak_occurrences"":115,""peak_daily_streams"":358641,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":5}"
6,Gonzo,Suspekt,[],,,,[],,,,,,,spotify_country_chart_streams,40436982.0,streams,40436982,Spotify regional daily chart (Kworb aggregate),,,0RcrxkcFT5FJpDgaXmzIEF,,,https://kworb.net/spotify/country/dk_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for DK, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""DK"",""country_name"":""DK"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":2174,""top10_days"":129,""peak_rank"":3,""peak_occurrences"":4,""peak_daily_streams"":83198,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""alternate_metrics"":[{""metric_name"":""spotify_country_chart_streams"",""metric_value"":9845.0,""metric_unit"":""streams"",""listen_count"":9845,""view_count"":null,""source_url"":""https://kworb.net/spotify/country/dk_daily_totals.html"",""retrieved_at"":""2026-07-22""}],""merged_sources"":[""https://kworb.net/spotify/country/dk_daily_totals.html""],""country_rank"":6}"
7,"Er Her (Artigeardit, KESI)",Artigeardit,[],,,,[],,,,,,,spotify_country_chart_streams,38704702.0,streams,38704702,Spotify regional daily chart (Kworb aggregate),,,6BxGGPBdNexcy53euZsrga,,,https://kworb.net/spotify/country/dk_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for DK, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""DK"",""country_name"":""DK"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":1656,""top10_days"":93,""peak_rank"":1,""peak_occurrences"":18,""peak_daily_streams"":119822,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":7}"
8,All I Want for Christmas Is You,Mariah Carey,[],,,,[],,,,,,,spotify_country_chart_streams,37703558.0,streams,37703558,Spotify regional daily chart (Kworb aggregate),,,0bYg9bo50gSsH3LtXe2SQn,,,https://kworb.net/spotify/country/dk_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for DK, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""DK"",""country_name"":""DK"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":644,""top10_days"":348,""peak_rank"":1,""peak_occurrences"":29,""peak_daily_streams"":319144,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":8}"
9,Under Din Sne,The Minds Of 99,[],,,,[],,,,,,,spotify_country_chart_streams,37291681.0,streams,37291681,Spotify regional daily chart (Kworb aggregate),,,3LlqJkcXMBIAE5X1uUiZUN,,,https://kworb.net/spotify/country/dk_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for DK, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""DK"",""country_name"":""DK"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":1684,""top10_days"":147,""peak_rank"":2,""peak_occurrences"":7,""peak_daily_streams"":103059,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":9}"
10,I KNOW,D1MA,[],,,,[],,,,,,,spotify_country_chart_streams,33683060.0,streams,33683060,Spotify regional daily chart (Kworb aggregate),,,3aQzeklWllLWZSH4xk7Udj,,,https://kworb.net/spotify/country/dk_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for DK, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""DK"",""country_name"":""DK"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":1118,""top10_days"":229,""peak_rank"":1,""peak_occurrences"":13,""peak_daily_streams"":125516,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":10}"
