rank,title,main_artist,featured_artists,album,release_date,release_year,genres,languages,composer,anime_title,anime_popularity,screen_work,vtuber,is_original,metric_name,metric_value,metric_unit,listen_count,listen_source,view_count,overall_popularity_score,spotify_track_id,musicbrainz_recording_mbid,isrc,source_url,retrieved_at,source_notes,extra
1,LA CANCIÓN,J Balvin,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,60351522.0,streams,60351522,Spotify regional daily chart (Kworb aggregate),,,0fea68AdmYNygeTGI4RC18,,,https://kworb.net/spotify/country/ec_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Ecuador, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-09-11.","{""country_code"":""EC"",""country_name"":""Ecuador"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":2633,""top10_days"":236,""peak_rank"":2,""peak_occurrences"":37,""peak_daily_streams"":70255,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":1}"
2,Me Rehúso,Danny Ocean,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,55138179.0,streams,55138179,Spotify regional daily chart (Kworb aggregate),,,6ifUES3keWjwXgae8pXI3o,,,https://kworb.net/spotify/country/ec_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Ecuador, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-09-11.","{""country_code"":""EC"",""country_name"":""Ecuador"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":3562,""top10_days"":529,""peak_rank"":1,""peak_occurrences"":4,""peak_daily_streams"":70197,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":2}"
3,Es un Secreto,Plan B,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,53529588.0,streams,53529588,Spotify regional daily chart (Kworb aggregate),,,3KZCP2StVGdWkOKyRZNWA4,,,https://kworb.net/spotify/country/ec_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Ecuador, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-09-11.","{""country_code"":""EC"",""country_name"":""Ecuador"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":1967,""top10_days"":353,""peak_rank"":3,""peak_occurrences"":3,""peak_daily_streams"":67822,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":3}"
4,LUNA,Feid,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,53341471.0,streams,53341471,Spotify regional daily chart (Kworb aggregate),,,7bywjHOc0wSjGGbj04XbVi,,,https://kworb.net/spotify/country/ec_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Ecuador, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-09-11.","{""country_code"":""EC"",""country_name"":""Ecuador"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":1016,""top10_days"":402,""peak_rank"":1,""peak_occurrences"":173,""peak_daily_streams"":137075,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":4}"
5,La Bachata,Manuel Turizo,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,48455485.0,streams,48455485,Spotify regional daily chart (Kworb aggregate),,,3tt9i3Hhzq84dPS8H7iSiJ,,,https://kworb.net/spotify/country/ec_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Ecuador, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-09-11.","{""country_code"":""EC"",""country_name"":""Ecuador"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":1424,""top10_days"":338,""peak_rank"":1,""peak_occurrences"":27,""peak_daily_streams"":90948,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":5}"
6,Feliz Cumpleaños Ferxxo,Feid,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,46314986.0,streams,46314986,Spotify regional daily chart (Kworb aggregate),,,2CeKVsFFXG4QzA415QygGb,,,https://kworb.net/spotify/country/ec_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Ecuador, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-09-11.","{""country_code"":""EC"",""country_name"":""Ecuador"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":1170,""top10_days"":309,""peak_rank"":1,""peak_occurrences"":80,""peak_daily_streams"":96175,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":6}"
7,Me Porto Bonito,Bad Bunny,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,40421748.0,streams,40421748,Spotify regional daily chart (Kworb aggregate),,,6Sq7ltF9Qa7SNFBsV5Cogx,,,https://kworb.net/spotify/country/ec_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Ecuador, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-09-11.","{""country_code"":""EC"",""country_name"":""Ecuador"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":984,""top10_days"":261,""peak_rank"":1,""peak_occurrences"":55,""peak_daily_streams"":184577,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":7}"
8,Ojitos Lindos,Bad Bunny,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,39850433.0,streams,39850433,Spotify regional daily chart (Kworb aggregate),,,3k3NWokhRRkEPhCzPmV8TW,,,https://kworb.net/spotify/country/ec_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Ecuador, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-09-11.","{""country_code"":""EC"",""country_name"":""Ecuador"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":1487,""top10_days"":234,""peak_rank"":1,""peak_occurrences"":10,""peak_daily_streams"":162822,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":8}"
9,Moscow Mule,Bad Bunny,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,37519003.0,streams,37519003,Spotify regional daily chart (Kworb aggregate),,,6Xom58OOXk2SoU711L2IXO,,,https://kworb.net/spotify/country/ec_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Ecuador, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-09-11.","{""country_code"":""EC"",""country_name"":""Ecuador"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":1564,""top10_days"":194,""peak_rank"":1,""peak_occurrences"":3,""peak_daily_streams"":232058,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":9}"
10,Efecto,Bad Bunny,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,37219284.0,streams,37219284,Spotify regional daily chart (Kworb aggregate),,,5Eax0qFko2dh7Rl2lYs3bx,,,https://kworb.net/spotify/country/ec_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Ecuador, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-09-11.","{""country_code"":""EC"",""country_name"":""Ecuador"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":1073,""top10_days"":237,""peak_rank"":1,""peak_occurrences"":2,""peak_daily_streams"":120533,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":10}"
11,La Plena - W Sound 05,W Sound,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,36778982.0,streams,36778982,Spotify regional daily chart (Kworb aggregate),,,6iOndD4OFo7GkaDypWQIou,,,https://kworb.net/spotify/country/ec_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Ecuador, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-09-11.","{""country_code"":""EC"",""country_name"":""Ecuador"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":568,""top10_days"":430,""peak_rank"":1,""peak_occurrences"":186,""peak_daily_streams"":151987,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":11}"
12,LA INOCENTE,Mora,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,36521548.0,streams,36521548,Spotify regional daily chart (Kworb aggregate),,,5jt25aFjW2kNoBqaEVaz5W,,,https://kworb.net/spotify/country/ec_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Ecuador, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-09-11.","{""country_code"":""EC"",""country_name"":""Ecuador"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":1325,""top10_days"":55,""peak_rank"":8,""peak_occurrences"":null,""peak_daily_streams"":60730,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":12}"
