rank,title,main_artist,featured_artists,album,release_date,release_year,genres,composer,anime_title,anime_popularity,screen_work,vtuber,is_original,metric_name,metric_value,metric_unit,listen_count,listen_source,view_count,overall_popularity_score,spotify_track_id,musicbrainz_recording_mbid,isrc,source_url,retrieved_at,source_notes,extra
1,Aluspükse,5MIINUST,[],,,,[],,,,,,,spotify_country_chart_streams,5034462.0,streams,5034462,Spotify regional daily chart (Kworb aggregate),,,2xtLPeeUmIzM1hFw2qeH4U,,,https://kworb.net/spotify/country/ee_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for EE, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""EE"",""country_name"":""EE"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":2387,""top10_days"":255,""peak_rank"":1,""peak_occurrences"":37,""peak_daily_streams"":10111,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":1}"
2,Lämmi,Küberünnak & Karmo,[],,,,[],,,,,,,spotify_country_chart_streams,3742836.0,streams,3742836,Spotify regional daily chart (Kworb aggregate),,,03dUoht4jmfAZmpgCvOIkT,,,https://kworb.net/spotify/country/ee_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for EE, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""EE"",""country_name"":""EE"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":1679,""top10_days"":25,""peak_rank"":8,""peak_occurrences"":null,""peak_daily_streams"":6509,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":2}"
3,Sweater Weather,The Neighbourhood,[],,,,[],,,,,,,spotify_country_chart_streams,3666794.0,streams,3666794,Spotify regional daily chart (Kworb aggregate),,,2QjOHCTQ1Jl3zawyYOpxh6,,,https://kworb.net/spotify/country/ee_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for EE, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""EE"",""country_name"":""EE"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":2105,""top10_days"":1,""peak_rank"":9,""peak_occurrences"":null,""peak_daily_streams"":3082,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":3}"
4,Blinding Lights,The Weeknd,[],,,,[],,,,,,,spotify_country_chart_streams,3459600.0,streams,3459600,Spotify regional daily chart (Kworb aggregate),,,0VjIjW4GlUZAMYd2vXMi3b,,,https://kworb.net/spotify/country/ee_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for EE, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""EE"",""country_name"":""EE"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":1804,""top10_days"":350,""peak_rank"":1,""peak_occurrences"":57,""peak_daily_streams"":8522,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":4}"
5,push it,nublu,[],,,,[],,,,,,,spotify_country_chart_streams,3434108.0,streams,3434108,Spotify regional daily chart (Kworb aggregate),,,7AleqJvqrVBeQitkWntUUc,,,https://kworb.net/spotify/country/ee_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for EE, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""EE"",""country_name"":""EE"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":781,""top10_days"":247,""peak_rank"":1,""peak_occurrences"":97,""peak_daily_streams"":22901,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":5}"
6,Paraadna,nublu,[],,,,[],,,,,,,spotify_country_chart_streams,3173043.0,streams,3173043,Spotify regional daily chart (Kworb aggregate),,,5VEZQNZWsZaKb1Y2jB8SWJ,,,https://kworb.net/spotify/country/ee_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for EE, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""EE"",""country_name"":""EE"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":1792,""top10_days"":89,""peak_rank"":1,""peak_occurrences"":16,""peak_daily_streams"":14880,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":6}"
7,für Oksana,nublu,[],,,,[],,,,,,,spotify_country_chart_streams,3046007.0,streams,3046007,Spotify regional daily chart (Kworb aggregate),,,3ZNv0P70XQX5FoQAUw3bLg,,,https://kworb.net/spotify/country/ee_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for EE, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""EE"",""country_name"":""EE"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":1516,""top10_days"":162,""peak_rank"":1,""peak_occurrences"":49,""peak_daily_streams"":21779,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":7}"
8,kõrvetab,5MIINUST,[],,,,[],,,,,,,spotify_country_chart_streams,2756816.0,streams,2756816,Spotify regional daily chart (Kworb aggregate),,,7KgxiaRk8eshwZ7ThsJFoG,,,https://kworb.net/spotify/country/ee_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for EE, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""EE"",""country_name"":""EE"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":1082,""top10_days"":132,""peak_rank"":1,""peak_occurrences"":12,""peak_daily_streams"":13833,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":8}"
9,leekiv armastus,villemdrillem,[],,,,[],,,,,,,spotify_country_chart_streams,2749499.0,streams,2749499,Spotify regional daily chart (Kworb aggregate),,,00hNKV1irlhbazTD3p7Uea,,,https://kworb.net/spotify/country/ee_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for EE, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""EE"",""country_name"":""EE"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":1124,""top10_days"":160,""peak_rank"":1,""peak_occurrences"":47,""peak_daily_streams"":13333,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":9}"
10,Paaristõuked,5MIINUST,[],,,,[],,,,,,,spotify_country_chart_streams,2573593.0,streams,2573593,Spotify regional daily chart (Kworb aggregate),,,5fhn8aAo9FAl1pVLsMPOPk,,,https://kworb.net/spotify/country/ee_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for EE, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""EE"",""country_name"":""EE"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":1542,""top10_days"":143,""peak_rank"":1,""peak_occurrences"":32,""peak_daily_streams"":7350,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":10}"
11,I Got Love,MiyaGi & Endspiel,[],,,,[],,,,,,,spotify_country_chart_streams,2562473.0,streams,2562473,Spotify regional daily chart (Kworb aggregate),,,43wgyQXc2M9KmTDUqVzugM,,,https://kworb.net/spotify/country/ee_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for EE, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""EE"",""country_name"":""EE"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":1964,""top10_days"":1,""peak_rank"":10,""peak_occurrences"":null,""peak_daily_streams"":2695,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":11}"
12,KUHU KADUS STEN?,gameboy tetris,[],,,,[],,,,,,,spotify_country_chart_streams,2483751.0,streams,2483751,Spotify regional daily chart (Kworb aggregate),,,63YH4W1jfTXbuS9LNSCTXB,,,https://kworb.net/spotify/country/ee_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for EE, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""EE"",""country_name"":""EE"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":1146,""top10_days"":186,""peak_rank"":1,""peak_occurrences"":13,""peak_daily_streams"":13392,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":12}"
13,LAUSU TÕTT,nublu,[],,,,[],,,,,,,spotify_country_chart_streams,2455369.0,streams,2455369,Spotify regional daily chart (Kworb aggregate),,,5EDMOu7PXIbybCGF8vpgbL,,,https://kworb.net/spotify/country/ee_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for EE, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""EE"",""country_name"":""EE"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":417,""top10_days"":331,""peak_rank"":1,""peak_occurrences"":10,""peak_daily_streams"":13819,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":13}"
