rank,title,main_artist,featured_artists,album,release_date,release_year,genres,composer,anime_title,anime_popularity,screen_work,vtuber,is_original,metric_name,metric_value,metric_unit,listen_count,listen_source,view_count,overall_popularity_score,spotify_track_id,musicbrainz_recording_mbid,isrc,source_url,retrieved_at,source_notes,extra
1,البخت,Wegz,[],,,,[],,,,,,,spotify_country_chart_streams,50463738.0,streams,50463738,Spotify regional daily chart (Kworb aggregate),,,5kdlxZ5skOYY3VK8RlfEIZ,,,https://kworb.net/spotify/country/eg_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for EG, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2019-07-22 through 2026-07-20.","{""country_code"":""EG"",""country_name"":""EG"",""chart_coverage_start"":""2019-07-22"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":1606,""top10_days"":556,""peak_rank"":1,""peak_occurrences"":159,""peak_daily_streams"":205633,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":1}"
2,هيجيلي موجوع,Tamer Ashour,[],,,,[],,,,,,,spotify_country_chart_streams,38809241.0,streams,38809241,Spotify regional daily chart (Kworb aggregate),,,2Heqj9jtxarmecKxycGSWn,,,https://kworb.net/spotify/country/eg_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for EG, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2019-07-22 through 2026-07-20.","{""country_code"":""EG"",""country_name"":""EG"",""chart_coverage_start"":""2019-07-22"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":920,""top10_days"":338,""peak_rank"":1,""peak_occurrences"":21,""peak_daily_streams"":113234,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":2}"
3,Yazmeely,Mond,[],,,,[],,,,,,,spotify_country_chart_streams,38136286.0,streams,38136286,Spotify regional daily chart (Kworb aggregate),,,0rDNeS6IwKi1oMrtkEc5S0,,,https://kworb.net/spotify/country/eg_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for EG, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2019-07-22 through 2026-07-20.","{""country_code"":""EG"",""country_name"":""EG"",""chart_coverage_start"":""2019-07-22"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":1084,""top10_days"":282,""peak_rank"":2,""peak_occurrences"":10,""peak_daily_streams"":65798,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":3}"
4,Basrah w Atooh,Cairokee,[],,,,[],,,,,,,spotify_country_chart_streams,38051241.0,streams,38051241,Spotify regional daily chart (Kworb aggregate),,,4vIbws1xp082bv0zl8vLaJ,,,https://kworb.net/spotify/country/eg_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for EG, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2019-07-22 through 2026-07-20.","{""country_code"":""EG"",""country_name"":""EG"",""chart_coverage_start"":""2019-07-22"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":1397,""top10_days"":62,""peak_rank"":3,""peak_occurrences"":5,""peak_daily_streams"":61336,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":4}"
5,لما بيوحشني,Ramy Sabry,[],,,,[],,,,,,,spotify_country_chart_streams,33433955.0,streams,33433955,Spotify regional daily chart (Kworb aggregate),,,5BiSAqXhrMRoxvDd34vBXT,,,https://kworb.net/spotify/country/eg_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for EG, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2019-07-22 through 2026-07-20.","{""country_code"":""EG"",""country_name"":""EG"",""chart_coverage_start"":""2019-07-22"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":1181,""top10_days"":6,""peak_rank"":6,""peak_occurrences"":null,""peak_daily_streams"":70745,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":5}"
6,عالعموم,Shehab,[],,,,[],,,,,,,spotify_country_chart_streams,32337925.0,streams,32337925,Spotify regional daily chart (Kworb aggregate),,,3tfiVsnpCzewE8rPpsRIL6,,,https://kworb.net/spotify/country/eg_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for EG, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2019-07-22 through 2026-07-20.","{""country_code"":""EG"",""country_name"":""EG"",""chart_coverage_start"":""2019-07-22"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":874,""top10_days"":315,""peak_rank"":1,""peak_occurrences"":29,""peak_daily_streams"":69233,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":6}"
7,Makrehtosh,Tamer Ashour,[],,,,[],,,,,,,spotify_country_chart_streams,32278969.0,streams,32278969,Spotify regional daily chart (Kworb aggregate),,,6ETTz69AD0SQzjxiCipq7g,,,https://kworb.net/spotify/country/eg_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for EG, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2019-07-22 through 2026-07-20.","{""country_code"":""EG"",""country_name"":""EG"",""chart_coverage_start"":""2019-07-22"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":551,""top10_days"":275,""peak_rank"":2,""peak_occurrences"":17,""peak_daily_streams"":108421,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":7}"
8,يمكن خير,Ramy Sabry,[],,,,[],,,,,,,spotify_country_chart_streams,31711373.0,streams,31711373,Spotify regional daily chart (Kworb aggregate),,,4Guq7XrO1FjduwFBsVbr0E,,,https://kworb.net/spotify/country/eg_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for EG, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2019-07-22 through 2026-07-20.","{""country_code"":""EG"",""country_name"":""EG"",""chart_coverage_start"":""2019-07-22"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":1256,""top10_days"":171,""peak_rank"":1,""peak_occurrences"":2,""peak_daily_streams"":50501,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":8}"
9,Khaleny Fe Hodnak,Tamer Ashour,[],,,,[],,,,,,,spotify_country_chart_streams,31468650.0,streams,31468650,Spotify regional daily chart (Kworb aggregate),,,6yVGUtmHwDsqqXs1Lak423,,,https://kworb.net/spotify/country/eg_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for EG, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2019-07-22 through 2026-07-20.","{""country_code"":""EG"",""country_name"":""EG"",""chart_coverage_start"":""2019-07-22"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":1623,""top10_days"":9,""peak_rank"":5,""peak_occurrences"":null,""peak_daily_streams"":51489,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":9}"
10,وسط دموع وجراح,Essam Sasa,[],,,,[],,,,,,,spotify_country_chart_streams,29568353.0,streams,29568353,Spotify regional daily chart (Kworb aggregate),,,3FdV0iO6fskyPeYnrMsKPM,,,https://kworb.net/spotify/country/eg_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for EG, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2019-07-22 through 2026-07-20.","{""country_code"":""EG"",""country_name"":""EG"",""chart_coverage_start"":""2019-07-22"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":1847,""top10_days"":null,""peak_rank"":11,""peak_occurrences"":null,""peak_daily_streams"":43197,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":10}"
