rank,title,main_artist,featured_artists,album,release_date,release_year,genres,languages,composer,anime_title,anime_popularity,screen_work,vtuber,is_original,metric_name,metric_value,metric_unit,listen_count,listen_source,view_count,overall_popularity_score,spotify_track_id,musicbrainz_recording_mbid,isrc,source_url,retrieved_at,source_notes,extra
1,البخت,Wegz,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,51846455.0,streams,51846455,Spotify regional daily chart (Kworb aggregate),,,5kdlxZ5skOYY3VK8RlfEIZ,,,https://kworb.net/spotify/country/eg_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Egypt, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2019-07-22 through 2026-09-11.","{""country_code"":""EG"",""country_name"":""Egypt"",""chart_coverage_start"":""2019-07-22"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":1659,""top10_days"":556,""peak_rank"":1,""peak_occurrences"":159,""peak_daily_streams"":205633,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":1}"
2,هيجيلي موجوع,Tamer Ashour,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,40026092.0,streams,40026092,Spotify regional daily chart (Kworb aggregate),,,2Heqj9jtxarmecKxycGSWn,,,https://kworb.net/spotify/country/eg_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Egypt, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2019-07-22 through 2026-09-11.","{""country_code"":""EG"",""country_name"":""Egypt"",""chart_coverage_start"":""2019-07-22"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":973,""top10_days"":338,""peak_rank"":1,""peak_occurrences"":21,""peak_daily_streams"":113234,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":2}"
3,Yazmeely,Mond,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,39423546.0,streams,39423546,Spotify regional daily chart (Kworb aggregate),,,0rDNeS6IwKi1oMrtkEc5S0,,,https://kworb.net/spotify/country/eg_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Egypt, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2019-07-22 through 2026-09-11.","{""country_code"":""EG"",""country_name"":""Egypt"",""chart_coverage_start"":""2019-07-22"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":1137,""top10_days"":282,""peak_rank"":2,""peak_occurrences"":10,""peak_daily_streams"":65798,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":3}"
4,Basrah w Atooh,Cairokee,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,39392617.0,streams,39392617,Spotify regional daily chart (Kworb aggregate),,,4vIbws1xp082bv0zl8vLaJ,,,https://kworb.net/spotify/country/eg_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Egypt, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2019-07-22 through 2026-09-11.","{""country_code"":""EG"",""country_name"":""Egypt"",""chart_coverage_start"":""2019-07-22"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":1450,""top10_days"":62,""peak_rank"":3,""peak_occurrences"":5,""peak_daily_streams"":61336,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":4}"
5,لما بيوحشني,Ramy Sabry,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,35418776.0,streams,35418776,Spotify regional daily chart (Kworb aggregate),,,5BiSAqXhrMRoxvDd34vBXT,,,https://kworb.net/spotify/country/eg_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Egypt, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2019-07-22 through 2026-09-11.","{""country_code"":""EG"",""country_name"":""Egypt"",""chart_coverage_start"":""2019-07-22"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":1234,""top10_days"":6,""peak_rank"":6,""peak_occurrences"":null,""peak_daily_streams"":70745,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":5}"
6,Makrehtosh,Tamer Ashour,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,34972506.0,streams,34972506,Spotify regional daily chart (Kworb aggregate),,,6ETTz69AD0SQzjxiCipq7g,,,https://kworb.net/spotify/country/eg_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Egypt, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2019-07-22 through 2026-09-11.","{""country_code"":""EG"",""country_name"":""Egypt"",""chart_coverage_start"":""2019-07-22"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":604,""top10_days"":275,""peak_rank"":2,""peak_occurrences"":17,""peak_daily_streams"":108421,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":6}"
7,يمكن خير,Ramy Sabry,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,32918693.0,streams,32918693,Spotify regional daily chart (Kworb aggregate),,,4Guq7XrO1FjduwFBsVbr0E,,,https://kworb.net/spotify/country/eg_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Egypt, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2019-07-22 through 2026-09-11.","{""country_code"":""EG"",""country_name"":""Egypt"",""chart_coverage_start"":""2019-07-22"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":1309,""top10_days"":171,""peak_rank"":1,""peak_occurrences"":2,""peak_daily_streams"":50501,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":7}"
8,عالعموم,Shehab,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,32882834.0,streams,32882834,Spotify regional daily chart (Kworb aggregate),,,3tfiVsnpCzewE8rPpsRIL6,,,https://kworb.net/spotify/country/eg_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Egypt, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2019-07-22 through 2026-09-11.","{""country_code"":""EG"",""country_name"":""Egypt"",""chart_coverage_start"":""2019-07-22"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":906,""top10_days"":315,""peak_rank"":1,""peak_occurrences"":29,""peak_daily_streams"":69233,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":8}"
9,Khaleny Fe Hodnak,Tamer Ashour,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,32536705.0,streams,32536705,Spotify regional daily chart (Kworb aggregate),,,6yVGUtmHwDsqqXs1Lak423,,,https://kworb.net/spotify/country/eg_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Egypt, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2019-07-22 through 2026-09-11.","{""country_code"":""EG"",""country_name"":""Egypt"",""chart_coverage_start"":""2019-07-22"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":1675,""top10_days"":9,""peak_rank"":5,""peak_occurrences"":null,""peak_daily_streams"":51489,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":9}"
10,و افتكرت,Mohamed Hamaki,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,31256296.0,streams,31256296,Spotify regional daily chart (Kworb aggregate),,,2ZYxLGcohgsKpor8pGMc0o,,,https://kworb.net/spotify/country/eg_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Egypt, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2019-07-22 through 2026-09-11.","{""country_code"":""EG"",""country_name"":""Egypt"",""chart_coverage_start"":""2019-07-22"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":1121,""top10_days"":null,""peak_rank"":16,""peak_occurrences"":null,""peak_daily_streams"":58913,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":10}"
