rank,title,main_artist,featured_artists,album,release_date,release_year,genres,composer,anime_title,anime_popularity,screen_work,vtuber,is_original,metric_name,metric_value,metric_unit,listen_count,listen_source,view_count,overall_popularity_score,spotify_track_id,musicbrainz_recording_mbid,isrc,source_url,retrieved_at,source_notes,extra
1,Timanttei,Mirella,[],,,,[],,,,,,,spotify_country_chart_streams,39667014.0,streams,39667014,Spotify regional daily chart (Kworb aggregate),,,3BZB8nRPdxDmG2X5Mzlq7X,,,https://kworb.net/spotify/country/fi_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for FI, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""FI"",""country_name"":""FI"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":928,""top10_days"":270,""peak_rank"":1,""peak_occurrences"":48,""peak_daily_streams"":189027,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":1}"
2,Cha Cha Cha,Käärijä,[],,,,[],,,,,,,spotify_country_chart_streams,35032006.0,streams,35032006,Spotify regional daily chart (Kworb aggregate),,,5RX8T3EoTuXcybAxe6oPAw,,,https://kworb.net/spotify/country/fi_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for FI, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""FI"",""country_name"":""FI"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":966,""top10_days"":221,""peak_rank"":1,""peak_occurrences"":45,""peak_daily_streams"":469600,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":2}"
3,Hei rakas,Behm,[],,,,[],,,,,,,spotify_country_chart_streams,33590717.0,streams,33590717,Spotify regional daily chart (Kworb aggregate),,,2XaewhXngZd2Zi4ijFIkK0,,,https://kworb.net/spotify/country/fi_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for FI, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""FI"",""country_name"":""FI"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":2023,""top10_days"":239,""peak_rank"":1,""peak_occurrences"":48,""peak_daily_streams"":75605,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":3}"
4,Ikuinen vappu,JVG,[],,,,[],,,,,,,spotify_country_chart_streams,32451650.0,streams,32451650,Spotify regional daily chart (Kworb aggregate),,,4ycKgmGOtvuJZVPyvBpVVU,,,https://kworb.net/spotify/country/fi_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for FI, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""FI"",""country_name"":""FI"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":1721,""top10_days"":203,""peak_rank"":1,""peak_occurrences"":66,""peak_daily_streams"":154498,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":4}"
5,BLONDINA,ibe,[],,,,[],,,,,,,spotify_country_chart_streams,29253420.0,streams,29253420,Spotify regional daily chart (Kworb aggregate),,,3Fq0id1BFWX3GoCeWdNh53,,,https://kworb.net/spotify/country/fi_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for FI, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""FI"",""country_name"":""FI"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":1119,""top10_days"":149,""peak_rank"":1,""peak_occurrences"":56,""peak_daily_streams"":191674,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":5}"
6,Tulipalo,KUUMAA,[],,,,[],,,,,,,spotify_country_chart_streams,29039897.0,streams,29039897,Spotify regional daily chart (Kworb aggregate),,,50MCpRAPLw8KXn8j6j2yb7,,,https://kworb.net/spotify/country/fi_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for FI, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""FI"",""country_name"":""FI"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":1196,""top10_days"":94,""peak_rank"":3,""peak_occurrences"":4,""peak_daily_streams"":82236,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":6}"
7,Ylivoimainen,KUUMAA,[],,,,[],,,,,,,spotify_country_chart_streams,27626140.0,streams,27626140,Spotify regional daily chart (Kworb aggregate),,,4TXoHT9YxXfczvs2ccf5MK,,,https://kworb.net/spotify/country/fi_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for FI, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""FI"",""country_name"":""FI"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":877,""top10_days"":117,""peak_rank"":1,""peak_occurrences"":13,""peak_daily_streams"":155363,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":7}"
8,Luotathan,Mirella,[],,,,[],,,,,,,spotify_country_chart_streams,26746605.0,streams,26746605,Spotify regional daily chart (Kworb aggregate),,,0hua7obC2aRxJdPkSoFKEu,,,https://kworb.net/spotify/country/fi_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for FI, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""FI"",""country_name"":""FI"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":780,""top10_days"":159,""peak_rank"":1,""peak_occurrences"":74,""peak_daily_streams"":286808,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":8}"
9,Blinding Lights,The Weeknd,[],,,,[],,,,,,,spotify_country_chart_streams,26569174.0,streams,26569174,Spotify regional daily chart (Kworb aggregate),,,0VjIjW4GlUZAMYd2vXMi3b,,,https://kworb.net/spotify/country/fi_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for FI, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""FI"",""country_name"":""FI"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":1406,""top10_days"":256,""peak_rank"":1,""peak_occurrences"":56,""peak_daily_streams"":85056,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""alternate_metrics"":[{""metric_name"":""spotify_country_chart_streams"",""metric_value"":57164.0,""metric_unit"":""streams"",""listen_count"":57164,""view_count"":null,""source_url"":""https://kworb.net/spotify/country/fi_daily_totals.html"",""retrieved_at"":""2026-07-22""}],""merged_sources"":[""https://kworb.net/spotify/country/fi_daily_totals.html""],""country_rank"":9}"
10,Frida,Behm,[],,,,[],,,,,,,spotify_country_chart_streams,26473217.0,streams,26473217,Spotify regional daily chart (Kworb aggregate),,,2DnfYBSG1cEcEYieldgp2X,,,https://kworb.net/spotify/country/fi_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for FI, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""FI"",""country_name"":""FI"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":1560,""top10_days"":216,""peak_rank"":1,""peak_occurrences"":11,""peak_daily_streams"":101802,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":10}"
