rank,title,main_artist,featured_artists,album,release_date,release_year,genres,composer,anime_title,anime_popularity,screen_work,vtuber,is_original,metric_name,metric_value,metric_unit,listen_count,listen_source,view_count,overall_popularity_score,spotify_track_id,musicbrainz_recording_mbid,isrc,source_url,retrieved_at,source_notes,extra
1,La vie qu'on mène,Ninho,[],,,,[],,,,,,,spotify_country_chart_streams,284569366.0,streams,284569366,Spotify regional daily chart (Kworb aggregate),,,0Jh6iWjna1wk5le0Ahn7No,,,https://kworb.net/spotify/country/fr_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for FR, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""FR"",""country_name"":""FR"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":2678,""top10_days"":43,""peak_rank"":2,""peak_occurrences"":1,""peak_daily_streams"":843119,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":1}"
2,Θ. Macarena,Damso,[],,,,[],,,,,,,spotify_country_chart_streams,187788196.0,streams,187788196,Spotify regional daily chart (Kworb aggregate),,,2ewjMyCbNv2X1dB2qIDCwD,,,https://kworb.net/spotify/country/fr_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for FR, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""FR"",""country_name"":""FR"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":2647,""top10_days"":133,""peak_rank"":1,""peak_occurrences"":72,""peak_daily_streams"":214747,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":2}"
3,Petit génie,Jungeli,[],,,,[],,,,,,,spotify_country_chart_streams,181006048.0,streams,181006048,Spotify regional daily chart (Kworb aggregate),,,1eldTykrnkEBLX41bk5eMw,,,https://kworb.net/spotify/country/fr_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for FR, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""FR"",""country_name"":""FR"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":833,""top10_days"":331,""peak_rank"":1,""peak_occurrences"":139,""peak_daily_streams"":752468,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":3}"
4,SPIDER,GIMS,[],,,,[],,,,,,,spotify_country_chart_streams,176983112.0,streams,176983112,Spotify regional daily chart (Kworb aggregate),,,4oVMLxxYpQLYx8gx4JjuuY,,,https://kworb.net/spotify/country/fr_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for FR, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""FR"",""country_name"":""FR"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":802,""top10_days"":298,""peak_rank"":1,""peak_occurrences"":23,""peak_daily_streams"":649355,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":4}"
5,Blinding Lights,The Weeknd,[],,,,[],,,,,,,spotify_country_chart_streams,173717883.0,streams,173717883,Spotify regional daily chart (Kworb aggregate),,,0VjIjW4GlUZAMYd2vXMi3b,,,https://kworb.net/spotify/country/fr_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for FR, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""FR"",""country_name"":""FR"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":1880,""top10_days"":188,""peak_rank"":1,""peak_occurrences"":13,""peak_daily_streams"":354342,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":5}"
6,La kiffance,Naps,[],,,,[],,,,,,,spotify_country_chart_streams,173006138.0,streams,173006138,Spotify regional daily chart (Kworb aggregate),,,1bwhDrXcAtqePp8mNJ0pTe,,,https://kworb.net/spotify/country/fr_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for FR, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""FR"",""country_name"":""FR"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":1218,""top10_days"":246,""peak_rank"":1,""peak_occurrences"":60,""peak_daily_streams"":618960,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":6}"
7,Bolide allemand,SDM,[],,,,[],,,,,,,spotify_country_chart_streams,170458438.0,streams,170458438,Spotify regional daily chart (Kworb aggregate),,,0EzNyXyU7gHzj2TN8qYThj,,,https://kworb.net/spotify/country/fr_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for FR, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""FR"",""country_name"":""FR"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":1170,""top10_days"":241,""peak_rank"":1,""peak_occurrences"":43,""peak_daily_streams"":382792,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":7}"
8,Lettre à une femme,Ninho,[],,,,[],,,,,,,spotify_country_chart_streams,170375430.0,streams,170375430,Spotify regional daily chart (Kworb aggregate),,,5HEtuK03ygUzqca6yfgOYZ,,,https://kworb.net/spotify/country/fr_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for FR, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""FR"",""country_name"":""FR"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":2080,""top10_days"":98,""peak_rank"":1,""peak_occurrences"":41,""peak_daily_streams"":1112221,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":8}"
9,SOIS PAS TIMIDE,GIMS,[],,,,[],,,,,,,spotify_country_chart_streams,167671958.0,streams,167671958,Spotify regional daily chart (Kworb aggregate),,,0yyFAbTlOk7DFhh6RSug9S,,,https://kworb.net/spotify/country/fr_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for FR, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""FR"",""country_name"":""FR"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":732,""top10_days"":261,""peak_rank"":1,""peak_occurrences"":53,""peak_daily_streams"":645364,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":9}"
10,Putana,Ninho,[],,,,[],,,,,,,spotify_country_chart_streams,158383779.0,streams,158383779,Spotify regional daily chart (Kworb aggregate),,,5oePa8PlOTPAlRaGs2OZ3A,,,https://kworb.net/spotify/country/fr_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for FR, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""FR"",""country_name"":""FR"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":1968,""top10_days"":29,""peak_rank"":3,""peak_occurrences"":1,""peak_daily_streams"":643946,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":10}"
11,Bande organisée,13 Organisé,[],,,,[],,,,,,,spotify_country_chart_streams,154825599.0,streams,154825599,Spotify regional daily chart (Kworb aggregate),,,717QGTmZdkemDaCo1vQHG0,,,https://kworb.net/spotify/country/fr_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for FR, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""FR"",""country_name"":""FR"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":1419,""top10_days"":149,""peak_rank"":1,""peak_occurrences"":71,""peak_daily_streams"":891358,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":11}"
12,Laboratoire,Werenoi,[],,,,[],,,,,,,spotify_country_chart_streams,151639423.0,streams,151639423,Spotify regional daily chart (Kworb aggregate),,,7wOgZ1otoKYDvKyQKP1sNZ,,,https://kworb.net/spotify/country/fr_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for FR, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""FR"",""country_name"":""FR"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":1166,""top10_days"":55,""peak_rank"":7,""peak_occurrences"":null,""peak_daily_streams"":372963,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":12}"
13,Another Love,Tom Odell,[],,,,[],,,,,,,spotify_country_chart_streams,149675693.0,streams,149675693,Spotify regional daily chart (Kworb aggregate),,,7jtQIBanIiJOMS6RyCx6jZ,,,https://kworb.net/spotify/country/fr_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for FR, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""FR"",""country_name"":""FR"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":1972,""top10_days"":null,""peak_rank"":15,""peak_occurrences"":null,""peak_daily_streams"":155454,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":13}"
14,Meuda,Tiakola,[],,,,[],,,,,,,spotify_country_chart_streams,147198259.0,streams,147198259,Spotify regional daily chart (Kworb aggregate),,,4wNyrbY6B2Okii8VeKo2B2,,,https://kworb.net/spotify/country/fr_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for FR, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""FR"",""country_name"":""FR"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":1195,""top10_days"":202,""peak_rank"":1,""peak_occurrences"":1,""peak_daily_streams"":323849,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":14}"
15,melodrama,disiz,[],,,,[],,,,,,,spotify_country_chart_streams,142189179.0,streams,142189179,Spotify regional daily chart (Kworb aggregate),,,55vPnuXfuzXNW75JpuSczF,,,https://kworb.net/spotify/country/fr_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for FR, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""FR"",""country_name"":""FR"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":298,""top10_days"":288,""peak_rank"":1,""peak_occurrences"":158,""peak_daily_streams"":1046736,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":15}"
16,Chemin d'or,Werenoi,[],,,,[],,,,,,,spotify_country_chart_streams,135865898.0,streams,135865898,Spotify regional daily chart (Kworb aggregate),,,5kfAx6phDHPpz5g8IAPyc2,,,https://kworb.net/spotify/country/fr_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for FR, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""FR"",""country_name"":""FR"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":1209,""top10_days"":6,""peak_rank"":4,""peak_occurrences"":null,""peak_daily_streams"":407830,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":16}"
