rank,title,main_artist,featured_artists,album,release_date,release_year,genres,languages,composer,anime_title,anime_popularity,screen_work,vtuber,is_original,metric_name,metric_value,metric_unit,listen_count,listen_source,view_count,overall_popularity_score,spotify_track_id,musicbrainz_recording_mbid,isrc,source_url,retrieved_at,source_notes,extra
1,La vie qu'on mène,Ninho,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,291010726.0,streams,291010726,Spotify regional daily chart (Kworb aggregate),,,0Jh6iWjna1wk5le0Ahn7No,,,https://kworb.net/spotify/country/fr_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for France, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-09-11.","{""country_code"":""FR"",""country_name"":""France"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":2731,""top10_days"":43,""peak_rank"":2,""peak_occurrences"":1,""peak_daily_streams"":843119,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":1}"
2,Θ. Macarena,Damso,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,191982613.0,streams,191982613,Spotify regional daily chart (Kworb aggregate),,,2ewjMyCbNv2X1dB2qIDCwD,,,https://kworb.net/spotify/country/fr_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for France, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-09-11.","{""country_code"":""FR"",""country_name"":""France"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":2700,""top10_days"":133,""peak_rank"":1,""peak_occurrences"":72,""peak_daily_streams"":214747,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":2}"
3,Petit génie,Jungeli,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,181310582.0,streams,181310582,Spotify regional daily chart (Kworb aggregate),,,1eldTykrnkEBLX41bk5eMw,,,https://kworb.net/spotify/country/fr_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for France, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-09-11.","{""country_code"":""FR"",""country_name"":""France"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":838,""top10_days"":331,""peak_rank"":1,""peak_occurrences"":139,""peak_daily_streams"":752468,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":3}"
4,SPIDER,GIMS,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,180368854.0,streams,180368854,Spotify regional daily chart (Kworb aggregate),,,4oVMLxxYpQLYx8gx4JjuuY,,,https://kworb.net/spotify/country/fr_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for France, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-09-11.","{""country_code"":""FR"",""country_name"":""France"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":852,""top10_days"":298,""peak_rank"":1,""peak_occurrences"":23,""peak_daily_streams"":649355,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":4}"
5,Lettre à une femme,Ninho,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,174822012.0,streams,174822012,Spotify regional daily chart (Kworb aggregate),,,5HEtuK03ygUzqca6yfgOYZ,,,https://kworb.net/spotify/country/fr_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for France, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-09-11.","{""country_code"":""FR"",""country_name"":""France"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":2133,""top10_days"":98,""peak_rank"":1,""peak_occurrences"":41,""peak_daily_streams"":1112221,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":5}"
6,Blinding Lights,The Weeknd,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,173717883.0,streams,173717883,Spotify regional daily chart (Kworb aggregate),,,0VjIjW4GlUZAMYd2vXMi3b,,,https://kworb.net/spotify/country/fr_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for France, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-09-11.","{""country_code"":""FR"",""country_name"":""France"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":1880,""top10_days"":188,""peak_rank"":1,""peak_occurrences"":13,""peak_daily_streams"":354342,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":6}"
7,La kiffance,Naps,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,173006138.0,streams,173006138,Spotify regional daily chart (Kworb aggregate),,,1bwhDrXcAtqePp8mNJ0pTe,,,https://kworb.net/spotify/country/fr_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for France, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-09-11.","{""country_code"":""FR"",""country_name"":""France"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":1218,""top10_days"":246,""peak_rank"":1,""peak_occurrences"":60,""peak_daily_streams"":618960,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":7}"
8,SOIS PAS TIMIDE,GIMS,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,170759083.0,streams,170759083,Spotify regional daily chart (Kworb aggregate),,,0yyFAbTlOk7DFhh6RSug9S,,,https://kworb.net/spotify/country/fr_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for France, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-09-11.","{""country_code"":""FR"",""country_name"":""France"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":780,""top10_days"":261,""peak_rank"":1,""peak_occurrences"":53,""peak_daily_streams"":645364,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":8}"
9,Bolide allemand,SDM,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,170458438.0,streams,170458438,Spotify regional daily chart (Kworb aggregate),,,0EzNyXyU7gHzj2TN8qYThj,,,https://kworb.net/spotify/country/fr_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for France, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-09-11.","{""country_code"":""FR"",""country_name"":""France"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":1170,""top10_days"":241,""peak_rank"":1,""peak_occurrences"":43,""peak_daily_streams"":382792,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":9}"
10,Putana,Ninho,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,162921524.0,streams,162921524,Spotify regional daily chart (Kworb aggregate),,,5oePa8PlOTPAlRaGs2OZ3A,,,https://kworb.net/spotify/country/fr_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for France, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-09-11.","{""country_code"":""FR"",""country_name"":""France"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":2021,""top10_days"":29,""peak_rank"":3,""peak_occurrences"":1,""peak_daily_streams"":643946,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":10}"
11,Laboratoire,Werenoi,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,155151788.0,streams,155151788,Spotify regional daily chart (Kworb aggregate),,,7wOgZ1otoKYDvKyQKP1sNZ,,,https://kworb.net/spotify/country/fr_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for France, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-09-11.","{""country_code"":""FR"",""country_name"":""France"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":1219,""top10_days"":55,""peak_rank"":7,""peak_occurrences"":null,""peak_daily_streams"":372963,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":11}"
12,Bande organisée,13 Organisé,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,154825599.0,streams,154825599,Spotify regional daily chart (Kworb aggregate),,,717QGTmZdkemDaCo1vQHG0,,,https://kworb.net/spotify/country/fr_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for France, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-09-11.","{""country_code"":""FR"",""country_name"":""France"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":1419,""top10_days"":149,""peak_rank"":1,""peak_occurrences"":71,""peak_daily_streams"":891358,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":12}"
