rank,title,main_artist,featured_artists,album,release_date,release_year,genres,composer,anime_title,anime_popularity,screen_work,vtuber,is_original,metric_name,metric_value,metric_unit,listen_count,listen_source,view_count,overall_popularity_score,spotify_track_id,musicbrainz_recording_mbid,isrc,source_url,retrieved_at,source_notes,extra
1,Mr. Brightside,The Killers,[],,,,[],,,,,,,spotify_country_chart_streams,462977587.0,streams,462977587,Spotify regional daily chart (Kworb aggregate),,,003vvx7Niy0yvhvHt4a68B,,,https://kworb.net/spotify/country/gb_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for GB, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""GB"",""country_name"":""GB"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":4230,""top10_days"":20,""peak_rank"":4,""peak_occurrences"":null,""peak_daily_streams"":279141,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":1}"
2,Someone You Loved,Lewis Capaldi,[],,,,[],,,,,,,spotify_country_chart_streams,335098256.0,streams,335098256,Spotify regional daily chart (Kworb aggregate),,,7qEHsqek33rTcFNT9PFqLf,,,https://kworb.net/spotify/country/gb_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for GB, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""GB"",""country_name"":""GB"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":2350,""top10_days"":283,""peak_rank"":1,""peak_occurrences"":26,""peak_daily_streams"":667950,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":2}"
3,Riptide,Vance Joy,[],,,,[],,,,,,,spotify_country_chart_streams,307289627.0,streams,307289627,Spotify regional daily chart (Kworb aggregate),,,7yq4Qj7cqayVTp3FF9CWbm,,,https://kworb.net/spotify/country/gb_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for GB, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""GB"",""country_name"":""GB"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":3796,""top10_days"":null,""peak_rank"":11,""peak_occurrences"":null,""peak_daily_streams"":220296,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":3}"
4,One Dance,Drake,[],,,,[],,,,,,,spotify_country_chart_streams,306726384.0,streams,306726384,Spotify regional daily chart (Kworb aggregate),,,1zi7xx7UVEFkmKfv06H8x0,,,https://kworb.net/spotify/country/gb_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for GB, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""GB"",""country_name"":""GB"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":2745,""top10_days"":162,""peak_rank"":1,""peak_occurrences"":101,""peak_daily_streams"":842439,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":4}"
5,Blinding Lights,The Weeknd,[],,,,[],,,,,,,spotify_country_chart_streams,257364815.0,streams,257364815,Spotify regional daily chart (Kworb aggregate),,,0VjIjW4GlUZAMYd2vXMi3b,,,https://kworb.net/spotify/country/gb_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for GB, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""GB"",""country_name"":""GB"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":1819,""top10_days"":237,""peak_rank"":1,""peak_occurrences"":70,""peak_daily_streams"":637003,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":5}"
6,Naive,The Kooks,[],,,,[],,,,,,,spotify_country_chart_streams,248307960.0,streams,248307960,Spotify regional daily chart (Kworb aggregate),,,7BHPGtpuuWWsvE7cCaMuEU,,,https://kworb.net/spotify/country/gb_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for GB, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""GB"",""country_name"":""GB"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":3443,""top10_days"":null,""peak_rank"":41,""peak_occurrences"":null,""peak_daily_streams"":175370,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":6}"
7,Stick Season,Noah Kahan,[],,,,[],,,,,,,spotify_country_chart_streams,242155031.0,streams,242155031,Spotify regional daily chart (Kworb aggregate),,,0mflMxspEfB0VbI1kyLiAv,,,https://kworb.net/spotify/country/gb_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for GB, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""GB"",""country_name"":""GB"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":1021,""top10_days"":180,""peak_rank"":1,""peak_occurrences"":78,""peak_daily_streams"":844562,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":7}"
8,Wonderwall - Remastered,Oasis,[],,,,[],,,,,,,spotify_country_chart_streams,241142665.0,streams,241142665,Spotify regional daily chart (Kworb aggregate),,,5qqabIl2vWzo9ApSC317sa,,,https://kworb.net/spotify/country/gb_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for GB, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""GB"",""country_name"":""GB"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":3416,""top10_days"":19,""peak_rank"":1,""peak_occurrences"":1,""peak_daily_streams"":500102,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":8}"
9,Do I Wanna Know?,Arctic Monkeys,[],,,,[],,,,,,,spotify_country_chart_streams,240726005.0,streams,240726005,Spotify regional daily chart (Kworb aggregate),,,5FVd6KXrgO9B3JPmC8OPst,,,https://kworb.net/spotify/country/gb_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for GB, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""GB"",""country_name"":""GB"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":3677,""top10_days"":null,""peak_rank"":18,""peak_occurrences"":null,""peak_daily_streams"":176130,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":9}"
10,Take Me To Church,Hozier,[],,,,[],,,,,,,spotify_country_chart_streams,240565149.0,streams,240565149,Spotify regional daily chart (Kworb aggregate),,,3dYD57lRAUcMHufyqn9GcI,,,https://kworb.net/spotify/country/gb_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for GB, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""GB"",""country_name"":""GB"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":2854,""top10_days"":133,""peak_rank"":2,""peak_occurrences"":29,""peak_daily_streams"":240958,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":10}"
