rank,title,main_artist,featured_artists,album,release_date,release_year,genres,composer,anime_title,anime_popularity,screen_work,vtuber,is_original,metric_name,metric_value,metric_unit,listen_count,listen_source,view_count,overall_popularity_score,spotify_track_id,musicbrainz_recording_mbid,isrc,source_url,retrieved_at,source_notes,extra
1,MA BELLA,RACK,[],,,,[],,,,,,,spotify_country_chart_streams,36359182.0,streams,36359182,Spotify regional daily chart (Kworb aggregate),,,6D5QFkJLHYuv5f7hvslZxz,,,https://kworb.net/spotify/country/gr_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for GR, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""GR"",""country_name"":""GR"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":768,""top10_days"":111,""peak_rank"":1,""peak_occurrences"":44,""peak_daily_streams"":456487,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":1}"
2,Skoni,TOQUEL,[],,,,[],,,,,,,spotify_country_chart_streams,34955648.0,streams,34955648,Spotify regional daily chart (Kworb aggregate),,,6YfzfBiC4dpF5yv63QcLCY,,,https://kworb.net/spotify/country/gr_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for GR, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""GR"",""country_name"":""GR"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":1429,""top10_days"":7,""peak_rank"":6,""peak_occurrences"":null,""peak_daily_streams"":116829,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":2}"
3,24hrs,Light,[],,,,[],,,,,,,spotify_country_chart_streams,34699304.0,streams,34699304,Spotify regional daily chart (Kworb aggregate),,,2QDibAx72jveQXPBXOKjx2,,,https://kworb.net/spotify/country/gr_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for GR, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""GR"",""country_name"":""GR"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":1197,""top10_days"":113,""peak_rank"":1,""peak_occurrences"":21,""peak_daily_streams"":506986,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":3}"
4,Allou,TOQUEL,[],,,,[],,,,,,,spotify_country_chart_streams,32808007.0,streams,32808007,Spotify regional daily chart (Kworb aggregate),,,4Fke1kIQz7pzIZYKqyzeNm,,,https://kworb.net/spotify/country/gr_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for GR, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""GR"",""country_name"":""GR"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":930,""top10_days"":151,""peak_rank"":1,""peak_occurrences"":33,""peak_daily_streams"":193996,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":4}"
5,Beverly Hills,TOQUEL,[],,,,[],,,,,,,spotify_country_chart_streams,30850608.0,streams,30850608,Spotify regional daily chart (Kworb aggregate),,,5j2qq0EBEAceOdff92l4qZ,,,https://kworb.net/spotify/country/gr_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for GR, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""GR"",""country_name"":""GR"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":1525,""top10_days"":39,""peak_rank"":1,""peak_occurrences"":2,""peak_daily_streams"":171980,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":5}"
6,ISOS,Sicario,[],,,,[],,,,,,,spotify_country_chart_streams,30506132.0,streams,30506132,Spotify regional daily chart (Kworb aggregate),,,3CdFVH8SOVnvT0sJLT198p,,,https://kworb.net/spotify/country/gr_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for GR, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""GR"",""country_name"":""GR"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":840,""top10_days"":53,""peak_rank"":3,""peak_occurrences"":3,""peak_daily_streams"":94617,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":6}"
7,Obsessed,Light,[],,,,[],,,,,,,spotify_country_chart_streams,28504358.0,streams,28504358,Spotify regional daily chart (Kworb aggregate),,,29kTgA9pGo9RYwhED65ZrS,,,https://kworb.net/spotify/country/gr_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for GR, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""GR"",""country_name"":""GR"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":1024,""top10_days"":92,""peak_rank"":1,""peak_occurrences"":2,""peak_daily_streams"":267237,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":7}"
8,DEJA VU,LILA,[],,,,[],,,,,,,spotify_country_chart_streams,28087413.0,streams,28087413,Spotify regional daily chart (Kworb aggregate),,,3q6ayHzfLJIx22oQXoYlyi,,,https://kworb.net/spotify/country/gr_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for GR, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""GR"",""country_name"":""GR"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":637,""top10_days"":142,""peak_rank"":1,""peak_occurrences"":5,""peak_daily_streams"":248718,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":8}"
9,Erotas,SNIK,[],,,,[],,,,,,,spotify_country_chart_streams,28055725.0,streams,28055725,Spotify regional daily chart (Kworb aggregate),,,1O4LjNjQxnzqECfTKGkko6,,,https://kworb.net/spotify/country/gr_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for GR, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""GR"",""country_name"":""GR"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":1055,""top10_days"":76,""peak_rank"":1,""peak_occurrences"":30,""peak_daily_streams"":292340,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":9}"
10,3:15,TOQUEL,[],,,,[],,,,,,,spotify_country_chart_streams,26989445.0,streams,26989445,Spotify regional daily chart (Kworb aggregate),,,5d2ETO2YDunJTXd5yuCCRA,,,https://kworb.net/spotify/country/gr_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for GR, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""GR"",""country_name"":""GR"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":866,""top10_days"":94,""peak_rank"":1,""peak_occurrences"":16,""peak_daily_streams"":250511,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":10}"
11,MEDITERRANEAN,SIDARTA,[],,,,[],,,,,,,spotify_country_chart_streams,26150275.0,streams,26150275,Spotify regional daily chart (Kworb aggregate),,,0C11SdO6nuqHDx230fZ2Gh,,,https://kworb.net/spotify/country/gr_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for GR, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""GR"",""country_name"":""GR"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":961,""top10_days"":125,""peak_rank"":1,""peak_occurrences"":14,""peak_daily_streams"":139114,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":11}"
12,PADOU,Saske,[],,,,[],,,,,,,spotify_country_chart_streams,26122624.0,streams,26122624,Spotify regional daily chart (Kworb aggregate),,,27GSRTfL7fEnLAEr3fB5YX,,,https://kworb.net/spotify/country/gr_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for GR, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""GR"",""country_name"":""GR"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":1376,""top10_days"":8,""peak_rank"":2,""peak_occurrences"":1,""peak_daily_streams"":52380,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""alternate_metrics"":[{""metric_name"":""spotify_country_chart_streams"",""metric_value"":3444827.0,""metric_unit"":""streams"",""listen_count"":3444827,""view_count"":null,""source_url"":""https://kworb.net/spotify/country/gr_daily_totals.html"",""retrieved_at"":""2026-07-22""}],""merged_sources"":[""https://kworb.net/spotify/country/gr_daily_totals.html""],""country_rank"":12}"
13,EMMONI IDEA,Ivan Greko,[],,,,[],,,,,,,spotify_country_chart_streams,25986600.0,streams,25986600,Spotify regional daily chart (Kworb aggregate),,,0kcQD5QcAG7jzY1gkHbEDY,,,https://kworb.net/spotify/country/gr_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for GR, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""GR"",""country_name"":""GR"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":490,""top10_days"":72,""peak_rank"":1,""peak_occurrences"":40,""peak_daily_streams"":313218,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":13}"
14,NASA,RACK,[],,,,[],,,,,,,spotify_country_chart_streams,25643912.0,streams,25643912,Spotify regional daily chart (Kworb aggregate),,,0hVl1Eb02SNnTHSgrlhBm7,,,https://kworb.net/spotify/country/gr_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for GR, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""GR"",""country_name"":""GR"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":1358,""top10_days"":213,""peak_rank"":1,""peak_occurrences"":87,""peak_daily_streams"":259183,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":14}"
15,ILEGAL,TOQUEL,[],,,,[],,,,,,,spotify_country_chart_streams,25256811.0,streams,25256811,Spotify regional daily chart (Kworb aggregate),,,6R2utRyFhiEBnyz6afQ9Pe,,,https://kworb.net/spotify/country/gr_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for GR, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""GR"",""country_name"":""GR"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":600,""top10_days"":94,""peak_rank"":1,""peak_occurrences"":1,""peak_daily_streams"":262649,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":15}"
16,Sandra,TOQUEL,[],,,,[],,,,,,,spotify_country_chart_streams,24912698.0,streams,24912698,Spotify regional daily chart (Kworb aggregate),,,73KYTCSbVlj5E02qWj8DPF,,,https://kworb.net/spotify/country/gr_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for GR, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""GR"",""country_name"":""GR"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":2251,""top10_days"":89,""peak_rank"":4,""peak_occurrences"":null,""peak_daily_streams"":33391,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":16}"
17,MBAPPE,SIDARTA,[],,,,[],,,,,,,spotify_country_chart_streams,24865269.0,streams,24865269,Spotify regional daily chart (Kworb aggregate),,,0MNvjSqNtUCZ4ikxrRe8kz,,,https://kworb.net/spotify/country/gr_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for GR, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""GR"",""country_name"":""GR"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":453,""top10_days"":70,""peak_rank"":1,""peak_occurrences"":36,""peak_daily_streams"":585379,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":17}"
18,DOLCE GABBANA,TOQUEL,[],,,,[],,,,,,,spotify_country_chart_streams,24799768.0,streams,24799768,Spotify regional daily chart (Kworb aggregate),,,7r0sYhhoM4hjeuCDlbCobZ,,,https://kworb.net/spotify/country/gr_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for GR, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""GR"",""country_name"":""GR"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":594,""top10_days"":90,""peak_rank"":1,""peak_occurrences"":22,""peak_daily_streams"":272277,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":18}"
19,Xiliometra,APON,[],,,,[],,,,,,,spotify_country_chart_streams,24731180.0,streams,24731180,Spotify regional daily chart (Kworb aggregate),,,2acUYxCZbgndtm70LgCCbS,,,https://kworb.net/spotify/country/gr_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for GR, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""GR"",""country_name"":""GR"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":596,""top10_days"":91,""peak_rank"":2,""peak_occurrences"":18,""peak_daily_streams"":137069,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":19}"
20,Vorias,APON,[],,,,[],,,,,,,spotify_country_chart_streams,24697828.0,streams,24697828,Spotify regional daily chart (Kworb aggregate),,,0ZK2jpmk44WBUfe2UV30AY,,,https://kworb.net/spotify/country/gr_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for GR, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""GR"",""country_name"":""GR"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":583,""top10_days"":147,""peak_rank"":2,""peak_occurrences"":7,""peak_daily_streams"":137130,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":20}"
21,No Sleep,Light,[],,,,[],,,,,,,spotify_country_chart_streams,24250288.0,streams,24250288,Spotify regional daily chart (Kworb aggregate),,,5nM5TStrOQt5HQAt4VzyHz,,,https://kworb.net/spotify/country/gr_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for GR, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""GR"",""country_name"":""GR"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":779,""top10_days"":83,""peak_rank"":1,""peak_occurrences"":28,""peak_daily_streams"":257242,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":21}"
