rank,title,main_artist,featured_artists,album,release_date,release_year,genres,languages,composer,anime_title,anime_popularity,screen_work,vtuber,is_original,metric_name,metric_value,metric_unit,listen_count,listen_source,view_count,overall_popularity_score,spotify_track_id,musicbrainz_recording_mbid,isrc,source_url,retrieved_at,source_notes,extra
1,MA BELLA,RACK,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,37312306.0,streams,37312306,Spotify regional daily chart (Kworb aggregate),,,6D5QFkJLHYuv5f7hvslZxz,,,https://kworb.net/spotify/country/gr_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Greece, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-09-11.","{""country_code"":""GR"",""country_name"":""Greece"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":821,""top10_days"":111,""peak_rank"":1,""peak_occurrences"":44,""peak_daily_streams"":456487,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":1}"
2,24hrs,Light,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,35663137.0,streams,35663137,Spotify regional daily chart (Kworb aggregate),,,2QDibAx72jveQXPBXOKjx2,,,https://kworb.net/spotify/country/gr_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Greece, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-09-11.","{""country_code"":""GR"",""country_name"":""Greece"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":1250,""top10_days"":113,""peak_rank"":1,""peak_occurrences"":21,""peak_daily_streams"":506986,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":2}"
3,Skoni,TOQUEL,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,35360794.0,streams,35360794,Spotify regional daily chart (Kworb aggregate),,,6YfzfBiC4dpF5yv63QcLCY,,,https://kworb.net/spotify/country/gr_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Greece, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-09-11.","{""country_code"":""GR"",""country_name"":""Greece"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":1462,""top10_days"":7,""peak_rank"":6,""peak_occurrences"":null,""peak_daily_streams"":116829,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":3}"
4,Allou,TOQUEL,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,33276584.0,streams,33276584,Spotify regional daily chart (Kworb aggregate),,,4Fke1kIQz7pzIZYKqyzeNm,,,https://kworb.net/spotify/country/gr_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Greece, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-09-11.","{""country_code"":""GR"",""country_name"":""Greece"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":967,""top10_days"":151,""peak_rank"":1,""peak_occurrences"":33,""peak_daily_streams"":193996,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":4}"
5,Beverly Hills,TOQUEL,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,31544529.0,streams,31544529,Spotify regional daily chart (Kworb aggregate),,,5j2qq0EBEAceOdff92l4qZ,,,https://kworb.net/spotify/country/gr_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Greece, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-09-11.","{""country_code"":""GR"",""country_name"":""Greece"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":1577,""top10_days"":39,""peak_rank"":1,""peak_occurrences"":2,""peak_daily_streams"":171980,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":5}"
6,ISOS,Sicario,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,30689913.0,streams,30689913,Spotify regional daily chart (Kworb aggregate),,,3CdFVH8SOVnvT0sJLT198p,,,https://kworb.net/spotify/country/gr_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Greece, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-09-11.","{""country_code"":""GR"",""country_name"":""Greece"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":856,""top10_days"":53,""peak_rank"":3,""peak_occurrences"":3,""peak_daily_streams"":94617,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":6}"
7,Obsessed,Light,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,28977747.0,streams,28977747,Spotify regional daily chart (Kworb aggregate),,,29kTgA9pGo9RYwhED65ZrS,,,https://kworb.net/spotify/country/gr_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Greece, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-09-11.","{""country_code"":""GR"",""country_name"":""Greece"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":1064,""top10_days"":92,""peak_rank"":1,""peak_occurrences"":2,""peak_daily_streams"":267237,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":7}"
8,Erotas,SNIK,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,28529275.0,streams,28529275,Spotify regional daily chart (Kworb aggregate),,,1O4LjNjQxnzqECfTKGkko6,,,https://kworb.net/spotify/country/gr_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Greece, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-09-11.","{""country_code"":""GR"",""country_name"":""Greece"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":1094,""top10_days"":76,""peak_rank"":1,""peak_occurrences"":30,""peak_daily_streams"":292340,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":8}"
9,DEJA VU,LILA,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,28087413.0,streams,28087413,Spotify regional daily chart (Kworb aggregate),,,3q6ayHzfLJIx22oQXoYlyi,,,https://kworb.net/spotify/country/gr_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Greece, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-09-11.","{""country_code"":""GR"",""country_name"":""Greece"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":637,""top10_days"":142,""peak_rank"":1,""peak_occurrences"":5,""peak_daily_streams"":248718,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":9}"
10,3:15,TOQUEL,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,27146786.0,streams,27146786,Spotify regional daily chart (Kworb aggregate),,,5d2ETO2YDunJTXd5yuCCRA,,,https://kworb.net/spotify/country/gr_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Greece, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-09-11.","{""country_code"":""GR"",""country_name"":""Greece"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":879,""top10_days"":94,""peak_rank"":1,""peak_occurrences"":16,""peak_daily_streams"":250511,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":10}"
