rank,title,main_artist,featured_artists,album,release_date,release_year,genres,composer,anime_title,anime_popularity,screen_work,vtuber,is_original,metric_name,metric_value,metric_unit,listen_count,listen_source,view_count,overall_popularity_score,spotify_track_id,musicbrainz_recording_mbid,isrc,source_url,retrieved_at,source_notes,extra
1,"Dear My Friend,",Keung To,[],,,,[],,,,,,,spotify_country_chart_streams,39261044.0,streams,39261044,Spotify regional daily chart (Kworb aggregate),,,11IqNbLOD4s4nVYSuEttFR,,,https://kworb.net/spotify/country/hk_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for HK, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""HK"",""country_name"":""HK"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":1601,""top10_days"":978,""peak_rank"":1,""peak_occurrences"":50,""peak_daily_streams"":49941,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":1}"
2,記憶棉,MC 張天賦,[],,,,[],,,,,,,spotify_country_chart_streams,29726436.0,streams,29726436,Spotify regional daily chart (Kworb aggregate),,,1ZrnCyms7CBYsCvkkVIkt8,,,https://kworb.net/spotify/country/hk_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for HK, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""HK"",""country_name"":""HK"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":1733,""top10_days"":357,""peak_rank"":1,""peak_occurrences"":109,""peak_daily_streams"":75339,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":2}"
3,反對無效,MC 張天賦,[],,,,[],,,,,,,spotify_country_chart_streams,23297482.0,streams,23297482,Spotify regional daily chart (Kworb aggregate),,,2P5Eeh29qJrYa1T27cdL3B,,,https://kworb.net/spotify/country/hk_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for HK, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""HK"",""country_name"":""HK"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":1873,""top10_days"":341,""peak_rank"":2,""peak_occurrences"":77,""peak_daily_streams"":60417,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":3}"
4,作品的說話,Keung To,[],,,,[],,,,,,,spotify_country_chart_streams,22773045.0,streams,22773045,Spotify regional daily chart (Kworb aggregate),,,1dBroK67DSaaEE5kvkVjzG,,,https://kworb.net/spotify/country/hk_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for HK, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""HK"",""country_name"":""HK"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":1143,""top10_days"":416,""peak_rank"":1,""peak_occurrences"":74,""peak_daily_streams"":50074,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":4}"
5,老派約會之必要,MC 張天賦,[],,,,[],,,,,,,spotify_country_chart_streams,22619139.0,streams,22619139,Spotify regional daily chart (Kworb aggregate),,,3x2hKSUf8O8IqI1shmxGnp,,,https://kworb.net/spotify/country/hk_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for HK, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""HK"",""country_name"":""HK"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":1463,""top10_days"":236,""peak_rank"":1,""peak_occurrences"":30,""peak_daily_streams"":131096,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":5}"
6,Don’t Say You Love Me,Jin,[],,,,[],,,,,,,spotify_country_chart_streams,22338278.0,streams,22338278,Spotify regional daily chart (Kworb aggregate),,,27xkOIER6uDLKALIelHylZ,,,https://kworb.net/spotify/country/hk_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for HK, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""HK"",""country_name"":""HK"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":431,""top10_days"":389,""peak_rank"":1,""peak_occurrences"":306,""peak_daily_streams"":96963,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":6}"
7,好得太過份,Keung To,[],,,,[],,,,,,,spotify_country_chart_streams,21723297.0,streams,21723297,Spotify regional daily chart (Kworb aggregate),,,1jQE96DjtfpWGjSqK6Gfnr,,,https://kworb.net/spotify/country/hk_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for HK, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""HK"",""country_name"":""HK"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":606,""top10_days"":580,""peak_rank"":1,""peak_occurrences"":80,""peak_daily_streams"":61864,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":7}"
8,囍帖街,Kay Tse,[],,,,[],,,,,,,spotify_country_chart_streams,20489122.0,streams,20489122,Spotify regional daily chart (Kworb aggregate),,,3hU9nGBhYJQwvF8BJ4PUcE,,,https://kworb.net/spotify/country/hk_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for HK, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""HK"",""country_name"":""HK"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":3973,""top10_days"":null,""peak_rank"":15,""peak_occurrences"":null,""peak_daily_streams"":10613,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":8}"
9,Dummy,Keung To,[],,,,[],,,,,,,spotify_country_chart_streams,20466938.0,streams,20466938,Spotify regional daily chart (Kworb aggregate),,,2CwGJLH5jTBlVQhMfjCc6e,,,https://kworb.net/spotify/country/hk_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for HK, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""HK"",""country_name"":""HK"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":702,""top10_days"":505,""peak_rank"":1,""peak_occurrences"":46,""peak_daily_streams"":74624,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":9}"
10,你瞞我瞞,Jason Chan,[],,,,[],,,,,,,spotify_country_chart_streams,20376424.0,streams,20376424,Spotify regional daily chart (Kworb aggregate),,,1eId3TVzGrwv73YAWAVQMX,,,https://kworb.net/spotify/country/hk_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for HK, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""HK"",""country_name"":""HK"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":3962,""top10_days"":null,""peak_rank"":13,""peak_occurrences"":null,""peak_daily_streams"":27246,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":10}"
