rank,title,main_artist,featured_artists,album,release_date,release_year,genres,languages,composer,anime_title,anime_popularity,screen_work,vtuber,is_original,metric_name,metric_value,metric_unit,listen_count,listen_source,view_count,overall_popularity_score,spotify_track_id,musicbrainz_recording_mbid,isrc,source_url,retrieved_at,source_notes,extra
1,"Dear My Friend,",Keung To,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,39261044.0,streams,39261044,Spotify regional daily chart (Kworb aggregate),,,11IqNbLOD4s4nVYSuEttFR,,,https://kworb.net/spotify/country/hk_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Hong Kong, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-09-11.","{""country_code"":""HK"",""country_name"":""Hong Kong"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":1601,""top10_days"":978,""peak_rank"":1,""peak_occurrences"":50,""peak_daily_streams"":49941,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":1}"
2,記憶棉,MC 張天賦,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,30262431.0,streams,30262431,Spotify regional daily chart (Kworb aggregate),,,1ZrnCyms7CBYsCvkkVIkt8,,,https://kworb.net/spotify/country/hk_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Hong Kong, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-09-11.","{""country_code"":""HK"",""country_name"":""Hong Kong"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":1786,""top10_days"":357,""peak_rank"":1,""peak_occurrences"":109,""peak_daily_streams"":75339,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":2}"
3,反對無效,MC 張天賦,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,23624740.0,streams,23624740,Spotify regional daily chart (Kworb aggregate),,,2P5Eeh29qJrYa1T27cdL3B,,,https://kworb.net/spotify/country/hk_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Hong Kong, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-09-11.","{""country_code"":""HK"",""country_name"":""Hong Kong"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":1926,""top10_days"":341,""peak_rank"":2,""peak_occurrences"":77,""peak_daily_streams"":60417,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":3}"
4,Don’t Say You Love Me,Jin,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,23518801.0,streams,23518801,Spotify regional daily chart (Kworb aggregate),,,27xkOIER6uDLKALIelHylZ,,,https://kworb.net/spotify/country/hk_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Hong Kong, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-09-11.","{""country_code"":""HK"",""country_name"":""Hong Kong"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":484,""top10_days"":416,""peak_rank"":1,""peak_occurrences"":321,""peak_daily_streams"":96963,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":4}"
5,老派約會之必要,MC 張天賦,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,23001929.0,streams,23001929,Spotify regional daily chart (Kworb aggregate),,,3x2hKSUf8O8IqI1shmxGnp,,,https://kworb.net/spotify/country/hk_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Hong Kong, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-09-11.","{""country_code"":""HK"",""country_name"":""Hong Kong"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":1516,""top10_days"":236,""peak_rank"":1,""peak_occurrences"":30,""peak_daily_streams"":131096,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":5}"
6,作品的說話,Keung To,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,22773045.0,streams,22773045,Spotify regional daily chart (Kworb aggregate),,,1dBroK67DSaaEE5kvkVjzG,,,https://kworb.net/spotify/country/hk_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Hong Kong, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-09-11.","{""country_code"":""HK"",""country_name"":""Hong Kong"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":1143,""top10_days"":416,""peak_rank"":1,""peak_occurrences"":74,""peak_daily_streams"":50074,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":6}"
7,好得太過份,Keung To,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,21723297.0,streams,21723297,Spotify regional daily chart (Kworb aggregate),,,1jQE96DjtfpWGjSqK6Gfnr,,,https://kworb.net/spotify/country/hk_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Hong Kong, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-09-11.","{""country_code"":""HK"",""country_name"":""Hong Kong"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":606,""top10_days"":580,""peak_rank"":1,""peak_occurrences"":80,""peak_daily_streams"":61864,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":7}"
8,囍帖街,Kay Tse,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,20806489.0,streams,20806489,Spotify regional daily chart (Kworb aggregate),,,3hU9nGBhYJQwvF8BJ4PUcE,,,https://kworb.net/spotify/country/hk_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Hong Kong, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-09-11.","{""country_code"":""HK"",""country_name"":""Hong Kong"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":4026,""top10_days"":null,""peak_rank"":15,""peak_occurrences"":null,""peak_daily_streams"":10613,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":8}"
9,你瞞我瞞,Jason Chan,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,20685525.0,streams,20685525,Spotify regional daily chart (Kworb aggregate),,,1eId3TVzGrwv73YAWAVQMX,,,https://kworb.net/spotify/country/hk_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Hong Kong, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-09-11.","{""country_code"":""HK"",""country_name"":""Hong Kong"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":4015,""top10_days"":null,""peak_rank"":13,""peak_occurrences"":null,""peak_daily_streams"":27246,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":9}"
10,Dummy,Keung To,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,20466938.0,streams,20466938,Spotify regional daily chart (Kworb aggregate),,,2CwGJLH5jTBlVQhMfjCc6e,,,https://kworb.net/spotify/country/hk_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Hong Kong, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-09-11.","{""country_code"":""HK"",""country_name"":""Hong Kong"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":702,""top10_days"":505,""peak_rank"":1,""peak_occurrences"":46,""peak_daily_streams"":74624,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":10}"
11,岩巉,Keung To,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,20076597.0,streams,20076597,Spotify regional daily chart (Kworb aggregate),,,4ja627NyIBCz7wO2dYr83g,,,https://kworb.net/spotify/country/hk_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Hong Kong, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-09-11.","{""country_code"":""HK"",""country_name"":""Hong Kong"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":750,""top10_days"":386,""peak_rank"":1,""peak_occurrences"":65,""peak_daily_streams"":59259,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":11}"
12,留一天與你喘息,陳卓賢 Ian,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,19164244.0,streams,19164244,Spotify regional daily chart (Kworb aggregate),,,6flgMTTqhbJSNryAPCYcvA,,,https://kworb.net/spotify/country/hk_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Hong Kong, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-09-11.","{""country_code"":""HK"",""country_name"":""Hong Kong"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":1332,""top10_days"":214,""peak_rank"":1,""peak_occurrences"":26,""peak_daily_streams"":64446,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":12}"
13,濤,Keung To,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,19162885.0,streams,19162885,Spotify regional daily chart (Kworb aggregate),,,1xRMtDxiU8xxAlaDscHIoT,,,https://kworb.net/spotify/country/hk_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Hong Kong, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-09-11.","{""country_code"":""HK"",""country_name"":""Hong Kong"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":765,""top10_days"":450,""peak_rank"":1,""peak_occurrences"":98,""peak_daily_streams"":61597,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":13}"
14,黑月,Keung To,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,18771921.0,streams,18771921,Spotify regional daily chart (Kworb aggregate),,,60DcGRqdHMk9H3sat9bcHW,,,https://kworb.net/spotify/country/hk_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Hong Kong, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-09-11.","{""country_code"":""HK"",""country_name"":""Hong Kong"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":704,""top10_days"":350,""peak_rank"":1,""peak_occurrences"":51,""peak_daily_streams"":58580,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":14}"
15,Seven,Jung Kook,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,18742340.0,streams,18742340,Spotify regional daily chart (Kworb aggregate),,,2HRgqmZQC0MC7GeNuDIXHN,,,https://kworb.net/spotify/country/hk_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Hong Kong, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-09-11.","{""country_code"":""HK"",""country_name"":""Hong Kong"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":1156,""top10_days"":171,""peak_rank"":1,""peak_occurrences"":32,""peak_daily_streams"":98422,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""alternate_metrics"":[{""metric_name"":""spotify_country_chart_streams"",""metric_value"":57444.0,""metric_unit"":""streams"",""listen_count"":57444,""view_count"":null,""source_url"":""https://kworb.net/spotify/country/hk_daily_totals.html"",""retrieved_at"":""2026-09-13""}],""merged_sources"":[""https://kworb.net/spotify/country/hk_daily_totals.html""],""country_rank"":15}"
16,風雨不改 (電影《阿媽有咗第二個》主題曲),Keung To,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,18596963.0,streams,18596963,Spotify regional daily chart (Kworb aggregate),,,172oAbLGpgeCsukno7oBRe,,,https://kworb.net/spotify/country/hk_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Hong Kong, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-09-11.","{""country_code"":""HK"",""country_name"":""Hong Kong"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":533,""top10_days"":459,""peak_rank"":1,""peak_occurrences"":127,""peak_daily_streams"":58034,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":16}"
17,Something Just Like This,The Chainsmokers,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,17767539.0,streams,17767539,Spotify regional daily chart (Kworb aggregate),,,6RUKPb4LETWmmr3iAEQktW,,,https://kworb.net/spotify/country/hk_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Hong Kong, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-09-11.","{""country_code"":""HK"",""country_name"":""Hong Kong"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":3001,""top10_days"":188,""peak_rank"":1,""peak_occurrences"":38,""peak_daily_streams"":33176,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":17}"
