rank,title,main_artist,featured_artists,album,release_date,release_year,genres,composer,anime_title,anime_popularity,screen_work,vtuber,is_original,metric_name,metric_value,metric_unit,listen_count,listen_source,view_count,overall_popularity_score,spotify_track_id,musicbrainz_recording_mbid,isrc,source_url,retrieved_at,source_notes,extra
1,Mind1,Azahriah,[],,,,[],,,,,,,spotify_country_chart_streams,27592392.0,streams,27592392,Spotify regional daily chart (Kworb aggregate),,,7lemjnVRAqQtqqLdSqCKqM,,,https://kworb.net/spotify/country/hu_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for HU, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""HU"",""country_name"":""HU"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":1874,""top10_days"":357,""peak_rank"":1,""peak_occurrences"":90,""peak_daily_streams"":43487,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":1}"
2,PANNONIA,DESH,[],,,,[],,,,,,,spotify_country_chart_streams,26619057.0,streams,26619057,Spotify regional daily chart (Kworb aggregate),,,5v1qS9RS2g42zeXHevEdYn,,,https://kworb.net/spotify/country/hu_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for HU, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""HU"",""country_name"":""HU"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":725,""top10_days"":496,""peak_rank"":1,""peak_occurrences"":123,""peak_daily_streams"":110074,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":2}"
3,BAGIRA,Beton.Hofi,[],,,,[],,,,,,,spotify_country_chart_streams,26579111.0,streams,26579111,Spotify regional daily chart (Kworb aggregate),,,18DVypBkvcJtVFzQr5Ly7J,,,https://kworb.net/spotify/country/hu_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for HU, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""HU"",""country_name"":""HU"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":1431,""top10_days"":344,""peak_rank"":1,""peak_occurrences"":89,""peak_daily_streams"":60527,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":3}"
4,Introvertált dal,Azahriah,[],,,,[],,,,,,,spotify_country_chart_streams,26333487.0,streams,26333487,Spotify regional daily chart (Kworb aggregate),,,2EAvOY1uymm5ZAd0ZbnnPW,,,https://kworb.net/spotify/country/hu_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for HU, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""HU"",""country_name"":""HU"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":1196,""top10_days"":461,""peak_rank"":1,""peak_occurrences"":70,""peak_daily_streams"":80715,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":4}"
5,Rampapapam,DESH,[],,,,[],,,,,,,spotify_country_chart_streams,25297858.0,streams,25297858,Spotify regional daily chart (Kworb aggregate),,,1E2flGJxXQNeBLRqQXiAsK,,,https://kworb.net/spotify/country/hu_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for HU, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""HU"",""country_name"":""HU"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":1095,""top10_days"":338,""peak_rank"":1,""peak_occurrences"":96,""peak_daily_streams"":68179,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":5}"
6,SUV,DESH,[],,,,[],,,,,,,spotify_country_chart_streams,22780498.0,streams,22780498,Spotify regional daily chart (Kworb aggregate),,,6jIOiFrWhqvDGzwONFKl3j,,,https://kworb.net/spotify/country/hu_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for HU, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""HU"",""country_name"":""HU"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":722,""top10_days"":476,""peak_rank"":1,""peak_occurrences"":19,""peak_daily_streams"":88046,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":6}"
7,Pullup,Azahriah,[],,,,[],,,,,,,spotify_country_chart_streams,21002677.0,streams,21002677,Spotify regional daily chart (Kworb aggregate),,,6Rc6C6S4lgT5j1OekgI155,,,https://kworb.net/spotify/country/hu_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for HU, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""HU"",""country_name"":""HU"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":1288,""top10_days"":250,""peak_rank"":1,""peak_occurrences"":59,""peak_daily_streams"":54622,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":7}"
8,Afro Beat,Pogány Induló,[],,,,[],,,,,,,spotify_country_chart_streams,19425106.0,streams,19425106,Spotify regional daily chart (Kworb aggregate),,,2KViM7OZzQU9mLWxJxHJWG,,,https://kworb.net/spotify/country/hu_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for HU, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""HU"",""country_name"":""HU"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":1238,""top10_days"":54,""peak_rank"":3,""peak_occurrences"":1,""peak_daily_streams"":39428,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":8}"
9,MOKKA,DESH,[],,,,[],,,,,,,spotify_country_chart_streams,19263049.0,streams,19263049,Spotify regional daily chart (Kworb aggregate),,,3u582Ft7ws5CvUxCsBHxwT,,,https://kworb.net/spotify/country/hu_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for HU, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""HU"",""country_name"":""HU"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":731,""top10_days"":295,""peak_rank"":1,""peak_occurrences"":17,""peak_daily_streams"":68341,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":9}"
10,Strawberry,DESH,[],,,,[],,,,,,,spotify_country_chart_streams,18699838.0,streams,18699838,Spotify regional daily chart (Kworb aggregate),,,6DmpM21b070AdtXm7Lc370,,,https://kworb.net/spotify/country/hu_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for HU, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""HU"",""country_name"":""HU"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":810,""top10_days"":182,""peak_rank"":1,""peak_occurrences"":32,""peak_daily_streams"":62345,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":10}"
