rank,title,main_artist,featured_artists,album,release_date,release_year,genres,languages,composer,anime_title,anime_popularity,screen_work,vtuber,is_original,metric_name,metric_value,metric_unit,listen_count,listen_source,view_count,overall_popularity_score,spotify_track_id,musicbrainz_recording_mbid,isrc,source_url,retrieved_at,source_notes,extra
1,Mind1,Azahriah,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,28080418.0,streams,28080418,Spotify regional daily chart (Kworb aggregate),,,7lemjnVRAqQtqqLdSqCKqM,,,https://kworb.net/spotify/country/hu_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Hungary, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-09-11.","{""country_code"":""HU"",""country_name"":""Hungary"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":1927,""top10_days"":357,""peak_rank"":1,""peak_occurrences"":90,""peak_daily_streams"":43487,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":1}"
2,PANNONIA,DESH,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,27958979.0,streams,27958979,Spotify regional daily chart (Kworb aggregate),,,5v1qS9RS2g42zeXHevEdYn,,,https://kworb.net/spotify/country/hu_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Hungary, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-09-11.","{""country_code"":""HU"",""country_name"":""Hungary"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":778,""top10_days"":533,""peak_rank"":1,""peak_occurrences"":123,""peak_daily_streams"":110074,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":2}"
3,BAGIRA,Beton.Hofi,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,27248153.0,streams,27248153,Spotify regional daily chart (Kworb aggregate),,,18DVypBkvcJtVFzQr5Ly7J,,,https://kworb.net/spotify/country/hu_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Hungary, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-09-11.","{""country_code"":""HU"",""country_name"":""Hungary"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":1484,""top10_days"":344,""peak_rank"":1,""peak_occurrences"":89,""peak_daily_streams"":60527,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":3}"
4,Introvertált dal,Azahriah,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,26574935.0,streams,26574935,Spotify regional daily chart (Kworb aggregate),,,2EAvOY1uymm5ZAd0ZbnnPW,,,https://kworb.net/spotify/country/hu_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Hungary, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-09-11.","{""country_code"":""HU"",""country_name"":""Hungary"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":1231,""top10_days"":461,""peak_rank"":1,""peak_occurrences"":70,""peak_daily_streams"":80715,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":4}"
5,Rampapapam,DESH,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,25820382.0,streams,25820382,Spotify regional daily chart (Kworb aggregate),,,1E2flGJxXQNeBLRqQXiAsK,,,https://kworb.net/spotify/country/hu_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Hungary, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-09-11.","{""country_code"":""HU"",""country_name"":""Hungary"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":1148,""top10_days"":338,""peak_rank"":1,""peak_occurrences"":96,""peak_daily_streams"":68179,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":5}"
6,SUV,DESH,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,23720709.0,streams,23720709,Spotify regional daily chart (Kworb aggregate),,,6jIOiFrWhqvDGzwONFKl3j,,,https://kworb.net/spotify/country/hu_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Hungary, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-09-11.","{""country_code"":""HU"",""country_name"":""Hungary"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":775,""top10_days"":476,""peak_rank"":1,""peak_occurrences"":19,""peak_daily_streams"":88046,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":6}"
7,Pullup,Azahriah,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,21052228.0,streams,21052228,Spotify regional daily chart (Kworb aggregate),,,6Rc6C6S4lgT5j1OekgI155,,,https://kworb.net/spotify/country/hu_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Hungary, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-09-11.","{""country_code"":""HU"",""country_name"":""Hungary"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":1295,""top10_days"":250,""peak_rank"":1,""peak_occurrences"":59,""peak_daily_streams"":54622,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":7}"
8,MOKKA,DESH,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,20383098.0,streams,20383098,Spotify regional daily chart (Kworb aggregate),,,3u582Ft7ws5CvUxCsBHxwT,,,https://kworb.net/spotify/country/hu_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Hungary, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-09-11.","{""country_code"":""HU"",""country_name"":""Hungary"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":784,""top10_days"":298,""peak_rank"":1,""peak_occurrences"":17,""peak_daily_streams"":68341,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":8}"
9,Afro Beat,Pogány Induló,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,20085218.0,streams,20085218,Spotify regional daily chart (Kworb aggregate),,,2KViM7OZzQU9mLWxJxHJWG,,,https://kworb.net/spotify/country/hu_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Hungary, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-09-11.","{""country_code"":""HU"",""country_name"":""Hungary"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":1291,""top10_days"":54,""peak_rank"":3,""peak_occurrences"":1,""peak_daily_streams"":39428,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":9}"
10,Strawberry,DESH,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,19582873.0,streams,19582873,Spotify regional daily chart (Kworb aggregate),,,6DmpM21b070AdtXm7Lc370,,,https://kworb.net/spotify/country/hu_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Hungary, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-09-11.","{""country_code"":""HU"",""country_name"":""Hungary"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":863,""top10_days"":182,""peak_rank"":1,""peak_occurrences"":32,""peak_daily_streams"":62345,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":10}"
11,BAKPAKK,DESH,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,19189820.0,streams,19189820,Spotify regional daily chart (Kworb aggregate),,,6dd2fGbktU3zOHHWK58nto,,,https://kworb.net/spotify/country/hu_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Hungary, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-09-11.","{""country_code"":""HU"",""country_name"":""Hungary"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":792,""top10_days"":267,""peak_rank"":1,""peak_occurrences"":22,""peak_daily_streams"":95102,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":11}"
12,díva,Dzsúdló,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,19152730.0,streams,19152730,Spotify regional daily chart (Kworb aggregate),,,52kBWybNy033009vfeYu5n,,,https://kworb.net/spotify/country/hu_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Hungary, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-09-11.","{""country_code"":""HU"",""country_name"":""Hungary"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":761,""top10_days"":325,""peak_rank"":3,""peak_occurrences"":14,""peak_daily_streams"":63986,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":12}"
13,four moods,Azahriah,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,18628063.0,streams,18628063,Spotify regional daily chart (Kworb aggregate),,,1o0TkBcMTkkOg1KUeB4riK,,,https://kworb.net/spotify/country/hu_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Hungary, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-09-11.","{""country_code"":""HU"",""country_name"":""Hungary"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":1082,""top10_days"":356,""peak_rank"":1,""peak_occurrences"":36,""peak_daily_streams"":79986,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":13}"
14,Úgy Hiszem,Pogány Induló,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,18086833.0,streams,18086833,Spotify regional daily chart (Kworb aggregate),,,2zIijzos3rNY6DkvX2ZYDX,,,https://kworb.net/spotify/country/hu_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Hungary, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-09-11.","{""country_code"":""HU"",""country_name"":""Hungary"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":952,""top10_days"":135,""peak_rank"":1,""peak_occurrences"":10,""peak_daily_streams"":63102,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":14}"
