rank,title,main_artist,featured_artists,album,release_date,release_year,genres,composer,anime_title,anime_popularity,screen_work,vtuber,is_original,metric_name,metric_value,metric_unit,listen_count,listen_source,view_count,overall_popularity_score,spotify_track_id,musicbrainz_recording_mbid,isrc,source_url,retrieved_at,source_notes,extra
1,Serana,For Revenge,[],,,,[],,,,,,,spotify_country_chart_streams,783274752.0,streams,783274752,Spotify regional daily chart (Kworb aggregate),,,0PtJbtW50jcvvswNPn3QGd,,,https://kworb.net/spotify/country/id_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for ID, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2016-03-30 through 2026-07-20.","{""country_code"":""ID"",""country_name"":""ID"",""chart_coverage_start"":""2016-03-30"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":1528,""top10_days"":403,""peak_rank"":1,""peak_occurrences"":20,""peak_daily_streams"":1180531,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":1}"
2,Runtuh,Feby Putri,[],,,,[],,,,,,,spotify_country_chart_streams,738330327.0,streams,738330327,Spotify regional daily chart (Kworb aggregate),,,6Hii26x3qDErVitnGW8QtO,,,https://kworb.net/spotify/country/id_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for ID, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2016-03-30 through 2026-07-20.","{""country_code"":""ID"",""country_name"":""ID"",""chart_coverage_start"":""2016-03-30"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":1745,""top10_days"":542,""peak_rank"":1,""peak_occurrences"":4,""peak_daily_streams"":772988,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":2}"
3,Rumah Ke Rumah,Hindia,[],,,,[],,,,,,,spotify_country_chart_streams,715627898.0,streams,715627898,Spotify regional daily chart (Kworb aggregate),,,2wAiFWjRupWmnDkQcu91MF,,,https://kworb.net/spotify/country/id_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for ID, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2016-03-30 through 2026-07-20.","{""country_code"":""ID"",""country_name"":""ID"",""chart_coverage_start"":""2016-03-30"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":2425,""top10_days"":142,""peak_rank"":6,""peak_occurrences"":null,""peak_daily_streams"":850039,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":3}"
4,Bertaut,Nadin Amizah,[],,,,[],,,,,,,spotify_country_chart_streams,709136386.0,streams,709136386,Spotify regional daily chart (Kworb aggregate),,,630DpnzdfjdVqv2yLfPbAX,,,https://kworb.net/spotify/country/id_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for ID, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2016-03-30 through 2026-07-20.","{""country_code"":""ID"",""country_name"":""ID"",""chart_coverage_start"":""2016-03-30"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":2244,""top10_days"":180,""peak_rank"":1,""peak_occurrences"":40,""peak_daily_streams"":708303,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":4}"
5,Tak Segampang Itu,Anggi Marito,[],,,,[],,,,,,,spotify_country_chart_streams,681584595.0,streams,681584595,Spotify regional daily chart (Kworb aggregate),,,26cvTWJq2E1QqN4jyH2OTU,,,https://kworb.net/spotify/country/id_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for ID, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2016-03-30 through 2026-07-20.","{""country_code"":""ID"",""country_name"":""ID"",""chart_coverage_start"":""2016-03-30"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":1290,""top10_days"":403,""peak_rank"":1,""peak_occurrences"":98,""peak_daily_streams"":1587709,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":5}"
6,Komang,Raim Laode,[],,,,[],,,,,,,spotify_country_chart_streams,666580829.0,streams,666580829,Spotify regional daily chart (Kworb aggregate),,,654ZF6YNWjQS2NhwR3QnX7,,,https://kworb.net/spotify/country/id_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for ID, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2016-03-30 through 2026-07-20.","{""country_code"":""ID"",""country_name"":""ID"",""chart_coverage_start"":""2016-03-30"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":1255,""top10_days"":327,""peak_rank"":1,""peak_occurrences"":64,""peak_daily_streams"":1780047,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":6}"
7,Monolog,Pamungkas,[],,,,[],,,,,,,spotify_country_chart_streams,662394398.0,streams,662394398,Spotify regional daily chart (Kworb aggregate),,,1zu5ZpnrSArdoaT6Qq3yo9,,,https://kworb.net/spotify/country/id_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for ID, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2016-03-30 through 2026-07-20.","{""country_code"":""ID"",""country_name"":""ID"",""chart_coverage_start"":""2016-03-30"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":2292,""top10_days"":344,""peak_rank"":1,""peak_occurrences"":61,""peak_daily_streams"":1639729,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":7}"
8,Monokrom,Tulus,[],,,,[],,,,,,,spotify_country_chart_streams,659179159.0,streams,659179159,Spotify regional daily chart (Kworb aggregate),,,4GfK1qOF3uBWidbPlTCQRL,,,https://kworb.net/spotify/country/id_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for ID, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2016-03-30 through 2026-07-20.","{""country_code"":""ID"",""country_name"":""ID"",""chart_coverage_start"":""2016-03-30"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":3506,""top10_days"":null,""peak_rank"":11,""peak_occurrences"":null,""peak_daily_streams"":732440,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":8}"
9,Duka,Last Child,[],,,,[],,,,,,,spotify_country_chart_streams,653597688.0,streams,653597688,Spotify regional daily chart (Kworb aggregate),,,5MIpcd16T59wFeqAChSYwC,,,https://kworb.net/spotify/country/id_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for ID, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2016-03-30 through 2026-07-20.","{""country_code"":""ID"",""country_name"":""ID"",""chart_coverage_start"":""2016-03-30"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":1836,""top10_days"":29,""peak_rank"":9,""peak_occurrences"":null,""peak_daily_streams"":752610,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":9}"
10,Selamat (Selamat Tinggal),Virgoun,[],,,,[],,,,,,,spotify_country_chart_streams,650032268.0,streams,650032268,Spotify regional daily chart (Kworb aggregate),,,1mruWrUwAVe2XkksUQiaHK,,,https://kworb.net/spotify/country/id_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for ID, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2016-03-30 through 2026-07-20.","{""country_code"":""ID"",""country_name"":""ID"",""chart_coverage_start"":""2016-03-30"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":2553,""top10_days"":4,""peak_rank"":6,""peak_occurrences"":null,""peak_daily_streams"":661240,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":10}"
