rank,title,main_artist,featured_artists,album,release_date,release_year,genres,composer,anime_title,anime_popularity,screen_work,vtuber,is_original,metric_name,metric_value,metric_unit,listen_count,listen_source,view_count,overall_popularity_score,spotify_track_id,musicbrainz_recording_mbid,isrc,source_url,retrieved_at,source_notes,extra
1,היי בייב,Tuna,[],,,,[],,,,,,,spotify_country_chart_streams,25996332.0,streams,25996332,Spotify regional daily chart (Kworb aggregate),,,1D8HR389yohrWVZ1yHI2bc,,,https://kworb.net/spotify/country/il_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for IL, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2018-03-14 through 2026-07-20.","{""country_code"":""IL"",""country_name"":""IL"",""chart_coverage_start"":""2018-03-14"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":1675,""top10_days"":394,""peak_rank"":2,""peak_occurrences"":1,""peak_daily_streams"":28741,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":1}"
2,שקיעות אדומות,Eden Hason,[],,,,[],,,,,,,spotify_country_chart_streams,24054977.0,streams,24054977,Spotify regional daily chart (Kworb aggregate),,,68kVzJf0STAv91tuLutuDr,,,https://kworb.net/spotify/country/il_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for IL, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2018-03-14 through 2026-07-20.","{""country_code"":""IL"",""country_name"":""IL"",""chart_coverage_start"":""2018-03-14"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":1894,""top10_days"":189,""peak_rank"":2,""peak_occurrences"":21,""peak_daily_streams"":27879,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":2}"
3,מלכת הדור,Omer Adam,[],,,,[],,,,,,,spotify_country_chart_streams,22022923.0,streams,22022923,Spotify regional daily chart (Kworb aggregate),,,3U1voPJN8NBSR96Ry0WJiF,,,https://kworb.net/spotify/country/il_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for IL, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2018-03-14 through 2026-07-20.","{""country_code"":""IL"",""country_name"":""IL"",""chart_coverage_start"":""2018-03-14"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":406,""top10_days"":350,""peak_rank"":1,""peak_occurrences"":149,""peak_daily_streams"":151780,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":3}"
4,רק שלך,Omer Adam,[],,,,[],,,,,,,spotify_country_chart_streams,21173460.0,streams,21173460,Spotify regional daily chart (Kworb aggregate),,,4zXfQYhcSboWEOAwIQST9N,,,https://kworb.net/spotify/country/il_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for IL, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2018-03-14 through 2026-07-20.","{""country_code"":""IL"",""country_name"":""IL"",""chart_coverage_start"":""2018-03-14"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":851,""top10_days"":150,""peak_rank"":1,""peak_occurrences"":29,""peak_daily_streams"":129864,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":4}"
5,לשוב הביתה,Ishay Ribo,[],,,,[],,,,,,,spotify_country_chart_streams,20565219.0,streams,20565219,Spotify regional daily chart (Kworb aggregate),,,52n4gF126eIllrGuc9Zus6,,,https://kworb.net/spotify/country/il_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for IL, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2018-03-14 through 2026-07-20.","{""country_code"":""IL"",""country_name"":""IL"",""chart_coverage_start"":""2018-03-14"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":2878,""top10_days"":33,""peak_rank"":5,""peak_occurrences"":null,""peak_daily_streams"":16069,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":5}"
6,לילות וקללות,Omer Adam,[],,,,[],,,,,,,spotify_country_chart_streams,20009039.0,streams,20009039,Spotify regional daily chart (Kworb aggregate),,,4dELL8S6XVMibwBkjJACF1,,,https://kworb.net/spotify/country/il_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for IL, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2018-03-14 through 2026-07-20.","{""country_code"":""IL"",""country_name"":""IL"",""chart_coverage_start"":""2018-03-14"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":852,""top10_days"":75,""peak_rank"":2,""peak_occurrences"":12,""peak_daily_streams"":91184,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":6}"
7,סהרה - Live,Tuna,[],,,,[],,,,,,,spotify_country_chart_streams,20006054.0,streams,20006054,Spotify regional daily chart (Kworb aggregate),,,7BcRDWY4VTCvRRHoobFWWo,,,https://kworb.net/spotify/country/il_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for IL, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2018-03-14 through 2026-07-20.","{""country_code"":""IL"",""country_name"":""IL"",""chart_coverage_start"":""2018-03-14"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":1262,""top10_days"":278,""peak_rank"":1,""peak_occurrences"":18,""peak_daily_streams"":48523,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":7}"
8,אם את כבר הולכת,נדב חנציס,[],,,,[],,,,,,,spotify_country_chart_streams,19499798.0,streams,19499798,Spotify regional daily chart (Kworb aggregate),,,6FVNMp4r4cQOcckK5NFB6j,,,https://kworb.net/spotify/country/il_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for IL, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2018-03-14 through 2026-07-20.","{""country_code"":""IL"",""country_name"":""IL"",""chart_coverage_start"":""2018-03-14"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":427,""top10_days"":299,""peak_rank"":1,""peak_occurrences"":26,""peak_daily_streams"":115746,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":8}"
9,פלסטרים,Osher Cohen,[],,,,[],,,,,,,spotify_country_chart_streams,18963955.0,streams,18963955,Spotify regional daily chart (Kworb aggregate),,,6qB33ch9RK0aoMfxfnlXa1,,,https://kworb.net/spotify/country/il_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for IL, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2018-03-14 through 2026-07-20.","{""country_code"":""IL"",""country_name"":""IL"",""chart_coverage_start"":""2018-03-14"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":805,""top10_days"":152,""peak_rank"":1,""peak_occurrences"":19,""peak_daily_streams"":110003,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":9}"
10,עושה לי צרות,Eden Hason,[],,,,[],,,,,,,spotify_country_chart_streams,18708734.0,streams,18708734,Spotify regional daily chart (Kworb aggregate),,,4I9NVCnjIRVriXfNE7VhE0,,,https://kworb.net/spotify/country/il_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for IL, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2018-03-14 through 2026-07-20.","{""country_code"":""IL"",""country_name"":""IL"",""chart_coverage_start"":""2018-03-14"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":1133,""top10_days"":230,""peak_rank"":3,""peak_occurrences"":10,""peak_daily_streams"":33310,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":10}"
