rank,title,main_artist,featured_artists,album,release_date,release_year,genres,languages,composer,anime_title,anime_popularity,screen_work,vtuber,is_original,metric_name,metric_value,metric_unit,listen_count,listen_source,view_count,overall_popularity_score,spotify_track_id,musicbrainz_recording_mbid,isrc,source_url,retrieved_at,source_notes,extra
1,היי בייב,Tuna,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,26351529.0,streams,26351529,Spotify regional daily chart (Kworb aggregate),,,1D8HR389yohrWVZ1yHI2bc,,,https://kworb.net/spotify/country/il_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Israel, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2018-03-14 through 2026-09-11.","{""country_code"":""IL"",""country_name"":""Israel"",""chart_coverage_start"":""2018-03-14"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":1716,""top10_days"":394,""peak_rank"":2,""peak_occurrences"":1,""peak_daily_streams"":28741,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":1}"
2,שקיעות אדומות,Eden Hason,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,24221681.0,streams,24221681,Spotify regional daily chart (Kworb aggregate),,,68kVzJf0STAv91tuLutuDr,,,https://kworb.net/spotify/country/il_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Israel, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2018-03-14 through 2026-09-11.","{""country_code"":""IL"",""country_name"":""Israel"",""chart_coverage_start"":""2018-03-14"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":1914,""top10_days"":189,""peak_rank"":2,""peak_occurrences"":21,""peak_daily_streams"":27879,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":2}"
3,מלכת הדור,Omer Adam,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,23258372.0,streams,23258372,Spotify regional daily chart (Kworb aggregate),,,3U1voPJN8NBSR96Ry0WJiF,,,https://kworb.net/spotify/country/il_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Israel, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2018-03-14 through 2026-09-11.","{""country_code"":""IL"",""country_name"":""Israel"",""chart_coverage_start"":""2018-03-14"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":459,""top10_days"":350,""peak_rank"":1,""peak_occurrences"":149,""peak_daily_streams"":151780,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":3}"
4,רק שלך,Omer Adam,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,21686111.0,streams,21686111,Spotify regional daily chart (Kworb aggregate),,,4zXfQYhcSboWEOAwIQST9N,,,https://kworb.net/spotify/country/il_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Israel, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2018-03-14 through 2026-09-11.","{""country_code"":""IL"",""country_name"":""Israel"",""chart_coverage_start"":""2018-03-14"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":903,""top10_days"":150,""peak_rank"":1,""peak_occurrences"":29,""peak_daily_streams"":129864,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":4}"
5,אם את כבר הולכת,נדב חנציס,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,20819443.0,streams,20819443,Spotify regional daily chart (Kworb aggregate),,,6FVNMp4r4cQOcckK5NFB6j,,,https://kworb.net/spotify/country/il_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Israel, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2018-03-14 through 2026-09-11.","{""country_code"":""IL"",""country_name"":""Israel"",""chart_coverage_start"":""2018-03-14"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":480,""top10_days"":299,""peak_rank"":1,""peak_occurrences"":26,""peak_daily_streams"":115746,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":5}"
6,לילות וקללות,Omer Adam,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,20736177.0,streams,20736177,Spotify regional daily chart (Kworb aggregate),,,4dELL8S6XVMibwBkjJACF1,,,https://kworb.net/spotify/country/il_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Israel, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2018-03-14 through 2026-09-11.","{""country_code"":""IL"",""country_name"":""Israel"",""chart_coverage_start"":""2018-03-14"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":905,""top10_days"":75,""peak_rank"":2,""peak_occurrences"":12,""peak_daily_streams"":91184,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":6}"
7,לשוב הביתה,Ishay Ribo,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,20621329.0,streams,20621329,Spotify regional daily chart (Kworb aggregate),,,52n4gF126eIllrGuc9Zus6,,,https://kworb.net/spotify/country/il_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Israel, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2018-03-14 through 2026-09-11.","{""country_code"":""IL"",""country_name"":""Israel"",""chart_coverage_start"":""2018-03-14"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":2885,""top10_days"":33,""peak_rank"":5,""peak_occurrences"":null,""peak_daily_streams"":16069,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":7}"
8,סהרה - Live,Tuna,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,20243664.0,streams,20243664,Spotify regional daily chart (Kworb aggregate),,,7BcRDWY4VTCvRRHoobFWWo,,,https://kworb.net/spotify/country/il_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Israel, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2018-03-14 through 2026-09-11.","{""country_code"":""IL"",""country_name"":""Israel"",""chart_coverage_start"":""2018-03-14"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":1290,""top10_days"":278,""peak_rank"":1,""peak_occurrences"":18,""peak_daily_streams"":48523,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":8}"
9,השיר שאת אהבת,Omer Adam,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,19451498.0,streams,19451498,Spotify regional daily chart (Kworb aggregate),,,5Sn3aXG5AWFmd1ij2PTisj,,,https://kworb.net/spotify/country/il_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Israel, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2018-03-14 through 2026-09-11.","{""country_code"":""IL"",""country_name"":""Israel"",""chart_coverage_start"":""2018-03-14"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":459,""top10_days"":299,""peak_rank"":1,""peak_occurrences"":1,""peak_daily_streams"":98004,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":9}"
10,פלסטרים,Osher Cohen,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,19274554.0,streams,19274554,Spotify regional daily chart (Kworb aggregate),,,6qB33ch9RK0aoMfxfnlXa1,,,https://kworb.net/spotify/country/il_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Israel, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2018-03-14 through 2026-09-11.","{""country_code"":""IL"",""country_name"":""Israel"",""chart_coverage_start"":""2018-03-14"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":842,""top10_days"":152,""peak_rank"":1,""peak_occurrences"":19,""peak_daily_streams"":110003,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":10}"
