rank,title,main_artist,featured_artists,album,release_date,release_year,genres,composer,anime_title,anime_popularity,screen_work,vtuber,is_original,metric_name,metric_value,metric_unit,listen_count,listen_source,view_count,overall_popularity_score,spotify_track_id,musicbrainz_recording_mbid,isrc,source_url,retrieved_at,source_notes,extra
1,"Agar Tum Saath Ho (From ""Tamasha"")",Alka Yagnik,[],,,,[],,,,,,,spotify_country_chart_streams,639225123.0,streams,639225123,Spotify regional daily chart (Kworb aggregate),,,2FCXQHugkoHE1K3tiDu8pu,,,https://kworb.net/spotify/country/in_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for IN, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2019-02-27 through 2026-07-20.","{""country_code"":""IN"",""country_name"":""IN"",""chart_coverage_start"":""2019-02-27"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":2483,""top10_days"":131,""peak_rank"":4,""peak_occurrences"":null,""peak_daily_streams"":730083,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":1}"
2,"Tujhe Kitna Chahne Lage (From ""Kabir Singh"")",Arijit Singh,[],,,,[],,,,,,,spotify_country_chart_streams,601835898.0,streams,601835898,Spotify regional daily chart (Kworb aggregate),,,2Fv2injs4qAm8mJBGaxVKU,,,https://kworb.net/spotify/country/in_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for IN, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2019-02-27 through 2026-07-20.","{""country_code"":""IN"",""country_name"":""IN"",""chart_coverage_start"":""2019-02-27"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":2607,""top10_days"":416,""peak_rank"":2,""peak_occurrences"":50,""peak_daily_streams"":621964,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":2}"
3,Apna Bana Le,Sachin-Jigar,[],,,,[],,,,,,,spotify_country_chart_streams,543313789.0,streams,543313789,Spotify regional daily chart (Kworb aggregate),,,1hA697u7e1jX2XM8sWA6Uy,,,https://kworb.net/spotify/country/in_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for IN, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2019-02-27 through 2026-07-20.","{""country_code"":""IN"",""country_name"":""IN"",""chart_coverage_start"":""2019-02-27"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":992,""top10_days"":268,""peak_rank"":1,""peak_occurrences"":14,""peak_daily_streams"":1446847,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""alternate_metrics"":[{""metric_name"":""spotify_country_chart_streams"",""metric_value"":10796940.0,""metric_unit"":""streams"",""listen_count"":10796940,""view_count"":null,""source_url"":""https://kworb.net/spotify/country/in_daily_totals.html"",""retrieved_at"":""2026-07-22""}],""merged_sources"":[""https://kworb.net/spotify/country/in_daily_totals.html""],""country_rank"":3}"
4,Jo Tum Mere Ho,Anuv Jain,[],,,,[],,,,,,,spotify_country_chart_streams,509129998.0,streams,509129998,Spotify regional daily chart (Kworb aggregate),,,0eCajpR75pDW0r64U6hP2x,,,https://kworb.net/spotify/country/in_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for IN, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2019-02-27 through 2026-07-20.","{""country_code"":""IN"",""country_name"":""IN"",""chart_coverage_start"":""2019-02-27"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":710,""top10_days"":381,""peak_rank"":1,""peak_occurrences"":105,""peak_daily_streams"":1697410,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":4}"
5,"Kaise Hua (From ""Kabir Singh"")",Vishal Mishra,[],,,,[],,,,,,,spotify_country_chart_streams,506512683.0,streams,506512683,Spotify regional daily chart (Kworb aggregate),,,1y1rQTkWmrZdJmjwuK07GC,,,https://kworb.net/spotify/country/in_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for IN, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2019-02-27 through 2026-07-20.","{""country_code"":""IN"",""country_name"":""IN"",""chart_coverage_start"":""2019-02-27"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":2593,""top10_days"":34,""peak_rank"":4,""peak_occurrences"":null,""peak_daily_streams"":467802,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":5}"
6,Ishq,Faheem Abdullah,[],,,,[],,,,,,,spotify_country_chart_streams,503244236.0,streams,503244236,Spotify regional daily chart (Kworb aggregate),,,1hlbywc8Jhl1FFqJxAMabE,,,https://kworb.net/spotify/country/in_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for IN, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2019-02-27 through 2026-07-20.","{""country_code"":""IN"",""country_name"":""IN"",""chart_coverage_start"":""2019-02-27"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":787,""top10_days"":514,""peak_rank"":2,""peak_occurrences"":14,""peak_daily_streams"":1106120,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":6}"
7,Mann Mera,Gajendra Verma,[],,,,[],,,,,,,spotify_country_chart_streams,494369107.0,streams,494369107,Spotify regional daily chart (Kworb aggregate),,,3yV2c3cYhkAwSsxAq6nRiv,,,https://kworb.net/spotify/country/in_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for IN, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2019-02-27 through 2026-07-20.","{""country_code"":""IN"",""country_name"":""IN"",""chart_coverage_start"":""2019-02-27"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":1458,""top10_days"":83,""peak_rank"":5,""peak_occurrences"":null,""peak_daily_streams"":741874,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":7}"
8,Tum Se Hi,Pritam,[],,,,[],,,,,,,spotify_country_chart_streams,493993835.0,streams,493993835,Spotify regional daily chart (Kworb aggregate),,,7eQl3Yqv35ioqUfveKHitE,,,https://kworb.net/spotify/country/in_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for IN, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2019-02-27 through 2026-07-20.","{""country_code"":""IN"",""country_name"":""IN"",""chart_coverage_start"":""2019-02-27"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":2306,""top10_days"":3,""peak_rank"":7,""peak_occurrences"":null,""peak_daily_streams"":584353,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":8}"
9,Maan Meri Jaan,King,[],,,,[],,,,,,,spotify_country_chart_streams,483747313.0,streams,483747313,Spotify regional daily chart (Kworb aggregate),,,1418IuVKQPTYqt7QNJ9RXN,,,https://kworb.net/spotify/country/in_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for IN, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2019-02-27 through 2026-07-20.","{""country_code"":""IN"",""country_name"":""IN"",""chart_coverage_start"":""2019-02-27"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":863,""top10_days"":275,""peak_rank"":1,""peak_occurrences"":123,""peak_daily_streams"":2032986,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":9}"
10,Kesariya,Pritam,[],,,,[],,,,,,,spotify_country_chart_streams,480100067.0,streams,480100067,Spotify regional daily chart (Kworb aggregate),,,4UMIv5jd9gK98a39BQRD9X,,,https://kworb.net/spotify/country/in_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for IN, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2019-02-27 through 2026-07-20.","{""country_code"":""IN"",""country_name"":""IN"",""chart_coverage_start"":""2019-02-27"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":1154,""top10_days"":289,""peak_rank"":1,""peak_occurrences"":44,""peak_daily_streams"":1213960,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":10}"
