rank,title,main_artist,featured_artists,album,release_date,release_year,genres,languages,composer,anime_title,anime_popularity,screen_work,vtuber,is_original,metric_name,metric_value,metric_unit,listen_count,listen_source,view_count,overall_popularity_score,spotify_track_id,musicbrainz_recording_mbid,isrc,source_url,retrieved_at,source_notes,extra
1,Dvel ég í draumahöll,Hafdís Huld,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,8474270.0,streams,8474270,Spotify regional daily chart (Kworb aggregate),,,3ovhC4v5a73S0afcOHhnu2,,,https://kworb.net/spotify/country/is_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Iceland, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-09-11.","{""country_code"":""IS"",""country_name"":""Iceland"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":2628,""top10_days"":1371,""peak_rank"":1,""peak_occurrences"":81,""peak_daily_streams"":5725,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":1}"
2,Litlar stjörnur,Hafdís Huld,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,6704353.0,streams,6704353,Spotify regional daily chart (Kworb aggregate),,,1l2AHO7bb47QGFKJmXhXMz,,,https://kworb.net/spotify/country/is_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Iceland, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-09-11.","{""country_code"":""IS"",""country_name"":""Iceland"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":2486,""top10_days"":848,""peak_rank"":2,""peak_occurrences"":22,""peak_daily_streams"":4608,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":2}"
3,Sofðu unga ástin mín,Hafdís Huld,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,6437723.0,streams,6437723,Spotify regional daily chart (Kworb aggregate),,,0Xh9sOCT7ZvmKg8KthRYnH,,,https://kworb.net/spotify/country/is_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Iceland, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-09-11.","{""country_code"":""IS"",""country_name"":""Iceland"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":2508,""top10_days"":585,""peak_rank"":3,""peak_occurrences"":10,""peak_daily_streams"":4363,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":3}"
4,Óskasteinar,Hafdís Huld,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,6400022.0,streams,6400022,Spotify regional daily chart (Kworb aggregate),,,5myQVDBhZvE7DIvsQICuKn,,,https://kworb.net/spotify/country/is_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Iceland, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-09-11.","{""country_code"":""IS"",""country_name"":""Iceland"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":2513,""top10_days"":552,""peak_rank"":2,""peak_occurrences"":1,""peak_daily_streams"":4283,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":4}"
5,Sofa urtubörn,Hafdís Huld,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,5770371.0,streams,5770371,Spotify regional daily chart (Kworb aggregate),,,1MWg9aH6OhteqF1RXR3J5w,,,https://kworb.net/spotify/country/is_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Iceland, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-09-11.","{""country_code"":""IS"",""country_name"":""Iceland"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":2391,""top10_days"":269,""peak_rank"":5,""peak_occurrences"":null,""peak_daily_streams"":4061,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":5}"
6,Ljós,Hafdís Huld,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,5516910.0,streams,5516910,Spotify regional daily chart (Kworb aggregate),,,0RT86wBrufYQZSdN852Wjn,,,https://kworb.net/spotify/country/is_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Iceland, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-09-11.","{""country_code"":""IS"",""country_name"":""Iceland"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":2379,""top10_days"":123,""peak_rank"":6,""peak_occurrences"":null,""peak_daily_streams"":3881,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":6}"
7,Bíum bíum bambaló,Hafdís Huld,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,5443581.0,streams,5443581,Spotify regional daily chart (Kworb aggregate),,,5pn6OskYybJrrqcdlNpBvk,,,https://kworb.net/spotify/country/is_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Iceland, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-09-11.","{""country_code"":""IS"",""country_name"":""Iceland"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":2379,""top10_days"":95,""peak_rank"":6,""peak_occurrences"":null,""peak_daily_streams"":3671,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":7}"
8,Góða nótt,Hafdís Huld,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,4882243.0,streams,4882243,Spotify regional daily chart (Kworb aggregate),,,7nzeIh8kUdieUBLPXch9wi,,,https://kworb.net/spotify/country/is_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Iceland, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-09-11.","{""country_code"":""IS"",""country_name"":""Iceland"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":2193,""top10_days"":7,""peak_rank"":9,""peak_occurrences"":null,""peak_daily_streams"":3480,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":8}"
9,Esjan,BRÍET,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,4800450.0,streams,4800450,Spotify regional daily chart (Kworb aggregate),,,7DRDJ5ZzU7mj7CfRxGYzOY,,,https://kworb.net/spotify/country/is_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Iceland, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-09-11.","{""country_code"":""IS"",""country_name"":""Iceland"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":2321,""top10_days"":337,""peak_rank"":2,""peak_occurrences"":22,""peak_daily_streams"":8541,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":9}"
10,Bí bí og blaka,Hafdís Huld,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,4510100.0,streams,4510100,Spotify regional daily chart (Kworb aggregate),,,2q2cdTPrbgWSxLFFXjjaoO,,,https://kworb.net/spotify/country/is_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Iceland, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-09-11.","{""country_code"":""IS"",""country_name"":""Iceland"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":2158,""top10_days"":null,""peak_rank"":11,""peak_occurrences"":null,""peak_daily_streams"":3202,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":10}"
