rank,title,main_artist,featured_artists,album,release_date,release_year,genres,languages,composer,anime_title,anime_popularity,screen_work,vtuber,is_original,metric_name,metric_value,metric_unit,listen_count,listen_source,view_count,overall_popularity_score,spotify_track_id,musicbrainz_recording_mbid,isrc,source_url,retrieved_at,source_notes,extra
1,CRUDELIA - I nervi,Marracash,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,197267556.0,streams,197267556,Spotify regional daily chart (Kworb aggregate),,,0xEgDBXYO9gGzmxCFWKxNg,,,https://kworb.net/spotify/country/it_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Italy, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-09-11.","{""country_code"":""IT"",""country_name"":""Italy"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":2354,""top10_days"":80,""peak_rank"":2,""peak_occurrences"":5,""peak_daily_streams"":593516,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":1}"
2,Destri,Gazzelle,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,181444858.0,streams,181444858,Spotify regional daily chart (Kworb aggregate),,,7nRFsITVaSHko2Fw2Gcy59,,,https://kworb.net/spotify/country/it_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Italy, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-09-11.","{""country_code"":""IT"",""country_name"":""Italy"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":2173,""top10_days"":127,""peak_rank"":1,""peak_occurrences"":1,""peak_daily_streams"":398437,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":2}"
3,"Quevedo: Bzrp Music Sessions, Vol. 52",Bizarrap,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,176860162.0,streams,176860162,Spotify regional daily chart (Kworb aggregate),,,2tTmW7RDtMQtBk7m2rYeSw,,,https://kworb.net/spotify/country/it_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Italy, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-09-11.","{""country_code"":""IT"",""country_name"":""Italy"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":1298,""top10_days"":153,""peak_rank"":1,""peak_occurrences"":47,""peak_daily_streams"":595756,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":3}"
4,La musica non c'è,Coez,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,172301653.0,streams,172301653,Spotify regional daily chart (Kworb aggregate),,,7MMJa7cjMadOSR6CFWvB1x,,,https://kworb.net/spotify/country/it_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Italy, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-09-11.","{""country_code"":""IT"",""country_name"":""Italy"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":2235,""top10_days"":115,""peak_rank"":1,""peak_occurrences"":76,""peak_daily_streams"":230659,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":4}"
5,M' Manc (con Geolier & Sfera Ebbasta),Shablo,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,171503525.0,streams,171503525,Spotify regional daily chart (Kworb aggregate),,,0MLu1cFYL4ikdRTdasCQT9,,,https://kworb.net/spotify/country/it_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Italy, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-09-11.","{""country_code"":""IT"",""country_name"":""Italy"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":1713,""top10_days"":131,""peak_rank"":1,""peak_occurrences"":11,""peak_daily_streams"":801257,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":5}"
6,CENERE,Lazza,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,158432598.0,streams,158432598,Spotify regional daily chart (Kworb aggregate),,,0mHC3BK9vFGoEU0EcGPWRZ,,,https://kworb.net/spotify/country/it_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Italy, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-09-11.","{""country_code"":""IT"",""country_name"":""Italy"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":750,""top10_days"":114,""peak_rank"":1,""peak_occurrences"":60,""peak_daily_streams"":2126399,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":6}"
7,IL CIELO NELLA STANZA,Salmo,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,155479061.0,streams,155479061,Spotify regional daily chart (Kworb aggregate),,,2fkVZYFv9hOejIsLzZy8ad,,,https://kworb.net/spotify/country/it_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Italy, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-09-11.","{""country_code"":""IT"",""country_name"":""Italy"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":1756,""top10_days"":183,""peak_rank"":1,""peak_occurrences"":41,""peak_daily_streams"":875592,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":7}"
8,MI FAI IMPAZZIRE,BLANCO,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,147702462.0,streams,147702462,Spotify regional daily chart (Kworb aggregate),,,1x3Qb8np6S1UvpSLthwEJN,,,https://kworb.net/spotify/country/it_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Italy, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-09-11.","{""country_code"":""IT"",""country_name"":""Italy"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":803,""top10_days"":199,""peak_rank"":1,""peak_occurrences"":71,""peak_daily_streams"":906728,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":8}"
9,Capri Sun,Capo Plaza,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,146346890.0,streams,146346890,Spotify regional daily chart (Kworb aggregate),,,1XpmMe95dk9jh3zuOMpeU2,,,https://kworb.net/spotify/country/it_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Italy, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-09-11.","{""country_code"":""IT"",""country_name"":""Italy"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":1240,""top10_days"":175,""peak_rank"":2,""peak_occurrences"":30,""peak_daily_streams"":389632,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":9}"
10,Devastante,Olly,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,144577495.0,streams,144577495,Spotify regional daily chart (Kworb aggregate),,,1ej2NcW0CHnscPp1RZpr1V,,,https://kworb.net/spotify/country/it_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Italy, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-09-11.","{""country_code"":""IT"",""country_name"":""Italy"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":918,""top10_days"":72,""peak_rank"":3,""peak_occurrences"":9,""peak_daily_streams"":409360,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":10}"
