rank,title,main_artist,featured_artists,album,release_date,release_year,genres,languages,composer,anime_title,anime_popularity,screen_work,vtuber,is_original,metric_name,metric_value,metric_unit,listen_count,listen_source,view_count,overall_popularity_score,spotify_track_id,musicbrainz_recording_mbid,isrc,source_url,retrieved_at,source_notes,extra
1,点描の唄,Mrs. GREEN APPLE,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,344379819.0,streams,344379819,Spotify regional daily chart (Kworb aggregate),,,1sIIlVrnPhrvmTrHtzM7tV,,,https://kworb.net/spotify/country/jp_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Japan, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2016-10-17 through 2026-09-11.","{""country_code"":""JP"",""country_name"":""Japan"",""chart_coverage_start"":""2016-10-17"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":2664,""top10_days"":92,""peak_rank"":5,""peak_occurrences"":null,""peak_daily_streams"":256014,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":1}"
2,青と夏,Mrs. GREEN APPLE,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,339350356.0,streams,339350356,Spotify regional daily chart (Kworb aggregate),,,5BC6kr6etk2Y9J62AyI4i3,,,https://kworb.net/spotify/country/jp_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Japan, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2016-10-17 through 2026-09-11.","{""country_code"":""JP"",""country_name"":""Japan"",""chart_coverage_start"":""2016-10-17"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":2980,""top10_days"":560,""peak_rank"":2,""peak_occurrences"":14,""peak_daily_streams"":324527,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":2}"
3,怪獣の花唄,Vaundy,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,322757332.0,streams,322757332,Spotify regional daily chart (Kworb aggregate),,,7dTW21YAJxnAOiUh7Rtu9S,,,https://kworb.net/spotify/country/jp_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Japan, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2016-10-17 through 2026-09-11.","{""country_code"":""JP"",""country_name"":""Japan"",""chart_coverage_start"":""2016-10-17"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":2107,""top10_days"":429,""peak_rank"":1,""peak_occurrences"":6,""peak_daily_streams"":344084,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":3}"
4,水平線,back number,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,297292621.0,streams,297292621,Spotify regional daily chart (Kworb aggregate),,,3RvdkNMcSy71m0aT6UF9Uf,,,https://kworb.net/spotify/country/jp_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Japan, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2016-10-17 through 2026-09-11.","{""country_code"":""JP"",""country_name"":""Japan"",""chart_coverage_start"":""2016-10-17"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":1856,""top10_days"":310,""peak_rank"":1,""peak_occurrences"":15,""peak_daily_streams"":238830,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":4}"
5,ドライフラワー,Yuuri,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,293888179.0,streams,293888179,Spotify regional daily chart (Kworb aggregate),,,4kPlQKwtPrnqLgrmmKFSlA,,,https://kworb.net/spotify/country/jp_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Japan, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2016-10-17 through 2026-09-11.","{""country_code"":""JP"",""country_name"":""Japan"",""chart_coverage_start"":""2016-10-17"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":2141,""top10_days"":588,""peak_rank"":1,""peak_occurrences"":156,""peak_daily_streams"":419390,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":5}"
6,ダンスホール,Mrs. GREEN APPLE,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,273840419.0,streams,273840419,Spotify regional daily chart (Kworb aggregate),,,5LkmpgQYtwHtuvASgnLBe1,,,https://kworb.net/spotify/country/jp_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Japan, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2016-10-17 through 2026-09-11.","{""country_code"":""JP"",""country_name"":""Japan"",""chart_coverage_start"":""2016-10-17"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":1572,""top10_days"":611,""peak_rank"":2,""peak_occurrences"":7,""peak_daily_streams"":279282,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":6}"
7,ライラック,Mrs. GREEN APPLE,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,269026044.0,streams,269026044,Spotify regional daily chart (Kworb aggregate),,,78W4mTLIh4qoLu92W4IQhO,,,https://kworb.net/spotify/country/jp_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Japan, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2016-10-17 through 2026-09-11.","{""country_code"":""JP"",""country_name"":""Japan"",""chart_coverage_start"":""2016-10-17"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":884,""top10_days"":844,""peak_rank"":1,""peak_occurrences"":223,""peak_daily_streams"":562498,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":7}"
8,Pretender,OFFICIAL HIGE DANDISM,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,259125562.0,streams,259125562,Spotify regional daily chart (Kworb aggregate),,,15HNdxGKNCIO9pgaY4n7FU,,,https://kworb.net/spotify/country/jp_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Japan, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2016-10-17 through 2026-09-11.","{""country_code"":""JP"",""country_name"":""Japan"",""chart_coverage_start"":""2016-10-17"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":2705,""top10_days"":527,""peak_rank"":1,""peak_occurrences"":301,""peak_daily_streams"":223605,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":8}"
9,ケセラセラ,Mrs. GREEN APPLE,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,258784170.0,streams,258784170,Spotify regional daily chart (Kworb aggregate),,,0teqQ0PYqVDyyXJuPOyMhu,,,https://kworb.net/spotify/country/jp_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Japan, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2016-10-17 through 2026-09-11.","{""country_code"":""JP"",""country_name"":""Japan"",""chart_coverage_start"":""2016-10-17"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":1237,""top10_days"":646,""peak_rank"":2,""peak_occurrences"":5,""peak_daily_streams"":373828,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":9}"
10,Soranji,Mrs. GREEN APPLE,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,256938378.0,streams,256938378,Spotify regional daily chart (Kworb aggregate),,,3YML5IHoqWbw9c9vJJvrvM,,,https://kworb.net/spotify/country/jp_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Japan, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2016-10-17 through 2026-09-11.","{""country_code"":""JP"",""country_name"":""Japan"",""chart_coverage_start"":""2016-10-17"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":1425,""top10_days"":222,""peak_rank"":6,""peak_occurrences"":null,""peak_daily_streams"":281959,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":10}"
11,高嶺の花子さん,back number,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,255355991.0,streams,255355991,Spotify regional daily chart (Kworb aggregate),,,2jdbZGFp8KVTuk0YxDNL4l,,,https://kworb.net/spotify/country/jp_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Japan, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2016-10-17 through 2026-09-11.","{""country_code"":""JP"",""country_name"":""Japan"",""chart_coverage_start"":""2016-10-17"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":2753,""top10_days"":273,""peak_rank"":2,""peak_occurrences"":14,""peak_daily_streams"":250150,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":11}"
12,夜に駆ける,YOASOBI,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,245998477.0,streams,245998477,Spotify regional daily chart (Kworb aggregate),,,6MCjmGYlw6mQVWRFVgBRvB,,,https://kworb.net/spotify/country/jp_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Japan, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2016-10-17 through 2026-09-11.","{""country_code"":""JP"",""country_name"":""Japan"",""chart_coverage_start"":""2016-10-17"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":1982,""top10_days"":587,""peak_rank"":1,""peak_occurrences"":139,""peak_daily_streams"":332598,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":12}"
13,115万キロのフィルム,OFFICIAL HIGE DANDISM,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,240380387.0,streams,240380387,Spotify regional daily chart (Kworb aggregate),,,278JqkBGkjDovOYAwE8TW7,,,https://kworb.net/spotify/country/jp_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Japan, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2016-10-17 through 2026-09-11.","{""country_code"":""JP"",""country_name"":""Japan"",""chart_coverage_start"":""2016-10-17"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":2681,""top10_days"":342,""peak_rank"":6,""peak_occurrences"":null,""peak_daily_streams"":175461,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":13}"
