rank,title,main_artist,featured_artists,album,release_date,release_year,genres,composer,anime_title,anime_popularity,screen_work,vtuber,is_original,metric_name,metric_value,metric_unit,listen_count,listen_source,view_count,overall_popularity_score,spotify_track_id,musicbrainz_recording_mbid,isrc,source_url,retrieved_at,source_notes,extra
1,点描の唄,Mrs. GREEN APPLE,[],,,,[],,,,,,,spotify_country_chart_streams,333927817.0,streams,333927817,Spotify regional daily chart (Kworb aggregate),,,1sIIlVrnPhrvmTrHtzM7tV,,,https://kworb.net/spotify/country/jp_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for JP, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2016-10-17 through 2026-07-20.","{""country_code"":""JP"",""country_name"":""JP"",""chart_coverage_start"":""2016-10-17"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":2611,""top10_days"":53,""peak_rank"":7,""peak_occurrences"":null,""peak_daily_streams"":256014,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":1}"
2,青と夏,Mrs. GREEN APPLE,[],,,,[],,,,,,,spotify_country_chart_streams,327970554.0,streams,327970554,Spotify regional daily chart (Kworb aggregate),,,5BC6kr6etk2Y9J62AyI4i3,,,https://kworb.net/spotify/country/jp_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for JP, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2016-10-17 through 2026-07-20.","{""country_code"":""JP"",""country_name"":""JP"",""chart_coverage_start"":""2016-10-17"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":2927,""top10_days"":510,""peak_rank"":2,""peak_occurrences"":4,""peak_daily_streams"":324527,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":2}"
3,怪獣の花唄,Vaundy,[],,,,[],,,,,,,spotify_country_chart_streams,314816172.0,streams,314816172,Spotify regional daily chart (Kworb aggregate),,,7dTW21YAJxnAOiUh7Rtu9S,,,https://kworb.net/spotify/country/jp_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for JP, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2016-10-17 through 2026-07-20.","{""country_code"":""JP"",""country_name"":""JP"",""chart_coverage_start"":""2016-10-17"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":2054,""top10_days"":429,""peak_rank"":1,""peak_occurrences"":6,""peak_daily_streams"":344084,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":3}"
4,ドライフラワー,Yuuri,[],,,,[],,,,,,,spotify_country_chart_streams,289782996.0,streams,289782996,Spotify regional daily chart (Kworb aggregate),,,4kPlQKwtPrnqLgrmmKFSlA,,,https://kworb.net/spotify/country/jp_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for JP, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2016-10-17 through 2026-07-20.","{""country_code"":""JP"",""country_name"":""JP"",""chart_coverage_start"":""2016-10-17"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":2088,""top10_days"":588,""peak_rank"":1,""peak_occurrences"":156,""peak_daily_streams"":419390,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":4}"
5,水平線,back number,[],,,,[],,,,,,,spotify_country_chart_streams,287727979.0,streams,287727979,Spotify regional daily chart (Kworb aggregate),,,3RvdkNMcSy71m0aT6UF9Uf,,,https://kworb.net/spotify/country/jp_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for JP, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2016-10-17 through 2026-07-20.","{""country_code"":""JP"",""country_name"":""JP"",""chart_coverage_start"":""2016-10-17"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":1803,""top10_days"":300,""peak_rank"":1,""peak_occurrences"":15,""peak_daily_streams"":238830,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":5}"
6,ダンスホール,Mrs. GREEN APPLE,[],,,,[],,,,,,,spotify_country_chart_streams,270022477.0,streams,270022477,Spotify regional daily chart (Kworb aggregate),,,5LkmpgQYtwHtuvASgnLBe1,,,https://kworb.net/spotify/country/jp_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for JP, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2016-10-17 through 2026-07-20.","{""country_code"":""JP"",""country_name"":""JP"",""chart_coverage_start"":""2016-10-17"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":1519,""top10_days"":611,""peak_rank"":2,""peak_occurrences"":7,""peak_daily_streams"":279282,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":6}"
7,ライラック,Mrs. GREEN APPLE,[],,,,[],,,,,,,spotify_country_chart_streams,258754493.0,streams,258754493,Spotify regional daily chart (Kworb aggregate),,,78W4mTLIh4qoLu92W4IQhO,,,https://kworb.net/spotify/country/jp_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for JP, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2016-10-17 through 2026-07-20.","{""country_code"":""JP"",""country_name"":""JP"",""chart_coverage_start"":""2016-10-17"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":831,""top10_days"":813,""peak_rank"":1,""peak_occurrences"":223,""peak_daily_streams"":562498,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":7}"
8,Pretender,OFFICIAL HIGE DANDISM,[],,,,[],,,,,,,spotify_country_chart_streams,254706960.0,streams,254706960,Spotify regional daily chart (Kworb aggregate),,,15HNdxGKNCIO9pgaY4n7FU,,,https://kworb.net/spotify/country/jp_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for JP, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2016-10-17 through 2026-07-20.","{""country_code"":""JP"",""country_name"":""JP"",""chart_coverage_start"":""2016-10-17"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":2652,""top10_days"":527,""peak_rank"":1,""peak_occurrences"":301,""peak_daily_streams"":223605,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":8}"
9,ケセラセラ,Mrs. GREEN APPLE,[],,,,[],,,,,,,spotify_country_chart_streams,250945142.0,streams,250945142,Spotify regional daily chart (Kworb aggregate),,,0teqQ0PYqVDyyXJuPOyMhu,,,https://kworb.net/spotify/country/jp_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for JP, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2016-10-17 through 2026-07-20.","{""country_code"":""JP"",""country_name"":""JP"",""chart_coverage_start"":""2016-10-17"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":1184,""top10_days"":646,""peak_rank"":2,""peak_occurrences"":5,""peak_daily_streams"":373828,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":9}"
10,Soranji,Mrs. GREEN APPLE,[],,,,[],,,,,,,spotify_country_chart_streams,248014795.0,streams,248014795,Spotify regional daily chart (Kworb aggregate),,,3YML5IHoqWbw9c9vJJvrvM,,,https://kworb.net/spotify/country/jp_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for JP, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2016-10-17 through 2026-07-20.","{""country_code"":""JP"",""country_name"":""JP"",""chart_coverage_start"":""2016-10-17"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":1372,""top10_days"":222,""peak_rank"":6,""peak_occurrences"":null,""peak_daily_streams"":281959,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":10}"
