rank,title,main_artist,featured_artists,album,release_date,release_year,genres,composer,anime_title,anime_popularity,screen_work,vtuber,is_original,metric_name,metric_value,metric_unit,listen_count,listen_source,view_count,overall_popularity_score,spotify_track_id,musicbrainz_recording_mbid,isrc,source_url,retrieved_at,source_notes,extra
1,Who,Jimin,[],,,,[],,,,,,,spotify_country_chart_streams,102186096.0,streams,102186096,Spotify regional daily chart (Kworb aggregate),,,7tI8dRuH2Yc6RuoTjxo4dU,,,https://kworb.net/spotify/country/kr_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for KR, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2021-02-01 through 2026-07-20.","{""country_code"":""KR"",""country_name"":""KR"",""chart_coverage_start"":""2021-02-01"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":732,""top10_days"":675,""peak_rank"":1,""peak_occurrences"":548,""peak_daily_streams"":360327,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":1}"
2,Seven,Jung Kook,[],,,,[],,,,,,,spotify_country_chart_streams,70173833.0,streams,70173833,Spotify regional daily chart (Kworb aggregate),,,2HRgqmZQC0MC7GeNuDIXHN,,,https://kworb.net/spotify/country/kr_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for KR, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2021-02-01 through 2026-07-20.","{""country_code"":""KR"",""country_name"":""KR"",""chart_coverage_start"":""2021-02-01"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":1103,""top10_days"":990,""peak_rank"":1,""peak_occurrences"":120,""peak_daily_streams"":213083,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""alternate_metrics"":[{""metric_name"":""spotify_country_chart_streams"",""metric_value"":524333.0,""metric_unit"":""streams"",""listen_count"":524333,""view_count"":null,""source_url"":""https://kworb.net/spotify/country/kr_daily_totals.html"",""retrieved_at"":""2026-07-22""},{""metric_name"":""spotify_country_chart_streams"",""metric_value"":273898.0,""metric_unit"":""streams"",""listen_count"":273898,""view_count"":null,""source_url"":""https://kworb.net/spotify/country/kr_daily_totals.html"",""retrieved_at"":""2026-07-22""}],""merged_sources"":[""https://kworb.net/spotify/country/kr_daily_totals.html""],""country_rank"":2}"
3,Like Crazy,Jimin,[],,,,[],,,,,,,spotify_country_chart_streams,54183393.0,streams,54183393,Spotify regional daily chart (Kworb aggregate),,,3Ua0m0YmEjrMi9XErKcNiR,,,https://kworb.net/spotify/country/kr_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for KR, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2021-02-01 through 2026-07-20.","{""country_code"":""KR"",""country_name"":""KR"",""chart_coverage_start"":""2021-02-01"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":1103,""top10_days"":580,""peak_rank"":1,""peak_occurrences"":268,""peak_daily_streams"":143652,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":3}"
4,3D,Jung Kook,[],,,,[],,,,,,,spotify_country_chart_streams,29916008.0,streams,29916008,Spotify regional daily chart (Kworb aggregate),,,01qFKNWq73UfEslI0GvumE,,,https://kworb.net/spotify/country/kr_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for KR, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2021-02-01 through 2026-07-20.","{""country_code"":""KR"",""country_name"":""KR"",""chart_coverage_start"":""2021-02-01"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":1004,""top10_days"":375,""peak_rank"":2,""peak_occurrences"":31,""peak_daily_streams"":115429,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""alternate_metrics"":[{""metric_name"":""spotify_country_chart_streams"",""metric_value"":59943.0,""metric_unit"":""streams"",""listen_count"":59943,""view_count"":null,""source_url"":""https://kworb.net/spotify/country/kr_daily_totals.html"",""retrieved_at"":""2026-07-22""},{""metric_name"":""spotify_country_chart_streams"",""metric_value"":41655.0,""metric_unit"":""streams"",""listen_count"":41655,""view_count"":null,""source_url"":""https://kworb.net/spotify/country/kr_daily_totals.html"",""retrieved_at"":""2026-07-22""}],""merged_sources"":[""https://kworb.net/spotify/country/kr_daily_totals.html""],""country_rank"":4}"
5,Be Mine,Jimin,[],,,,[],,,,,,,spotify_country_chart_streams,27993337.0,streams,27993337,Spotify regional daily chart (Kworb aggregate),,,3LWVXp636uLT356Rj08Jaz,,,https://kworb.net/spotify/country/kr_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for KR, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2021-02-01 through 2026-07-20.","{""country_code"":""KR"",""country_name"":""KR"",""chart_coverage_start"":""2021-02-01"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":712,""top10_days"":408,""peak_rank"":2,""peak_occurrences"":69,""peak_daily_streams"":94927,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":5}"
6,Standing Next to You,Jung Kook,[],,,,[],,,,,,,spotify_country_chart_streams,26994794.0,streams,26994794,Spotify regional daily chart (Kworb aggregate),,,2KslE17cAJNHTsI2MI0jb2,,,https://kworb.net/spotify/country/kr_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for KR, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2021-02-01 through 2026-07-20.","{""country_code"":""KR"",""country_name"":""KR"",""chart_coverage_start"":""2021-02-01"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":990,""top10_days"":303,""peak_rank"":3,""peak_occurrences"":2,""peak_daily_streams"":82938,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":6}"
7,Like Crazy (English Version),Jimin,[],,,,[],,,,,,,spotify_country_chart_streams,25966831.0,streams,25966831,Spotify regional daily chart (Kworb aggregate),,,0u8rZGtXJrLtiSe34FPjGG,,,https://kworb.net/spotify/country/kr_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for KR, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2021-02-01 through 2026-07-20.","{""country_code"":""KR"",""country_name"":""KR"",""chart_coverage_start"":""2021-02-01"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":500,""top10_days"":480,""peak_rank"":1,""peak_occurrences"":1,""peak_daily_streams"":101232,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":7}"
8,Hype Boy,NewJeans,[],,,,[],,,,,,,spotify_country_chart_streams,24436764.0,streams,24436764,Spotify regional daily chart (Kworb aggregate),,,0a4MMyCrzT0En247IhqZbD,,,https://kworb.net/spotify/country/kr_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for KR, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2021-02-01 through 2026-07-20.","{""country_code"":""KR"",""country_name"":""KR"",""chart_coverage_start"":""2021-02-01"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":1450,""top10_days"":256,""peak_rank"":1,""peak_occurrences"":26,""peak_daily_streams"":53074,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":8}"
9,Ditto,NewJeans,[],,,,[],,,,,,,spotify_country_chart_streams,23968179.0,streams,23968179,Spotify regional daily chart (Kworb aggregate),,,3r8RuvgbX9s7ammBn07D3W,,,https://kworb.net/spotify/country/kr_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for KR, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2021-02-01 through 2026-07-20.","{""country_code"":""KR"",""country_name"":""KR"",""chart_coverage_start"":""2021-02-01"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":1310,""top10_days"":140,""peak_rank"":1,""peak_occurrences"":25,""peak_daily_streams"":179043,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":9}"
10,Closer Than This,Jimin,[],,,,[],,,,,,,spotify_country_chart_streams,23537913.0,streams,23537913,Spotify regional daily chart (Kworb aggregate),,,3k6q0O9JnO2GhvD6C8fs20,,,https://kworb.net/spotify/country/kr_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for KR, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2021-02-01 through 2026-07-20.","{""country_code"":""KR"",""country_name"":""KR"",""chart_coverage_start"":""2021-02-01"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":763,""top10_days"":305,""peak_rank"":2,""peak_occurrences"":6,""peak_daily_streams"":90142,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":10}"
