rank,title,main_artist,featured_artists,album,release_date,release_year,genres,composer,anime_title,anime_popularity,screen_work,vtuber,is_original,metric_name,metric_value,metric_unit,listen_count,listen_source,view_count,overall_popularity_score,spotify_track_id,musicbrainz_recording_mbid,isrc,source_url,retrieved_at,source_notes,extra
1,Who,Jimin,[],,,,[],,,,,,,spotify_country_chart_streams,15053240.0,streams,15053240,Spotify regional daily chart (Kworb aggregate),,,7tI8dRuH2Yc6RuoTjxo4dU,,,https://kworb.net/spotify/country/kz_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for KZ, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2022-02-20 through 2026-07-20.","{""country_code"":""KZ"",""country_name"":""KZ"",""chart_coverage_start"":""2022-02-20"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":556,""top10_days"":494,""peak_rank"":1,""peak_occurrences"":412,""peak_daily_streams"":105169,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":1}"
2,Расстояние,Ulukmanapo,[],,,,[],,,,,,,spotify_country_chart_streams,13561346.0,streams,13561346,Spotify regional daily chart (Kworb aggregate),,,0dY8qhMk6KOxw51j36GtlM,,,https://kworb.net/spotify/country/kz_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for KZ, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2022-02-20 through 2026-07-20.","{""country_code"":""KZ"",""country_name"":""KZ"",""chart_coverage_start"":""2022-02-20"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":1514,""top10_days"":819,""peak_rank"":1,""peak_occurrences"":85,""peak_daily_streams"":16516,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":2}"
3,Очи,Bakr,[],,,,[],,,,,,,spotify_country_chart_streams,10644436.0,streams,10644436,Spotify regional daily chart (Kworb aggregate),,,3qPi9H4HOdYIl9Lr4WPLJU,,,https://kworb.net/spotify/country/kz_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for KZ, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2022-02-20 through 2026-07-20.","{""country_code"":""KZ"",""country_name"":""KZ"",""chart_coverage_start"":""2022-02-20"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":1355,""top10_days"":512,""peak_rank"":2,""peak_occurrences"":26,""peak_daily_streams"":15184,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":3}"
4,Сирень,Bakr,[],,,,[],,,,,,,spotify_country_chart_streams,10267255.0,streams,10267255,Spotify regional daily chart (Kworb aggregate),,,5i3H6himHZaKZT3Dk8lr8Z,,,https://kworb.net/spotify/country/kz_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for KZ, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2022-02-20 through 2026-07-20.","{""country_code"":""KZ"",""country_name"":""KZ"",""chart_coverage_start"":""2022-02-20"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":1535,""top10_days"":280,""peak_rank"":1,""peak_occurrences"":26,""peak_daily_streams"":15657,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":4}"
5,I Wanna Be Yours,Arctic Monkeys,[],,,,[],,,,,,,spotify_country_chart_streams,10145203.0,streams,10145203,Spotify regional daily chart (Kworb aggregate),,,5XeFesFbtLpXzIVDNQP22n,,,https://kworb.net/spotify/country/kz_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for KZ, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2022-02-20 through 2026-07-20.","{""country_code"":""KZ"",""country_name"":""KZ"",""chart_coverage_start"":""2022-02-20"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":1538,""top10_days"":141,""peak_rank"":2,""peak_occurrences"":16,""peak_daily_streams"":12404,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":5}"
6,Sweater Weather,The Neighbourhood,[],,,,[],,,,,,,spotify_country_chart_streams,9393530.0,streams,9393530,Spotify regional daily chart (Kworb aggregate),,,2QjOHCTQ1Jl3zawyYOpxh6,,,https://kworb.net/spotify/country/kz_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for KZ, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2022-02-20 through 2026-07-20.","{""country_code"":""KZ"",""country_name"":""KZ"",""chart_coverage_start"":""2022-02-20"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":1612,""top10_days"":90,""peak_rank"":6,""peak_occurrences"":null,""peak_daily_streams"":9049,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":6}"
7,Эталон красоты,Bakr,[],,,,[],,,,,,,spotify_country_chart_streams,9040331.0,streams,9040331,Spotify regional daily chart (Kworb aggregate),,,3b1csq4T7y11X9WSAweCB4,,,https://kworb.net/spotify/country/kz_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for KZ, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2022-02-20 through 2026-07-20.","{""country_code"":""KZ"",""country_name"":""KZ"",""chart_coverage_start"":""2022-02-20"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":1225,""top10_days"":281,""peak_rank"":1,""peak_occurrences"":18,""peak_daily_streams"":18932,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":7}"
8,Вредина,Bakr,[],,,,[],,,,,,,spotify_country_chart_streams,8653867.0,streams,8653867,Spotify regional daily chart (Kworb aggregate),,,6z3RBRZVdV34ZjFKgjmDXA,,,https://kworb.net/spotify/country/kz_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for KZ, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2022-02-20 through 2026-07-20.","{""country_code"":""KZ"",""country_name"":""KZ"",""chart_coverage_start"":""2022-02-20"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":1209,""top10_days"":464,""peak_rank"":3,""peak_occurrences"":9,""peak_daily_streams"":13466,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":8}"
9,Алмата-Семей,Bonapart,[],,,,[],,,,,,,spotify_country_chart_streams,8020076.0,streams,8020076,Spotify regional daily chart (Kworb aggregate),,,41gRAnGJ3hyF0GLMe4Rx4h,,,https://kworb.net/spotify/country/kz_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for KZ, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2022-02-20 through 2026-07-20.","{""country_code"":""KZ"",""country_name"":""KZ"",""chart_coverage_start"":""2022-02-20"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":913,""top10_days"":603,""peak_rank"":2,""peak_occurrences"":10,""peak_daily_streams"":14241,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":9}"
10,Летали,Ulukmanapo,[],,,,[],,,,,,,spotify_country_chart_streams,7941482.0,streams,7941482,Spotify regional daily chart (Kworb aggregate),,,0LdDBjHLVBRzc9BY5wA030,,,https://kworb.net/spotify/country/kz_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for KZ, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2022-02-20 through 2026-07-20.","{""country_code"":""KZ"",""country_name"":""KZ"",""chart_coverage_start"":""2022-02-20"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":1489,""top10_days"":15,""peak_rank"":7,""peak_occurrences"":null,""peak_daily_streams"":11653,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":10}"
