rank,title,main_artist,featured_artists,album,release_date,release_year,genres,languages,composer,anime_title,anime_popularity,screen_work,vtuber,is_original,metric_name,metric_value,metric_unit,listen_count,listen_source,view_count,overall_popularity_score,spotify_track_id,musicbrainz_recording_mbid,isrc,source_url,retrieved_at,source_notes,extra
1,Apkabink,Jessica Shy,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,9620940.0,streams,9620940,Spotify regional daily chart (Kworb aggregate),,,6EOpPeCBiBYF0yITU0VQwT,,,https://kworb.net/spotify/country/lt_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Lithuania, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-09-11.","{""country_code"":""LT"",""country_name"":""Lithuania"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":1282,""top10_days"":592,""peak_rank"":1,""peak_occurrences"":142,""peak_daily_streams"":21199,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":1}"
2,Vienas,Free Finga,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,6695397.0,streams,6695397,Spotify regional daily chart (Kworb aggregate),,,7bi0RIjwiZ0r6HlW0Lb4eq,,,https://kworb.net/spotify/country/lt_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Lithuania, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-09-11.","{""country_code"":""LT"",""country_name"":""Lithuania"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":903,""top10_days"":553,""peak_rank"":1,""peak_occurrences"":35,""peak_daily_streams"":18612,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":2}"
3,1000 Vėtrų,Jessica Shy,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,6689967.0,streams,6689967,Spotify regional daily chart (Kworb aggregate),,,2p9Jb5GxSdQvCJ7zTBSuXK,,,https://kworb.net/spotify/country/lt_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Lithuania, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-09-11.","{""country_code"":""LT"",""country_name"":""Lithuania"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":834,""top10_days"":437,""peak_rank"":1,""peak_occurrences"":85,""peak_daily_streams"":30888,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":3}"
4,Sweater Weather,The Neighbourhood,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,6656814.0,streams,6656814,Spotify regional daily chart (Kworb aggregate),,,2QjOHCTQ1Jl3zawyYOpxh6,,,https://kworb.net/spotify/country/lt_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Lithuania, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-09-11.","{""country_code"":""LT"",""country_name"":""Lithuania"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":2205,""top10_days"":1,""peak_rank"":10,""peak_occurrences"":null,""peak_daily_streams"":6034,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":4}"
5,Šokam Lėtai,Jessica Shy,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,5953147.0,streams,5953147,Spotify regional daily chart (Kworb aggregate),,,149qQkZez6yujONJspKw7U,,,https://kworb.net/spotify/country/lt_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Lithuania, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-09-11.","{""country_code"":""LT"",""country_name"":""Lithuania"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":1618,""top10_days"":199,""peak_rank"":1,""peak_occurrences"":4,""peak_daily_streams"":9443,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":5}"
6,Rugpjūtis,Justinas Jarutis,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,5838971.0,streams,5838971,Spotify regional daily chart (Kworb aggregate),,,2psbE7Ds01Xz2MaMIk7APk,,,https://kworb.net/spotify/country/lt_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Lithuania, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-09-11.","{""country_code"":""LT"",""country_name"":""Lithuania"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":1575,""top10_days"":199,""peak_rank"":1,""peak_occurrences"":32,""peak_daily_streams"":15675,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":6}"
7,Stadionai,Jessica Shy,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,5611311.0,streams,5611311,Spotify regional daily chart (Kworb aggregate),,,2JtsIAfAu4PFyjlk17Hg3M,,,https://kworb.net/spotify/country/lt_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Lithuania, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-09-11.","{""country_code"":""LT"",""country_name"":""Lithuania"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":1767,""top10_days"":14,""peak_rank"":5,""peak_occurrences"":null,""peak_daily_streams"":11000,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":7}"
8,Tarp Geltonų Rūtų,Jessica Shy,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,5497987.0,streams,5497987,Spotify regional daily chart (Kworb aggregate),,,7oT03aTBgEAC3MqizjLL71,,,https://kworb.net/spotify/country/lt_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Lithuania, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-09-11.","{""country_code"":""LT"",""country_name"":""Lithuania"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":834,""top10_days"":300,""peak_rank"":2,""peak_occurrences"":23,""peak_daily_streams"":26583,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":8}"
9,Dėl Tavęs,Jessica Shy,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,5340447.0,streams,5340447,Spotify regional daily chart (Kworb aggregate),,,0NfRszAHHTci3p02z41Gra,,,https://kworb.net/spotify/country/lt_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Lithuania, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-09-11.","{""country_code"":""LT"",""country_name"":""Lithuania"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":1059,""top10_days"":256,""peak_rank"":1,""peak_occurrences"":4,""peak_daily_streams"":17573,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":9}"
10,Tyliai Pakuždėk,Jessica Shy,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,5105173.0,streams,5105173,Spotify regional daily chart (Kworb aggregate),,,6RmV54gl0nByycqhTajiiZ,,,https://kworb.net/spotify/country/lt_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Lithuania, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-09-11.","{""country_code"":""LT"",""country_name"":""Lithuania"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":1226,""top10_days"":324,""peak_rank"":1,""peak_occurrences"":21,""peak_daily_streams"":14271,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":10}"
11,Beržas,Free Finga,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,4622605.0,streams,4622605,Spotify regional daily chart (Kworb aggregate),,,5GY1DG6DwtqCv7au849YRu,,,https://kworb.net/spotify/country/lt_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Lithuania, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-09-11.","{""country_code"":""LT"",""country_name"":""Lithuania"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":904,""top10_days"":86,""peak_rank"":2,""peak_occurrences"":13,""peak_daily_streams"":17524,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":11}"
12,Blinding Lights,The Weeknd,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,4592565.0,streams,4592565,Spotify regional daily chart (Kworb aggregate),,,0VjIjW4GlUZAMYd2vXMi3b,,,https://kworb.net/spotify/country/lt_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Lithuania, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-09-11.","{""country_code"":""LT"",""country_name"":""Lithuania"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":1636,""top10_days"":426,""peak_rank"":1,""peak_occurrences"":119,""peak_daily_streams"":8339,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""alternate_metrics"":[{""metric_name"":""spotify_country_chart_streams"",""metric_value"":3572.0,""metric_unit"":""streams"",""listen_count"":3572,""view_count"":null,""source_url"":""https://kworb.net/spotify/country/lt_daily_totals.html"",""retrieved_at"":""2026-09-13""}],""merged_sources"":[""https://kworb.net/spotify/country/lt_daily_totals.html""],""country_rank"":12}"
13,i like the way you kiss me,Artemas,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,4484815.0,streams,4484815,Spotify regional daily chart (Kworb aggregate),,,2GxrNKugF82CnoRFbQfzPf,,,https://kworb.net/spotify/country/lt_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Lithuania, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-09-11.","{""country_code"":""LT"",""country_name"":""Lithuania"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":588,""top10_days"":186,""peak_rank"":1,""peak_occurrences"":51,""peak_daily_streams"":46286,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":13}"
14,As It Was,Harry Styles,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,4438220.0,streams,4438220,Spotify regional daily chart (Kworb aggregate),,,4Dvkj6JhhA12EX05fT7y2e,,,https://kworb.net/spotify/country/lt_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Lithuania, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-09-11.","{""country_code"":""LT"",""country_name"":""Lithuania"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":900,""top10_days"":315,""peak_rank"":1,""peak_occurrences"":57,""peak_daily_streams"":20008,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":14}"
15,BIRDS OF A FEATHER,Billie Eilish,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,4406456.0,streams,4406456,Spotify regional daily chart (Kworb aggregate),,,6dOtVTDdiauQNBQEDOtlAB,,,https://kworb.net/spotify/country/lt_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Lithuania, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-09-11.","{""country_code"":""LT"",""country_name"":""Lithuania"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":820,""top10_days"":202,""peak_rank"":1,""peak_occurrences"":8,""peak_daily_streams"":14834,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":15}"
16,Don’t Say You Love Me,Jin,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,4346793.0,streams,4346793,Spotify regional daily chart (Kworb aggregate),,,27xkOIER6uDLKALIelHylZ,,,https://kworb.net/spotify/country/lt_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Lithuania, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-09-11.","{""country_code"":""LT"",""country_name"":""Lithuania"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":476,""top10_days"":373,""peak_rank"":1,""peak_occurrences"":111,""peak_daily_streams"":19599,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":16}"
