rank,title,main_artist,featured_artists,album,release_date,release_year,genres,composer,anime_title,anime_popularity,screen_work,vtuber,is_original,metric_name,metric_value,metric_unit,listen_count,listen_source,view_count,overall_popularity_score,spotify_track_id,musicbrainz_recording_mbid,isrc,source_url,retrieved_at,source_notes,extra
1,Apkabink,Jessica Shy,[],,,,[],,,,,,,spotify_country_chart_streams,9350369.0,streams,9350369,Spotify regional daily chart (Kworb aggregate),,,6EOpPeCBiBYF0yITU0VQwT,,,https://kworb.net/spotify/country/lt_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for LT, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""LT"",""country_name"":""LT"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":1229,""top10_days"":589,""peak_rank"":1,""peak_occurrences"":142,""peak_daily_streams"":21199,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":1}"
2,Sweater Weather,The Neighbourhood,[],,,,[],,,,,,,spotify_country_chart_streams,6506659.0,streams,6506659,Spotify regional daily chart (Kworb aggregate),,,2QjOHCTQ1Jl3zawyYOpxh6,,,https://kworb.net/spotify/country/lt_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for LT, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""LT"",""country_name"":""LT"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":2152,""top10_days"":1,""peak_rank"":10,""peak_occurrences"":null,""peak_daily_streams"":6034,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":2}"
3,1000 Vėtrų,Jessica Shy,[],,,,[],,,,,,,spotify_country_chart_streams,6427812.0,streams,6427812,Spotify regional daily chart (Kworb aggregate),,,2p9Jb5GxSdQvCJ7zTBSuXK,,,https://kworb.net/spotify/country/lt_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for LT, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""LT"",""country_name"":""LT"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":781,""top10_days"":431,""peak_rank"":1,""peak_occurrences"":85,""peak_daily_streams"":30888,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":3}"
4,Vienas,Free Finga,[],,,,[],,,,,,,spotify_country_chart_streams,6410069.0,streams,6410069,Spotify regional daily chart (Kworb aggregate),,,7bi0RIjwiZ0r6HlW0Lb4eq,,,https://kworb.net/spotify/country/lt_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for LT, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""LT"",""country_name"":""LT"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":850,""top10_days"":542,""peak_rank"":1,""peak_occurrences"":35,""peak_daily_streams"":18612,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":4}"
5,Šokam Lėtai,Jessica Shy,[],,,,[],,,,,,,spotify_country_chart_streams,5860181.0,streams,5860181,Spotify regional daily chart (Kworb aggregate),,,149qQkZez6yujONJspKw7U,,,https://kworb.net/spotify/country/lt_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for LT, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""LT"",""country_name"":""LT"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":1586,""top10_days"":199,""peak_rank"":1,""peak_occurrences"":4,""peak_daily_streams"":9443,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":5}"
6,Rugpjūtis,Justinas Jarutis,[],,,,[],,,,,,,spotify_country_chart_streams,5692188.0,streams,5692188,Spotify regional daily chart (Kworb aggregate),,,2psbE7Ds01Xz2MaMIk7APk,,,https://kworb.net/spotify/country/lt_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for LT, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""LT"",""country_name"":""LT"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":1523,""top10_days"":199,""peak_rank"":1,""peak_occurrences"":32,""peak_daily_streams"":15675,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":6}"
7,Stadionai,Jessica Shy,[],,,,[],,,,,,,spotify_country_chart_streams,5417815.0,streams,5417815,Spotify regional daily chart (Kworb aggregate),,,2JtsIAfAu4PFyjlk17Hg3M,,,https://kworb.net/spotify/country/lt_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for LT, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""LT"",""country_name"":""LT"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":1714,""top10_days"":14,""peak_rank"":5,""peak_occurrences"":null,""peak_daily_streams"":11000,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":7}"
8,Dėl Tavęs,Jessica Shy,[],,,,[],,,,,,,spotify_country_chart_streams,5283152.0,streams,5283152,Spotify regional daily chart (Kworb aggregate),,,0NfRszAHHTci3p02z41Gra,,,https://kworb.net/spotify/country/lt_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for LT, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""LT"",""country_name"":""LT"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":1040,""top10_days"":256,""peak_rank"":1,""peak_occurrences"":4,""peak_daily_streams"":17573,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":8}"
9,Tarp Geltonų Rūtų,Jessica Shy,[],,,,[],,,,,,,spotify_country_chart_streams,5273136.0,streams,5273136,Spotify regional daily chart (Kworb aggregate),,,7oT03aTBgEAC3MqizjLL71,,,https://kworb.net/spotify/country/lt_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for LT, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""LT"",""country_name"":""LT"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":781,""top10_days"":300,""peak_rank"":2,""peak_occurrences"":23,""peak_daily_streams"":26583,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":9}"
10,Tyliai Pakuždėk,Jessica Shy,[],,,,[],,,,,,,spotify_country_chart_streams,5042743.0,streams,5042743,Spotify regional daily chart (Kworb aggregate),,,6RmV54gl0nByycqhTajiiZ,,,https://kworb.net/spotify/country/lt_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for LT, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""LT"",""country_name"":""LT"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":1204,""top10_days"":324,""peak_rank"":1,""peak_occurrences"":21,""peak_daily_streams"":14271,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":10}"
