rank,title,main_artist,featured_artists,album,release_date,release_year,genres,languages,composer,anime_title,anime_popularity,screen_work,vtuber,is_original,metric_name,metric_value,metric_unit,listen_count,listen_source,view_count,overall_popularity_score,spotify_track_id,musicbrainz_recording_mbid,isrc,source_url,retrieved_at,source_notes,extra
1,3DABI,Draganov,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,24972620.0,streams,24972620,Spotify regional daily chart (Kworb aggregate),,,4knNlB73rkLODZU03Xjx7x,,,https://kworb.net/spotify/country/ma_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Morocco, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2019-07-08 through 2026-09-11.","{""country_code"":""MA"",""country_name"":""Morocco"",""chart_coverage_start"":""2019-07-08"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":1150,""top10_days"":391,""peak_rank"":1,""peak_occurrences"":80,""peak_daily_streams"":85809,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":1}"
2,BLUE LOVE,ElGrandeToto,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,23368087.0,streams,23368087,Spotify regional daily chart (Kworb aggregate),,,0YZ2ANy2Hhf21koqFpph5F,,,https://kworb.net/spotify/country/ma_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Morocco, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2019-07-08 through 2026-09-11.","{""country_code"":""MA"",""country_name"":""Morocco"",""chart_coverage_start"":""2019-07-08"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":1002,""top10_days"":445,""peak_rank"":1,""peak_occurrences"":45,""peak_daily_streams"":64985,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":2}"
3,MOON,Stormy,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,20795565.0,streams,20795565,Spotify regional daily chart (Kworb aggregate),,,4FK1eYp1arE2jiuAgluOtt,,,https://kworb.net/spotify/country/ma_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Morocco, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2019-07-08 through 2026-09-11.","{""country_code"":""MA"",""country_name"":""Morocco"",""chart_coverage_start"":""2019-07-08"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":941,""top10_days"":335,""peak_rank"":1,""peak_occurrences"":104,""peak_daily_streams"":71387,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":3}"
4,Dawk Lya,Snor,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,19547640.0,streams,19547640,Spotify regional daily chart (Kworb aggregate),,,5OInx13SpghEifbS5bQmwq,,,https://kworb.net/spotify/country/ma_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Morocco, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2019-07-08 through 2026-09-11.","{""country_code"":""MA"",""country_name"":""Morocco"",""chart_coverage_start"":""2019-07-08"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":1543,""top10_days"":474,""peak_rank"":2,""peak_occurrences"":27,""peak_daily_streams"":32900,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":4}"
5,Mghayer,ElGrandeToto,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,18302822.0,streams,18302822,Spotify regional daily chart (Kworb aggregate),,,5QhnCB5kD34sYkvHviU0yz,,,https://kworb.net/spotify/country/ma_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Morocco, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2019-07-08 through 2026-09-11.","{""country_code"":""MA"",""country_name"":""Morocco"",""chart_coverage_start"":""2019-07-08"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":2073,""top10_days"":313,""peak_rank"":1,""peak_occurrences"":53,""peak_daily_streams"":94873,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":5}"
6,love nwantiti,CKay,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,17675158.0,streams,17675158,Spotify regional daily chart (Kworb aggregate),,,1EYeZGTMCjV7uVey5fNWXM,,,https://kworb.net/spotify/country/ma_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Morocco, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2019-07-08 through 2026-09-11.","{""country_code"":""MA"",""country_name"":""Morocco"",""chart_coverage_start"":""2019-07-08"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":1984,""top10_days"":555,""peak_rank"":1,""peak_occurrences"":124,""peak_daily_streams"":26603,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""alternate_metrics"":[{""metric_name"":""spotify_country_chart_streams"",""metric_value"":295743.0,""metric_unit"":""streams"",""listen_count"":295743,""view_count"":null,""source_url"":""https://kworb.net/spotify/country/ma_daily_totals.html"",""retrieved_at"":""2026-09-13""}],""merged_sources"":[""https://kworb.net/spotify/country/ma_daily_totals.html""],""country_rank"":6}"
7,Mizane,Stormy,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,17384614.0,streams,17384614,Spotify regional daily chart (Kworb aggregate),,,0SaMca4zsaUTTzNv5haull,,,https://kworb.net/spotify/country/ma_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Morocco, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2019-07-08 through 2026-09-11.","{""country_code"":""MA"",""country_name"":""Morocco"",""chart_coverage_start"":""2019-07-08"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":1922,""top10_days"":174,""peak_rank"":4,""peak_occurrences"":null,""peak_daily_streams"":31723,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":7}"
8,Qui sait ?,Niro,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,17075406.0,streams,17075406,Spotify regional daily chart (Kworb aggregate),,,3ejjmzEsUfObGdmmQRVmM2,,,https://kworb.net/spotify/country/ma_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Morocco, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2019-07-08 through 2026-09-11.","{""country_code"":""MA"",""country_name"":""Morocco"",""chart_coverage_start"":""2019-07-08"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":1310,""top10_days"":263,""peak_rank"":1,""peak_occurrences"":49,""peak_daily_streams"":36502,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":8}"
9,Si tu savais,Anys,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,17053534.0,streams,17053534,Spotify regional daily chart (Kworb aggregate),,,2XoeD3lix5eVNEa40ZFtHW,,,https://kworb.net/spotify/country/ma_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Morocco, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2019-07-08 through 2026-09-11.","{""country_code"":""MA"",""country_name"":""Morocco"",""chart_coverage_start"":""2019-07-08"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":2191,""top10_days"":76,""peak_rank"":1,""peak_occurrences"":1,""peak_daily_streams"":22084,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":9}"
10,DIPLOMATICO,ElGrandeToto,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,17025609.0,streams,17025609,Spotify regional daily chart (Kworb aggregate),,,0jweHzprxjQSDTcxjoX4Og,,,https://kworb.net/spotify/country/ma_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Morocco, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2019-07-08 through 2026-09-11.","{""country_code"":""MA"",""country_name"":""Morocco"",""chart_coverage_start"":""2019-07-08"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":690,""top10_days"":285,""peak_rank"":1,""peak_occurrences"":32,""peak_daily_streams"":108445,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":10}"
