rank,title,main_artist,featured_artists,album,release_date,release_year,genres,languages,composer,anime_title,anime_popularity,screen_work,vtuber,is_original,metric_name,metric_value,metric_unit,listen_count,listen_source,view_count,overall_popularity_score,spotify_track_id,musicbrainz_recording_mbid,isrc,source_url,retrieved_at,source_notes,extra
1,Me Rehúso,Danny Ocean,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,744666473.0,streams,744666473,Spotify regional daily chart (Kworb aggregate),,,6ifUES3keWjwXgae8pXI3o,,,https://kworb.net/spotify/country/mx_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Mexico, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-09-11.","{""country_code"":""MX"",""country_name"":""Mexico"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":3420,""top10_days"":312,""peak_rank"":1,""peak_occurrences"":4,""peak_daily_streams"":580448,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":1}"
2,LA CANCIÓN,J Balvin,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,741908862.0,streams,741908862,Spotify regional daily chart (Kworb aggregate),,,0fea68AdmYNygeTGI4RC18,,,https://kworb.net/spotify/country/mx_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Mexico, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-09-11.","{""country_code"":""MX"",""country_name"":""Mexico"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":2626,""top10_days"":222,""peak_rank"":1,""peak_occurrences"":14,""peak_daily_streams"":1002204,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":2}"
3,Que Onda,Calle 24,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,708400378.0,streams,708400378,Spotify regional daily chart (Kworb aggregate),,,6uIIdjYTxxpWOyWuVXrKQO,,,https://kworb.net/spotify/country/mx_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Mexico, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-09-11.","{""country_code"":""MX"",""country_name"":""Mexico"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":1105,""top10_days"":214,""peak_rank"":1,""peak_occurrences"":42,""peak_daily_streams"":2251621,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":3}"
4,Y LLORO,Junior H,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,686288517.0,streams,686288517,Spotify regional daily chart (Kworb aggregate),,,6RcAHyC5sAUIbPTkhOQwd8,,,https://kworb.net/spotify/country/mx_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Mexico, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-09-11.","{""country_code"":""MX"",""country_name"":""Mexico"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":1072,""top10_days"":152,""peak_rank"":3,""peak_occurrences"":1,""peak_daily_streams"":1631002,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":4}"
5,Madonna,Natanael Cano,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,631698009.0,streams,631698009,Spotify regional daily chart (Kworb aggregate),,,5LhI8m7n8xlQmNe3b7Rwis,,,https://kworb.net/spotify/country/mx_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Mexico, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-09-11.","{""country_code"":""MX"",""country_name"":""Mexico"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":917,""top10_days"":213,""peak_rank"":1,""peak_occurrences"":81,""peak_daily_streams"":2658384,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":5}"
6,Tu Boda,Oscar Maydon,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,596952693.0,streams,596952693,Spotify regional daily chart (Kworb aggregate),,,1cOboCuWYI2osTOfolMRS6,,,https://kworb.net/spotify/country/mx_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Mexico, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-09-11.","{""country_code"":""MX"",""country_name"":""Mexico"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":715,""top10_days"":125,""peak_rank"":1,""peak_occurrences"":59,""peak_daily_streams"":4196134,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":6}"
7,El Azul,Junior H,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,588542613.0,streams,588542613,Spotify regional daily chart (Kworb aggregate),,,1haJsMtoBhHfvuM7XWuT3W,,,https://kworb.net/spotify/country/mx_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Mexico, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-09-11.","{""country_code"":""MX"",""country_name"":""Mexico"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":1073,""top10_days"":196,""peak_rank"":2,""peak_occurrences"":3,""peak_daily_streams"":2467224,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":7}"
8,EL AMOR DE SU VIDA,Grupo Frontera,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,569932665.0,streams,569932665,Spotify regional daily chart (Kworb aggregate),,,0O3U5iwTbiXCREMkvotJuN,,,https://kworb.net/spotify/country/mx_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Mexico, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-09-11.","{""country_code"":""MX"",""country_name"":""Mexico"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":1130,""top10_days"":169,""peak_rank"":5,""peak_occurrences"":null,""peak_daily_streams"":1385349,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":8}"
9,Extssy Model,Junior H,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,546573323.0,streams,546573323,Spotify regional daily chart (Kworb aggregate),,,24teIhDYO2RocTA2v5dY0r,,,https://kworb.net/spotify/country/mx_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Mexico, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-09-11.","{""country_code"":""MX"",""country_name"":""Mexico"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":1431,""top10_days"":null,""peak_rank"":18,""peak_occurrences"":null,""peak_daily_streams"":697482,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":9}"
10,Primera Cita,Carín León,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,544637125.0,streams,544637125,Spotify regional daily chart (Kworb aggregate),,,25OeKzcqakFPaJlXHPE5lm,,,https://kworb.net/spotify/country/mx_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Mexico, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-09-11.","{""country_code"":""MX"",""country_name"":""Mexico"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":1126,""top10_days"":93,""peak_rank"":2,""peak_occurrences"":21,""peak_daily_streams"":1519053,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":10}"
