rank,title,main_artist,featured_artists,album,release_date,release_year,genres,composer,anime_title,anime_popularity,screen_work,vtuber,is_original,metric_name,metric_value,metric_unit,listen_count,listen_source,view_count,overall_popularity_score,spotify_track_id,musicbrainz_recording_mbid,isrc,source_url,retrieved_at,source_notes,extra
1,Remember,Asake,[],,,,[],,,,,,,spotify_country_chart_streams,76034352.0,streams,76034352,Spotify regional daily chart (Kworb aggregate),,,0Q1bMs3xLQiDEeaneehdxv,,,https://kworb.net/spotify/country/ng_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for NG, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2022-02-20 through 2026-07-20.","{""country_code"":""NG"",""country_name"":""NG"",""chart_coverage_start"":""2022-02-20"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":1132,""top10_days"":8,""peak_rank"":8,""peak_occurrences"":null,""peak_daily_streams"":153070,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":1}"
2,Awolowo,Fido,[],,,,[],,,,,,,spotify_country_chart_streams,62034360.0,streams,62034360,Spotify regional daily chart (Kworb aggregate),,,1136eJrkWsDvReASbjLTaU,,,https://kworb.net/spotify/country/ng_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for NG, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2022-02-20 through 2026-07-20.","{""country_code"":""NG"",""country_name"":""NG"",""chart_coverage_start"":""2022-02-20"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":706,""top10_days"":163,""peak_rank"":1,""peak_occurrences"":16,""peak_daily_streams"":202625,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":2}"
3,Lonely At The Top,Asake,[],,,,[],,,,,,,spotify_country_chart_streams,60497102.0,streams,60497102,Spotify regional daily chart (Kworb aggregate),,,5ZtK8XAVnoaGdBXZWCEVCY,,,https://kworb.net/spotify/country/ng_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for NG, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2022-02-20 through 2026-07-20.","{""country_code"":""NG"",""country_name"":""NG"",""chart_coverage_start"":""2022-02-20"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":1132,""top10_days"":171,""peak_rank"":1,""peak_occurrences"":45,""peak_daily_streams"":175467,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":3}"
4,Dealer,Ayo Maff,[],,,,[],,,,,,,spotify_country_chart_streams,59508399.0,streams,59508399,Spotify regional daily chart (Kworb aggregate),,,5Wxkvvb6pLky16pwq4gBI3,,,https://kworb.net/spotify/country/ng_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for NG, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2022-02-20 through 2026-07-20.","{""country_code"":""NG"",""country_name"":""NG"",""chart_coverage_start"":""2022-02-20"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":795,""top10_days"":196,""peak_rank"":1,""peak_occurrences"":7,""peak_daily_streams"":151956,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":4}"
5,Nzaza,Asake,[],,,,[],,,,,,,spotify_country_chart_streams,58790617.0,streams,58790617,Spotify regional daily chart (Kworb aggregate),,,0VjzaXw81JQJM61pzWwP8b,,,https://kworb.net/spotify/country/ng_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for NG, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2022-02-20 through 2026-07-20.","{""country_code"":""NG"",""country_name"":""NG"",""chart_coverage_start"":""2022-02-20"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":1208,""top10_days"":54,""peak_rank"":5,""peak_occurrences"":null,""peak_daily_streams"":163913,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":5}"
6,With You,Davido,[],,,,[],,,,,,,spotify_country_chart_streams,58057022.0,streams,58057022,Spotify regional daily chart (Kworb aggregate),,,5GyaXqMfcIGHfmTUITFacS,,,https://kworb.net/spotify/country/ng_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for NG, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2022-02-20 through 2026-07-20.","{""country_code"":""NG"",""country_name"":""NG"",""chart_coverage_start"":""2022-02-20"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":460,""top10_days"":87,""peak_rank"":1,""peak_occurrences"":32,""peak_daily_streams"":849428,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""alternate_metrics"":[{""metric_name"":""spotify_country_chart_streams"",""metric_value"":38825.0,""metric_unit"":""streams"",""listen_count"":38825,""view_count"":null,""source_url"":""https://kworb.net/spotify/country/ng_daily_totals.html"",""retrieved_at"":""2026-07-22""}],""merged_sources"":[""https://kworb.net/spotify/country/ng_daily_totals.html""],""country_rank"":6}"
7,Joy is Coming,Fido,[],,,,[],,,,,,,spotify_country_chart_streams,57859679.0,streams,57859679,Spotify regional daily chart (Kworb aggregate),,,7msfmSm4KbVnIds5DvsGzT,,,https://kworb.net/spotify/country/ng_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for NG, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2022-02-20 through 2026-07-20.","{""country_code"":""NG"",""country_name"":""NG"",""chart_coverage_start"":""2022-02-20"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":572,""top10_days"":88,""peak_rank"":1,""peak_occurrences"":40,""peak_daily_streams"":641556,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""alternate_metrics"":[{""metric_name"":""spotify_country_chart_streams"",""metric_value"":698008.0,""metric_unit"":""streams"",""listen_count"":698008,""view_count"":null,""source_url"":""https://kworb.net/spotify/country/ng_daily_totals.html"",""retrieved_at"":""2026-07-22""}],""merged_sources"":[""https://kworb.net/spotify/country/ng_daily_totals.html""],""country_rank"":7}"
8,Doha,Seyi Vibez,[],,,,[],,,,,,,spotify_country_chart_streams,54831811.0,streams,54831811,Spotify regional daily chart (Kworb aggregate),,,5hphSVebVxTpDfrk09W0hS,,,https://kworb.net/spotify/country/ng_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for NG, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2022-02-20 through 2026-07-20.","{""country_code"":""NG"",""country_name"":""NG"",""chart_coverage_start"":""2022-02-20"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":738,""top10_days"":23,""peak_rank"":5,""peak_occurrences"":null,""peak_daily_streams"":133730,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":8}"
9,KANTE,Davido,[],,,,[],,,,,,,spotify_country_chart_streams,54142652.0,streams,54142652,Spotify regional daily chart (Kworb aggregate),,,7vKXc90NT5WBm3UTT4iTVG,,,https://kworb.net/spotify/country/ng_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for NG, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2022-02-20 through 2026-07-20.","{""country_code"":""NG"",""country_name"":""NG"",""chart_coverage_start"":""2022-02-20"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":1209,""top10_days"":58,""peak_rank"":4,""peak_occurrences"":null,""peak_daily_streams"":330561,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":9}"
10,Terminator,Asake,[],,,,[],,,,,,,spotify_country_chart_streams,53060924.0,streams,53060924,Spotify regional daily chart (Kworb aggregate),,,5ycsqezujKrwviU3VFhci1,,,https://kworb.net/spotify/country/ng_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for NG, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2022-02-20 through 2026-07-20.","{""country_code"":""NG"",""country_name"":""NG"",""chart_coverage_start"":""2022-02-20"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":1432,""top10_days"":163,""peak_rank"":1,""peak_occurrences"":23,""peak_daily_streams"":157522,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":10}"
