rank,title,main_artist,featured_artists,album,release_date,release_year,genres,languages,composer,anime_title,anime_popularity,screen_work,vtuber,is_original,metric_name,metric_value,metric_unit,listen_count,listen_source,view_count,overall_popularity_score,spotify_track_id,musicbrainz_recording_mbid,isrc,source_url,retrieved_at,source_notes,extra
1,Remember,Asake,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,80694124.0,streams,80694124,Spotify regional daily chart (Kworb aggregate),,,0Q1bMs3xLQiDEeaneehdxv,,,https://kworb.net/spotify/country/ng_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Nigeria, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2022-02-20 through 2026-09-11.","{""country_code"":""NG"",""country_name"":""Nigeria"",""chart_coverage_start"":""2022-02-20"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":1185,""top10_days"":8,""peak_rank"":8,""peak_occurrences"":null,""peak_daily_streams"":153070,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":1}"
2,Awolowo,Fido,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,64344664.0,streams,64344664,Spotify regional daily chart (Kworb aggregate),,,1136eJrkWsDvReASbjLTaU,,,https://kworb.net/spotify/country/ng_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Nigeria, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2022-02-20 through 2026-09-11.","{""country_code"":""NG"",""country_name"":""Nigeria"",""chart_coverage_start"":""2022-02-20"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":759,""top10_days"":163,""peak_rank"":1,""peak_occurrences"":16,""peak_daily_streams"":202625,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":2}"
3,Lonely At The Top,Asake,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,63042815.0,streams,63042815,Spotify regional daily chart (Kworb aggregate),,,5ZtK8XAVnoaGdBXZWCEVCY,,,https://kworb.net/spotify/country/ng_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Nigeria, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2022-02-20 through 2026-09-11.","{""country_code"":""NG"",""country_name"":""Nigeria"",""chart_coverage_start"":""2022-02-20"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":1185,""top10_days"":171,""peak_rank"":1,""peak_occurrences"":45,""peak_daily_streams"":175467,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":3}"
4,Nzaza,Asake,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,62709081.0,streams,62709081,Spotify regional daily chart (Kworb aggregate),,,0VjzaXw81JQJM61pzWwP8b,,,https://kworb.net/spotify/country/ng_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Nigeria, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2022-02-20 through 2026-09-11.","{""country_code"":""NG"",""country_name"":""Nigeria"",""chart_coverage_start"":""2022-02-20"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":1261,""top10_days"":54,""peak_rank"":5,""peak_occurrences"":null,""peak_daily_streams"":163913,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":4}"
5,With You,Davido,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,60504477.0,streams,60504477,Spotify regional daily chart (Kworb aggregate),,,5GyaXqMfcIGHfmTUITFacS,,,https://kworb.net/spotify/country/ng_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Nigeria, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2022-02-20 through 2026-09-11.","{""country_code"":""NG"",""country_name"":""Nigeria"",""chart_coverage_start"":""2022-02-20"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":513,""top10_days"":87,""peak_rank"":1,""peak_occurrences"":32,""peak_daily_streams"":849428,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""alternate_metrics"":[{""metric_name"":""spotify_country_chart_streams"",""metric_value"":38825.0,""metric_unit"":""streams"",""listen_count"":38825,""view_count"":null,""source_url"":""https://kworb.net/spotify/country/ng_daily_totals.html"",""retrieved_at"":""2026-09-13""}],""merged_sources"":[""https://kworb.net/spotify/country/ng_daily_totals.html""],""country_rank"":5}"
6,Joy is Coming,Fido,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,59984792.0,streams,59984792,Spotify regional daily chart (Kworb aggregate),,,3XCB0kXFhGFgbZrfpAQGML,,,https://kworb.net/spotify/country/ng_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Nigeria, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2022-02-20 through 2026-09-11.","{""country_code"":""NG"",""country_name"":""Nigeria"",""chart_coverage_start"":""2022-02-20"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":624,""top10_days"":88,""peak_rank"":1,""peak_occurrences"":40,""peak_daily_streams"":641556,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""alternate_metrics"":[{""metric_name"":""spotify_country_chart_streams"",""metric_value"":698008.0,""metric_unit"":""streams"",""listen_count"":698008,""view_count"":null,""source_url"":""https://kworb.net/spotify/country/ng_daily_totals.html"",""retrieved_at"":""2026-09-13""}],""merged_sources"":[""https://kworb.net/spotify/country/ng_daily_totals.html""],""country_rank"":6}"
7,Dealer,Ayo Maff,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,59508399.0,streams,59508399,Spotify regional daily chart (Kworb aggregate),,,5Wxkvvb6pLky16pwq4gBI3,,,https://kworb.net/spotify/country/ng_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Nigeria, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2022-02-20 through 2026-09-11.","{""country_code"":""NG"",""country_name"":""Nigeria"",""chart_coverage_start"":""2022-02-20"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":795,""top10_days"":196,""peak_rank"":1,""peak_occurrences"":7,""peak_daily_streams"":151956,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":7}"
8,Doha,Seyi Vibez,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,58335195.0,streams,58335195,Spotify regional daily chart (Kworb aggregate),,,5hphSVebVxTpDfrk09W0hS,,,https://kworb.net/spotify/country/ng_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Nigeria, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2022-02-20 through 2026-09-11.","{""country_code"":""NG"",""country_name"":""Nigeria"",""chart_coverage_start"":""2022-02-20"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":791,""top10_days"":23,""peak_rank"":5,""peak_occurrences"":null,""peak_daily_streams"":133730,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":8}"
9,KANTE,Davido,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,57380310.0,streams,57380310,Spotify regional daily chart (Kworb aggregate),,,7vKXc90NT5WBm3UTT4iTVG,,,https://kworb.net/spotify/country/ng_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Nigeria, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2022-02-20 through 2026-09-11.","{""country_code"":""NG"",""country_name"":""Nigeria"",""chart_coverage_start"":""2022-02-20"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":1262,""top10_days"":58,""peak_rank"":4,""peak_occurrences"":null,""peak_daily_streams"":330561,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":9}"
10,you,FOLA,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,57283345.0,streams,57283345,Spotify regional daily chart (Kworb aggregate),,,6RW5AtwRPRc4C0j2EgCdTr,,,https://kworb.net/spotify/country/ng_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Nigeria, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2022-02-20 through 2026-09-11.","{""country_code"":""NG"",""country_name"":""Nigeria"",""chart_coverage_start"":""2022-02-20"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":400,""top10_days"":168,""peak_rank"":1,""peak_occurrences"":9,""peak_daily_streams"":385912,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":10}"
11,MMS,Asake,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,55429519.0,streams,55429519,Spotify regional daily chart (Kworb aggregate),,,13VXuHw3O8Yt7VwRIDqSo4,,,https://kworb.net/spotify/country/ng_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Nigeria, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2022-02-20 through 2026-09-11.","{""country_code"":""NG"",""country_name"":""Nigeria"",""chart_coverage_start"":""2022-02-20"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":765,""top10_days"":95,""peak_rank"":1,""peak_occurrences"":14,""peak_daily_streams"":870577,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":11}"
12,FUN,Rema,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,55403525.0,streams,55403525,Spotify regional daily chart (Kworb aggregate),,,0qlu7Te2J2BuAGFcwb3rjn,,,https://kworb.net/spotify/country/ng_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Nigeria, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2022-02-20 through 2026-09-11.","{""country_code"":""NG"",""country_name"":""Nigeria"",""chart_coverage_start"":""2022-02-20"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":372,""top10_days"":130,""peak_rank"":1,""peak_occurrences"":30,""peak_daily_streams"":561255,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":12}"
