rank,title,main_artist,featured_artists,album,release_date,release_year,genres,composer,anime_title,anime_popularity,screen_work,vtuber,is_original,metric_name,metric_value,metric_unit,listen_count,listen_source,view_count,overall_popularity_score,spotify_track_id,musicbrainz_recording_mbid,isrc,source_url,retrieved_at,source_notes,extra
1,LA CANCIÓN,J Balvin,[],,,,[],,,,,,,spotify_country_chart_streams,14193326.0,streams,14193326,Spotify regional daily chart (Kworb aggregate),,,0fea68AdmYNygeTGI4RC18,,,https://kworb.net/spotify/country/ni_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for NI, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2015-04-25 through 2026-07-20.","{""country_code"":""NI"",""country_name"":""NI"",""chart_coverage_start"":""2015-04-25"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":2553,""top10_days"":528,""peak_rank"":1,""peak_occurrences"":17,""peak_daily_streams"":17684,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":1}"
2,Es un Secreto,Plan B,[],,,,[],,,,,,,spotify_country_chart_streams,11934100.0,streams,11934100,Spotify regional daily chart (Kworb aggregate),,,3KZCP2StVGdWkOKyRZNWA4,,,https://kworb.net/spotify/country/ni_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for NI, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2015-04-25 through 2026-07-20.","{""country_code"":""NI"",""country_name"":""NI"",""chart_coverage_start"":""2015-04-25"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":1777,""top10_days"":500,""peak_rank"":1,""peak_occurrences"":37,""peak_daily_streams"":16072,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":2}"
3,Ojitos Lindos,Bad Bunny,[],,,,[],,,,,,,spotify_country_chart_streams,8639049.0,streams,8639049,Spotify regional daily chart (Kworb aggregate),,,3k3NWokhRRkEPhCzPmV8TW,,,https://kworb.net/spotify/country/ni_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for NI, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2015-04-25 through 2026-07-20.","{""country_code"":""NI"",""country_name"":""NI"",""chart_coverage_start"":""2015-04-25"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":1505,""top10_days"":270,""peak_rank"":1,""peak_occurrences"":2,""peak_daily_streams"":39374,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":3}"
4,LUNA,Feid,[],,,,[],,,,,,,spotify_country_chart_streams,8399673.0,streams,8399673,Spotify regional daily chart (Kworb aggregate),,,7bywjHOc0wSjGGbj04XbVi,,,https://kworb.net/spotify/country/ni_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for NI, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2015-04-25 through 2026-07-20.","{""country_code"":""NI"",""country_name"":""NI"",""chart_coverage_start"":""2015-04-25"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":960,""top10_days"":361,""peak_rank"":1,""peak_occurrences"":22,""peak_daily_streams"":17091,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":4}"
5,La Bachata,Manuel Turizo,[],,,,[],,,,,,,spotify_country_chart_streams,8100449.0,streams,8100449,Spotify regional daily chart (Kworb aggregate),,,3tt9i3Hhzq84dPS8H7iSiJ,,,https://kworb.net/spotify/country/ni_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for NI, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2015-04-25 through 2026-07-20.","{""country_code"":""NI"",""country_name"":""NI"",""chart_coverage_start"":""2015-04-25"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":1225,""top10_days"":264,""peak_rank"":1,""peak_occurrences"":51,""peak_daily_streams"":14788,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":5}"
6,Me Rehúso,Danny Ocean,[],,,,[],,,,,,,spotify_country_chart_streams,7983529.0,streams,7983529,Spotify regional daily chart (Kworb aggregate),,,6ifUES3keWjwXgae8pXI3o,,,https://kworb.net/spotify/country/ni_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for NI, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2015-04-25 through 2026-07-20.","{""country_code"":""NI"",""country_name"":""NI"",""chart_coverage_start"":""2015-04-25"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":2352,""top10_days"":213,""peak_rank"":1,""peak_occurrences"":44,""peak_daily_streams"":9697,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":6}"
7,Diles,Bad Bunny,[],,,,[],,,,,,,spotify_country_chart_streams,7958108.0,streams,7958108,Spotify regional daily chart (Kworb aggregate),,,6C1RD7YQVvt3YQj0CmuTeu,,,https://kworb.net/spotify/country/ni_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for NI, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2015-04-25 through 2026-07-20.","{""country_code"":""NI"",""country_name"":""NI"",""chart_coverage_start"":""2015-04-25"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":1869,""top10_days"":136,""peak_rank"":1,""peak_occurrences"":1,""peak_daily_streams"":14701,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":7}"
8,Moscow Mule,Bad Bunny,[],,,,[],,,,,,,spotify_country_chart_streams,7862231.0,streams,7862231,Spotify regional daily chart (Kworb aggregate),,,6Xom58OOXk2SoU711L2IXO,,,https://kworb.net/spotify/country/ni_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for NI, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2015-04-25 through 2026-07-20.","{""country_code"":""NI"",""country_name"":""NI"",""chart_coverage_start"":""2015-04-25"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":1527,""top10_days"":215,""peak_rank"":1,""peak_occurrences"":2,""peak_daily_streams"":49635,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":8}"
9,Who,Jimin,[],,,,[],,,,,,,spotify_country_chart_streams,7832175.0,streams,7832175,Spotify regional daily chart (Kworb aggregate),,,7tI8dRuH2Yc6RuoTjxo4dU,,,https://kworb.net/spotify/country/ni_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for NI, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2015-04-25 through 2026-07-20.","{""country_code"":""NI"",""country_name"":""NI"",""chart_coverage_start"":""2015-04-25"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":480,""top10_days"":355,""peak_rank"":1,""peak_occurrences"":202,""peak_daily_streams"":38082,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":9}"
10,Me Porto Bonito,Bad Bunny,[],,,,[],,,,,,,spotify_country_chart_streams,7788909.0,streams,7788909,Spotify regional daily chart (Kworb aggregate),,,6Sq7ltF9Qa7SNFBsV5Cogx,,,https://kworb.net/spotify/country/ni_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for NI, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2015-04-25 through 2026-07-20.","{""country_code"":""NI"",""country_name"":""NI"",""chart_coverage_start"":""2015-04-25"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":1008,""top10_days"":321,""peak_rank"":1,""peak_occurrences"":57,""peak_daily_streams"":37840,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":10}"
