rank,title,main_artist,featured_artists,album,release_date,release_year,genres,languages,composer,anime_title,anime_popularity,screen_work,vtuber,is_original,metric_name,metric_value,metric_unit,listen_count,listen_source,view_count,overall_popularity_score,spotify_track_id,musicbrainz_recording_mbid,isrc,source_url,retrieved_at,source_notes,extra
1,Duurt Te Lang,Davina Michelle,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,121894968.0,streams,121894968,Spotify regional daily chart (Kworb aggregate),,,2rzZ0IGxgrGUAPwrWn80z7,,,https://kworb.net/spotify/country/nl_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Netherlands, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-09-11.","{""country_code"":""NL"",""country_name"":""Netherlands"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":2163,""top10_days"":142,""peak_rank"":1,""peak_occurrences"":59,""peak_daily_streams"":445121,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""alternate_metrics"":[{""metric_name"":""spotify_country_chart_streams"",""metric_value"":69895.0,""metric_unit"":""streams"",""listen_count"":69895,""view_count"":null,""source_url"":""https://kworb.net/spotify/country/nl_daily_totals.html"",""retrieved_at"":""2026-09-13""}],""merged_sources"":[""https://kworb.net/spotify/country/nl_daily_totals.html""],""country_rank"":1}"
2,Another Love,Tom Odell,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,121029741.0,streams,121029741,Spotify regional daily chart (Kworb aggregate),,,7jtQIBanIiJOMS6RyCx6jZ,,,https://kworb.net/spotify/country/nl_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Netherlands, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-09-11.","{""country_code"":""NL"",""country_name"":""Netherlands"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":2179,""top10_days"":13,""peak_rank"":6,""peak_occurrences"":null,""peak_daily_streams"":133262,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":2}"
3,Someone You Loved,Lewis Capaldi,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,115572155.0,streams,115572155,Spotify regional daily chart (Kworb aggregate),,,7qEHsqek33rTcFNT9PFqLf,,,https://kworb.net/spotify/country/nl_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Netherlands, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-09-11.","{""country_code"":""NL"",""country_name"":""Netherlands"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":2260,""top10_days"":44,""peak_rank"":7,""peak_occurrences"":null,""peak_daily_streams"":180101,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":3}"
4,Blinding Lights,The Weeknd,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,109441442.0,streams,109441442,Spotify regional daily chart (Kworb aggregate),,,0VjIjW4GlUZAMYd2vXMi3b,,,https://kworb.net/spotify/country/nl_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Netherlands, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-09-11.","{""country_code"":""NL"",""country_name"":""Netherlands"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":1792,""top10_days"":187,""peak_rank"":1,""peak_occurrences"":46,""peak_daily_streams"":299351,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":4}"
5,Oceaan,Racoon,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,107213084.0,streams,107213084,Spotify regional daily chart (Kworb aggregate),,,7GWU6dQFjYF5YpsAUwZfGq,,,https://kworb.net/spotify/country/nl_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Netherlands, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-09-11.","{""country_code"":""NL"",""country_name"":""Netherlands"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":3311,""top10_days"":null,""peak_rank"":20,""peak_occurrences"":null,""peak_daily_streams"":104203,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":5}"
6,Shallow,Lady Gaga,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,97492716.0,streams,97492716,Spotify regional daily chart (Kworb aggregate),,,2VxeLyX666F8uXCJ0dZF8B,,,https://kworb.net/spotify/country/nl_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Netherlands, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-09-11.","{""country_code"":""NL"",""country_name"":""Netherlands"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":2372,""top10_days"":29,""peak_rank"":6,""peak_occurrences"":null,""peak_daily_streams"":193582,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":6}"
7,Africa,TOTO,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,96424845.0,streams,96424845,Spotify regional daily chart (Kworb aggregate),,,2374M0fQpWi3dLnB54qaLX,,,https://kworb.net/spotify/country/nl_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Netherlands, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-09-11.","{""country_code"":""NL"",""country_name"":""Netherlands"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":2903,""top10_days"":1,""peak_rank"":10,""peak_occurrences"":null,""peak_daily_streams"":95231,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":7}"
8,Roller Coaster,Danny Vera,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,93711285.0,streams,93711285,Spotify regional daily chart (Kworb aggregate),,,1z2HAz6JcwfGHKMSgKEA3D,,,https://kworb.net/spotify/country/nl_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Netherlands, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-09-11.","{""country_code"":""NL"",""country_name"":""Netherlands"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":1841,""top10_days"":16,""peak_rank"":1,""peak_occurrences"":1,""peak_daily_streams"":153125,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":8}"
9,Terug In De Tijd,Yves Berendse,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,89296138.0,streams,89296138,Spotify regional daily chart (Kworb aggregate),,,0vrKBjEBQAVn3sdhIXmpHE,,,https://kworb.net/spotify/country/nl_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Netherlands, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-09-11.","{""country_code"":""NL"",""country_name"":""Netherlands"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":842,""top10_days"":235,""peak_rank"":1,""peak_occurrences"":33,""peak_daily_streams"":354348,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":9}"
10,All I Want for Christmas Is You,Mariah Carey,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,85289430.0,streams,85289430,Spotify regional daily chart (Kworb aggregate),,,0bYg9bo50gSsH3LtXe2SQn,,,https://kworb.net/spotify/country/nl_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Netherlands, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-09-11.","{""country_code"":""NL"",""country_name"":""Netherlands"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":671,""top10_days"":271,""peak_rank"":1,""peak_occurrences"":84,""peak_daily_streams"":817157,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":10}"
