rank,title,main_artist,featured_artists,album,release_date,release_year,genres,composer,anime_title,anime_popularity,screen_work,vtuber,is_original,metric_name,metric_value,metric_unit,listen_count,listen_source,view_count,overall_popularity_score,spotify_track_id,musicbrainz_recording_mbid,isrc,source_url,retrieved_at,source_notes,extra
1,Dreams - 2004 Remaster,Fleetwood Mac,[],,,,[],,,,,,,spotify_country_chart_streams,50952627.0,streams,50952627,Spotify regional daily chart (Kworb aggregate),,,0ofHAoxe9vBkTCp2UQIavz,,,https://kworb.net/spotify/country/nz_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for NZ, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""NZ"",""country_name"":""NZ"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":3165,""top10_days"":230,""peak_rank"":2,""peak_occurrences"":1,""peak_daily_streams"":42744,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""alternate_metrics"":[{""metric_name"":""spotify_country_chart_streams"",""metric_value"":2265191.0,""metric_unit"":""streams"",""listen_count"":2265191,""view_count"":null,""source_url"":""https://kworb.net/spotify/country/nz_daily_totals.html"",""retrieved_at"":""2026-07-22""},{""metric_name"":""spotify_country_chart_streams"",""metric_value"":52368.0,""metric_unit"":""streams"",""listen_count"":52368,""view_count"":null,""source_url"":""https://kworb.net/spotify/country/nz_daily_totals.html"",""retrieved_at"":""2026-07-22""}],""merged_sources"":[""https://kworb.net/spotify/country/nz_daily_totals.html""],""country_rank"":1}"
2,In the Air,L.A.B.,[],,,,[],,,,,,,spotify_country_chart_streams,43538758.0,streams,43538758,Spotify regional daily chart (Kworb aggregate),,,6r88rMGtfNgC0SJEytTA7c,,,https://kworb.net/spotify/country/nz_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for NZ, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""NZ"",""country_name"":""NZ"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":2374,""top10_days"":512,""peak_rank"":1,""peak_occurrences"":8,""peak_daily_streams"":57277,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":2}"
3,Mr. Brightside,The Killers,[],,,,[],,,,,,,spotify_country_chart_streams,37353736.0,streams,37353736,Spotify regional daily chart (Kworb aggregate),,,003vvx7Niy0yvhvHt4a68B,,,https://kworb.net/spotify/country/nz_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for NZ, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""NZ"",""country_name"":""NZ"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":3749,""top10_days"":null,""peak_rank"":13,""peak_occurrences"":null,""peak_daily_streams"":26324,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":3}"
4,No Role Modelz,J. Cole,[],,,,[],,,,,,,spotify_country_chart_streams,35936186.0,streams,35936186,Spotify regional daily chart (Kworb aggregate),,,68Dni7IE4VyPkTOH9mRWHr,,,https://kworb.net/spotify/country/nz_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for NZ, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""NZ"",""country_name"":""NZ"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":3844,""top10_days"":1,""peak_rank"":10,""peak_occurrences"":null,""peak_daily_streams"":20368,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":4}"
5,Someone You Loved,Lewis Capaldi,[],,,,[],,,,,,,spotify_country_chart_streams,33127121.0,streams,33127121,Spotify regional daily chart (Kworb aggregate),,,7qEHsqek33rTcFNT9PFqLf,,,https://kworb.net/spotify/country/nz_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for NZ, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""NZ"",""country_name"":""NZ"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":2370,""top10_days"":160,""peak_rank"":3,""peak_occurrences"":6,""peak_daily_streams"":40978,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":5}"
6,Riptide,Vance Joy,[],,,,[],,,,,,,spotify_country_chart_streams,32892485.0,streams,32892485,Spotify regional daily chart (Kworb aggregate),,,7yq4Qj7cqayVTp3FF9CWbm,,,https://kworb.net/spotify/country/nz_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for NZ, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""NZ"",""country_name"":""NZ"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":3696,""top10_days"":null,""peak_rank"":12,""peak_occurrences"":null,""peak_daily_streams"":26366,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":6}"
7,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,[],,,,[],,,,,,,spotify_country_chart_streams,30040013.0,streams,30040013,Spotify regional daily chart (Kworb aggregate),,,0RiRZpuVRbi7oqRdSMwhQY,,,https://kworb.net/spotify/country/nz_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for NZ, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""NZ"",""country_name"":""NZ"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":2199,""top10_days"":216,""peak_rank"":1,""peak_occurrences"":19,""peak_daily_streams"":60662,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":7}"
8,Shape of You,Ed Sheeran,[],,,,[],,,,,,,spotify_country_chart_streams,28842022.0,streams,28842022,Spotify regional daily chart (Kworb aggregate),,,7qiZfU4dY1lWllzX7mPBI3,,,https://kworb.net/spotify/country/nz_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for NZ, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""NZ"",""country_name"":""NZ"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":2121,""top10_days"":173,""peak_rank"":1,""peak_occurrences"":91,""peak_daily_streams"":97431,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":8}"
9,Go Your Own Way - 2004 Remaster,Fleetwood Mac,[],,,,[],,,,,,,spotify_country_chart_streams,28595926.0,streams,28595926,Spotify regional daily chart (Kworb aggregate),,,07GvNcU1WdyZJq3XxP0kZa,,,https://kworb.net/spotify/country/nz_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for NZ, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""NZ"",""country_name"":""NZ"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":2903,""top10_days"":null,""peak_rank"":20,""peak_occurrences"":null,""peak_daily_streams"":22558,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""alternate_metrics"":[{""metric_name"":""spotify_country_chart_streams"",""metric_value"":998815.0,""metric_unit"":""streams"",""listen_count"":998815,""view_count"":null,""source_url"":""https://kworb.net/spotify/country/nz_daily_totals.html"",""retrieved_at"":""2026-07-22""},{""metric_name"":""spotify_country_chart_streams"",""metric_value"":507662.0,""metric_unit"":""streams"",""listen_count"":507662,""view_count"":null,""source_url"":""https://kworb.net/spotify/country/nz_daily_totals.html"",""retrieved_at"":""2026-07-22""}],""merged_sources"":[""https://kworb.net/spotify/country/nz_daily_totals.html""],""country_rank"":9}"
10,Africa,TOTO,[],,,,[],,,,,,,spotify_country_chart_streams,27881279.0,streams,27881279,Spotify regional daily chart (Kworb aggregate),,,2374M0fQpWi3dLnB54qaLX,,,https://kworb.net/spotify/country/nz_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for NZ, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""NZ"",""country_name"":""NZ"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":3133,""top10_days"":null,""peak_rank"":22,""peak_occurrences"":null,""peak_daily_streams"":21114,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":10}"
