rank,title,main_artist,featured_artists,album,release_date,release_year,genres,composer,anime_title,anime_popularity,screen_work,vtuber,is_original,metric_name,metric_value,metric_unit,listen_count,listen_source,view_count,overall_popularity_score,spotify_track_id,musicbrainz_recording_mbid,isrc,source_url,retrieved_at,source_notes,extra
1,Tadhana,Up Dharma Down,[],,,,[],,,,,,,spotify_country_chart_streams,493653271.0,streams,493653271,Spotify regional daily chart (Kworb aggregate),,,6FIEuf1JIzmCtach0gXpeG,,,https://kworb.net/spotify/country/ph_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for PH, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""PH"",""country_name"":""PH"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":4136,""top10_days"":71,""peak_rank"":6,""peak_occurrences"":null,""peak_daily_streams"":471241,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":1}"
2,Isa lang,Arthur Nery,[],,,,[],,,,,,,spotify_country_chart_streams,461364143.0,streams,461364143,Spotify regional daily chart (Kworb aggregate),,,0HAG6nIiEKd75yGpovuSJQ,,,https://kworb.net/spotify/country/ph_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for PH, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""PH"",""country_name"":""PH"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":1675,""top10_days"":340,""peak_rank"":2,""peak_occurrences"":9,""peak_daily_streams"":618881,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":2}"
3,Multo,Cup of Joe,[],,,,[],,,,,,,spotify_country_chart_streams,435730232.0,streams,435730232,Spotify regional daily chart (Kworb aggregate),,,5tlb0AxuzsMWL2GtEppXGX,,,https://kworb.net/spotify/country/ph_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for PH, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""PH"",""country_name"":""PH"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":557,""top10_days"":446,""peak_rank"":1,""peak_occurrences"":228,""peak_daily_streams"":2359841,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":3}"
4,Ikaw Lang,NOBITA,[],,,,[],,,,,,,spotify_country_chart_streams,409196633.0,streams,409196633,Spotify regional daily chart (Kworb aggregate),,,16iRlyUMJVPqz62DlomMre,,,https://kworb.net/spotify/country/ph_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for PH, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""PH"",""country_name"":""PH"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":1874,""top10_days"":338,""peak_rank"":2,""peak_occurrences"":37,""peak_daily_streams"":386053,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":4}"
5,Mahika,Adie,[],,,,[],,,,,,,spotify_country_chart_streams,385874368.0,streams,385874368,Spotify regional daily chart (Kworb aggregate),,,2nqlM3gNBMi5Zf9MDzp2Xi,,,https://kworb.net/spotify/country/ph_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for PH, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""PH"",""country_name"":""PH"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":1509,""top10_days"":403,""peak_rank"":1,""peak_occurrences"":61,""peak_daily_streams"":395614,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":5}"
6,Kathang Isip,Ben&Ben,[],,,,[],,,,,,,spotify_country_chart_streams,370073377.0,streams,370073377,Spotify regional daily chart (Kworb aggregate),,,3WUEs51GpcvlgU7lehLgLh,,,https://kworb.net/spotify/country/ph_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for PH, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""PH"",""country_name"":""PH"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":3127,""top10_days"":290,""peak_rank"":2,""peak_occurrences"":7,""peak_daily_streams"":257851,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":6}"
7,Mundo,IV OF SPADES,[],,,,[],,,,,,,spotify_country_chart_streams,350131412.0,streams,350131412,Spotify regional daily chart (Kworb aggregate),,,61vyXXtY7OSYFRtSzv5ehw,,,https://kworb.net/spotify/country/ph_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for PH, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""PH"",""country_name"":""PH"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":3077,""top10_days"":230,""peak_rank"":1,""peak_occurrences"":61,""peak_daily_streams"":392594,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":7}"
8,Tingin,Cup of Joe,[],,,,[],,,,,,,spotify_country_chart_streams,347922840.0,streams,347922840,Spotify regional daily chart (Kworb aggregate),,,7b89Ffklm3xh4GI37vlZDZ,,,https://kworb.net/spotify/country/ph_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for PH, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""PH"",""country_name"":""PH"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":1032,""top10_days"":286,""peak_rank"":3,""peak_occurrences"":10,""peak_daily_streams"":715084,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":8}"
9,Pagsamo,Arthur Nery,[],,,,[],,,,,,,spotify_country_chart_streams,335976762.0,streams,335976762,Spotify regional daily chart (Kworb aggregate),,,0WZqHCoOBXqgCCIsUZLC2a,,,https://kworb.net/spotify/country/ph_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for PH, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""PH"",""country_name"":""PH"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":1752,""top10_days"":278,""peak_rank"":1,""peak_occurrences"":47,""peak_daily_streams"":585483,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":9}"
10,Umaasa,Calein,[],,,,[],,,,,,,spotify_country_chart_streams,328526131.0,streams,328526131,Spotify regional daily chart (Kworb aggregate),,,4AULw1VRyJP17zMvwgTIUs,,,https://kworb.net/spotify/country/ph_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for PH, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""PH"",""country_name"":""PH"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":1396,""top10_days"":117,""peak_rank"":8,""peak_occurrences"":null,""peak_daily_streams"":431419,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":10}"
