rank,title,main_artist,featured_artists,album,release_date,release_year,genres,languages,composer,anime_title,anime_popularity,screen_work,vtuber,is_original,metric_name,metric_value,metric_unit,listen_count,listen_source,view_count,overall_popularity_score,spotify_track_id,musicbrainz_recording_mbid,isrc,source_url,retrieved_at,source_notes,extra
1,Tadhana,Up Dharma Down,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,506300151.0,streams,506300151,Spotify regional daily chart (Kworb aggregate),,,6FIEuf1JIzmCtach0gXpeG,,,https://kworb.net/spotify/country/ph_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Philippines, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-09-11.","{""country_code"":""PH"",""country_name"":""Philippines"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":4189,""top10_days"":71,""peak_rank"":6,""peak_occurrences"":null,""peak_daily_streams"":471241,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":1}"
2,Isa lang,Arthur Nery,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,476761381.0,streams,476761381,Spotify regional daily chart (Kworb aggregate),,,0HAG6nIiEKd75yGpovuSJQ,,,https://kworb.net/spotify/country/ph_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Philippines, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-09-11.","{""country_code"":""PH"",""country_name"":""Philippines"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":1728,""top10_days"":348,""peak_rank"":2,""peak_occurrences"":9,""peak_daily_streams"":618881,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":2}"
3,Multo,Cup of Joe,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,454692407.0,streams,454692407,Spotify regional daily chart (Kworb aggregate),,,5tlb0AxuzsMWL2GtEppXGX,,,https://kworb.net/spotify/country/ph_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Philippines, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-09-11.","{""country_code"":""PH"",""country_name"":""Philippines"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":610,""top10_days"":497,""peak_rank"":1,""peak_occurrences"":228,""peak_daily_streams"":2359841,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":3}"
4,Ikaw Lang,NOBITA,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,417651723.0,streams,417651723,Spotify regional daily chart (Kworb aggregate),,,16iRlyUMJVPqz62DlomMre,,,https://kworb.net/spotify/country/ph_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Philippines, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-09-11.","{""country_code"":""PH"",""country_name"":""Philippines"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":1927,""top10_days"":338,""peak_rank"":2,""peak_occurrences"":37,""peak_daily_streams"":386053,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":4}"
5,Mahika,Adie,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,395045943.0,streams,395045943,Spotify regional daily chart (Kworb aggregate),,,2nqlM3gNBMi5Zf9MDzp2Xi,,,https://kworb.net/spotify/country/ph_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Philippines, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-09-11.","{""country_code"":""PH"",""country_name"":""Philippines"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":1562,""top10_days"":403,""peak_rank"":1,""peak_occurrences"":61,""peak_daily_streams"":395614,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":5}"
6,Kathang Isip,Ben&Ben,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,378759262.0,streams,378759262,Spotify regional daily chart (Kworb aggregate),,,3WUEs51GpcvlgU7lehLgLh,,,https://kworb.net/spotify/country/ph_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Philippines, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-09-11.","{""country_code"":""PH"",""country_name"":""Philippines"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":3180,""top10_days"":290,""peak_rank"":2,""peak_occurrences"":7,""peak_daily_streams"":257851,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":6}"
7,Mundo,IV OF SPADES,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,363668015.0,streams,363668015,Spotify regional daily chart (Kworb aggregate),,,61vyXXtY7OSYFRtSzv5ehw,,,https://kworb.net/spotify/country/ph_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Philippines, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-09-11.","{""country_code"":""PH"",""country_name"":""Philippines"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":3130,""top10_days"":230,""peak_rank"":1,""peak_occurrences"":61,""peak_daily_streams"":392594,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":7}"
8,Tingin,Cup of Joe,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,355052514.0,streams,355052514,Spotify regional daily chart (Kworb aggregate),,,7b89Ffklm3xh4GI37vlZDZ,,,https://kworb.net/spotify/country/ph_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Philippines, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-09-11.","{""country_code"":""PH"",""country_name"":""Philippines"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":1084,""top10_days"":286,""peak_rank"":3,""peak_occurrences"":10,""peak_daily_streams"":715084,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":8}"
9,Pagsamo,Arthur Nery,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,344969584.0,streams,344969584,Spotify regional daily chart (Kworb aggregate),,,0WZqHCoOBXqgCCIsUZLC2a,,,https://kworb.net/spotify/country/ph_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Philippines, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-09-11.","{""country_code"":""PH"",""country_name"":""Philippines"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":1805,""top10_days"":278,""peak_rank"":1,""peak_occurrences"":47,""peak_daily_streams"":585483,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":9}"
10,Umaasa,Calein,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,338790614.0,streams,338790614,Spotify regional daily chart (Kworb aggregate),,,4AULw1VRyJP17zMvwgTIUs,,,https://kworb.net/spotify/country/ph_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Philippines, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-09-11.","{""country_code"":""PH"",""country_name"":""Philippines"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":1449,""top10_days"":117,""peak_rank"":8,""peak_occurrences"":null,""peak_daily_streams"":431419,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":10}"
