rank,title,main_artist,featured_artists,album,release_date,release_year,genres,languages,composer,anime_title,anime_popularity,screen_work,vtuber,is_original,metric_name,metric_value,metric_unit,listen_count,listen_source,view_count,overall_popularity_score,spotify_track_id,musicbrainz_recording_mbid,isrc,source_url,retrieved_at,source_notes,extra
1,Jhol,Maanu,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,46487145.0,streams,46487145,Spotify regional daily chart (Kworb aggregate),,,4XTgFBxBHN6var1BzAgE1m,,,https://kworb.net/spotify/country/pk_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Pakistan, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2022-05-15 through 2026-09-11.","{""country_code"":""PK"",""country_name"":""Pakistan"",""chart_coverage_start"":""2022-05-15"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":819,""top10_days"":767,""peak_rank"":1,""peak_occurrences"":77,""peak_daily_streams"":105471,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":1}"
2,Jo Tum Mere Ho,Anuv Jain,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,31554689.0,streams,31554689,Spotify regional daily chart (Kworb aggregate),,,0eCajpR75pDW0r64U6hP2x,,,https://kworb.net/spotify/country/pk_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Pakistan, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2022-05-15 through 2026-09-11.","{""country_code"":""PK"",""country_name"":""Pakistan"",""chart_coverage_start"":""2022-05-15"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":769,""top10_days"":268,""peak_rank"":1,""peak_occurrences"":85,""peak_daily_streams"":125264,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":2}"
3,Wishes,Hasan Raheem,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,30506031.0,streams,30506031,Spotify regional daily chart (Kworb aggregate),,,5rpCUsEfBLIumvrxrahnKF,,,https://kworb.net/spotify/country/pk_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Pakistan, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2022-05-15 through 2026-09-11.","{""country_code"":""PK"",""country_name"":""Pakistan"",""chart_coverage_start"":""2022-05-15"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":1106,""top10_days"":330,""peak_rank"":2,""peak_occurrences"":10,""peak_daily_streams"":55489,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":3}"
4,Pal Pal,Afusic,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,30307907.0,streams,30307907,Spotify regional daily chart (Kworb aggregate),,,4LMlVCXHJtCE9abhmn0mYo,,,https://kworb.net/spotify/country/pk_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Pakistan, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2022-05-15 through 2026-09-11.","{""country_code"":""PK"",""country_name"":""Pakistan"",""chart_coverage_start"":""2022-05-15"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":561,""top10_days"":277,""peak_rank"":1,""peak_occurrences"":95,""peak_daily_streams"":209823,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""alternate_metrics"":[{""metric_name"":""spotify_country_chart_streams"",""metric_value"":16869636.0,""metric_unit"":""streams"",""listen_count"":16869636,""view_count"":null,""source_url"":""https://kworb.net/spotify/country/pk_daily_totals.html"",""retrieved_at"":""2026-09-13""}],""merged_sources"":[""https://kworb.net/spotify/country/pk_daily_totals.html""],""country_rank"":4}"
5,Ishq,Faheem Abdullah,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,29074679.0,streams,29074679,Spotify regional daily chart (Kworb aggregate),,,1hlbywc8Jhl1FFqJxAMabE,,,https://kworb.net/spotify/country/pk_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Pakistan, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2022-05-15 through 2026-09-11.","{""country_code"":""PK"",""country_name"":""Pakistan"",""chart_coverage_start"":""2022-05-15"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":840,""top10_days"":413,""peak_rank"":3,""peak_occurrences"":77,""peak_daily_streams"":58102,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":5}"
6,Afsos,Anuv Jain,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,27771271.0,streams,27771271,Spotify regional daily chart (Kworb aggregate),,,4Qm7r3ImER8S2Ori1gLMAf,,,https://kworb.net/spotify/country/pk_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Pakistan, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2022-05-15 through 2026-09-11.","{""country_code"":""PK"",""country_name"":""Pakistan"",""chart_coverage_start"":""2022-05-15"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":590,""top10_days"":299,""peak_rank"":1,""peak_occurrences"":45,""peak_daily_streams"":186754,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":6}"
7,Bikhra,Abdul Hannan,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,25247791.0,streams,25247791,Spotify regional daily chart (Kworb aggregate),,,0OdztoASgKBBNcAgtErk0X,,,https://kworb.net/spotify/country/pk_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Pakistan, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2022-05-15 through 2026-09-11.","{""country_code"":""PK"",""country_name"":""Pakistan"",""chart_coverage_start"":""2022-05-15"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":1580,""top10_days"":379,""peak_rank"":1,""peak_occurrences"":50,""peak_daily_streams"":39224,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":7}"
8,Maand,Bayaan,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,25041397.0,streams,25041397,Spotify regional daily chart (Kworb aggregate),,,2ZzZ2qwZBWlDKs420hhloc,,,https://kworb.net/spotify/country/pk_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Pakistan, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2022-05-15 through 2026-09-11.","{""country_code"":""PK"",""country_name"":""Pakistan"",""chart_coverage_start"":""2022-05-15"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":637,""top10_days"":230,""peak_rank"":1,""peak_occurrences"":1,""peak_daily_streams"":102398,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":8}"
9,Samjho Na,Aditya Rikhari,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,24834536.0,streams,24834536,Spotify regional daily chart (Kworb aggregate),,,1d5lpW3gUyq537iuyrb9Lf,,,https://kworb.net/spotify/country/pk_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Pakistan, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2022-05-15 through 2026-09-11.","{""country_code"":""PK"",""country_name"":""Pakistan"",""chart_coverage_start"":""2022-05-15"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":1581,""top10_days"":238,""peak_rank"":4,""peak_occurrences"":null,""peak_daily_streams"":30909,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":9}"
10,Husn,Anuv Jain,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,24109269.0,streams,24109269,Spotify regional daily chart (Kworb aggregate),,,0TL0LFcwIBF5eX7arDIKxY,,,https://kworb.net/spotify/country/pk_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Pakistan, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2022-05-15 through 2026-09-11.","{""country_code"":""PK"",""country_name"":""Pakistan"",""chart_coverage_start"":""2022-05-15"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":1016,""top10_days"":338,""peak_rank"":1,""peak_occurrences"":58,""peak_daily_streams"":81482,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":10}"
