rank,title,main_artist,featured_artists,album,release_date,release_year,genres,composer,anime_title,anime_popularity,screen_work,vtuber,is_original,metric_name,metric_value,metric_unit,listen_count,listen_source,view_count,overall_popularity_score,spotify_track_id,musicbrainz_recording_mbid,isrc,source_url,retrieved_at,source_notes,extra
1,Jhol,Maanu,[],,,,[],,,,,,,spotify_country_chart_streams,44539643.0,streams,44539643,Spotify regional daily chart (Kworb aggregate),,,4XTgFBxBHN6var1BzAgE1m,,,https://kworb.net/spotify/country/pk_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for PK, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2022-05-15 through 2026-07-20.","{""country_code"":""PK"",""country_name"":""PK"",""chart_coverage_start"":""2022-05-15"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":766,""top10_days"":721,""peak_rank"":1,""peak_occurrences"":77,""peak_daily_streams"":105471,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":1}"
2,Jo Tum Mere Ho,Anuv Jain,[],,,,[],,,,,,,spotify_country_chart_streams,30227509.0,streams,30227509,Spotify regional daily chart (Kworb aggregate),,,0eCajpR75pDW0r64U6hP2x,,,https://kworb.net/spotify/country/pk_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for PK, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2022-05-15 through 2026-07-20.","{""country_code"":""PK"",""country_name"":""PK"",""chart_coverage_start"":""2022-05-15"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":716,""top10_days"":268,""peak_rank"":1,""peak_occurrences"":85,""peak_daily_streams"":125264,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":2}"
3,Wishes,Hasan Raheem,[],,,,[],,,,,,,spotify_country_chart_streams,29485183.0,streams,29485183,Spotify regional daily chart (Kworb aggregate),,,5rpCUsEfBLIumvrxrahnKF,,,https://kworb.net/spotify/country/pk_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for PK, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2022-05-15 through 2026-07-20.","{""country_code"":""PK"",""country_name"":""PK"",""chart_coverage_start"":""2022-05-15"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":1053,""top10_days"":330,""peak_rank"":2,""peak_occurrences"":10,""peak_daily_streams"":55489,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":3}"
4,Pal Pal,Afusic,[],,,,[],,,,,,,spotify_country_chart_streams,29270968.0,streams,29270968,Spotify regional daily chart (Kworb aggregate),,,4LMlVCXHJtCE9abhmn0mYo,,,https://kworb.net/spotify/country/pk_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for PK, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2022-05-15 through 2026-07-20.","{""country_code"":""PK"",""country_name"":""PK"",""chart_coverage_start"":""2022-05-15"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":508,""top10_days"":277,""peak_rank"":1,""peak_occurrences"":95,""peak_daily_streams"":209823,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""alternate_metrics"":[{""metric_name"":""spotify_country_chart_streams"",""metric_value"":15913002.0,""metric_unit"":""streams"",""listen_count"":15913002,""view_count"":null,""source_url"":""https://kworb.net/spotify/country/pk_daily_totals.html"",""retrieved_at"":""2026-07-22""}],""merged_sources"":[""https://kworb.net/spotify/country/pk_daily_totals.html""],""country_rank"":4}"
5,Ishq,Faheem Abdullah,[],,,,[],,,,,,,spotify_country_chart_streams,27905074.0,streams,27905074,Spotify regional daily chart (Kworb aggregate),,,1hlbywc8Jhl1FFqJxAMabE,,,https://kworb.net/spotify/country/pk_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for PK, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2022-05-15 through 2026-07-20.","{""country_code"":""PK"",""country_name"":""PK"",""chart_coverage_start"":""2022-05-15"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":787,""top10_days"":413,""peak_rank"":3,""peak_occurrences"":77,""peak_daily_streams"":58102,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":5}"
6,Afsos,Anuv Jain,[],,,,[],,,,,,,spotify_country_chart_streams,26448496.0,streams,26448496,Spotify regional daily chart (Kworb aggregate),,,4Qm7r3ImER8S2Ori1gLMAf,,,https://kworb.net/spotify/country/pk_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for PK, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2022-05-15 through 2026-07-20.","{""country_code"":""PK"",""country_name"":""PK"",""chart_coverage_start"":""2022-05-15"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":537,""top10_days"":299,""peak_rank"":1,""peak_occurrences"":45,""peak_daily_streams"":186754,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":6}"
7,Bikhra,Abdul Hannan,[],,,,[],,,,,,,spotify_country_chart_streams,24746578.0,streams,24746578,Spotify regional daily chart (Kworb aggregate),,,0OdztoASgKBBNcAgtErk0X,,,https://kworb.net/spotify/country/pk_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for PK, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2022-05-15 through 2026-07-20.","{""country_code"":""PK"",""country_name"":""PK"",""chart_coverage_start"":""2022-05-15"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":1528,""top10_days"":379,""peak_rank"":1,""peak_occurrences"":50,""peak_daily_streams"":39224,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":7}"
8,Samjho Na,Aditya Rikhari,[],,,,[],,,,,,,spotify_country_chart_streams,24171657.0,streams,24171657,Spotify regional daily chart (Kworb aggregate),,,1d5lpW3gUyq537iuyrb9Lf,,,https://kworb.net/spotify/country/pk_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for PK, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2022-05-15 through 2026-07-20.","{""country_code"":""PK"",""country_name"":""PK"",""chart_coverage_start"":""2022-05-15"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":1528,""top10_days"":238,""peak_rank"":4,""peak_occurrences"":null,""peak_daily_streams"":30909,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":8}"
9,Maand,Bayaan,[],,,,[],,,,,,,spotify_country_chart_streams,23978922.0,streams,23978922,Spotify regional daily chart (Kworb aggregate),,,2ZzZ2qwZBWlDKs420hhloc,,,https://kworb.net/spotify/country/pk_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for PK, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2022-05-15 through 2026-07-20.","{""country_code"":""PK"",""country_name"":""PK"",""chart_coverage_start"":""2022-05-15"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":584,""top10_days"":230,""peak_rank"":1,""peak_occurrences"":1,""peak_daily_streams"":102398,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":9}"
10,Husn,Anuv Jain,[],,,,[],,,,,,,spotify_country_chart_streams,23355207.0,streams,23355207,Spotify regional daily chart (Kworb aggregate),,,0TL0LFcwIBF5eX7arDIKxY,,,https://kworb.net/spotify/country/pk_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for PK, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2022-05-15 through 2026-07-20.","{""country_code"":""PK"",""country_name"":""PK"",""chart_coverage_start"":""2022-05-15"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":963,""top10_days"":338,""peak_rank"":1,""peak_occurrences"":58,""peak_daily_streams"":81482,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":10}"
