rank,title,main_artist,featured_artists,album,release_date,release_year,genres,composer,anime_title,anime_popularity,screen_work,vtuber,is_original,metric_name,metric_value,metric_unit,listen_count,listen_source,view_count,overall_popularity_score,spotify_track_id,musicbrainz_recording_mbid,isrc,source_url,retrieved_at,source_notes,extra
1,California,White 2115,[],,,,[],,,,,,,spotify_country_chart_streams,132862843.0,streams,132862843,Spotify regional daily chart (Kworb aggregate),,,2nFaT0t36H6UX3wN3Vxvjm,,,https://kworb.net/spotify/country/pl_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for PL, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""PL"",""country_name"":""PL"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":2865,""top10_days"":32,""peak_rank"":5,""peak_occurrences"":null,""peak_daily_streams"":136198,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":1}"
2,Sweater Weather,The Neighbourhood,[],,,,[],,,,,,,spotify_country_chart_streams,106121650.0,streams,106121650,Spotify regional daily chart (Kworb aggregate),,,2QjOHCTQ1Jl3zawyYOpxh6,,,https://kworb.net/spotify/country/pl_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for PL, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""PL"",""country_name"":""PL"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":2753,""top10_days"":null,""peak_rank"":19,""peak_occurrences"":null,""peak_daily_streams"":107410,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":2}"
3,BLUEBERRY,Guzior,[],,,,[],,,,,,,spotify_country_chart_streams,101788847.0,streams,101788847,Spotify regional daily chart (Kworb aggregate),,,4BgTgPsNeDz2KG4QsshjL9,,,https://kworb.net/spotify/country/pl_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for PL, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""PL"",""country_name"":""PL"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":1608,""top10_days"":128,""peak_rank"":1,""peak_occurrences"":20,""peak_daily_streams"":236806,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""alternate_metrics"":[{""metric_name"":""spotify_country_chart_streams"",""metric_value"":1457514.0,""metric_unit"":""streams"",""listen_count"":1457514,""view_count"":null,""source_url"":""https://kworb.net/spotify/country/pl_daily_totals.html"",""retrieved_at"":""2026-07-22""}],""merged_sources"":[""https://kworb.net/spotify/country/pl_daily_totals.html""],""country_rank"":3}"
4,FALA,Guzior,[],,,,[],,,,,,,spotify_country_chart_streams,97886478.0,streams,97886478,Spotify regional daily chart (Kworb aggregate),,,4pRmXzB5gkQXkfEOLfwJQx,,,https://kworb.net/spotify/country/pl_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for PL, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""PL"",""country_name"":""PL"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":1913,""top10_days"":151,""peak_rank"":1,""peak_occurrences"":26,""peak_daily_streams"":221681,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":4}"
5,Ground Zero,PRO8L3M,[],,,,[],,,,,,,spotify_country_chart_streams,96816743.0,streams,96816743,Spotify regional daily chart (Kworb aggregate),,,2FHBvsUs4tpHSzIi3GvRjK,,,https://kworb.net/spotify/country/pl_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for PL, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""PL"",""country_name"":""PL"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":1931,""top10_days"":10,""peak_rank"":1,""peak_occurrences"":8,""peak_daily_streams"":314640,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":5}"
6,Schodki,Mata,[],,,,[],,,,,,,spotify_country_chart_streams,83042278.0,streams,83042278,Spotify regional daily chart (Kworb aggregate),,,0vPVqOKo8LWVganQgBZS5y,,,https://kworb.net/spotify/country/pl_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for PL, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""PL"",""country_name"":""PL"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":1900,""top10_days"":12,""peak_rank"":4,""peak_occurrences"":null,""peak_daily_streams"":96095,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":6}"
7,Piękny Świat,Gibbs,[],,,,[],,,,,,,spotify_country_chart_streams,79661316.0,streams,79661316,Spotify regional daily chart (Kworb aggregate),,,11Z7oHnQzt8iwfkQwHZ70I,,,https://kworb.net/spotify/country/pl_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for PL, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""PL"",""country_name"":""PL"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":1110,""top10_days"":166,""peak_rank"":1,""peak_occurrences"":3,""peak_daily_streams"":220653,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":7}"
8,"I Ciebie też, bardzo",Męskie Granie Orkiestra 2021,[],,,,[],,,,,,,spotify_country_chart_streams,78823322.0,streams,78823322,Spotify regional daily chart (Kworb aggregate),,,64F1Z2LAsf04V346A75hi1,,,https://kworb.net/spotify/country/pl_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for PL, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""PL"",""country_name"":""PL"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":1348,""top10_days"":97,""peak_rank"":2,""peak_occurrences"":1,""peak_daily_streams"":238921,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":8}"
9,Kiss cam (podryw roku),Mata,[],,,,[],,,,,,,spotify_country_chart_streams,74641752.0,streams,74641752,Spotify regional daily chart (Kworb aggregate),,,6eIVuPSZ7D8Q1uaZc8cQnz,,,https://kworb.net/spotify/country/pl_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for PL, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""PL"",""country_name"":""PL"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":1329,""top10_days"":56,""peak_rank"":3,""peak_occurrences"":4,""peak_daily_streams"":299930,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""alternate_metrics"":[{""metric_name"":""spotify_country_chart_streams"",""metric_value"":30415640.0,""metric_unit"":""streams"",""listen_count"":30415640,""view_count"":null,""source_url"":""https://kworb.net/spotify/country/pl_daily_totals.html"",""retrieved_at"":""2026-07-22""}],""merged_sources"":[""https://kworb.net/spotify/country/pl_daily_totals.html""],""country_rank"":9}"
10,Szafir,Mata,[],,,,[],,,,,,,spotify_country_chart_streams,71547312.0,streams,71547312,Spotify regional daily chart (Kworb aggregate),,,5sGv8YdAa3XjggnbpF9NC9,,,https://kworb.net/spotify/country/pl_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for PL, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""PL"",""country_name"":""PL"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":932,""top10_days"":135,""peak_rank"":1,""peak_occurrences"":39,""peak_daily_streams"":451931,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":10}"
