rank,title,main_artist,featured_artists,album,release_date,release_year,genres,composer,anime_title,anime_popularity,screen_work,vtuber,is_original,metric_name,metric_value,metric_unit,listen_count,listen_source,view_count,overall_popularity_score,spotify_track_id,musicbrainz_recording_mbid,isrc,source_url,retrieved_at,source_notes,extra
1,Devia Ir,Wet Bed Gang,[],,,,[],,,,,,,spotify_country_chart_streams,41296457.0,streams,41296457,Spotify regional daily chart (Kworb aggregate),,,5KZJORKMEkrsNRD4dfBw1X,,,https://kworb.net/spotify/country/pt_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for PT, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""PT"",""country_name"":""PT"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":2918,""top10_days"":201,""peak_rank"":1,""peak_occurrences"":83,""peak_daily_streams"":43000,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":1}"
2,Somos Iguais,Plutonio,[],,,,[],,,,,,,spotify_country_chart_streams,32746766.0,streams,32746766,Spotify regional daily chart (Kworb aggregate),,,1X3ltingEVNGRoJf1dvZfQ,,,https://kworb.net/spotify/country/pt_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for PT, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""PT"",""country_name"":""PT"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":1982,""top10_days"":110,""peak_rank"":4,""peak_occurrences"":null,""peak_daily_streams"":39552,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":2}"
3,Te Amo,Calema,[],,,,[],,,,,,,spotify_country_chart_streams,32655755.0,streams,32655755,Spotify regional daily chart (Kworb aggregate),,,5kr0kja5gbZAaT7w3TGKts,,,https://kworb.net/spotify/country/pt_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for PT, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""PT"",""country_name"":""PT"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":2293,""top10_days"":24,""peak_rank"":5,""peak_occurrences"":null,""peak_daily_streams"":27339,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":3}"
4,Interestelar,Plutonio,[],,,,[],,,,,,,spotify_country_chart_streams,30727085.0,streams,30727085,Spotify regional daily chart (Kworb aggregate),,,12j1Mq9Of1xfONYvGzhayD,,,https://kworb.net/spotify/country/pt_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for PT, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""PT"",""country_name"":""PT"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":625,""top10_days"":408,""peak_rank"":1,""peak_occurrences"":45,""peak_daily_streams"":133345,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":4}"
5,Lua,Ivandro,[],,,,[],,,,,,,spotify_country_chart_streams,29205875.0,streams,29205875,Spotify regional daily chart (Kworb aggregate),,,7BELSQR2lAJLELaKvVkct3,,,https://kworb.net/spotify/country/pt_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for PT, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""PT"",""country_name"":""PT"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":1407,""top10_days"":333,""peak_rank"":2,""peak_occurrences"":4,""peak_daily_streams"":41153,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":5}"
6,Blinding Lights,The Weeknd,[],,,,[],,,,,,,spotify_country_chart_streams,26455592.0,streams,26455592,Spotify regional daily chart (Kworb aggregate),,,0VjIjW4GlUZAMYd2vXMi3b,,,https://kworb.net/spotify/country/pt_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for PT, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""PT"",""country_name"":""PT"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":1783,""top10_days"":290,""peak_rank"":1,""peak_occurrences"":32,""peak_daily_streams"":54760,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""alternate_metrics"":[{""metric_name"":""spotify_country_chart_streams"",""metric_value"":20067.0,""metric_unit"":""streams"",""listen_count"":20067,""view_count"":null,""source_url"":""https://kworb.net/spotify/country/pt_daily_totals.html"",""retrieved_at"":""2026-07-22""}],""merged_sources"":[""https://kworb.net/spotify/country/pt_daily_totals.html""],""country_rank"":6}"
7,Mo Boy,Dillaz,[],,,,[],,,,,,,spotify_country_chart_streams,25667985.0,streams,25667985,Spotify regional daily chart (Kworb aggregate),,,4zww0H1u0yYvyBGixrRCb9,,,https://kworb.net/spotify/country/pt_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for PT, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""PT"",""country_name"":""PT"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":2479,""top10_days"":null,""peak_rank"":18,""peak_occurrences"":null,""peak_daily_streams"":38693,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":7}"
8,Tata,Slow J,[],,,,[],,,,,,,spotify_country_chart_streams,25056875.0,streams,25056875,Spotify regional daily chart (Kworb aggregate),,,0fPOFtS7ZylYKcC9b64cSj,,,https://kworb.net/spotify/country/pt_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for PT, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""PT"",""country_name"":""PT"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":863,""top10_days"":186,""peak_rank"":1,""peak_occurrences"":65,""peak_daily_streams"":91729,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":8}"
9,Alô,Dillaz,[],,,,[],,,,,,,spotify_country_chart_streams,25056344.0,streams,25056344,Spotify regional daily chart (Kworb aggregate),,,6vBuEFImAx36hDYiYqBtkZ,,,https://kworb.net/spotify/country/pt_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for PT, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""PT"",""country_name"":""PT"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":885,""top10_days"":195,""peak_rank"":1,""peak_occurrences"":15,""peak_daily_streams"":80949,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":9}"
10,La Bachata,Manuel Turizo,[],,,,[],,,,,,,spotify_country_chart_streams,24941199.0,streams,24941199,Spotify regional daily chart (Kworb aggregate),,,3tt9i3Hhzq84dPS8H7iSiJ,,,https://kworb.net/spotify/country/pt_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for PT, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""PT"",""country_name"":""PT"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":1327,""top10_days"":101,""peak_rank"":6,""peak_occurrences"":null,""peak_daily_streams"":41166,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":10}"
