rank,title,main_artist,featured_artists,album,release_date,release_year,genres,languages,composer,anime_title,anime_popularity,screen_work,vtuber,is_original,metric_name,metric_value,metric_unit,listen_count,listen_source,view_count,overall_popularity_score,spotify_track_id,musicbrainz_recording_mbid,isrc,source_url,retrieved_at,source_notes,extra
1,Baklava,Gya,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,21968119.0,streams,21968119,Spotify regional daily chart (Kworb aggregate),,,5jDcoEETEDGuFlKhPm6eIq,,,https://kworb.net/spotify/country/ro_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Romania, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2018-03-14 through 2026-09-11.","{""country_code"":""RO"",""country_name"":""Romania"",""chart_coverage_start"":""2018-03-14"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":880,""top10_days"":274,""peak_rank"":1,""peak_occurrences"":54,""peak_daily_streams"":109341,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":1}"
2,Păi naa,Babasha,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,15979380.0,streams,15979380,Spotify regional daily chart (Kworb aggregate),,,3BAZCKKEbilNdQgTSLBca9,,,https://kworb.net/spotify/country/ro_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Romania, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2018-03-14 through 2026-09-11.","{""country_code"":""RO"",""country_name"":""Romania"",""chart_coverage_start"":""2018-03-14"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":793,""top10_days"":182,""peak_rank"":1,""peak_occurrences"":23,""peak_daily_streams"":185080,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":2}"
3,Who,Jimin,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,15192057.0,streams,15192057,Spotify regional daily chart (Kworb aggregate),,,7tI8dRuH2Yc6RuoTjxo4dU,,,https://kworb.net/spotify/country/ro_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Romania, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2018-03-14 through 2026-09-11.","{""country_code"":""RO"",""country_name"":""Romania"",""chart_coverage_start"":""2018-03-14"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":505,""top10_days"":315,""peak_rank"":1,""peak_occurrences"":89,""peak_daily_streams"":55550,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":3}"
4,Havana,Tzanca Uraganu,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,14968212.0,streams,14968212,Spotify regional daily chart (Kworb aggregate),,,4i9Ul89UPf5YPppdOspCH6,,,https://kworb.net/spotify/country/ro_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Romania, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2018-03-14 through 2026-09-11.","{""country_code"":""RO"",""country_name"":""Romania"",""chart_coverage_start"":""2018-03-14"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":1132,""top10_days"":410,""peak_rank"":1,""peak_occurrences"":49,""peak_daily_streams"":34525,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":4}"
5,Sweater Weather,The Neighbourhood,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,14512293.0,streams,14512293,Spotify regional daily chart (Kworb aggregate),,,2QjOHCTQ1Jl3zawyYOpxh6,,,https://kworb.net/spotify/country/ro_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Romania, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2018-03-14 through 2026-09-11.","{""country_code"":""RO"",""country_name"":""Romania"",""chart_coverage_start"":""2018-03-14"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":2181,""top10_days"":21,""peak_rank"":7,""peak_occurrences"":null,""peak_daily_streams"":11514,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":5}"
6,Ciocolata,Tzanca Uraganu,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,13883028.0,streams,13883028,Spotify regional daily chart (Kworb aggregate),,,1CbI1EWcf3KFg4QJsKa3aT,,,https://kworb.net/spotify/country/ro_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Romania, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2018-03-14 through 2026-09-11.","{""country_code"":""RO"",""country_name"":""Romania"",""chart_coverage_start"":""2018-03-14"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":969,""top10_days"":212,""peak_rank"":1,""peak_occurrences"":14,""peak_daily_streams"":30944,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":6}"
7,Papusa Barbie,Alex Botea,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,12780372.0,streams,12780372,Spotify regional daily chart (Kworb aggregate),,,5hlKmxQyK8TXVsuUBY0ZLo,,,https://kworb.net/spotify/country/ro_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Romania, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2018-03-14 through 2026-09-11.","{""country_code"":""RO"",""country_name"":""Romania"",""chart_coverage_start"":""2018-03-14"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":1426,""top10_days"":null,""peak_rank"":12,""peak_occurrences"":null,""peak_daily_streams"":20354,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":7}"
8,Cât vrei tu,Babasha,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,12513727.0,streams,12513727,Spotify regional daily chart (Kworb aggregate),,,1yEqRiWmIaETc2FRHn7Jnr,,,https://kworb.net/spotify/country/ro_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Romania, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2018-03-14 through 2026-09-11.","{""country_code"":""RO"",""country_name"":""Romania"",""chart_coverage_start"":""2018-03-14"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":505,""top10_days"":215,""peak_rank"":1,""peak_occurrences"":59,""peak_daily_streams"":59352,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":8}"
9,"Amo, Amo",Babasha,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,12512315.0,streams,12512315,Spotify regional daily chart (Kworb aggregate),,,0gOjMBj92rLOX6M134LMMh,,,https://kworb.net/spotify/country/ro_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Romania, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2018-03-14 through 2026-09-11.","{""country_code"":""RO"",""country_name"":""Romania"",""chart_coverage_start"":""2018-03-14"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":659,""top10_days"":119,""peak_rank"":1,""peak_occurrences"":33,""peak_daily_streams"":80858,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":9}"
10,Banii,Tzanca Uraganu,[],,,,[],"[""und""]",,,,,,,spotify_country_chart_streams,11928794.0,streams,11928794,Spotify regional daily chart (Kworb aggregate),,,7l1amnUcwOBdJQtLEmMKNi,,,https://kworb.net/spotify/country/ro_daily_totals.html,2026-09-13,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for Romania, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2018-03-14 through 2026-09-11.","{""country_code"":""RO"",""country_name"":""Romania"",""chart_coverage_start"":""2018-03-14"",""chart_coverage_end"":""2026-09-11"",""days_on_chart"":1342,""top10_days"":240,""peak_rank"":2,""peak_occurrences"":12,""peak_daily_streams"":18051,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":10}"
