rank,title,main_artist,featured_artists,album,release_date,release_year,genres,composer,anime_title,anime_popularity,screen_work,vtuber,is_original,metric_name,metric_value,metric_unit,listen_count,listen_source,view_count,overall_popularity_score,spotify_track_id,musicbrainz_recording_mbid,isrc,source_url,retrieved_at,source_notes,extra
1,Dezhavyu,kizaru,[],,,,[],,,,,,,spotify_country_chart_streams,23641852.0,streams,23641852,Spotify regional daily chart (Kworb aggregate),,,1GOiMxQXZUzjzH0Sxpck0B,,,https://kworb.net/spotify/country/ru_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for RU, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2020-07-15 through 2022-04-07.","{""country_code"":""RU"",""country_name"":""RU"",""chart_coverage_start"":""2020-07-15"",""chart_coverage_end"":""2022-04-07"",""days_on_chart"":632,""top10_days"":195,""peak_rank"":1,""peak_occurrences"":5,""peak_daily_streams"":54559,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":1}"
2,99 Problems,Big Baby Tape,[],,,,[],,,,,,,spotify_country_chart_streams,19180082.0,streams,19180082,Spotify regional daily chart (Kworb aggregate),,,0r9fpWPI6z3V3YZXIiVaNC,,,https://kworb.net/spotify/country/ru_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for RU, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2020-07-15 through 2022-04-07.","{""country_code"":""RU"",""country_name"":""RU"",""chart_coverage_start"":""2020-07-15"",""chart_coverage_end"":""2022-04-07"",""days_on_chart"":169,""top10_days"":130,""peak_rank"":1,""peak_occurrences"":42,""peak_daily_streams"":418456,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":2}"
3,Положение,Skryptonite,[],,,,[],,,,,,,spotify_country_chart_streams,18590640.0,streams,18590640,Spotify regional daily chart (Kworb aggregate),,,1hfISzdAwnywAKxaSpfloo,,,https://kworb.net/spotify/country/ru_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for RU, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2020-07-15 through 2022-04-07.","{""country_code"":""RU"",""country_name"":""RU"",""chart_coverage_start"":""2020-07-15"",""chart_coverage_end"":""2022-04-07"",""days_on_chart"":632,""top10_days"":32,""peak_rank"":6,""peak_occurrences"":null,""peak_daily_streams"":47808,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":3}"
4,Москва любит...,Skryptonite,[],,,,[],,,,,,,spotify_country_chart_streams,17979355.0,streams,17979355,Spotify regional daily chart (Kworb aggregate),,,41bGn6u78I8eNZg86tx3vp,,,https://kworb.net/spotify/country/ru_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for RU, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2020-07-15 through 2022-04-07.","{""country_code"":""RU"",""country_name"":""RU"",""chart_coverage_start"":""2020-07-15"",""chart_coverage_end"":""2022-04-07"",""days_on_chart"":629,""top10_days"":97,""peak_rank"":6,""peak_occurrences"":null,""peak_daily_streams"":45422,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":4}"
5,Blinding Lights,The Weeknd,[],,,,[],,,,,,,spotify_country_chart_streams,17638262.0,streams,17638262,Spotify regional daily chart (Kworb aggregate),,,0VjIjW4GlUZAMYd2vXMi3b,,,https://kworb.net/spotify/country/ru_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for RU, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2020-07-15 through 2022-04-07.","{""country_code"":""RU"",""country_name"":""RU"",""chart_coverage_start"":""2020-07-15"",""chart_coverage_end"":""2022-04-07"",""days_on_chart"":632,""top10_days"":80,""peak_rank"":1,""peak_occurrences"":1,""peak_daily_streams"":59169,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":5}"
6,Фотографирую закат,fem.love,[],,,,[],,,,,,,spotify_country_chart_streams,17030288.0,streams,17030288,Spotify regional daily chart (Kworb aggregate),,,1ghdJUMhmLEpUitNwyNMWH,,,https://kworb.net/spotify/country/ru_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for RU, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2020-07-15 through 2022-04-07.","{""country_code"":""RU"",""country_name"":""RU"",""chart_coverage_start"":""2020-07-15"",""chart_coverage_end"":""2022-04-07"",""days_on_chart"":367,""top10_days"":84,""peak_rank"":3,""peak_occurrences"":13,""peak_daily_streams"":111439,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":6}"
7,Million,Big Baby Tape,[],,,,[],,,,,,,spotify_country_chart_streams,16731726.0,streams,16731726,Spotify regional daily chart (Kworb aggregate),,,4umjgYILQbHyV41ZmaemQm,,,https://kworb.net/spotify/country/ru_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for RU, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2020-07-15 through 2022-04-07.","{""country_code"":""RU"",""country_name"":""RU"",""chart_coverage_start"":""2020-07-15"",""chart_coverage_end"":""2022-04-07"",""days_on_chart"":169,""top10_days"":88,""peak_rank"":2,""peak_occurrences"":37,""peak_daily_streams"":330740,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":7}"
8,astral step,shadowraze,[],,,,[],,,,,,,spotify_country_chart_streams,16696311.0,streams,16696311,Spotify regional daily chart (Kworb aggregate),,,47iHvzU9Po0e6raFlgLBOF,,,https://kworb.net/spotify/country/ru_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for RU, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2020-07-15 through 2022-04-07.","{""country_code"":""RU"",""country_name"":""RU"",""chart_coverage_start"":""2020-07-15"",""chart_coverage_end"":""2022-04-07"",""days_on_chart"":161,""top10_days"":116,""peak_rank"":1,""peak_occurrences"":42,""peak_daily_streams"":200295,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":8}"
9,Bandana,Big Baby Tape,[],,,,[],,,,,,,spotify_country_chart_streams,16674985.0,streams,16674985,Spotify regional daily chart (Kworb aggregate),,,16AzcbKli3UQsxj491hJLQ,,,https://kworb.net/spotify/country/ru_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for RU, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2020-07-15 through 2022-04-07.","{""country_code"":""RU"",""country_name"":""RU"",""chart_coverage_start"":""2020-07-15"",""chart_coverage_end"":""2022-04-07"",""days_on_chart"":169,""top10_days"":92,""peak_rank"":1,""peak_occurrences"":8,""peak_daily_streams"":465488,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":9}"
10,Кукла колдуна,Korol i Shut,[],,,,[],,,,,,,spotify_country_chart_streams,16473586.0,streams,16473586,Spotify regional daily chart (Kworb aggregate),,,2DYzsMQpO7xOw7b3JwyIWP,,,https://kworb.net/spotify/country/ru_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for RU, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2020-07-15 through 2022-04-07.","{""country_code"":""RU"",""country_name"":""RU"",""chart_coverage_start"":""2020-07-15"",""chart_coverage_end"":""2022-04-07"",""days_on_chart"":632,""top10_days"":33,""peak_rank"":6,""peak_occurrences"":null,""peak_daily_streams"":43347,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":10}"
