rank,title,main_artist,featured_artists,album,release_date,release_year,genres,composer,anime_title,anime_popularity,screen_work,vtuber,is_original,metric_name,metric_value,metric_unit,listen_count,listen_source,view_count,overall_popularity_score,spotify_track_id,musicbrainz_recording_mbid,isrc,source_url,retrieved_at,source_notes,extra
1,Sweater Weather,The Neighbourhood,[],,,,[],,,,,,,spotify_country_chart_streams,13179822.0,streams,13179822,Spotify regional daily chart (Kworb aggregate),,,2QjOHCTQ1Jl3zawyYOpxh6,,,https://kworb.net/spotify/country/sa_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for SA, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2019-06-28 through 2026-07-20.","{""country_code"":""SA"",""country_name"":""SA"",""chart_coverage_start"":""2019-06-28"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":2092,""top10_days"":50,""peak_rank"":5,""peak_occurrences"":null,""peak_daily_streams"":11420,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":1}"
2,Another Love,Tom Odell,[],,,,[],,,,,,,spotify_country_chart_streams,12685199.0,streams,12685199,Spotify regional daily chart (Kworb aggregate),,,7jtQIBanIiJOMS6RyCx6jZ,,,https://kworb.net/spotify/country/sa_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for SA, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2019-06-28 through 2026-07-20.","{""country_code"":""SA"",""country_name"":""SA"",""chart_coverage_start"":""2019-06-28"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":1670,""top10_days"":688,""peak_rank"":1,""peak_occurrences"":6,""peak_daily_streams"":17665,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":2}"
3,BIRDS OF A FEATHER,Billie Eilish,[],,,,[],,,,,,,spotify_country_chart_streams,11623004.0,streams,11623004,Spotify regional daily chart (Kworb aggregate),,,6dOtVTDdiauQNBQEDOtlAB,,,https://kworb.net/spotify/country/sa_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for SA, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2019-06-28 through 2026-07-20.","{""country_code"":""SA"",""country_name"":""SA"",""chart_coverage_start"":""2019-06-28"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":795,""top10_days"":485,""peak_rank"":1,""peak_occurrences"":39,""peak_daily_streams"":31542,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":3}"
4,Apocalypse,Cigarettes After Sex,[],,,,[],,,,,,,spotify_country_chart_streams,11606695.0,streams,11606695,Spotify regional daily chart (Kworb aggregate),,,0yc6Gst2xkRu0eMLeRMGCX,,,https://kworb.net/spotify/country/sa_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for SA, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2019-06-28 through 2026-07-20.","{""country_code"":""SA"",""country_name"":""SA"",""chart_coverage_start"":""2019-06-28"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":1704,""top10_days"":6,""peak_rank"":9,""peak_occurrences"":null,""peak_daily_streams"":9949,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":4}"
5,WILDFLOWER,Billie Eilish,[],,,,[],,,,,,,spotify_country_chart_streams,11515145.0,streams,11515145,Spotify regional daily chart (Kworb aggregate),,,3QaPy1KgI7nu9FJEQUgn6h,,,https://kworb.net/spotify/country/sa_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for SA, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2019-06-28 through 2026-07-20.","{""country_code"":""SA"",""country_name"":""SA"",""chart_coverage_start"":""2019-06-28"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":795,""top10_days"":543,""peak_rank"":1,""peak_occurrences"":105,""peak_daily_streams"":34010,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":5}"
6,Set Fire to the Rain,Adele,[],,,,[],,,,,,,spotify_country_chart_streams,10374577.0,streams,10374577,Spotify regional daily chart (Kworb aggregate),,,7j4OmvkjRz0PrjFADlHfQx,,,https://kworb.net/spotify/country/sa_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for SA, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2019-06-28 through 2026-07-20.","{""country_code"":""SA"",""country_name"":""SA"",""chart_coverage_start"":""2019-06-28"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":1480,""top10_days"":365,""peak_rank"":1,""peak_occurrences"":60,""peak_daily_streams"":23088,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":6}"
7,I Wanna Be Yours,Arctic Monkeys,[],,,,[],,,,,,,spotify_country_chart_streams,9985362.0,streams,9985362,Spotify regional daily chart (Kworb aggregate),,,5XeFesFbtLpXzIVDNQP22n,,,https://kworb.net/spotify/country/sa_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for SA, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2019-06-28 through 2026-07-20.","{""country_code"":""SA"",""country_name"":""SA"",""chart_coverage_start"":""2019-06-28"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":1509,""top10_days"":143,""peak_rank"":1,""peak_occurrences"":1,""peak_daily_streams"":12931,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":7}"
8,Seven,Jung Kook,[],,,,[],,,,,,,spotify_country_chart_streams,9982242.0,streams,9982242,Spotify regional daily chart (Kworb aggregate),,,2HRgqmZQC0MC7GeNuDIXHN,,,https://kworb.net/spotify/country/sa_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for SA, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2019-06-28 through 2026-07-20.","{""country_code"":""SA"",""country_name"":""SA"",""chart_coverage_start"":""2019-06-28"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":1004,""top10_days"":306,""peak_rank"":1,""peak_occurrences"":92,""peak_daily_streams"":89345,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""alternate_metrics"":[{""metric_name"":""spotify_country_chart_streams"",""metric_value"":30520.0,""metric_unit"":""streams"",""listen_count"":30520,""view_count"":null,""source_url"":""https://kworb.net/spotify/country/sa_daily_totals.html"",""retrieved_at"":""2026-07-22""}],""merged_sources"":[""https://kworb.net/spotify/country/sa_daily_totals.html""],""country_rank"":8}"
9,Die With A Smile,Lady Gaga,[],,,,[],,,,,,,spotify_country_chart_streams,9368584.0,streams,9368584,Spotify regional daily chart (Kworb aggregate),,,2plbrEY59IikOBgBGLjaoe,,,https://kworb.net/spotify/country/sa_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for SA, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2019-06-28 through 2026-07-20.","{""country_code"":""SA"",""country_name"":""SA"",""chart_coverage_start"":""2019-06-28"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":704,""top10_days"":285,""peak_rank"":1,""peak_occurrences"":94,""peak_daily_streams"":36145,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":9}"
10,Cry,Cigarettes After Sex,[],,,,[],,,,,,,spotify_country_chart_streams,9272626.0,streams,9272626,Spotify regional daily chart (Kworb aggregate),,,3p4hRhMcb6ch8OLtATMaLw,,,https://kworb.net/spotify/country/sa_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for SA, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2019-06-28 through 2026-07-20.","{""country_code"":""SA"",""country_name"":""SA"",""chart_coverage_start"":""2019-06-28"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":1489,""top10_days"":1,""peak_rank"":10,""peak_occurrences"":null,""peak_daily_streams"":11348,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":10}"
