rank,title,main_artist,featured_artists,album,release_date,release_year,genres,composer,anime_title,anime_popularity,screen_work,vtuber,is_original,metric_name,metric_value,metric_unit,listen_count,listen_source,view_count,overall_popularity_score,spotify_track_id,musicbrainz_recording_mbid,isrc,source_url,retrieved_at,source_notes,extra
1,Babblarnas vaggvisa,Babblarna,[],,,,[],,,,,,,spotify_country_chart_streams,156004959.0,streams,156004959,Spotify regional daily chart (Kworb aggregate),,,3GygspQIcYy5OnRiw245Qh,,,https://kworb.net/spotify/country/se_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for SE, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""SE"",""country_name"":""SE"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":2620,""top10_days"":422,""peak_rank"":1,""peak_occurrences"":1,""peak_daily_streams"":92521,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":1}"
2,Svag,Victor Leksell,[],,,,[],,,,,,,spotify_country_chart_streams,136699953.0,streams,136699953,Spotify regional daily chart (Kworb aggregate),,,4SS4YfDAEQG0fZAe1xfgn3,,,https://kworb.net/spotify/country/se_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for SE, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""SE"",""country_name"":""SE"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":2221,""top10_days"":416,""peak_rank"":1,""peak_occurrences"":104,""peak_daily_streams"":616916,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":2}"
3,Djurens vaggvisa,Humlan Djojj,[],,,,[],,,,,,,spotify_country_chart_streams,128244000.0,streams,128244000,Spotify regional daily chart (Kworb aggregate),,,0j2JcSeuF8ElJTrC8g6493,,,https://kworb.net/spotify/country/se_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for SE, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""SE"",""country_name"":""SE"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":1758,""top10_days"":737,""peak_rank"":1,""peak_occurrences"":66,""peak_daily_streams"":116746,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":3}"
4,Kan Inte Gå,Bolaget,[],,,,[],,,,,,,spotify_country_chart_streams,107975407.0,streams,107975407,Spotify regional daily chart (Kworb aggregate),,,6KOzO2mUwSwe8a9GiJAn7X,,,https://kworb.net/spotify/country/se_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for SE, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""SE"",""country_name"":""SE"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":1660,""top10_days"":397,""peak_rank"":1,""peak_occurrences"":28,""peak_daily_streams"":247793,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":4}"
5,Hon dansar vidare i livet,Hov1,[],,,,[],,,,,,,spotify_country_chart_streams,102581328.0,streams,102581328,Spotify regional daily chart (Kworb aggregate),,,1aEU7mcRDTYBB4ASpqbjYE,,,https://kworb.net/spotify/country/se_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for SE, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""SE"",""country_name"":""SE"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":2605,""top10_days"":113,""peak_rank"":1,""peak_occurrences"":21,""peak_daily_streams"":320621,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":5}"
6,Blinding Lights,The Weeknd,[],,,,[],,,,,,,spotify_country_chart_streams,97661873.0,streams,97661873,Spotify regional daily chart (Kworb aggregate),,,0VjIjW4GlUZAMYd2vXMi3b,,,https://kworb.net/spotify/country/se_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for SE, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""SE"",""country_name"":""SE"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":1729,""top10_days"":297,""peak_rank"":1,""peak_occurrences"":52,""peak_daily_streams"":277607,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""alternate_metrics"":[{""metric_name"":""spotify_country_chart_streams"",""metric_value"":31259.0,""metric_unit"":""streams"",""listen_count"":31259,""view_count"":null,""source_url"":""https://kworb.net/spotify/country/se_daily_totals.html"",""retrieved_at"":""2026-07-22""}],""merged_sources"":[""https://kworb.net/spotify/country/se_daily_totals.html""],""country_rank"":6}"
7,Wake Me Up,Avicii,[],,,,[],,,,,,,spotify_country_chart_streams,91202048.0,streams,91202048,Spotify regional daily chart (Kworb aggregate),,,0nrRP2bk19rLc0orkWPQk2,,,https://kworb.net/spotify/country/se_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for SE, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""SE"",""country_name"":""SE"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":3391,""top10_days"":26,""peak_rank"":1,""peak_occurrences"":3,""peak_daily_streams"":482278,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":7}"
8,Without You,Avicii,[],,,,[],,,,,,,spotify_country_chart_streams,84726051.0,streams,84726051,Spotify regional daily chart (Kworb aggregate),,,6WbADFqMvR8N5u0BvtsWQE,,,https://kworb.net/spotify/country/se_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for SE, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""SE"",""country_name"":""SE"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":1579,""top10_days"":148,""peak_rank"":1,""peak_occurrences"":41,""peak_daily_streams"":483529,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":8}"
9,Shape of You,Ed Sheeran,[],,,,[],,,,,,,spotify_country_chart_streams,81232979.0,streams,81232979,Spotify regional daily chart (Kworb aggregate),,,7qiZfU4dY1lWllzX7mPBI3,,,https://kworb.net/spotify/country/se_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for SE, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""SE"",""country_name"":""SE"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":925,""top10_days"":165,""peak_rank"":1,""peak_occurrences"":54,""peak_daily_streams"":446067,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""alternate_metrics"":[{""metric_name"":""spotify_country_chart_streams"",""metric_value"":1533406.0,""metric_unit"":""streams"",""listen_count"":1533406,""view_count"":null,""source_url"":""https://kworb.net/spotify/country/se_daily_totals.html"",""retrieved_at"":""2026-07-22""}],""merged_sources"":[""https://kworb.net/spotify/country/se_daily_totals.html""],""country_rank"":9}"
10,Ikväll Igen,Bolaget,[],,,,[],,,,,,,spotify_country_chart_streams,80901777.0,streams,80901777,Spotify regional daily chart (Kworb aggregate),,,4o5Ob60pz8QHcFKcr4MWyf,,,https://kworb.net/spotify/country/se_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for SE, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""SE"",""country_name"":""SE"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":1187,""top10_days"":234,""peak_rank"":1,""peak_occurrences"":93,""peak_daily_streams"":623687,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":10}"
