rank,title,main_artist,featured_artists,album,release_date,release_year,genres,composer,anime_title,anime_popularity,screen_work,vtuber,is_original,metric_name,metric_value,metric_unit,listen_count,listen_source,view_count,overall_popularity_score,spotify_track_id,musicbrainz_recording_mbid,isrc,source_url,retrieved_at,source_notes,extra
1,Sunset,Separ,[],,,,[],,,,,,,spotify_country_chart_streams,13951464.0,streams,13951464,Spotify regional daily chart (Kworb aggregate),,,4WXX611x1aCtwcqVJgA3xb,,,https://kworb.net/spotify/country/sk_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for SK, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-09-08 through 2026-07-20.","{""country_code"":""SK"",""country_name"":""SK"",""chart_coverage_start"":""2014-09-08"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":1208,""top10_days"":484,""peak_rank"":1,""peak_occurrences"":109,""peak_daily_streams"":60806,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""alternate_metrics"":[{""metric_name"":""spotify_country_chart_streams"",""metric_value"":894880.0,""metric_unit"":""streams"",""listen_count"":894880,""view_count"":null,""source_url"":""https://kworb.net/spotify/country/sk_daily_totals.html"",""retrieved_at"":""2026-07-22""}],""merged_sources"":[""https://kworb.net/spotify/country/sk_daily_totals.html""],""country_rank"":1}"
2,Safír,Calin,[],,,,[],,,,,,,spotify_country_chart_streams,11988872.0,streams,11988872,Spotify regional daily chart (Kworb aggregate),,,1tpWtFdAuY9chjl5YhzsTP,,,https://kworb.net/spotify/country/sk_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for SK, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-09-08 through 2026-07-20.","{""country_code"":""SK"",""country_name"":""SK"",""chart_coverage_start"":""2014-09-08"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":1262,""top10_days"":317,""peak_rank"":1,""peak_occurrences"":49,""peak_daily_streams"":57500,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":2}"
3,Viac,Nerieš,[],,,,[],,,,,,,spotify_country_chart_streams,10390035.0,streams,10390035,Spotify regional daily chart (Kworb aggregate),,,2zCkru42FlOYnguzb9Z4aT,,,https://kworb.net/spotify/country/sk_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for SK, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-09-08 through 2026-07-20.","{""country_code"":""SK"",""country_name"":""SK"",""chart_coverage_start"":""2014-09-08"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":2318,""top10_days"":161,""peak_rank"":1,""peak_occurrences"":15,""peak_daily_streams"":28044,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":3}"
4,Hannah Montana,Calin,[],,,,[],,,,,,,spotify_country_chart_streams,10276530.0,streams,10276530,Spotify regional daily chart (Kworb aggregate),,,2sXnat46y10FtAbW2A0ira,,,https://kworb.net/spotify/country/sk_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for SK, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-09-08 through 2026-07-20.","{""country_code"":""SK"",""country_name"":""SK"",""chart_coverage_start"":""2014-09-08"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":1513,""top10_days"":348,""peak_rank"":1,""peak_occurrences"":132,""peak_daily_streams"":18610,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":4}"
5,NENI STRE$S,Pil C,[],,,,[],,,,,,,spotify_country_chart_streams,10268288.0,streams,10268288,Spotify regional daily chart (Kworb aggregate),,,1P8o6bOTyh1kEqe72JFzzO,,,https://kworb.net/spotify/country/sk_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for SK, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-09-08 through 2026-07-20.","{""country_code"":""SK"",""country_name"":""SK"",""chart_coverage_start"":""2014-09-08"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":774,""top10_days"":193,""peak_rank"":1,""peak_occurrences"":130,""peak_daily_streams"":54477,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":5}"
6,Bbejbb,Separ,[],,,,[],,,,,,,spotify_country_chart_streams,9596808.0,streams,9596808,Spotify regional daily chart (Kworb aggregate),,,3BQqSkF8Raj9lEzJdscmmu,,,https://kworb.net/spotify/country/sk_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for SK, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-09-08 through 2026-07-20.","{""country_code"":""SK"",""country_name"":""SK"",""chart_coverage_start"":""2014-09-08"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":869,""top10_days"":250,""peak_rank"":1,""peak_occurrences"":23,""peak_daily_streams"":33209,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":6}"
7,Another Love,Tom Odell,[],,,,[],,,,,,,spotify_country_chart_streams,9506125.0,streams,9506125,Spotify regional daily chart (Kworb aggregate),,,7jtQIBanIiJOMS6RyCx6jZ,,,https://kworb.net/spotify/country/sk_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for SK, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-09-08 through 2026-07-20.","{""country_code"":""SK"",""country_name"":""SK"",""chart_coverage_start"":""2014-09-08"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":1928,""top10_days"":72,""peak_rank"":5,""peak_occurrences"":null,""peak_daily_streams"":9351,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":7}"
8,Sweater Weather,The Neighbourhood,[],,,,[],,,,,,,spotify_country_chart_streams,9067257.0,streams,9067257,Spotify regional daily chart (Kworb aggregate),,,2QjOHCTQ1Jl3zawyYOpxh6,,,https://kworb.net/spotify/country/sk_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for SK, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-09-08 through 2026-07-20.","{""country_code"":""SK"",""country_name"":""SK"",""chart_coverage_start"":""2014-09-08"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":2113,""top10_days"":null,""peak_rank"":14,""peak_occurrences"":null,""peak_daily_streams"":8466,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":8}"
9,Až na měsíc,Viktor Sheen,[],,,,[],,,,,,,spotify_country_chart_streams,8492606.0,streams,8492606,Spotify regional daily chart (Kworb aggregate),,,3rxHQ7HeJCpiei1d6ANDPW,,,https://kworb.net/spotify/country/sk_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for SK, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-09-08 through 2026-07-20.","{""country_code"":""SK"",""country_name"":""SK"",""chart_coverage_start"":""2014-09-08"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":2389,""top10_days"":7,""peak_rank"":3,""peak_occurrences"":3,""peak_daily_streams"":7766,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":9}"
10,Body to body,Separ,[],,,,[],,,,,,,spotify_country_chart_streams,8363227.0,streams,8363227,Spotify regional daily chart (Kworb aggregate),,,58Kx48jdexHfT7reFY1TVE,,,https://kworb.net/spotify/country/sk_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for SK, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-09-08 through 2026-07-20.","{""country_code"":""SK"",""country_name"":""SK"",""chart_coverage_start"":""2014-09-08"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":479,""top10_days"":366,""peak_rank"":1,""peak_occurrences"":60,""peak_daily_streams"":73642,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":10}"
