rank,title,main_artist,featured_artists,album,release_date,release_year,genres,composer,anime_title,anime_popularity,screen_work,vtuber,is_original,metric_name,metric_value,metric_unit,listen_count,listen_source,view_count,overall_popularity_score,spotify_track_id,musicbrainz_recording_mbid,isrc,source_url,retrieved_at,source_notes,extra
1,Seven,Jung Kook,[],,,,[],,,,,,,spotify_country_chart_streams,248892337.0,streams,248892337,Spotify regional daily chart (Kworb aggregate),,,2HRgqmZQC0MC7GeNuDIXHN,,,https://kworb.net/spotify/country/th_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for TH, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2017-08-23 through 2026-07-20.","{""country_code"":""TH"",""country_name"":""TH"",""chart_coverage_start"":""2017-08-23"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":1085,""top10_days"":529,""peak_rank"":1,""peak_occurrences"":110,""peak_daily_streams"":1432915,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":1}"
2,Who,Jimin,[],,,,[],,,,,,,spotify_country_chart_streams,213828777.0,streams,213828777,Spotify regional daily chart (Kworb aggregate),,,7tI8dRuH2Yc6RuoTjxo4dU,,,https://kworb.net/spotify/country/th_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for TH, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2017-08-23 through 2026-07-20.","{""country_code"":""TH"",""country_name"":""TH"",""chart_coverage_start"":""2017-08-23"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":732,""top10_days"":570,""peak_rank"":1,""peak_occurrences"":128,""peak_daily_streams"":2055355,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":2}"
3,Love Me Again,V,[],,,,[],,,,,,,spotify_country_chart_streams,154717296.0,streams,154717296,Spotify regional daily chart (Kworb aggregate),,,2N0SPREDYqILVEFSsWF5N5,,,https://kworb.net/spotify/country/th_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for TH, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2017-08-23 through 2026-07-20.","{""country_code"":""TH"",""country_name"":""TH"",""chart_coverage_start"":""2017-08-23"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":500,""top10_days"":408,""peak_rank"":1,""peak_occurrences"":89,""peak_daily_streams"":789968,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":3}"
4,Standing Next to You,Jung Kook,[],,,,[],,,,,,,spotify_country_chart_streams,145684055.0,streams,145684055,Spotify regional daily chart (Kworb aggregate),,,2KslE17cAJNHTsI2MI0jb2,,,https://kworb.net/spotify/country/th_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for TH, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2017-08-23 through 2026-07-20.","{""country_code"":""TH"",""country_name"":""TH"",""chart_coverage_start"":""2017-08-23"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":477,""top10_days"":378,""peak_rank"":1,""peak_occurrences"":87,""peak_daily_streams"":1008356,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":4}"
5,MONEY,LISA,[],,,,[],,,,,,,spotify_country_chart_streams,123576637.0,streams,123576637,Spotify regional daily chart (Kworb aggregate),,,7hU3IHwjX150XLoTVmjD0q,,,https://kworb.net/spotify/country/th_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for TH, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2017-08-23 through 2026-07-20.","{""country_code"":""TH"",""country_name"":""TH"",""chart_coverage_start"":""2017-08-23"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":1076,""top10_days"":566,""peak_rank"":1,""peak_occurrences"":43,""peak_daily_streams"":563240,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":5}"
6,Rockstar,LISA,[],,,,[],,,,,,,spotify_country_chart_streams,113840717.0,streams,113840717,Spotify regional daily chart (Kworb aggregate),,,6vvPecFTmWxDfEJ6cYT1wa,,,https://kworb.net/spotify/country/th_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for TH, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2017-08-23 through 2026-07-20.","{""country_code"":""TH"",""country_name"":""TH"",""chart_coverage_start"":""2017-08-23"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":745,""top10_days"":116,""peak_rank"":1,""peak_occurrences"":32,""peak_daily_streams"":2573082,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":6}"
7,3D,Jung Kook,[],,,,[],,,,,,,spotify_country_chart_streams,113747643.0,streams,113747643,Spotify regional daily chart (Kworb aggregate),,,01qFKNWq73UfEslI0GvumE,,,https://kworb.net/spotify/country/th_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for TH, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2017-08-23 through 2026-07-20.","{""country_code"":""TH"",""country_name"":""TH"",""chart_coverage_start"":""2017-08-23"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":716,""top10_days"":313,""peak_rank"":1,""peak_occurrences"":38,""peak_daily_streams"":1079294,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":7}"
8,Like Crazy,Jimin,[],,,,[],,,,,,,spotify_country_chart_streams,106373665.0,streams,106373665,Spotify regional daily chart (Kworb aggregate),,,3Ua0m0YmEjrMi9XErKcNiR,,,https://kworb.net/spotify/country/th_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for TH, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2017-08-23 through 2026-07-20.","{""country_code"":""TH"",""country_name"":""TH"",""chart_coverage_start"":""2017-08-23"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":509,""top10_days"":416,""peak_rank"":1,""peak_occurrences"":29,""peak_daily_streams"":803337,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":8}"
9,Winter Ahead,V,[],,,,[],,,,,,,spotify_country_chart_streams,88945251.0,streams,88945251,Spotify regional daily chart (Kworb aggregate),,,7G7mSV4BebkoHWwKTDvXu9,,,https://kworb.net/spotify/country/th_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for TH, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2017-08-23 through 2026-07-20.","{""country_code"":""TH"",""country_name"":""TH"",""chart_coverage_start"":""2017-08-23"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":547,""top10_days"":255,""peak_rank"":1,""peak_occurrences"":29,""peak_daily_streams"":1373195,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":9}"
10,LALISA,LISA,[],,,,[],,,,,,,spotify_country_chart_streams,81918965.0,streams,81918965,Spotify regional daily chart (Kworb aggregate),,,7uQZVznj0uQOGC9KhV2Mg6,,,https://kworb.net/spotify/country/th_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for TH, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2017-08-23 through 2026-07-20.","{""country_code"":""TH"",""country_name"":""TH"",""chart_coverage_start"":""2017-08-23"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":1056,""top10_days"":418,""peak_rank"":1,""peak_occurrences"":14,""peak_daily_streams"":313560,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":10}"
