rank,title,main_artist,featured_artists,album,release_date,release_year,genres,composer,anime_title,anime_popularity,screen_work,vtuber,is_original,metric_name,metric_value,metric_unit,listen_count,listen_source,view_count,overall_popularity_score,spotify_track_id,musicbrainz_recording_mbid,isrc,source_url,retrieved_at,source_notes,extra
1,Seni Dert Etmeler,Madrigal,[],,,,[],,,,,,,spotify_country_chart_streams,265161651.0,streams,265161651,Spotify regional daily chart (Kworb aggregate),,,10n66m41IGjA2ZulKPK7Ew,,,https://kworb.net/spotify/country/tr_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for TR, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""TR"",""country_name"":""TR"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":1898,""top10_days"":297,""peak_rank"":1,""peak_occurrences"":36,""peak_daily_streams"":283575,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":1}"
2,Gitme,Dolu Kadehi Ters Tut,[],,,,[],,,,,,,spotify_country_chart_streams,236518496.0,streams,236518496,Spotify regional daily chart (Kworb aggregate),,,4Sng3wnol2Gb2yXgFdr9lj,,,https://kworb.net/spotify/country/tr_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for TR, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""TR"",""country_name"":""TR"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":2484,""top10_days"":null,""peak_rank"":11,""peak_occurrences"":null,""peak_daily_streams"":191354,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":2}"
3,SEVMEYİ DENEMEDİN,BLOK3,[],,,,[],,,,,,,spotify_country_chart_streams,231035739.0,streams,231035739,Spotify regional daily chart (Kworb aggregate),,,3ff93VTp2DBbNnDEsAW8Cm,,,https://kworb.net/spotify/country/tr_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for TR, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""TR"",""country_name"":""TR"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":676,""top10_days"":369,""peak_rank"":1,""peak_occurrences"":35,""peak_daily_streams"":799007,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":3}"
4,aklına ben gelicem,BLOK3,[],,,,[],,,,,,,spotify_country_chart_streams,210011458.0,streams,210011458,Spotify regional daily chart (Kworb aggregate),,,3ZwRkdnTb4az8X5n4WXuHA,,,https://kworb.net/spotify/country/tr_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for TR, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""TR"",""country_name"":""TR"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":925,""top10_days"":97,""peak_rank"":1,""peak_occurrences"":21,""peak_daily_streams"":876342,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":4}"
5,Bir Derdim Var,mor ve ötesi,[],,,,[],,,,,,,spotify_country_chart_streams,206840304.0,streams,206840304,Spotify regional daily chart (Kworb aggregate),,,5UV2oqgMXvlkOvvtK3aT7f,,,https://kworb.net/spotify/country/tr_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for TR, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""TR"",""country_name"":""TR"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":3391,""top10_days"":null,""peak_rank"":21,""peak_occurrences"":null,""peak_daily_streams"":207844,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":5}"
6,Altüst Olmuşum,Mavi Gri,[],,,,[],,,,,,,spotify_country_chart_streams,204789582.0,streams,204789582,Spotify regional daily chart (Kworb aggregate),,,13THdxqHT11aSk3G8nUDzZ,,,https://kworb.net/spotify/country/tr_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for TR, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""TR"",""country_name"":""TR"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":1597,""top10_days"":null,""peak_rank"":11,""peak_occurrences"":null,""peak_daily_streams"":267510,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":6}"
7,Bi' Tek Ben Anlarım,KÖFN,[],,,,[],,,,,,,spotify_country_chart_streams,196748498.0,streams,196748498,Spotify regional daily chart (Kworb aggregate),,,7toL7Re9rApzIuIFDaLQSe,,,https://kworb.net/spotify/country/tr_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for TR, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""TR"",""country_name"":""TR"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":930,""top10_days"":256,""peak_rank"":1,""peak_occurrences"":10,""peak_daily_streams"":547934,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":7}"
8,CISTAK,Era7capone,[],,,,[],,,,,,,spotify_country_chart_streams,195536579.0,streams,195536579,Spotify regional daily chart (Kworb aggregate),,,4KwetoJ2Hi9KN0K0oIcWNE,,,https://kworb.net/spotify/country/tr_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for TR, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""TR"",""country_name"":""TR"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":666,""top10_days"":186,""peak_rank"":1,""peak_occurrences"":95,""peak_daily_streams"":960923,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":8}"
9,25,Ati242,[],,,,[],,,,,,,spotify_country_chart_streams,188675011.0,streams,188675011,Spotify regional daily chart (Kworb aggregate),,,4HuB9A0O1XwmwTVtTgODm8,,,https://kworb.net/spotify/country/tr_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for TR, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""TR"",""country_name"":""TR"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":1461,""top10_days"":5,""peak_rank"":9,""peak_occurrences"":null,""peak_daily_streams"":355036,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":9}"
10,Aşkın Olayım,Simge,[],,,,[],,,,,,,spotify_country_chart_streams,188218481.0,streams,188218481,Spotify regional daily chart (Kworb aggregate),,,4o4kbDP7DMVFPwAf5D5bj9,,,https://kworb.net/spotify/country/tr_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for TR, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""TR"",""country_name"":""TR"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":1100,""top10_days"":230,""peak_rank"":1,""peak_occurrences"":10,""peak_daily_streams"":637671,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":10}"
