rank,title,main_artist,featured_artists,album,release_date,release_year,genres,composer,anime_title,anime_popularity,screen_work,vtuber,is_original,metric_name,metric_value,metric_unit,listen_count,listen_source,view_count,overall_popularity_score,spotify_track_id,musicbrainz_recording_mbid,isrc,source_url,retrieved_at,source_notes,extra
1,Winter Ahead,V,[],,,,[],,,,,,,spotify_country_chart_streams,115948499.0,streams,115948499,Spotify regional daily chart (Kworb aggregate),,,7G7mSV4BebkoHWwKTDvXu9,,,https://kworb.net/spotify/country/tw_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for TW, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""TW"",""country_name"":""TW"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":599,""top10_days"":580,""peak_rank"":1,""peak_occurrences"":498,""peak_daily_streams"":340094,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":1}"
2,不是因為天氣晴朗才愛你,Bestards,[],,,,[],,,,,,,spotify_country_chart_streams,62031881.0,streams,62031881,Spotify regional daily chart (Kworb aggregate),,,2VEt42QSQxILgEf9B50xxm,,,https://kworb.net/spotify/country/tw_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for TW, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""TW"",""country_name"":""TW"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":2451,""top10_days"":374,""peak_rank"":4,""peak_occurrences"":null,""peak_daily_streams"":53294,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":2}"
3,Without You,高爾宣 OSN,[],,,,[],,,,,,,spotify_country_chart_streams,61194419.0,streams,61194419,Spotify regional daily chart (Kworb aggregate),,,0KWnRv3wxjltYVB3MqjNd2,,,https://kworb.net/spotify/country/tw_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for TW, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""TW"",""country_name"":""TW"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":2663,""top10_days"":613,""peak_rank"":1,""peak_occurrences"":82,""peak_daily_streams"":46067,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":3}"
4,"如果可以 - 電影""月老""主題曲",WeiBird,[],,,,[],,,,,,,spotify_country_chart_streams,57971113.0,streams,57971113,Spotify regional daily chart (Kworb aggregate),,,72OVnXDzugvrCU25lMi9au,,,https://kworb.net/spotify/country/tw_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for TW, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""TW"",""country_name"":""TW"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":1718,""top10_days"":608,""peak_rank"":1,""peak_occurrences"":275,""peak_daily_streams"":147343,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":4}"
5,Who,Jimin,[],,,,[],,,,,,,spotify_country_chart_streams,56395690.0,streams,56395690,Spotify regional daily chart (Kworb aggregate),,,7tI8dRuH2Yc6RuoTjxo4dU,,,https://kworb.net/spotify/country/tw_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for TW, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""TW"",""country_name"":""TW"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":732,""top10_days"":682,""peak_rank"":1,""peak_occurrences"":24,""peak_daily_streams"":137586,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":5}"
6,Love Me Again,V,[],,,,[],,,,,,,spotify_country_chart_streams,54158248.0,streams,54158248,Spotify regional daily chart (Kworb aggregate),,,2N0SPREDYqILVEFSsWF5N5,,,https://kworb.net/spotify/country/tw_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for TW, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""TW"",""country_name"":""TW"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":1024,""top10_days"":437,""peak_rank"":1,""peak_occurrences"":106,""peak_daily_streams"":191330,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":6}"
7,怎麼了,Eric Chou,[],,,,[],,,,,,,spotify_country_chart_streams,53602635.0,streams,53602635,Spotify regional daily chart (Kworb aggregate),,,5cU1O9P0EDA0rPkPDykhIm,,,https://kworb.net/spotify/country/tw_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for TW, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""TW"",""country_name"":""TW"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":2746,""top10_days"":586,""peak_rank"":2,""peak_occurrences"":11,""peak_daily_streams"":38874,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":7}"
8,浪流連,EggPlantEgg,[],,,,[],,,,,,,spotify_country_chart_streams,48389903.0,streams,48389903,Spotify regional daily chart (Kworb aggregate),,,7a6VJHMS9ttKsj55cKC51G,,,https://kworb.net/spotify/country/tw_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for TW, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""TW"",""country_name"":""TW"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":2760,""top10_days"":266,""peak_rank"":1,""peak_occurrences"":25,""peak_daily_streams"":40765,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":8}"
9,閣愛妳一擺,EggPlantEgg,[],,,,[],,,,,,,spotify_country_chart_streams,46557367.0,streams,46557367,Spotify regional daily chart (Kworb aggregate),,,07plVccQ0N6FTTTonk3c2M,,,https://kworb.net/spotify/country/tw_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for TW, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""TW"",""country_name"":""TW"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":1683,""top10_days"":452,""peak_rank"":2,""peak_occurrences"":142,""peak_daily_streams"":109766,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":9}"
10,披星戴月的想你,告五人,[],,,,[],,,,,,,spotify_country_chart_streams,45976092.0,streams,45976092,Spotify regional daily chart (Kworb aggregate),,,7tgzj2IqzSgUpxUhjmcF5m,,,https://kworb.net/spotify/country/tw_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for TW, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""TW"",""country_name"":""TW"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":2597,""top10_days"":null,""peak_rank"":15,""peak_occurrences"":null,""peak_daily_streams"":32817,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":10}"
11,飞鸟和蝉,Ren Ran,[],,,,[],,,,,,,spotify_country_chart_streams,45811226.0,streams,45811226,Spotify regional daily chart (Kworb aggregate),,,6XBL9naPxZjATbmGAWGJ9V,,,https://kworb.net/spotify/country/tw_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for TW, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""TW"",""country_name"":""TW"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":1642,""top10_days"":757,""peak_rank"":1,""peak_occurrences"":14,""peak_daily_streams"":49553,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":11}"
12,Stay,The Kid LAROI,[],,,,[],,,,,,,spotify_country_chart_streams,45423818.0,streams,45423818,Spotify regional daily chart (Kworb aggregate),,,5PjdY0CKGZdEuoNab3yDmX,,,https://kworb.net/spotify/country/tw_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for TW, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""TW"",""country_name"":""TW"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":1833,""top10_days"":382,""peak_rank"":1,""peak_occurrences"":105,""peak_daily_streams"":76678,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":12}"
13,慢冷,Fish Leong,[],,,,[],,,,,,,spotify_country_chart_streams,44282821.0,streams,44282821,Spotify regional daily chart (Kworb aggregate),,,3NNDJfWMGHuNpvHWTImmlW,,,https://kworb.net/spotify/country/tw_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for TW, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""TW"",""country_name"":""TW"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":2597,""top10_days"":null,""peak_rank"":11,""peak_occurrences"":null,""peak_daily_streams"":30203,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":13}"
14,刻在我心底的名字 (Your Name Engraved Herein) - 電影<刻在你心底的名字>主題曲,Crowd Lu,[],,,,[],,,,,,,spotify_country_chart_streams,43583325.0,streams,43583325,Spotify regional daily chart (Kworb aggregate),,,3OC84eKMxRJ4x0Hcwl9i4i,,,https://kworb.net/spotify/country/tw_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for TW, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""TW"",""country_name"":""TW"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":1640,""top10_days"":462,""peak_rank"":1,""peak_occurrences"":177,""peak_daily_streams"":81244,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":14}"
15,年少有為,Ronghao Li,[],,,,[],,,,,,,spotify_country_chart_streams,42544651.0,streams,42544651,Spotify regional daily chart (Kworb aggregate),,,6XY80Ofqd8j0SGiEdRLwCp,,,https://kworb.net/spotify/country/tw_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for TW, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""TW"",""country_name"":""TW"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":2734,""top10_days"":204,""peak_rank"":1,""peak_occurrences"":4,""peak_daily_streams"":30526,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":15}"
16,擱淺,Jay Chou,[],,,,[],,,,,,,spotify_country_chart_streams,41801151.0,streams,41801151,Spotify regional daily chart (Kworb aggregate),,,0cOMncRq4cmDLO4tPQnkBF,,,https://kworb.net/spotify/country/tw_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for TW, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""TW"",""country_name"":""TW"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":1785,""top10_days"":10,""peak_rank"":9,""peak_occurrences"":null,""peak_daily_streams"":99613,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":16}"
17,晴天,Jay Chou,[],,,,[],,,,,,,spotify_country_chart_streams,41605798.0,streams,41605798,Spotify regional daily chart (Kworb aggregate),,,0F02KChKwbcQ3tk4q1YxLH,,,https://kworb.net/spotify/country/tw_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for TW, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""TW"",""country_name"":""TW"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":2472,""top10_days"":null,""peak_rank"":12,""peak_occurrences"":null,""peak_daily_streams"":84479,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":17}"
18,離開的一路上,Bestards,[],,,,[],,,,,,,spotify_country_chart_streams,41249541.0,streams,41249541,Spotify regional daily chart (Kworb aggregate),,,1NoDTQhJsrd5rnpb6PQthK,,,https://kworb.net/spotify/country/tw_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for TW, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""TW"",""country_name"":""TW"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":991,""top10_days"":285,""peak_rank"":1,""peak_occurrences"":6,""peak_daily_streams"":83188,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":18}"
19,Seven,Jung Kook,[],,,,[],,,,,,,spotify_country_chart_streams,41195363.0,streams,41195363,Spotify regional daily chart (Kworb aggregate),,,2HRgqmZQC0MC7GeNuDIXHN,,,https://kworb.net/spotify/country/tw_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for TW, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""TW"",""country_name"":""TW"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":1103,""top10_days"":284,""peak_rank"":1,""peak_occurrences"":162,""peak_daily_streams"":156778,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":19}"
20,"想見你想見你想見你(電視劇""想見你""片尾曲)",831,[],,,,[],,,,,,,spotify_country_chart_streams,40674311.0,streams,40674311,Spotify regional daily chart (Kworb aggregate),,,69zgyr5HVKdInjeKpq1qHa,,,https://kworb.net/spotify/country/tw_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for TW, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""TW"",""country_name"":""TW"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":1796,""top10_days"":505,""peak_rank"":1,""peak_occurrences"":128,""peak_daily_streams"":56311,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":20}"
21,有些,颜人中,[],,,,[],,,,,,,spotify_country_chart_streams,38497752.0,streams,38497752,Spotify regional daily chart (Kworb aggregate),,,3V2v19gDm4rmRkMwcgS4X2,,,https://kworb.net/spotify/country/tw_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for TW, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""TW"",""country_name"":""TW"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":1808,""top10_days"":1,""peak_rank"":10,""peak_occurrences"":null,""peak_daily_streams"":40930,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":21}"
22,Something Just Like This,The Chainsmokers,[],,,,[],,,,,,,spotify_country_chart_streams,37708149.0,streams,37708149,Spotify regional daily chart (Kworb aggregate),,,6RUKPb4LETWmmr3iAEQktW,,,https://kworb.net/spotify/country/tw_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for TW, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""TW"",""country_name"":""TW"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":3189,""top10_days"":256,""peak_rank"":1,""peak_occurrences"":112,""peak_daily_streams"":61114,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":22}"
23,Don’t Say You Love Me,Jin,[],,,,[],,,,,,,spotify_country_chart_streams,37178205.0,streams,37178205,Spotify regional daily chart (Kworb aggregate),,,27xkOIER6uDLKALIelHylZ,,,https://kworb.net/spotify/country/tw_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for TW, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""TW"",""country_name"":""TW"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":431,""top10_days"":381,""peak_rank"":1,""peak_occurrences"":2,""peak_daily_streams"":202345,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""country_rank"":23}"
24,愛情你比我想的閣較偉大 -《當男人戀愛時》電影主題曲,EggPlantEgg,[],,,,[],,,,,,,spotify_country_chart_streams,34294104.0,streams,34294104,Spotify regional daily chart (Kworb aggregate),,,4fJlSLYLiu5trFCMZdSQDC,,,https://kworb.net/spotify/country/tw_daily_totals.html,2026-07-22,"Exact aggregate of streams observed while this recording was inside Spotify's daily Top 200 for TW, as aggregated by Kworb from Spotify chart data. Streams earned outside the chart are not included. Chart coverage on the source page: 2014-08-10 through 2026-07-20.","{""country_code"":""TW"",""country_name"":""TW"",""chart_coverage_start"":""2014-08-10"",""chart_coverage_end"":""2026-07-20"",""days_on_chart"":1052,""top10_days"":620,""peak_rank"":1,""peak_occurrences"":77,""peak_daily_streams"":118062,""metric_scope"":""country-specific Spotify daily Top 200 chart-attributed streams"",""alternate_metrics"":[{""metric_name"":""spotify_country_chart_streams"",""metric_value"":14567542.0,""metric_unit"":""streams"",""listen_count"":14567542,""view_count"":null,""source_url"":""https://kworb.net/spotify/country/tw_daily_totals.html"",""retrieved_at"":""2026-07-22""}],""merged_sources"":[""https://kworb.net/spotify/country/tw_daily_totals.html""],""country_rank"":24}"
